Speaker,Brazilian Portuguese (PT)
,"Os primos caminharam juntos pela costa, se divertindo."
,"Eles procuravam por pequenos pedaços de vidro, polidos pelas ondas até diminuírem de tamanho e ficarem semelhantes a pequenas gemas.{n}Conversando sobre as vidas de cada um enquanto brincavam."
,Escreveram palavras na areia.{n}Corriam atrás das ondas que recuavam e fugiam das que voltavam.
,Os primos aproveitaram o tempo deles juntos.
Ushiromiya Battler,"""Volta aqui, Maria! Não vai se safar dessa vez!! Wahahaha!"""
Ushiromiya Maria,"""Kyahahahahahaha!! Não, não, não, não, kyahahahaha!"""
Ushiromiya George,"""Vão se machucar se caírem. Tomem cuidado, vocês dois."""
Ushiromiya Jessica,"""Parece que o vento está ficando mais forte. Talvez seja melhor voltarmos logo."""
Ushiromiya George,"""Tem razão. Acho que o céu está ficando nublado. .........Battler‐kun, Maria‐chan! Vamos encerrar por hoje e voltarmos à casa de hóspedes agora?"""
Ushiromiya Maria,"""Uu? Sem chance! Quero brincar mais!!"""
Ushiromiya Battler,"""Ei, não ignore seu primo. Certo, chega por hoje. Aqui, pode ficar com as minhas gemas de vidro."""
Ushiromiya Maria,"""Uu!! Mesmo?! Obrigada, Battler!! Agora a Maria tem mais, por isso venci! Uu‐uu‐uu!!"""
Ushiromiya Jessica,"""Tudo bem, Ange?"""
Ushiromiya Ange,"""............Sim."""
Ushiromiya Battler,"""Qual o problema, Ange? Parece meio pra baixo."""
Ushiromiya George,"""Ela só está cansada. Anda, vamos voltar juntos."""
,"A expressão de Ange realmente parecia de cansaço.{n}Contudo, Battler cogitou que pudesse ser algo mais."
Ushiromiya Battler,"""Aconteceu alguma coisa? Pode me dizer?"""
Ushiromiya Ange,"""............Não é nada."""
,"Ela disse isso, mas algo em sua expressão demonstrava que ela não estava satisfeita com algo."
,"Contudo, como Ange não dizia o que era, Battler não conseguiu pensar em nada; esse era o limite do que ele conseguia adivinhar."
,"Por isso, ele apertou sua mãozinha, silenciosamente deixando que ela soubesse que poderia contar a ele quando estivesse pronta..."
,"Até pouco tempo atrás, estava um brilhante dia de sol..."
,"Entretanto, o céu começou a ficar cinza e o vento deixou de ser agradável e se tornou um incômodo."
,"Se demorassem muito, eles teriam que lidar com algumas gotas de chuva também."
Ushiromiya Jessica,"""Acho que vai ficar chovendo o tempo todo agora. Que saco."""
Ushiromiya George,"""Apesar disso, embora não tenha durado muito, foi divertido voltar a ser criança por um momento."""
Ushiromiya Maria,"""Mal posso esperar para mostrar esta gema à mamãe! Vou contar que a Maria venceu!"""
Ushiromiya Battler,"""Ihihi. Mesmo que só tenha vencido porque eu te dei as minhas."""
Ushiromiya Maria,"""Uu! Se a Maria ganhou, então é da Maria! Por isso, a Maria venceu! Uu‐uu‐uu!!"""
,"Ange caminhou distraída, puxada pelo seu irmão."
,"George e os demais deviam ter acordado muito cedo hoje e já estavam cansados, por isso não tentaram falar muito com ela."
,"Quando chegaram ao fim da trilha pela mata, o jardim de rosas se estendeu diante deles. Eles podiam ver os fortes ventos fazendo os arbustos de rosas se agitarem."
Ushiromiya Maria,"""Mamãe!! Olha!! A Maria venceu!!"""
,"Acenando e gritando, Maria saiu correndo.{n}Rosa estava acenando para ela em frente à casa de hóspedes."
Ushiromiya Jessica,"""Vou dar uma passada no meu quarto rapidinho. Encontro com vocês no quarto dos primos depois."""
Ushiromiya George,"""Certo, tudo bem. Até depois."""
,Jessica saiu correndo na direção da mansão.
,"George se virou, como se estivesse sugerindo para eles irem também."
,"Entretanto, ao ver que Ange estava com uma cara entristecida, ele percebeu que alguma coisa poderia ter deixado ela mal‐humorada."
Ushiromiya George,"""......Está tudo bem?"""
Ushiromiya Battler,"""S‐Sim, ela está bem. Foi mal, mas se importaria de ir na frente?"""
Ushiromiya George,"""Claro, tudo bem. Te vejo depois."""
,George seguiu para a casa de hóspedes.
,"Os únicos que restaram no jardim de rosas foram Battler, que estava acenando para George, ......e Ange, que continuava a encarar o chão enquanto segurava na mão de Battler."
,"Por alguns minutos, ele perguntou várias vezes o que estava incomodando Ange."
,Ele percebeu que não era nada como uma dor estomacal ou algo muito óbvio que teria deixado ela emburrada.
,"Porém, garotinhas tendem a ficar irritadas por motivos que apenas elas são capazes de entender."
,"Battler sabia disso, por isso não a apressou em nada, e continuou a olhar para o belo jardim de rosas, segurando a mão dela."
Ushiromiya Ange,"""............Onii‐chan."""
Ushiromiya Battler,"""......O que foi?"""
Ushiromiya Ange,"""Onde............fica este lugar?"""
,Ela perguntou...como se estivesse falando sobre algo do outro lado da tela de projeção.
,"Embora Battler tenha entendido o significado da pergunta, ele se fez de bobo."
Ushiromiya Battler,"""O que quer dizer com isso? Esta é Rokkenjima."""
Ushiromiya Ange,"""Não, não é."""
Ushiromiya Battler,"""Sim, é sim."""
Ushiromiya Ange,"""Onde que isso é Rokkenjima?"""
Ushiromiya Battler,"""Esta é a Rokkenjima de 4 de outubro de 1986. ......A Rokkenjima que você queria tanto ver."""
Ushiromiya Ange,"""É mentira."""
Ushiromiya Battler,"""Por que acha isso?"""
Ushiromiya Ange,"""Isso é tudo.........uma mentira descarada."""
,Ange torceu sua mão do aperto da mão de seu irmão.{n}Essa mão acertou uma rosa e fez suas pétalas voarem.
Ushiromiya Battler,"""Eu não minto."""
Ushiromiya Ange,"""Como que isso pode ser verdade?!"""
,"Ange colocou essas palavras para fora. Entretanto, a expressão de Battler permaneceu calma e tranquila."
Ushiromiya Battler,"""......O que não gostou?"""
Ushiromiya Ange,"""Por exemplo, Ushiromiya Kinzo! Ele não é assim, é?!"""
Ushiromiya Battler,"""Ele acabou de ver seus netos de novo depois de tanto tempo. .........Acredito que qualquer avô sorriria em uma situação assim."""
Ushiromiya Ange,"""Aquele não é Ushiromiya Kinzo, ele não é assim!! Ushiromiya Kinzo é......"""
Ushiromiya Battler,"""Rígido, descontente, mal‐humorado e pavio curto?"""
Ushiromiya Ange,"""Viu, você sabe!! O que foi tudo aquilo?! Como aquele pode ser Ushiromiya Kinzo?! Halloween? Trocar presentes?! Que merda foi aquilo?! Não combina com Ushiromiya Kinzo... Não combina com Rokkenjima...!!"""
Ushiromiya Battler,""".........Você não lembra, Ange?"""
Ushiromiya Ange,"""Lembrar do quê...?!"""
Ushiromiya Battler,"""Nós fazíamos isso todos os anos, lembra?"""
Ushiromiya Ange,"""Todo ano...? Aquilo?!"""
Ushiromiya Battler,"""Bem, não é nenhuma surpresa. Você nem tinha seis anos quando participou da última conferência familiar. ......Então é normal que não se lembre."""
Ushiromiya Ange,"""É...normal que..............."""
,"Ange entendeu o que seu irmão estava tentando dizer. ......Contudo, ela não aceitou."
Ushiromiya Battler,"""É verdade que Ushiromiya Kinzo é um homem muito rigoroso. Quando era mais novo, ele aparentemente era bem duro com os filhos. ......Foi bem traumático para o nosso velho desgraçado e seus irmãos... Podemos dizer que eles ainda têm um pouco de medo dele, ......e, bem, você não estaria errada em dizer isso."""
,A grande história sobre como Kinzo restaurou a família Ushiromiya era mais do que suficiente para retratá‐lo como um homem duro e assustador.
,"Além do mais, Kinzo era um investidor. Todas as lendas e histórias que fazem ele parecer mais misterioso provavelmente o ajudaram nos negócios."
,"......De tempos em tempos, Kinzo podia até agir da forma que as pessoas o imaginavam, esforçando‐se para fazer sua presença ainda mais avassaladora."
,"Por isso a grande maioria falava sobre como Kinzo era durão e tinha um temperamento curto. Pensavam ainda que ele era inconstante, ousado e excentricamente incompreensível..."
Ushiromiya Battler,"""Mas essa era apenas......a face que o vovô mostrava ao mundo. Não era assim que ele agia quando estava a sós com a sua família."""
Ushiromiya Ange,"""......Está dizendo que aquele homem chorão que ama cegamente seus netos......é o verdadeiro Ushiromiya Kinzo?"""
Ushiromiya Battler,"""Ele deve ter brincado com você e feito carinho na sua cabeça várias vezes. Você realmente não lembra......?"""
Ushiromiya Ange,""".............................."""
,Coisas assim......devem ter acontecido uma ou duas vezes. Mas isso poderia ter sido apenas um capricho de Kinzo......
,Meus pais diziam o tempo todo.
,......Falavam que o vovô era uma pessoa horrível e eu não podia errar nada diante dele.
,"......Eles sempre, sempre diziam......que ele era muito assustador e eu deveria me cuidar......"
Ushiromiya Ange,""".........E isso significa.........que ele era assustador...?"""
Ushiromiya Battler,"""Quando você era menor, você nunca questionou o motivo pelo qual seus familiares diziam isso ou o que eles diziam...? Acho que só posso dizer que você era uma criança obediente, ......mas também posso dizer que tinha uma imaginação muito hiperativa. ......O nosso pai e os demais sempre estavam tentando fazer você perceber o quão importante era ser educada."""
Ushiromiya Ange,"""......Mas, ......mas eu vi! Eu sei disso! Eu sei que Ushiromiya Kinzo era um homem assustador! Eu o vi gritando, furioso!! Eu lembro disso, eu nunca esqueceria!!"""
Ushiromiya Battler,"""Bem, como viu agora há pouco, o vovô pode ser meio abrupto às vezes. ......Pode ser que ele só estivesse querendo surpreender você. Ou talvez possa ter escorregado quando ele estava tendo uma séria discussão com os seus filhos."""
Ushiromiya Ange,"""Acha que eu fiquei assustada sem motivo......e entendi tudo errado?"""
Ushiromiya Battler,"""..........................."""
Ushiromiya Ange,"""Não pode ser! Isso não pode ser verdade!! Quero dizer, eu ainda lembro! Eu sei que eu vi Ushiromiya Kinzo gritando e sendo assustador! A mamãe e o papai também ficaram com medo, por isso eu sei!!"""
Ushiromiya Battler,""".........A impressão que você teve do vovô quando era pequena ainda permaneceu dentro de você; essa impressão foi crescendo conforme você crescia."""
,Quantas vezes Ange viu Kinzo durante sua vida?{n}Quantos anos ela tinha quando o viu pela última vez?
,"Ange, que ficava doente facilmente quando estava sob pressão, não podia ir a Rokkenjima com frequência."
,"E, como ela não participou da conferência familiar quando tinha seis anos, suas últimas memórias devem ser de quando ela tinha apenas cinco anos."
Ushiromiya Ange,"""M‐......Mas nem você...viu Ushiromiya Kinzo nos últimos seis anos."""
Ushiromiya Battler,"""Isso mesmo. Mas, quando eu finalmente voltei depois de seis anos, ......eu vi que o vovô não tinha mudado absolutamente nada."""
Ushiromiya Ange,"""Kinzo era......inconstante, por isso você nunca conseguia adivinhar o que ele estava pensando, ......ele era excêntrico com todo seu amor pelo ocultismo e......"""
Ushiromiya Battler,"""É verdade que ele amava o ocultismo. Sim, era um hobby meio estranho para se dedicar em seus últimos anos de vida. ......Eu admito que seu hobby de colecionar objetos estranhos para assustar seus netos não era algo muito louvável."""
,Até Battler já havia sido pego pelas pegadinhas de Kinzo no passado.
,Ele me mostrou uma maleta com sete estacas estranhas dentro......e disse algo sobre como bruxas da Idade Média as usavam em rituais de sacrifício para goivar corações.
,"Quando ele me mostrou aquilo, eu fiquei muito assustado, mas pensando nisso agora, era mesmo uma brincadeira que só serviria para enganar crianças bobas."
,O vovô só assustava seus netos......porque ele queria estar sempre brincando com eles.
Ushiromiya Battler,"""Eu aposto até......que ele fez uma brincadeira dessas com você também. Não é surpresa que, jovem como era, você acabou ficando com medo e se convenceu que o vovô era uma pessoa estranha e assustadora."""
Ushiromiya Ange,""".........Eu, ......eu não sei do que está falando, ......onii‐chan......"""
,Ange mordeu seu lábio inferior e olhou para o chão.
,"Ela disse que não entendia, ......mas, na realidade, ela entendia perfeitamente, só que se recusava a aceitar."
Ushiromiya Battler,"""Lembra como trocamos os presentes de Halloween na sala de visitas agora pouco?"""
Ushiromiya Ange,"""......O que foi tudo aquilo? A família Ushiromiya nunca foi nada sentimental...!"""
Ushiromiya Battler,"""Você......não lembra mesmo de nada, né...?"""
Ushiromiya Ange,"""Está dizendo que eu também ganhei presentes?! Eu não lembro de nada disso!! Isso nunca aconteceu!"""
Ushiromiya Battler,"""......Você acha mesmo que o vovô, um homem que ama o ocultismo e as tradições ocidentais, não iria comemorar o Halloween? ......O ""Happy Halloween"" dele é um cumprimento bem básico nas nossas conferências familiares. ......Deve ter ouvido ao menos uma vez."""
Ushiromiya Battler,""".........A juventude pode ser cruel. O vovô escolheu, com todo coração, um presente para você, ......mas parece que o seu coração não se lembra."""
