Speaker,Brazilian Portuguese (PT)
,"Com a morte da Jessica, era certo de que o culpado estava escondido em algum lugar próximo, e ele iria vir atrás de nossas vidas assim que tivesse uma chance."
,"De acordo com o Genji‐san, quando o amanhã chegar, o barco deve vir."
,O barco também tem um rádio.{n}Nós provavelmente seremos capazes de entrar em contato com a polícia imediatamente.
,"Nós nos reunimos na sala de visitas, e então decidimos esperar silenciosamente até amanhã."
,"Eu propus que nós deveríamos procurar pistas sobre o culpado pela mansão, mas a tia Rosa rejeitou a ideia, dizendo que se formos atrás do culpado, ou provocarmos ele, isso poderia levar a um terceiro assassinato."
,"...Aquela provavelmente era a coisa certa a se fazer.{n}Mesmo se um bando de amadores como nós investigarmos, não tem como acharmos nada."
,"Seria mais sábio focar em nos protegermos do que fazer qualquer coisa desnecessária, e deixar isso com a polícia depois de amanhã."
,"Nós estamos nessa tensão desde o começo. Mas, à exceção da tia Rosa, a maioria de nós passou o dia assistindo TV e ficando entediado, então nosso senso de perigo não se desenvolveu tanto."
,"Quando pensamos sobre isso, mesmo sendo certo que seis adultos haviam sido mortos no primeiro assassinato, aquilo nos fez imaginar que algum método como veneno tinha sido utilizado."
,"E no segundo assassinato, foi pensado que eles se tornaram sacrifícios porque, infelizmente, estavam isolados do resto de nós."
,"A partir disso, nós imaginamos que não há um grande número de culpados, e que eles não teriam a habilidade de matar um grande grupo reunido na sala de visitas de uma única vez."
,"Agora mesmo, nesta sala, tem eu e o George‐aniki, a Maria, a tia Rosa, o Genji‐san, o Gohda‐san, a Shannon‐chan, a Kumasawa‐san e, ......finalmente, o doutor Nanjo. Um total de nove pessoas aqui."
,"Além disso, a tia Rosa está com uma arma."
,"Certamente, com todas essas pessoas aqui, o culpado não vai ser capaz de nos atacar facilmente."
,"O sentimento de segurança, junto com o passar do tempo, permitiu que nos recuperássemos, pouco a pouco, do choque de hoje de manhã..."
,"Incidentalmente, a hora do almoço acabou para nós.{n}No entanto, ainda tem comida enlatada e sobras do jantar que o Gohda‐san fez para nós, com todas as suas habilidades."
,...A tia Rosa suspeita que foi usado veneno no assassinato dos seis.
,"...Por isso, nós não podemos negar a possibilidade do culpado ter entrado na cozinha durante toda a confusão da manhã, e misturando veneno aos ingredientes."
,"......Ela ordenou que nenhum de nós colocasse nada em nossas bocas além de comidas seguras, como enlatados, até a polícia chegar."
,"Como cozinheiro, o Gohda‐san deve ter ficado bastante decepcionado."
,"Para mostrar suas habilidades de confecção, ele disse que queria ao menos trazer as latas empilhadas nos pratos."
,"A princípio, a tia Rosa ficou relutante, examinando cada prato que era trazido, mas não encontrou nada do qual pudesse reclamar, e assim o ""Combo‐Almoço de Enlatados Selecionados pelo Chef"", do Gohda‐san, se transformou em realidade."
,"O Gohda‐san havia dito algo antes sobre como não se saboreia apenas com a língua, mas também com os olhos."
,"...Eu tive que concordar. Era a mesma comida enlatada que comemos no café, mas havia algo nela que a deixava completamente diferente..."
Ushiromiya Maria,"""Uu, Battler. Olha, olha. Aqui, ""Os Lobos e o Enigma do Carneiro"". Uu."""
,"Enquanto eu sentava no sofá, sem desejo nenhum de ver TV, a Maria veio até mim, tirando um livro ilustrado de dentro da bolsa, e o entregou para mim enquanto falava."
Ushiromiya Battler,"""......O que é esse livro? ""Os Lobos e o Enigma do Carneiro""? ..................Vamos dar uma olhada."""
,"""Os Lobos e o Enigma do Carneiro"".{n}Era uma frase que a tia Rosa havia dito essa manhã quando fomos chamar a Jessica."
,"...Naquele momento, eu não sabia o que significava, e então, depois disso, houve o tumulto quando o corpo da Jessica foi encontrado, por isso eu esqueci completamente."
,O livro que a Maria me deu parecia com um livro ilustrado estrangeiro ou algo que não havia sido traduzido.
,"Abrindo ele, eu podia dizer que o livro continha uma variedade de enigmas."
Ushiromiya Maria,"""Uu. Então tem um monte de lobos e um carneiro, certo? E o enigma é de levar eles para o outro lado usando um bote."""
Ushiromiya Battler,"""......Hmmmm? Eu já ouvi sobre um jogo assim com regras como essa. Então é isso, mas com lobos e um carneiro?"""
,"É um enigma bem simples, passado adiante desde muito tempo atrás.{n}Vamos tentar resolver um dos problemas."
,"Na margem direita, tem dois lobos e dois carneiros.{n}Há um bote no qual cabe apenas dois animais, e através dele você move todos os quatro animais para o lado oposto da margem."
,Há duas regras.
,"A primeira é a respeito do bote.{n}Ele pode ser remado por um lobo ou um carneiro, e apenas um animal pode fazê‐lo. Mas ele só pode transportar dois animais."
,"A segunda é a respeito dos lobos.{n}Quando eles estão em maior número que os carneiros naquele local, eles atacam o carneiro e é fim de jogo."
