Speaker,Brazilian Portuguese (PT)
,"Quando seu castelo é atacado, o verdadeiro inimigo não é o medo invisível.{n}Mas se manter nessa situação eternamente."
,"Maria tinha ficado entediada e começou a fazer um alvoroço porque queria assistir televisão. Como não havia televisão no lobby, ela decidiu retornar ao quarto dos primos no andar de cima."
,"Os adultos provavelmente não queriam deixar Maria por conta própria, entre outras razões. Eles disseram para todas as crianças irem ao quarto dos primos no andar de cima."
,"George, com o coração ferido pela perda de sua noiva, não tinha força de vontade para resistir àquilo, e guiou os primos para cima."
,"De início, Nanjo estava lendo um livro no lobby, mas quando ele percebeu que os parentes pareciam querer falar sobre algo sombrio, ele disse ""Parece que estou atrapalhando..."" e voltou para seu quarto no andar de cima."
Ushiromiya Rudolf,""".........Estou faminto. E se eu continuar apenas sentado por aí, meu sono ficará ainda pior."""
Ushiromiya Rosa,"""É algo natural. Pois não dormimos na noite passada."""
Ushiromiya Krauss,"""...Provavelmente vamos acabar entrincheirados aqui por 24 horas inteiras.{n}Pode ser mais sábio tirar cochilos em turnos, em vez de nos estressarmos em demasia."""
Ushiromiya Natsuhi,"""Concordo. Meu marido e eu vamos ficar aqui, então qualquer um que ache isto difícil deve descansar sem abusar."""
Ushiromiya Eva,"""O culpado pode estar esperando por isso, sabiam? Talvez ele não seja capaz de derrotar esse tanto de pessoas, mas se o número for reduzido até uma certa quantidade, ele pode usar isso a seu favor."""
Ushiromiya Kyrie,"""Há sete de nós aqui. Dois de nós poderiam descansar por três horas de cada vez. ......É um longo tempo até amanhã de manhã. Ainda temos alguma energia agora, mas esta noite vai ser difícil."""
Ushiromiya Hideyoshi,"""Com certeza. Alguém está com sono? Não se forcem, descansem."""
,"Hideyoshi olhou ao redor em direção a todos para ver quem queria dormir primeiro, mas ninguém se voluntariou."
,"...Todos estavam muito cansados, mas ninguém era corajoso o suficiente para ser capaz de dormir agora. ......O medo que todos tinham do culpado desconhecido era tão forte quanto o sono deles."
Ushiromiya Hideyoshi,"""......Ninguém? Bem, não se forcem, pessoal."""
Ushiromiya Eva,"""Se ficarmos com sono, podemos pensar sobre isso então. ......Certamente estou cansada, mas não estou no clima para dormir agora."""
,"Eva falou de forma afiada, e então leu mais uma vez a segunda carta de {f:5:Beatrice}, que tinha sido encontrada na sala da caldeira."
,{f:5:Beatrice} havia enviado duas cartas a eles e dito repetidas vezes para resolverem o enigma do epitáfio.
,"E até mesmo os provocou dizendo que desistiria da herança, tantos dos bens como a liderança da família, se o enigma pudesse ser resolvido..."
,Eva puxou um caderno e abriu na página onde o epitáfio tinha sido copiado.
Ushiromiya Kyrie,"""............Esse é o epitáfio?"""
Ushiromiya Eva,"""Sim. ......Apesar de ser perturbador fazer o que o culpado quer, temos tempo para desperdiçar. Acho que é a forma perfeita de protelar o tédio."""
Ushiromiya Krauss,"""...Não é um jeito ruim de matar o tempo. Por que não desafiamos o enigma juntos, como irmãos?"""
Ushiromiya Kyrie,"""......Eu posso pegar isso emprestado? Vou reescrevê‐lo só um pouco maior. Natsuhi‐san, você tem um pedaço de papel um pouco maior?"""
Ushiromiya Natsuhi,"""Deve ter papel na sala dos serviçais. Vou buscar algumas folhas."""
,Natsuhi imediatamente trouxe uma folha de papel B4 em branco da sala dos serviçais.
,"Kyrie pegou emprestado o caderno diário de Eva, escreveu o epitáfio no papel, e o estendeu na mesa."
,Todos imediatamente olharam para ele.{n}...Todos começaram a se amontoar naturalmente.
Ushiromiya Hideyoshi,"""Eu ouvi sobre isso, mas......realmente, este é um enigma difícil. Não faço ideia do que isso quer dizer."""
