Speaker,Brazilian Portuguese (PT)
Clair,"""............E assim......o meu conto chega ao fim."""
{f:5:Bernkastel},"""Ora, ......vai acabar nessa parte? Mas a parte divertida não são os dois anos que vem depois...?"""
Willard H. Wright,"""Não precisamos deles. ......No fim, todos nós já ouvimos, durante os jogos anteriores, sobre seus conflitos internos e como sofreu, você não precisa dizer mais nada."""
Ushiromiya Lion,"""............Você se refere......ao conflito das mobílias com almas incompletas?"""
Clair,"""Teve um duelo. O resultado já foi praticamente decidido. .........Porém, o ano de 1986......foi incrivelmente impiedoso."""
Willard H. Wright,"""......Apostarei que você amaldiçoou seu destino."""
Clair,"""Sim. .........Se tivesse sido um ano antes. ......Ou talvez um ano depois."""
Willard H. Wright,"""O duelo teria sido decidido... Embora de forma diferente."""
,"Silenciosamente, Clair baixou a cabeça."
,......Se ao menos eu tivesse tido tempo... Ou se eu não tivesse tido tempo para pensar e agonizar.
,Eu amaldiçoei...tudo. Por que......tinha que ser 1986?
Clair,"""Eu decidi......delegar ao meu destino."""
Ushiromiya Lion,""".........Delegá‐lo......"""
Clair,"""Assim como o ritual no qual eu herdei tudo do último chefe, ......eu decidi deixar tudo nas mãos do destino chamado milagre."""
,Talvez seja mais correto dizer que eu confiei meu destino ao girar da roleta.
,"Eu — nós — sequer podíamos decidir o nosso próprio destino, por isso o deixamos decidir tudo por nós."
,"Talvez os esforços de um pudessem ser recompensado.{n}Ou, quem sabe, todos se juntariam e seriam libertados.{n}Ou, quem sabe, alguém seria gentil o bastante para colocar um ponto final nesta loucura."
Clair,"""......Não importava qual destino fosse escolhido pela roleta, eu decidi que obedeceria essa regra. Eu não iria me opor ao destino. ......Afinal, ......sempre que tentei no passado, o destino sempre foi impiedoso comigo........."""
,Clair baixou a cabeça e deixou uma única lágrima escorrer...
,"Os {y:0:Humanos}{n:0:humanos} são sempre descuidados ao dizer que as pessoas possuem infinitas possibilidades.{n}Entretanto, à Bruxa do Infinito......o quão limitadas são essas possibilidades."
,"Por isso, dentro dos limites de seu destino, ela tentou encontrar o infinito."
,"Ao confiar seu destino a Deus, ela tentou encontrar o infinito."
,"Mas isso não significa que ela abandonou seu destino.{n}Porque ela o girava em uma roleta, com a certeza de uma força de vontade inabalável."
,A certeza de um destino no qual ninguém poderia escapar caso o epitáfio não fosse resolvido.
,"Assim, ela selou a ilha, incluindo‐a."
