Speaker,Brazilian Portuguese (PT)
,"Do lado de fora, a chuva começou a cair com força."
,"Porém, dentro do quarto dos primos, estava barulhento e animado."
,Poderia estar chovendo lanças que ninguém iria perceber.
Ushiromiya Battler,"""Ihihiii!! Fiz um {i:full hou~se}!! Toma essa!"""
Ushiromiya George,"""Uwaa. Não estava blefando mesmo...!"""
,"Os primos estavam repletos de energia, sentados em círculo sobre a cama."
Ushiromiya Jessica,"""E eu pensando que o Battler sempre estava com mãos horríveis quando começava a se achar...!"""
Ushiromiya Battler,"""É óbvio que eu perdi até agora só para fazer você pensar assim! Ushiromiya Battler, o homem que perde estrategicamente para vencer no final! Ihihi!"""
Ushiromiya Maria,"""Uu, o Battler é incrível...! A Maria ficou sem moedas."""
Ushiromiya Jessica,"""Pode ficar com parte das minhas. Vamos esmagar o Battler juntas, tá?!"""
,"Com apenas um baralho, os primos se divertiram por diversas horas."
,Eles estavam tão distraídos que sequer percebiam os eventuais raios que caiam do lado de fora.
Ushiromiya George,"""Estou ficando com fome. Será que o jantar vai demorar."""
Ushiromiya Jessica,"""Sei lá. Deve ficar pronto logo. O Gohda‐san e os serviçais deram muito duro para o jantar desta noite."""
Ushiromiya Battler,"""Heheh, o que significa que temos que manter as expectativas lá em cima. É para celebrar o meu retorno tão aguardado?"""
Ushiromiya George,"""Eu ouvi agora pouco da Shannon que será uma festa de Halloween. Vai ter um bufê no hall. Incrível, né?"""
Ushiromiya Maria,"""Festa de Halloween?! Incrível, incrível, uu‐uu‐uu!!"""
Ushiromiya Jessica,"""Hmm? Oi? Quem é?"""
,"Ouviu‐se uma batida e logo a porta se abriu, e lá estava Ange."
,Ange estava dormindo no quarto dos seus pais.
Ushiromiya Battler,"""Ei, Ange! Acordou?"""
Ushiromiya Ange,"""Escuta, disseram que está na hora do jantar e é para ir até a mansão. Falaram para se aprontarem."""
Ushiromiya Maria,"""Uu‐uu‐uu!! Comida, comi~da!! Tô faminta~~!!"""
,"Talvez fosse estar com mais fome que os demais, mas Maria celebrou com mais animação que todos juntos."
,Ela pulou rapidamente e desceu da cama.
,"Enquanto os outros desciam lentamente da cama e colocavam seus sapatos, Kyrie e Rudolf apareceram."
Ushiromiya Rudolf,"""Ei, pirralhos. Tá na hora do rango, então se arrumem."""
Ushiromiya Kyrie,"""Parece que hoje será especialmente especial. Mal posso esperar."""
Ushiromiya Maria,"""Uu!! A Maria sabe! É uma festa de Hallowen!"""
Ushiromiya Ange,"""......Festa de Halloween?"""
Ushiromiya Maria,"""Kihhihihihihi! A Maria sabe e a Ange não. Kihhihihihi."""
Ushiromiya Ange,"""Mamãe, o que é uma festa de Halloween?"""
Ushiromiya Kyrie,"""Bem, o que será? Teremos que ir lá para descobrir."""
Ushiromiya Hideyoshi,"""Todos prontos? Já está na hora."""
Kanon,"""Todos estão aqui? Por favor, sigam‐me."""
Ushiromiya Rosa,"""Maria, venha aqui. Sua gola está amassada."""
Ushiromiya Eva,"""Ah, que fome. A comida é a melhor parte das conferências da família. Também está com fome, Ange‐chan?"""
,Eva sorriu para Ange.
Ushiromiya Ange,""".........Sim. Morrendo."""
Ushiromiya Kyrie,"""Ange. ""Sim, estou"", lembra?"""
Ushiromiya Eva,"""*risos*. Não se preocupe com isso. Sim, aposto que está morrendo de fome. Minha barriga também tá roncando."""
Ushiromiya Rudolf,"""Certo, vamos partir logo. Parece que o vento está bem forte lá fora. Não percam seus guarda‐chuvas."""
Kanon,"""Pessoal, peguem seus guarda‐chuvas."""
Ushiromiya Eva,"""Aqui está o seu, Ange‐chan."""
Ushiromiya Ange,"""Obrigada, tia Eva."""
Ushiromiya Eva,"""*risos*. ......Ah, garotas são mesmo fofas. Venha brincar de casinha com a sua tia qualquer dia desses. É uma promessa, tá?"""
Ushiromiya Battler,"""......Parece que a tia Eva está se apaixonando pela Ange."""
Ushiromiya George,"""Sim. Pelo que parece, a mãe gostaria de ter tido uma filha."""
Ushiromiya Jessica,"""Ah, eu já ouvi sobre isso. Parece que ela também me adorava quando eu era menor."""
Ushiromiya Maria,"""A minha mamãe diz que queria um menino, uu!"""
Ushiromiya Rosa,"""Desde que suas crianças cresçam felizes, não importa se é um garoto ou uma garota. A Maria é o meu precioso presente de Deus."""
,"Quando eles foram para fora, o vento estava bem forte."
,"Eva, quem agora não desgrudava de Ange, ofereceu a ela que compartilhassem o mesmo guarda‐chuva."
,"Era difícil entender o que elas estavam conversando com tanta animação, mas pareceu que as duas já estavam se dando muito bem."
,Battler abriu seu guarda‐chuva enquanto as observava.
,"Sua irmãzinha era adorável quando estava grudada nele, mas também era tão fofa quando estava olhando para outra pessoa com um grande sorriso no rosto."
,"O vento e a chuva eram fortes, mas mesmo isso funcionou como um tempero perfeito para elevar as expectativas pela refeição que estava por vir......"
,"Com a ajuda de algumas decorações festivas, o hall foi redecorado no clima de uma festa de Halloween."
,A família Ushiromiya sempre fazia suas refeições na sala de jantar.
,Essa foi a primeira vez que eu vi uma festa com bufê no hall.
{f:5:Beatrice},"""Yo, Battleeer! Ei, Maria! Há quanto tempo...!"""
Ushiromiya Maria,"""Beato!! Happy Halloween! Trick or treat...!!"""
{f:5:Beatrice},"""*gargalhada*gargalhada*. Eu tenho um doce para você, mas não é para agora.{n}Só depois da janta."""
Ushiromiya Rosa,"""*risos*. Obrigada, {f:5:Beatrice}‐san. Vejo que está mais linda do que nunca."""
{f:5:Beatrice},"""Você também, Rosa! Ninguém nunca diria que já é mãe. Wahaha!"""
Ushiromiya Battler,"""Esteve bebendo? Suas orelhas estão bem vermelhas."""
{f:5:Beatrice},"""Hmm? Bem, depois que você vazou, uhihiii! O Kinzo me disse que estava de posse de uma bebida bem incomum e, bem... um pouco de álcool não faz mal a ninguém...! Waha{0}ha{0}ha{0}haha!"""
Ushiromiya Battler,"""Vindo logo da pessoa que diz às crianças para não comerem doces antes das refeições..."""
Shannon,"""Desculpa. {f:5:Beatrice}‐sama, o Mestre está chamando por você."""
,Eu vi o Kinzo acenando além do retrato.
{f:5:Beatrice},"""Francamente. Quando se trata de cerimônias, esse cara é sempre obcecado."""
Ushiromiya Battler,"""Provavelmente é sobre a cerimônia para a devolução do ouro. Esse é um grande ponto de virada para a família Ushiromiya. É bom que participe direito."""
{f:5:Beatrice},"""Isso faz eu me sentir um pouco solitária."""
Ushiromiya Battler,"""Mas não muda o fato de que você é a alquimista da família Ushiromiya."""
{f:5:Beatrice},"""Talvez. Bem, eu já volto. Até depois, ouviu? De acordo com o Genji, vai ter uma espécie de reviravolta na festa de hoje. É bom esperar ansiosamente...!"""
Ushiromiya Battler,"""Assim parece até que você ajudou em algo."""
{f:5:Beatrice},"""Wahhahahaha, você é outro que se apega demais aos detalhes...! Até mais!"""
Ushiromiya Ange,"""......Onii‐chan, vai acontecer alguma coisa hoje? É um dia especial......?"""
,Pareceu que até Ange havia ficado interessada nisso.{n}Ela parece estar ficando tensa por algum motivo.
Ushiromiya Battler,"""Hoje é um dia especial para a família Ushiromiya. Mas isso não tem nada especificamente relacionado a você, então não precisa se preocupar."""
Ushiromiya Ange,"""Tá. ......Ah, isso mesmo. Ei, ei, você sabia? A tia Eva me contou um grande segredo...! Nem a Maria onee‐chan sabe, mas vou contar!"""
Ushiromiya Battler,"""Oh? Então, que segredo é esse?"""
Ushiromiya Ange,"""Sim, então! Se tiver uma amêndoa dentro, você vence...!"""
Ushiromiya Battler,"""Vence? É tipo uma loteria, é?"""
Ushiromiya Ange,"""Hmmmmmmmmmm... Tanto faz, se achar, você vence!"""
,"Ange estufou suas bochechas. Pelo que parece, ela queria ser elogiada por compartilhar um segredo tão empolgante."
