Speaker,Brazilian Portuguese (PT)
,"...O clamor de Hideyoshi, de que a propaganda dobrava o sabor, aparentemente estava certo."
,"As crianças e Nanjo, que haviam sido mandados para a casa de hóspedes, tinham se juntado no quarto dos primos, e estavam comendo o bolo que Kumasawa havia levado de sobremesa para eles."
,"Era um bolo maravilhoso e de alta classe, com uma generosa quantidade de creme e decorado deliciosamente com frutas, mas, mesmo sendo delicioso, por alguma razão seu sabor não estava tão bom..."
Ushiromiya Jessica,"""Haha, sem a propaganda do Gohda‐san, não chega nem perto de ter um gosto tão bom."""
Ushiromiya Battler,"""E se pedirmos à Kumasawa baa‐chan para fazer propaganda, ela vai simplesmente dizer que ele é feito de cavalinha."""
Ushiromiya Maria,"""Uu?! É verdade?! Você pode fazer bolo de cavalinha?!"""
Kumasawa Chiyo,"""Hoh‐hoh‐hoh‐ho. Oh, sim, sim, e você pode ver neste próprio bolo, se você misturar o suco espremido de cavalinhas com farinha e ovos, e então assar, ele vai sair todo fofinho. Hoh‐hoh‐hoh‐ho."""
Ushiromiya George,"""Isso seria incrível se fosse verdade. Talvez bolo de cavalinha apareça no novo menu das lojas do pai."""
Ushiromiya Battler,"""Wahahaha! Afinal, a cavalinha é cheia de nutrientes e parece um alimento saudável. Isso poderia ser realmente popular com as mulheres e os idosos! Mas eu não chegaria nem perto!"""
Ushiromiya Jessica,"""Garotas não comeriam uma coisa tão estranha."""
Nanjo Terumasa,"""Até mesmo os idosos iriam rejeitar."""
Kumasawa Chiyo,"""Hoh‐hoh‐hoh‐ho! Mas é delicioso, sabiam?"""
,"Kumasawa estava realmente melhorando o humor com as piadas de cavalinha, que eram sua especialidade. ...Mas o som da chuva torrencial que caía invariavelmente focava a preocupação deles na hóspede misteriosa."
,"No fim, eles acabaram questionando Maria de novo, já que ela era a única pessoa entre eles a ter encontrado {f:5:Beatrice}."
Ushiromiya George,""".........Eu não consigo acreditar...que ela estava realmente dizendo a verdade."""
Ushiromiya Battler,"""Do jeito que você fala, esse negócio da ""Maria encontra uma bruxa"" não é novidade para você, por isso nunca acreditou nela."""
Ushiromiya Jessica,"""...Sim. Eu pensei que era um desses típicos contos de fadas que a gente espera ouvir de uma criança sonhadora."""
Ushiromiya Maria,"""Exiiiste!! A {f:5:Beatrice} ""exiiiste""! Todo ano, quando chegamos para a conferência familiar, a Maria encontra ela e brincamos juntas!"""
Kumasawa Chiyo,"""Isso mesmo. Apesar da {f:5:Beatrice}‐sama normalmente não se mostrar, eu ouvi dizer que às vezes ela aparece inesperadamente diante de pessoas honestas e com corações puros, para pregar peças. Hoh‐hoh‐ho."""
,{f:5:Beatrice} era um nome que se referia àquela personagem do conto de fadas a respeito da bruxa de Rokkenjima.
,"Para manterem Kinzo de bom humor, a família e os serviçais agiam como se acreditassem na bruxa e nas delusões dele. Foi assim que surgiu o conto de fadas de Rokkenjima, ou quem sabe sua história de fantasmas..."
