Speaker,Brazilian Portuguese (PT)
Ushiromiya Eva,"""Para quem devemos perguntar agora?"""
Ushiromiya Ange,"""Que tal aqueles dois?"""
Ushiromiya Eva,"""A Shannon‐chan e o Kanon‐kun? Claro, eles parecem ser bons adversários."""
Shannon,"""Precisam de alguma coisa, Eva‐sama, Ange‐sama?"""
Kanon,"""......Não seja burra, nee‐san. Elas querem as nossas perguntas."""
Shannon,"""Ah, e‐eu sinto muito."""
,Shannon estava mais distraída do que nunca.
,"Contudo, Kanon parecia estar excepcionalmente calado e, provavelmente, já estava com um quiz, extremamente bem elaborado, preparado."
Shannon,"""Bem, hmm..............."""
Kanon,"""......Haah. Certo, eu começo. Enquanto a nee‐san pensa na pergunta dela."""
Shannon,"""C‐Certo... me desculpa..."""
Kanon,"""Então, se vou ganhar tempo para ela pensar em uma pergunta, terei que fazer algo difícil o suficiente para mantê‐la ocupada por um tempo."""
Ushiromiya Eva,"""Eheheheheh, você tem coragem. Podemos começar? Mande a sua mais difícil!"""
Ushiromiya Ange,"""Não provoca ele! Quero uma fácil!"""
Kanon,"""Agora que tenho a permissão da Eva‐sama, permita‐me impôr uma questão extremante complicada."""
Ushiromiya Eva,"""Deixa comigo. Eu resolverei!"""
Ushiromiya Ange,"""O número das moedas é realmente diferente, e meio estranho."""
Ushiromiya Eva,"""Espera aí, Kanon‐kun! O que está pensando?! Não tem como ela saber isso, sabia?!"""
Kanon,"""Sinto muito, mas é para que a nee‐san ganhe algum tempo até pensar na sua pergunta."""
Shannon,"""O‐Obrigada...! Eu já bolei uma pergunta...!"""
Kanon,"""......Certo. Então, Eva‐sama, Ange‐sama. Eu darei uma dica. .........Cobre é 29, prata é 47 e ouro é 79. Essa é a dica."""
Ushiromiya Ange,"""É a mesma coisa que disse na pergunta...! Isso não é uma dica!"""
Ushiromiya Eva,""".........Cobre é 29? Prata é 47?? ...............Ah, é isso!"""
Ushiromiya Ange,"""Quê? Entendeu?! Eu também entendi! Plantina é melhor que ouro, então meu prêmio deve ser mais que 79 moedas de ouro!"""
Ushiromiya Eva,"""Errado. Com essas regras, o prêmio de platina provavelmente vale menos que o prêmio de ouro. Não é mesmo?"""
Kanon,"""......Bem como disse. Parece que já descobriu a resposta."""
Ushiromiya Eva,"""Esse enigma é impossível para a Ange‐chan. No mínimo, ela precisaria estar no ensino fundamental. Eu responderei! Está tudo bem assim, Ange‐chan?"""
Ushiromiya Ange,"""S‐Sim. Deixarei com você...!"""
Kanon,"""Errado."""
Ushiromiya Eva,"""Aaaaaaaahhh, desculpa, estraguei tudo!! Se eu tivesse levado as aulas de ciência mais a sério!"""
Ushiromiya Ange,"""O que quer dizer? Não entendi."""
Ushiromiya Eva,"""O número das moedas de ouro é o número atômico de cada elemento. Cobre é 29, prata é 47 e ouro é 79. Mas não consigo lembrar qual era o número da platina...!!"""
Ushiromiya Ange,"""A Ange tá perdidinha."""
Ushiromiya Eva,"""Seu! Que tipo de pergunta acha que está fazendo para a Ange‐chan?! Não poderia escolher suas perguntas com mais cuidado?!"""
Kanon,"""Você deu permissão para fazer a pergunta mais difícil que eu conseguisse pensar."""
Ushiromiya Ange,"""......Isso mesmo. Você mesma disse isso. Por isso que recebemos uma pergunta difícil demais para mim."""
Ushiromiya Eva,"""Nnggggggggggghhhh...!! D‐......Desculpa, Ange‐chan..."""
,A tia Eva juntou as mãos enquanto pedia desculpas.
,Foi muito difícil e eu não fazia ideia......
Kanon,""".........Correto."""
Ushiromiya Ange,"""Incrível, tia Eva! Como?! Por que são 78 moedas?! Se a platina é melhor que ouro, então por que o ouro ganha mais moedas?!"""
Ushiromiya Eva,"""O número de moedas que você obtém de prêmio é sempre equivalente ao seu número atômico. Cobre é 29, prata é 47 e ouro é 79. A propósito, platina é 78. Portanto, o prêmio de platina é 78 moedas de ouro."""
Ushiromiya Ange,"""T‐......Tia Eva, a senhora é incrível!!"""
,"Meu pai já tinha dito que a tia Eva era muito dedicada aos estudos e, realmente, muito esperta na sua época de escola."
,"Até o George onii‐chan, seu filho mais velho, é inteligente, então a tia Eva deve ser mesmo incrível."
Ushiromiya Eva,"""Ainda assim, foi uma pergunta bem cruel. Ao menos, deveria ter feito uma pergunta que a Ange‐chan pudesse entender."""
Kanon,"""Você deu permissão para fazer a pergunta mais difícil que eu conseguisse pensar."""
Ushiromiya Ange,"""......Isso mesmo. Você mesma disse isso. Por isso que recebemos uma pergunta difícil demais para mim."""
Ushiromiya Eva,"""Nnggggggggggghhhh...!! É‐É minha culpa? Desculpa, Ange‐chan... Mesmo assim, conseguimos a medalha, então perdoe sua tia."""
,Nós conseguimos outra medalha. Quantas já conseguimos até agora?{n}Mas ainda faltam muitas. Agora é a Shannon.
Shannon,"""A minha é simples, então não precisa se preocupar."""
Kanon,"""...Até porque vão ter que pensar no mesmo nível da nee‐san."""
Shannon,"""P‐Poxa! Está debochando de mim...?! Quero ver se vai conseguir resolver, Kanon‐kun."""
Kanon,"""Pode mandar."""
Ushiromiya Eva,"""Parece que você vai conseguir entender essa, Ange‐chan. A sua tia vai ajudar com dicas."""
Ushiromiya Ange,"""Sim, vou me esforçar. Vou resolver. Conseguirei outra medalha."""
Shannon,"""Pois bem, vamos começar. Ouça com atenção..."""
Ushiromiya Ange,"""Não entendi. Por que tem letras...?"""
Kanon,"""......Seria a primeira letra de cada palavra?"""
Ushiromiya Eva,"""Foi o que pensei no começo. Damasco é ""D"", sal é ""S"" e pimenta é ""P"". Essas são as primeiras letras de cada palavra. Mas então, como você explica café preto sendo ""A""?"""
Shannon,"""Heheheheheheheh. Entendeu?"""
Ushiromiya Ange,"""Não tem mais nenhuma dica?"""
Shannon,"""Tenho, sim. Vou ensiná‐la as letras de algumas outras comidas. Primeiro, doce de leite é ""D"". Salgado é ""S"". Para ""P"", que tal páprica? Cacau pode ser ""A"". Heheheheheheheh......"""
Ushiromiya Eva,"""Assim parece mesmo que a primeira letra seria a chave... Mas como explicar café preto sendo ""A""......?"""
Ushiromiya Ange,"""......Eu amo comidas ""D"". Profiteroles e bolos são ""D"", não são?"""
Shannon,"""Isso mesmo."""
Kanon,"""Nesse caso, não pode ser mesmo a primeira letra..."""
Ushiromiya Eva,"""O que isso significa? O que é esse grupo ""D""? Damasco e doce de leite, né? São sobremesas? Doces? ""S"" é sal e salgado? ""P"" é pimenta e páprica, já o ""A"" é café preto e cacau? O que são esses grupos??"""
Ushiromiya Ange,"""......Meio que entendi, mas não entendi. ......Tem algo errado nisso."""
Shannon,"""Última dica. Você já bebeu limonada?"""
Ushiromiya Ange,"""Já. Pensei que fosse ser doce, por isso me surpreendi bastante. Nunca mais vou beber."""
Ushiromiya Eva,"""............Ah, ......entendi! Ange‐chan, obrigada. Graças a sua ajuda, acho que descobri!"""
Shannon,"""Desiste? E você, Kanon‐kun?"""
Kanon,"""......Não entendi. ......Acho que quase peguei, mas..."""
Ushiromiya Ange,"""Sim. Eu sei o significado de quase todos os grupos, mas não consigo descobrir o último."""
Ushiromiya Eva,"""É......o sabor, não é?"""
Shannon,"""Sim, isso mesmo. Já descobriram, Ange‐sama, Kanon‐kun?"""
Ushiromiya Ange,"""Estou confusa. O que é, tia Eva? Me diz!"""
Ushiromiya Eva,"""Tudo no grupo ""D"" é doce, certo? Então, e quanto ao grupo ""S""? E o grupo ""P""?"""
Kanon,""".........Entendi, então era isso... Vindo de você, não foi nada mal, nee‐san..."""
Shannon,"""Por que não experimente dizer: ""me desculpe por debochar de você""? Se não disser, farei comer todos os ""S"" e ""P""."""
Ushiromiya Eva,"""‘S’ é uma coisa, mas comer ""P"" o tempo todo seria horrível."""
,"No fim, Kanon cansou e se rendeu a ameaça das comidas ""P"" e foi forçado a pedir desculpas à Shannon."
,Ange ainda estava confusa.
,Não faz mais sentido continuar falando sobre isso.
,Farei o meu melhor para me recompor e desafiar o próximo.
