Speaker,Brazilian Portuguese (PT)
,"Um informe noticiário apareceu na parte superior do programa de TV que estávamos assistindo.{n}A notícia era sobre como diversas partes do mundo estavam enviando avisos de chuvas, inundações e altas ondas."
,"É claro, os pingos de chuva que batiam com força na janela deixavam isso ainda mais convincente."
Ushiromiya Battler,"""......Essa chuva é mesmo incrível. Mesmo assim, quando chove forte dessa forma, passa a impressão de que vai parar logo."""
Ushiromiya Jessica,"""Passa mesmo! Eles disseram que o tufão está se movendo lentamente, então pode continuar assim amanhã o dia todo. E mesmo uma pequena chuva é o suficiente para parar os barcos."""
Ushiromiya George,"""Parece que nós não vamos poder ir embora no domingo. ...Estou feliz em ter sido cuidadoso e não ter marcado nenhum compromisso para amanhã."""
Ushiromiya Battler,"""Acho que isso quer dizer que...ihihi...parece que nós vamos poder matar aula na segunda~. Viver em uma ilha está começando a parecer algo muito bom!{n}......É mesmo, Jessica, você pega um barco para ir à escola todos os dias, certo?{n}O que você faz quando os barcos não podem sair? Você fica em casa quando está chovendo e chega atrasada quando está ventando muito forte, assim como o Rei Kamehameha I?"""
Ushiromiya Jessica,"""Se o barco não vem, eu fico em casa. Apesar de que não é tão bom quanto parece. Na maior parte do tempo, eu sou obrigada a ficar estudando sozinha, e eles são super‐rígidos quanto a isso, então não é como se eu pudesse descansar."""
Ushiromiya Battler,"""Durante a estação de chuvas, quando o tempo fica ruim por muitos dias, você é forçada a passar vários dias seguidos sem ir à aula?"""
Ushiromiya Jessica,"""Sim, isso acontece. Mas então, todos os dias, eu recebo uma ligação do meu professor e, de forma forçada, ele me instrui sobre o que estudar."""
Ushiromiya George,"""Ela não pode ficar descansando relaxada como você pensa, Battler‐kun. Ela precisa seguir as regras das pessoas que vão de barco à escola e tem um monte de tarefas para fazer em casa."""
Ushiromiya Jessica,"""Para mim seria bem mais fácil ir à escola. Quando estou no meu quarto, eu me distraio e não consigo me concentrar. Além disso, ficar fazendo nada por vários dias, além de resolver livros de exercícios, é mentalmente estressante."""
Ushiromiya Jessica,"""......Quando eu for para a faculdade, eu quero muito ir para um lugar com dormitórios, dizer adeus e me libertar dessa ilha de merda."""
