Speaker,Brazilian Portuguese (PT)
Kumasawa Chiyo,"""Vamos, já está tudo bem. Precisamos nos apressar."""
{f:5:Beatrice},"""E‐Eu espero que o pai goste de coisas doces......"""
Kumasawa Chiyo,"""É claro que ele gosta. Ele parece ser do tipo que aprecia comer qualquer tipo de doce. Hoh‐hoh‐hoh‐ho."""
,"Após aguardarem a saída do mestre do estúdio, Beato e Kumasawa entraram."
,"Então, elas rapidamente arrumaram os livros que estavam sobre a escrivaninha, colocaram em cima dela uma cesta que haviam trazido, e começaram a retirar seu conteúdo."
,Dentro......estavam diversos cookies adoráveis em forma de borboletas.
,Elas pegaram um adorável prato e cuidadosamente o decoraram com os cookies.
,Era do tipo de adorno que a pessoa que fosse comer provavelmente sequer perceberia. Tudo ali estava repleto de sentimentos.
{f:5:Beatrice},"""Você não poupa esforços pelo bem do seu amado pai."""
{f:5:Beatrice},"""Isto é......tudo o que posso fazer agora."""
{f:5:Beatrice},"""E imaginar que eu daria cookies para o Battler... Por que eu, a governante da noite, faria tanto por um convidado que raramente aparece?"""
,"Então, a porta do estúdio abriu violentamente."
,"Era Battler, com Genji ao seu lado..."
,"Os olhos de Battler se arregalaram por um segundo assim que viu Beato ali, mas sua expressão rapidamente retornou ao normal."
Ushiromiya Battler,"""......O que está fazendo aqui?"""
{f:5:Beatrice},"""Pai, ......eu sinto muito. Eu não vim para atrapalhá‐lo durante o seu importante jogo......"""
Ushiromiya Battler,"""Como entrou aqui...? Este quarto não estava fechado?"""
Ronoue Genji,"""......Minhas desculpas. Eu emprestei a chave porque ela desejava surpreendê‐lo com um presente."""
Kumasawa Chiyo,"""Veja, é do seu agrado...? A {f:5:Beatrice}‐sama assou estes cookies com sua alma, na expectativa de que você fosse apreciá‐los."""
{f:5:Beatrice},"""A Kumasawa‐san e o Genji‐san me ensinaram... Eu não fazia ideia de que o Genji‐san era tão bom em fazer cookies."""
Kumasawa Chiyo,"""Hoh‐hoh‐ho. Ele não tem feito com muita frequência ultimamente, mas o Genji‐san costumava assar muitos no passado. Ele é especialmente bom em fazer doces...!"""
Ushiromiya Battler,"""Cookies...?"""
{f:5:Beatrice},"""S‐Sim. É um presente para você, pai. Eu oro, de coração, que você alcance sua vitória nesta partida tão importante..."""
,"Battler olhou para o prato repleto de lindos cookies, que estava sobre a escrivaninha do estúdio...e a mensagem de encorajamento que estava colocada próxima dele, .........e seu rosto se distorceu em uma expressão complexa, na qual poderia conter tanto traços de tristeza quanto raiva..."
Ronoue Genji,"""............Mestre..."""
,"Não fora muitas palavras, mas Genji prontamente o incitou a considerar os esforços de Beato como uma espécie de reconhecimento..."
,Battler compreendia.{n}......Ele não tinha motivos para responder esta gentileza com desprazer.
,"Porém, embora ele entendesse essa lógica, ......tudo o que conseguiu fazer foi um suspiro exasperado."
Ushiromiya Battler,"""......Obrigado, eu agradeço. ......Mas não gosto de doces. Pode levá‐los embora."""
Kumasawa Chiyo,"""M‐......Mestre..."""
Ronoue Genji,"""....................."""
Ushiromiya Battler,"""Não repita mais isso. ......Por favor, arrume tudo."""
Kumasawa Chiyo,"""M‐Mestre, não poderia ao menos provar um...? A {f:5:Beatrice}‐sama se esforçou muito para fazê‐los por você..."""
Ushiromiya Battler,"""......Eu agradeço os sentimentos. ......Mas estou no meio de um jogo muito importante agora. Importante para mim...e para Beato. .........E será o nosso último. Por favor. Tente não me atrapalhar mais do que o necessário."""
Kumasawa Chiyo,"""Isso é cruel demais pra ela...! Eu fico feliz que você aceitou os sentimentos dela, mas não poderia demonstrar isso provando ao menos um...?!"""
{f:5:Beatrice},""".....................Pai..."""
,"Beato, com uma expressão entristecida, olhou para Battler."
,"......Battler olhou para baixo, para evitar o olhar dela."
,A expressão em sua face era mais sofrida do que qualquer outra que ele já mostrou para Beato até então...
Ronoue Genji,""".................. ......Kumasawa, limpe tudo e tire isso daqui."""
Kumasawa Chiyo,"""Mestre...!!"""
Ushiromiya Battler,"""..........................."""
,"Kumasawa implorou para que Battler a ouvisse, mas ele deu as costas para ela..."
{f:5:Beatrice},"""......Minhas...desculpas... ......Vamos arrumar tudo, Kumasawa‐san..."""
Kumasawa Chiyo,"""Não permitirei isso. Ao preparar este presente, a {f:5:Beatrice}‐sama se esforçou para apoiá‐lo o máximo possível durante seu jogo tão importante. Dizer a ela para levar tudo embora sem dar uma única mordida... Como pode ser tão idiota com uma mulher?!"""
Ronoue Genji,""".........Kumasawa."""
Kumasawa Chiyo,"""Se você se diz mesmo homem, então ao menos deveria provar um pedaço quando uma mulher prepara um doce caseiro para você!! Se realmente pretende pisar sobre os sentimentos dessa garota, eu juro, juro que não me conterei em matá‐lo! Sim, jamais!!"""
{f:5:Beatrice},"""Ku‐......Kumasawa‐san, ......você já fez o bastante por mim......"""
Kumasawa Chiyo,"""Não permitirei isto!! Mestre, você acha que eles poderiam estar envenenados?!"""
Ushiromiya Battler,"""..........................."""
,"......Sim, só de pensar que a Beato está me dando cookies......"
,......é claro que eu logo cogitaria que ela colocou algum tipo de veneno esquisito neles......
,Ela chegou a me perguntar se eu achava que estavam envenenados?
,"Como alguém poderia imaginar......que cookies como estes, dispostos tão belamente, .......poderiam ter algo de estranho dentro deles...?"
,E.........como você poderia acreditar.........que a {i:Beato}.........faria algo assim......?
,"Por causa disso, ......Battler não suportou olhar para a inocente reação de Beato, que estava completamente livre de qualquer pensamento malicioso sobre colocar veneno nos cookies......"
,"Beato silenciosamente começou a arrumar tudo. ......De tempos em tempos, ela fungava."
,"Kumasawa esteve constantemente encarando Battler, mas agora ela suspirou levemente e começou a ajudar Beato a arrumar tudo."
,"Entretanto, a rigidez não desapareceu de sua expressão."
{f:5:Beatrice},""".........Eu sinto muito, pai. ...Se me dá licença."""
Ushiromiya Battler,"""Não me chame assim......"""
{f:5:Beatrice},""".................."""
Ushiromiya Battler,"""Não me chame de pai. ......A Beato nunca me chamou assim."""
{f:5:Beatrice},"""S‐......Sim, como quiser... ......Eu sinto muito..."""
