Speaker,Brazilian Portuguese (PT)
Ushiromiya Jessica,""".........Um teste......?"""
Ushiromiya Krauss,"""......M‐Mmm. Ouçam bem..."""
,"Mais uma vez, houve outra ligação de Krauss para a casa de hóspedes."
,......E a mensagem era......de que Kinzo queria fazer um teste para ver se os netos eram qualificados para serem o novo chefe.
Ushiromiya Krauss,""".........O chefe da família disse que seu sucessor não seria nenhum de nós, irmãos, por isso ele quer......escolher um dos netos..."""
,"Pela forma contida de falar de Krauss, Jessica, sendo sua filha, percebeu que ele estava sendo forçado a falar."
,"E isso a fez perceber que os reféns estavam sendo expostos a algum tipo perigo, e que se eles recusassem o teste, havia a possibilidade de que os reféns fossem feridos."
Ushiromiya Jessica,"""E‐......Então......o que devemos fazer?"""
Ushiromiya Krauss,"""......M‐...mm. Espere..."""
,"Krauss afastou o receptor do telefone de seu ouvido, então olhou para Kinzo, que estava do outro lado daquela grade, sorrindo ironicamente."
,Kinzo deu a próxima ordem.
Ushiromiya Kinzo,"""Antes do teste, todos aqueles sem relação devem ser removidos. .........Gohda e Kumasawa estão aí, eu presumo? Seria um problema se eles interferissem no teste. Bana‐os da casa de hóspedes."""
Ushiromiya Krauss,""".........Você disse ...banir......?"""
Ushiromiya Kinzo,"""Deve haver um depósito de jardinagem no jardim de rosas. Tranquem Gohda e Kumasawa lá. Hmm, vamos começar com isto. Informe‐os sobre isso imediatamente."""
Ushiromiya Kinzo,""".........Minhas armas estarão observando. Caso eles façam algo questionável, irei parar o teste e executarei todos vocês como sacrifícios!"""
Ushiromiya Krauss,"""......Eu, ......eu entendi...... ......Alô, Jessica... Ouça atentamente o que seu pai irá dizer a você......"""
,Krauss repassou para Jessica a ordem para prender Gohda e Kumasawa......
Ushiromiya Kyrie,"""......Que tipo de teste você está planejando?"""
Ushiromiya Kinzo,"""Hmm? Aah, é realmente um teste muito simples. Eu simplesmente irei fazer meus netos mostrarem a determinação deles. Muito bem, pergunto‐me que tipo de resultados eles me mostrarão. ......Hehehahahah."""
,"Descontente, Kyrie observava Krauss, que falava com as crianças..."
,"......É lamentável, mas no momento não podemos ignorar as ordens dele."
,"Neste calabouço, uma fraca resistência não vai conseguir nada."
,"Se o provocarmos demais e o deixarmos em uma posição na qual ele poderia nos matar, não haverá mais nenhuma forma de parar os assassinatos."
,"......Por ora, a única escolha que restou é obedecer as ordens dele sem agitá‐lo, enquanto esperamos por uma chance......"
,"Entretanto, se continuarmos a obedientemente seguir todas as ordens dele, as crianças podem acabar sendo atacadas durante isso que ele chama de teste, e podem até mesmo perder suas vidas."
,".........Independente de fingirmos obediência ou tentarmos resistir, ......nada fará com que a situação melhore."
,"De qualquer forma, nos mantermos atentos para não perdermos uma única chance de escapar até o último momento...é a única forma possível de resistência agora."
,"......Ao mesmo tempo que falava consigo mesma, Kyrie observava Krauss enquanto ele transmitia as ordens de Kinzo......"
Nanjo Terumasa,""".........Kyrie‐san. Vamos ser pacientes......"""
Ushiromiya Kyrie,"""Eu sei. ......É frustrante, mas tudo o que podemos fazer agora é esperar.{n}Se conseguíssemos fazer algo quanto a essa grade, poderíamos voltar para a mansão......"""
Nanjo Terumasa,"""......Se conseguíssemos sair daqui de alguma forma... ......E‐Eu vou tentar algo. ...............Kinzo‐san, eu tenho um pedido."""
Ushiromiya Kinzo,"""Hm, e o que seria, meu amigo?"""
Nanjo Terumasa,"""Nós entendemos que você quer testar as crianças... ......Não tem problema em você fazer aquilo que deseja."""
Nanjo Terumasa,"""Sem seu poder, a família Ushiromiya já teria ruído muito tempo atrás. Nós compreendemos o motivo pelo qual você quer selecionar cuidadosamente a pessoa que vai assumir seu lugar. Além disso, é sobre isso que a conferência de família trata. Nós não iremos interferir no seu caminho..."""
Ushiromiya Kinzo,"""Hmm. Eu fico feliz que você tenha entendido. Isso mesmo, esta é a conferência de família. A conferência final da família, onde eu irei selecionar meu sucessor. Fuhaha{0}ha{0}hahaha...!"""
Nanjo Terumasa,"""Por isso, bem, Kinzo‐san... ......Está muito frio aqui. Nós não iremos interferir no seu teste, então poderia nos levar para um local um pouco mais quente......?"""
Ushiromiya Kinzo,""".................."""
,"Perante as palavras de Nanjo, os mínimos sinais que indicavam que o humor de Kinzo estava melhorando foram soprados para longe."
,"Um momento de silêncio atingiu Nanjo quando Kinzo o encarou com seu olhar ameaçador, como se estivesse avaliando ele......"
{f:5:Virgilia},"""......Certamente, este lugar é frio. É difícil para um corpo velho suportar.{n}......Meu Mestre. Não estaria tudo bem se os levássemos para cima......?"""
