Speaker,Brazilian Portuguese (PT)
Ushiromiya Battler,"""Esse jardim de rosas é mesmo deslumbrante. Está ainda mais incrível do que há seis anos atrás. Você tem sorte de ter isso como seu jardim!"""
Ushiromiya Jessica,"""Tá brincando? Pra mim, ele só serve pra deixar o caminho até o píer mais longo, o que é um saco."""
Ushiromiya George,"""Hahaha. Essa é uma preocupação bem luxuosa."""
Ushiromiya Maria,"""Uu! Poder dar ""oi"" para as rosas todas as manhãs antes da aula, incrível! Deve chegar sempre atrasada com tanta rosa pra cumprimentar...!"""
Ushiromiya Jessica,"""É uma pena a Ange não ter vindo. Eu ouvi que ela fica com dor de barriga facilmente?"""
Ushiromiya Battler,"""É o que parece. Provavelmente o intestino dela é fraco. Por isso está sempre com diarreia."""
Ushiromiya Maria,"""Uu. Não deveria dizer isso sobre uma dama......"""
Ushiromiya Battler,"""Ihihihihi, foi mal. Sim, eu já tava esquecendo, mas o que sai do bumbum das garotas é marshmallows, né~? Então, como a Ange ficou doente, os marshmallows viraram xarope."""
Ushiromiya Jessica,"""Isso já é um pouco—"""
Ushiromiya George,"""Que nojo!"""
,George e Jessica bateram no abdômen dele com o joelho e o punho.
,"*Tum*, *plaft*bam*."
,"......O ""*plaft*bam*"" provavelmente foi o som de seus joelhos batendo contra o chão, seguido de sua queda."
,"Normalmente, Battler possui o bom senso que você espera de alguém de 18 anos de idade."
,"Porém, parece que esta reunião fez com que seu estado mental retornasse ao da época que ele tinha seis anos atrás."
,"E pouco a pouco, Jessica e George perceberam que também estavam voltando para como eram há seis anos atrás..."
,"Esta ""charmosa"" conversa...estava sendo observada por Natsuhi, que olhava através de uma janela aberta no corredor."
Ronoue Genji,""".........Madame. O patrão está procurando por você."""
Ushiromiya Natsuhi,"""Irei logo mais. ......Nem é hora do almoço ainda, ...e eu já estou exausta."""
,Faíscas voaram entre ela e o grupo de Eva momentos atrás.
,Eles golpearam Krauss e Natsuhi diversas vezes para fazer com que Kinzo saísse de seu estúdio...
,"Aparentemente, eles não haviam sido completamente enganados na conferência familiar do ano passado......"
Ushiromiya Natsuhi,""".........Não há nenhum......problema com o pai, eu presumo...?"""
Ronoue Genji,"""Correto. ......Deixe isso comigo. Shannon e Kanon também estavam cientes dos preparativos planejados para hoje."""
Ushiromiya Natsuhi,"""......A Kumasawa é uma boa mentirosa, então não me preocupo com ela, ...mas estou um pouco aflita em relação ao doutor Nanjo. ......Sinto que ele é ruim em esconder as coisas."""
Ronoue Genji,""".........Deixe isso comigo. Pretendo dar suporte de perto ao doutor Nanjo o máximo possível."""
Ushiromiya Natsuhi,"""Ter você aqui me deixa mais tranquila. .........Realmente ajuda muito. ...Sem sua força, nós não seríamos capazes de obter sucesso."""
Ronoue Genji,"""......Eu fico honrado com suas palavras."""
{f:5:Beatrice},"""Não se preocupe. A barreira de quarto fechado no estúdio é perfeita. Contanto que a barreira permaneça intacta, ninguém será capaz de expor o segredo de Kinzo."""
Ushiromiya Natsuhi,""".........Sim, eu entendo. Mesmo assim, você ouviu nossa conversa na sala de visitas agora pouco, não ouviu?"""
{f:5:Beatrice},"""......Mm. Parece que suspeitas consideráveis foram despertadas ano passado. Essa terrível toxina se acumulou e começou a se alastrar."""
Ushiromiya Natsuhi,"""......Parece que a conferência deste ano será crucial."""
{f:5:Beatrice},"""Pode ser que superemos este ano de alguma forma, ......mas até mesmo a paciência de um santo se esgota. É melhor já considerarmos que não teremos como continuar no próximo ano."""
Ronove,""".........Com toda essa toxina antimagia preenchendo o lugar, provavelmente vai ser difícil preservar a magia do Lorde {f:5:Goldsmith} por mais uma conferência familiar."""
Ushiromiya Natsuhi,"""Q‐......Quem é você?"""
{f:5:Beatrice},"""Oh, não precisa ficar surpresa. Este homem serve a mim como minha mobília chefe."""
Ronove,"""Saudações, madame Natsuhi. Meu nome é Ronove. É um prazer conhecê‐la......"""
{f:5:Beatrice},"""Este homem é confiável. Ele também está ajudando a proteger a barreira de quarto fechado."""
Ushiromiya Natsuhi,"""......É mesmo? Eu sou Ushiromiya Natsuhi. Agradeço por sua cooperação."""
Ronove,"""Ao seu dispor, madame. ......Do mundo mágico, eu estarei dando apoio a você. Por favor, fique à vontade para depender de mim."""
Gaap,"""............Nesse caso, acho que devo me apresentar agora. {i:Hi}, Riiche. Há quanto tempo......"""
{f:5:Beatrice},"""Ah, Gaap!! É tão bom ver que você também está aqui!"""
Gaap,"""......Bem, eu só vim para me divertir. ......Se precisar de uma mão, é só dizer. É um prazer conhecê‐la, {i:Madam}. ......Esta é a primeira vez que a cumprimento, mas estou sempre ao lado de qualquer um."""
Ronove,"""Pu ku ku. A Gaap aqui é uma grande brincalhona... Lembra do comprimido para dor de cabeça que você deixou cair no chão do quarto e perdeu quando estava se vestindo? Foi tudo culpa da Gaap."""
{f:5:Beatrice},"""Sempre que perde algo que tinha certeza que havia colocando em algum lugar, é sempre uma boa ideia suspeitar que seja uma de suas brincadeiras. ......Muito tempo atrás, ela costumava me provocar o tempo todo!"""
Ushiromiya Natsuhi,"""I‐Isso é verdade? ......De qualquer forma, esta é a mansão Ushiromiya. Enquanto estiverem aqui, terão que nos obedecer. Vocês entenderam, certo?"""
Ronove,"""É claro. Nós entendemos. ......Pense em mim como o Genji do mundo mágico, e dê‐me ordens sempre que a assim desejar."""
Gaap,""".........Tenho certeza que sei como agir como uma boa convidada. ...Não deixarei que a senhoria seja desrespeitada."""
{f:5:Beatrice},"""Você pode contar com o Ronove e a Gaap. Porém, o mundo mágico e o mundo {y:0:Humano}{n:0:humano} são dois lados diferentes da mesma moeda."""
Ushiromiya Natsuhi,"""Eu compreendo. ......É claro, irei fazer tudo o que eu puder no mundo {y:0:Humano}{n:0:humano}. Vamos trabalhar em conjunto e proteger o segredo do pai."""
{f:5:Beatrice},"""Mm."""
Ushiromiya Battler,"""......Isso sempre acontece. Não vamos chegar a lugar nenhum até o dia seguinte."""
{f:5:Lambdadelta},"""Hmm? Bem, sim. O 4 de outubro é como um turno de preparação para mim.{n}Se não gostou de como está indo, por que não se senta e espera até o dia 5 de outubro? Eu te chamo depois que os seis primeiros morrerem. *risos*risos*......!"""
,"......É claro, esta é uma forma bem interessante de se dizer isso."
,A luta não começa até que o crime ocorra.
,"Contudo, esperar que os crimes tenham início seria o mesmo que fechar os olhos para os assassinatos do primeiro crepúsculo."
,"Ou seja, seria o mesmo que se contentar com o fato de que seis pessoas vão morrer......"
{f:5:Bernkastel},"""............Você sabia? Dizem que no xadrez, o jogador que faz o primeiro movimento tem o dobro de chances de vencer?"""
{f:5:Lambdadelta},"""Embora isso possa mudar de acordo com as táticas usadas no decorrer da partida. Não tem quem diga que o segundo a jogar tem muito mais chances de empatar?"""
Ushiromiya Battler,"""......Até mesmo eu sei o que a frase ""o primeiro a atacar vence"" significa. .........Então o que está querendo dizer?"""
{f:5:Lambdadelta},"""Pff, *risos*risos*! É por isso que você é tão incompetente."""
{f:5:Bernkastel},"""......Não, sério. ......Está me ouvindo, Battler? Este é um mistério que pode ser resolvido ainda no 4 de outubro. ......Sabe o que isso quer dizer?"""
Ushiromiya Battler,"""Não está dizendo que...... ............Não, mas..."""
{f:5:Lambdadelta},"""Heheheheheheh! ......Bem, preste atenção e verá, Battler, o Incompetente!"""
{f:5:Bernkastel},"""*risos*risos*..."""
,Eu tenho uma ideia geral sobre o que essas bruxas estão falando.
,"......Eu tentei resolver várias vezes no passado, mas ainda não encontrei nada que se pareça com uma resposta."
,"Pelo contrário, eu sequer consigo entender {i:o motivo desse enigma existir}."
,.........Isso mesmo. ...A razão pelo qual ele existe.{n}Por que a Beato......preparou um enigma como desses......?
,Nós discutimos isso de tempos em tempos nos jogos anteriores.
,"Porém, eu estive evitando pensar sob a suposição de que não há sentido investigar o enigma enquanto não for possível resolvê‐lo."
,......Desta vez eu devo mudar meu ponto de vista.
,Não posso só me focar nas partes óbvias...tipo a verdade do enigma ou como resolvê‐lo.{n}......O mais importante é o motivo pelo qual o enigma foi criado e exibido a nós.{n}É sobre isso que eu deveria estar pensando.
,E aquela que propôs esse enigma......foi a {f:5:Beatrice}.
,"Mesmo se eu não puder resolvê‐lo, eu devo ser capaz de investigar e tentar descobrir o que a Beato estava pensando quando nos mostrou ele."
,......Certo...dessa vez eu irei virar o tabuleiro...{n}As bruxas continuam me chamando de incompetente.
,"Deixarei que riam. ......Meu inimigo não são elas.{n}......Estou continuando nossa partida, Beato......"
Ushiromiya Hideyoshi,"""......Oh? Parece que finalmente começou a chover."""
Ushiromiya Rudolf,"""Tch... Eu queria que fosse possível manter essa aguaceira limitada ao interior do meu coração."""
,Os presentes na sala de visitas perceberam as gotas de chuva que escorriam pela janela.
Ushiromiya Kyrie,"""Então, agora não temos para onde ir até que a conferência familiar se encerre."""
Ushiromiya Eva,"""......O mesmo vale para o nii‐san e seus cúmplices. ......Não deixarei que escapem, podem apostar nisso... As cartas que temos em mãos não são ruins.{n}O nii‐san só está blefando. ......Tratarei de fazer ele se render..."""
Ushiromiya Hideyoshi,"""Bem, o ponto de um acordo é você não tentar {i:derrotar} o outro lado. ......Você deixa um buraco preparado, o elogia um pouco e o convence a ficar de pé de por vontade {i:própria}."""
Ushiromiya Kyrie,"""......O Hideyoshi‐san está certo. Você o pressionou muito dessa vez, {nobr:Eva nee‐san}."""
Ushiromiya Eva,"""F‐Foi perfeitamente razoável considerando que estamos lidando com o nii‐san."""
Ushiromiya Rudolf,"""O quê? A Rosa dormiu?"""
Ushiromiya Hideyoshi,"""Até agora pouco ela tava reclamando que tinha acordado cedo essa manhã. Bem, não vejo nenhum problema em tirar um cochilo."""
Ushiromiya Rudolf,"""É possível que sejamos forçados a passar noite à dentro nisso. Descansar agora é, provavelmente, uma ideia promissora."""
,"Em consideração à Rosa, que caiu no sono no sofá, os outros deixaram a sala de visitas em silêncio."
,"Rosa dormiu, inconsciente."
,"Após dizer a Maria para ficar onde quisesse depois que ela fez birra por não ter encontrado sua rosa, Rosa dormiu, inconsciente da chuva que começava a cair do lado de fora......"
,A chuva caiu como se estivesse apenas esperando por este momento para começar.
,"É claro, Maria percebeu a chuva que começou a cair e ficou completamente encharcada."
,"Entretanto, isto só aumentou sua teimosia."
,"Incapaz de encontrar a pobre, e ligeiramente insalubre, rosa que ela mesma havia marcado, ......ela simplesmente não podia permitir que sua busca fosse interrompida por causa de uma chuva."
,"Por isso, quanto mais a chuva caia sobre Maria, mais obstinada ela ficava, e vagava, indo de canteiro em canteiro atrás de sua rosa..."
,"Enquanto fazia isso, .........por de trás dela, ............veio um tamborilar. ...O som de passos se aproximando."
,"Então, seja quem quer que tenha pisado em uma pequena poça, que reproduziu um suave splash, fez com que Maria finalmente ouvisse."
,"Contudo, a mínima distração que este leve som gerou só a deixou mais irritada, e Maria ignorou, apesar de ter ouvido."
,"{a:c:""............Olá.""}"
Ushiromiya Maria,"""......ah."""
,"Maria se virou, perplexa."
,"......Afinal, aquela voz...foi uma na qual ela não reconheceu."
,"Nesta Rokkenjima selada, ......aquela voz pertencia a alguém que ela não conhecia..."
