Speaker,Brazilian Portuguese (PT)
Ushiromiya Jessica,"""Então...heheh...sobre antes, desculpe por me ver agindo daquela maneira... Eu culpo a {i:futura sucessão}......"""
Willard H. Wright,"""Não vai deixar marca, né? Sem perdão algum."""
Ushiromiya Lion,""".........Disse alguma coisa, Jessica?"""
Ushiromiya Jessica,"""N‐Não disse nada...! Eu já aprendi a minha lição, tá?!"""
,"Lion, que aparentemente estava conversando com os adultos, virou‐se com um sorriso e olhou para Jessica. ......Parece que são os mais velhos que controlam tudo firmemente aqui."
Willard H. Wright,"""......Que ouvidos mais afiados. Acho que finalmente estou entendendo Lion."""
Ushiromiya Jessica,"""Sim, sim, sim! A {i:futura sucessão} sempre é afiadamente irritante! Sem mencionar que os adultos adoram puxar seu saco! Sou sempre comparada, seja em casa ou na escola!"""
Ushiromiya George,"""Pensando nisso, Lion foi presidente do conselho estudantil, tanto no fundamental quanto no ensino médio. E ainda comandava o time de badminton."""
Willard H. Wright,"""Então não importa o que você faça, sempre é comparada com Lion e isso nunca é bom para o seu lado."""
Ushiromiya Jessica,"""Eu disse isso logo que entrei no fundamental II. A {i:futura sucessão} já era vice‐presidente do conselho estudantil. E disse ""se planeja se tornar presidente no próximo ano, pode esquecer, isso só vai colocar mais pressão em mim!"""""
Ushiromiya Jessica,"""Mas o ano passou, e adivinha quem se candidatou e venceu com sobra?! A mesma coisa quando eu comecei o ensino médio! Eu disse ""por favor, abre mão só dessa vez"", mas não adiantou, a {i:futura sucessão} já {i:era} vice‐presidente! Então, ano seguinte? Já era presidente do conselho estudantil!"""
Ushiromiya Jessica,"""O pai ficou todo orgulhoso! A mãe continuou dizendo ""agora trate de dar o seu melhor como irmã mais nova"", e repetiram isso de novo e de novo!! Nngyaa{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}ahhhh!"""
Ushiromiya George,"""Mesmo assim, você ainda se orgulha de ser a irmã mais nova de Lion, não é?"""
Ushiromiya Jessica,"""N‐N‐Não é como se eu pensasse nisso toda hora! Não, nunca! Nunquinha...!"""
Willard H. Wright,"""Deve ser difícil ser comparada à perfeição. Ainda assim, os outros são os outros e você é você. Não precisa se sentir diminuída. Você deve viver a sua vida com tudo o que tiver a oferecer."""
