Speaker,Chinese Traditional (CHT)
{f:5:Beatrice},「呀。…本次遊戲，您看得開心嗎？」
{f:5:Bernkastel},「……一邊倒到如此地步的單邊遊戲，超出了可看的範疇，很無聊。」
{f:5:Beatrice},「呵呵呵呵，哎呀哎呀，您打分還是那麼嚴呢。……妾身還在自負著，這是配得上厭惡無聊的貝倫卡斯泰露卿的，頗有迫力的展開呢，這可真是難辦啊。」
{f:5:Bernkastel},「…關於迫力，我也承認。…不過，作為一盤公平的遊戲就太過分了。不再稍微提供些對等的條件的話…」
{f:5:Beatrice},「……就沒有勝算了嗎？貝倫卡斯泰露卿的？……呵呵呵呵呵。」
{f:5:Bernkastel},「………………這是什麼意思，貝阿朵？」
{f:5:Beatrice},「不用裝模作樣了。妾身已經知道了。…汝{i:不是旁觀者}。」
{f:5:Bernkastel},「……………………………。」
{f:5:Beatrice},「還以為瞞過了妾身？汝是千里迢迢來到他人領地，給妾身對家下注的無禮之徒。一直擺出副旁觀妾身遊戲的樣子，其實卻是下了賭妾身輸的重注。說中了吧…？」
{f:5:Bernkastel},「………………………。是又如何？」
{f:5:Beatrice},「……呵呵呵呵呵！實在是有趣！」
{f:5:Beatrice},「能獲賜與擊退了拉姆達戴露塔卿的最強魔女——貝倫卡斯泰露卿對決的機會，實在是愉快！！」
{f:5:Bernkastel},「……嗯。我也很愉快哦。我就是為想看如此充滿自信的你那輸得一敗塗地的樣子，才不遠萬里地來的。」
{f:5:Beatrice},「何等誠實的人啊。呵呵呵呵！！」
{f:5:Beatrice},「話說回來妾身與大貝倫卡斯泰露卿的對決，連一個觀戰之人都沒有的話，那再怎麼說都是太可惜了。」
{f:5:Bernkastel},「…………………………………。…你叫來了啊。把那孩子。」
{f:5:Lambdadelta},「呵呵呵呵呵呵呵！找到了，總算讓我找到了，貝倫卡斯泰露～！！」
{f:5:Bernkastel},「…………貴安，拉姆達。你也真閑呢。…同為厭惡無聊之人的再次偶遇，是否也是命運呢…？」
{f:5:Lambdadelta},「你呀真笨。為什麼就是想不到，能贏我只不過是個小小的運氣與相性的問題呢？竟還就此自認神通廣大，偏偏要和貝阿朵莉切對著幹，不知自己斤兩也該有個分寸哦？」
{f:5:Lambdadelta},「嘻嘻，貝阿朵莉切可是很強的喲。比我都要殘酷，那麼一丁點！」
{f:5:Lambdadelta},「對了還有，別隨便把人家的名字省略成拉姆達——！」
{f:5:Bernkastel},「………貝阿朵，你也真笨。就算這孩子來你的遊戲，也只是會把它搞得一團糟。」
{f:5:Beatrice},「拉姆達戴露塔卿，絕不光是作為觀眾而被妾身叫來的。」
{f:5:Beatrice},「妾身告訴了她，汝在給妾身的對家下注，卿就說了要來給汝的對家下注。」
{f:5:Bernkastel},「…………………………你，還在記仇啊。」
{f:5:Lambdadelta},「呵呵呵呵！！畢竟我是宇宙最強的魔女嘛。不過由於輸給你了，就不是最強了！」
{f:5:Lambdadelta},「所以不管和你敵對的人是誰，我都會加入你的對手那一方——！！」
{f:5:Beatrice},「呵呵呵呵！就是如此。以大貝倫卡斯泰露卿為對手，雖對您來說應該是連不利條件都算不上，不過應該很適合當作餘興吧。」
{f:5:Bernkastel},「……………隨你喜歡吧。…既然已經暴露了，我也要來真格的了。」
{f:5:Beatrice},「這倒也好。畢竟妾身的辭典裡，原本就沒有手下留情這四個字呢。呵呵呵呵呵呵呵呵呵呵！拉姆達戴露塔卿，請借這段貴緣好好樂樂吧。」
{f:5:Lambdadelta},「那自然，那就彼此彼此，請多關照了喲，貝阿朵莉切卿！這傢伙也是把我整得好慘。不兩人一起來將她打垮，雙倍奉還，我肚子裡這股氣就憋不住！！」
{f:5:Bernkastel},「…………彼此彼此，請多關照，拉姆達。還有貝阿朵。…無論勝敗如何，對我們來說這都會成為非常有意義的一戰。」
{f:5:Lambdadelta},「是呢。雖然我必定不會輸，但對我們來說它有著高於勝敗的意義。」
{f:5:Beatrice},「畢竟我們魔女，厭惡無聊。」
,三位魔女呵呵地，又或者是咯咯地，又或者是哈哈地大笑著。
{f:5:Bernkastel},「……正是如此喲。謝謝了，貝阿朵。看來總算是能從煩悶中逃出來了。就竭盡所能地讓我開心開心吧。與拉姆達戴露塔一起。」
{f:5:Beatrice},「妾身會照辦的。呵呵呵呵呵…！！」
{f:5:Lambdadelta},「既然這麼決定了，那貝阿朵，趕快來召開作戰會議！她的弱點我全都知道，我會全部都傳授給你的！」
{f:5:Beatrice},「可儘管如此，拉姆達戴露塔卿竟還是被打敗了麼，呵呵呵呵…！」
{f:5:Lambdadelta},「真是的————，不教了不教了！哼——！」
{f:5:Beatrice},「呵呵呵呵哈哈哈哈哈哈哈哈！…是位不會令人無聊的貴人呢，拉姆達戴露塔卿。」
{f:5:Bernkastel},「…………是吧？就拜託多照顧了。別看那樣，她可是很怕寂寞喲。」
{f:5:Beatrice},「原來如此。就是現在流行的那個什麼嘛。呵呵呵，不愧是拉姆達戴露塔卿。站在了時代的最先端。呵呵呵呵呵呵呵呵。」
{f:5:Bernkastel},「快去吧。那孩子，在等著你追上去喲。」
{f:5:Beatrice},「……那麼妾身告辭了。」
{f:5:Beatrice},「下一盤遊戲見。呵呵呵呵呵呵呵呵呵呵！」
{f:5:Bernkastel},……對不起。雖然來了個不好對付的，但請不要在意。
{f:5:Bernkastel},比起那些，………這可真夠慘的。
{f:5:Bernkastel},雖說我自以為已在與拉姆達的遊戲中，經歷過了不少悲慘末路，………但這次可是，……遠超前例的淒慘。
{f:5:Bernkastel},…你會抱膝封閉起心靈的感受，我也很是理解。
{f:5:Bernkastel},這種末路，再走個幾次的話，不用百年，心就會被抹殺。
{f:5:Bernkastel},……既然已被貝阿朵看穿了，我就坦白了吧。
{f:5:Bernkastel},現在的你，與曾經被囚禁在拉姆達的世界中時的我，一模一樣。
{f:5:Bernkastel},被關在了過於殘酷的命運迷宮之中，受魔女肆意玩弄。
{f:5:Bernkastel},…我是從此誕生的魔女。
