Speaker,Chinese Traditional (CHT)
Ushiromiya Eva,「下一個要找誰出題呢？」
Ushiromiya Ange,「那兩個人如何？」
Ushiromiya Eva,「紗音和嘉音君？好啊，就拿他們作對手吧。」
Shannon,「您叫我們嗎？繪羽夫人，緣壽小姐。」
Kanon,「……姐姐你真是笨啊。是讓我們來出問題的。」
Shannon,「啊，真、真是失禮了。」
,紗音還是那麼毛手毛腳的。
,不過嘉音則是很淡定，似乎是會出個很有水平的問題。
Shannon,「那個，嗯，……………」
Kanon,「……唉。那，我先來出題。姐姐趁現在好好想。」
Shannon,「嗯，嗯。對不起呢…」
Kanon,「那，就得出個能給姐姐想問題爭取時間的，讓人困擾的問題了呢。」
Ushiromiya Eva,「嗚呼呼呼，挺會說的嘛。說出來試試？嘉音君絞盡腦汁出的難題！」
Ushiromiya Ange,「不要挑釁嘛——。簡單的就好——！」
Kanon,「既然得到了繪羽夫人的許可，那麼就請原諒我出個非常困難的難題。」
Ushiromiya Eva,「這就交給我吧。姑母我會答出來的！」
Ushiromiya Ange,「得到的賞金都帶零頭，好奇怪啊。」
Ushiromiya Eva,「等等，嘉音君，不能這麼玩吧！這種題誰能知道答案啊？！」
Kanon,「這是為了給姐姐想題目爭取時間，還請原諒。」
Shannon,「謝、謝謝…！我已經，想出問題了…！」
Kanon,「……明白。那麼繪羽夫人，緣壽小姐。告訴您們一些提示。………銅是 29，銀是 47，金是 79。這就是提示了。」
Ushiromiya Ange,「這和問題不是一樣的嗎…！不算是提示啊。」
Ushiromiya Eva,「………銅是 29？銀是 47？？……………啊，原來是這樣！」
Ushiromiya Ange,「誒？已經懂了嗎？！我也知道了！白金比金更高級，所以肯定要比金獎的 79 枚要多！」
Ushiromiya Eva,「不是哦。根據這個規律的話，白金獎的獎金大概要比金獎少呢。對吧？」
Kanon,「……如您所說。答案您應該已經知道了。」
Ushiromiya Eva,「小緣壽是答不出這問題的。至少也要中學生才答得出來呢。這題我來答吧！可以麼，小緣壽？」
Ushiromiya Ange,「嗯、嗯。就交給繪羽姑母了…！」
Kanon,「答錯了。」
Ushiromiya Eva,「啊—————，對不起，搞錯了！！要是理科學得更認真的話！」
Ushiromiya Ange,「怎麼回事？我不明白。」
Ushiromiya Eva,「這個金幣的枚數啊，是原子序數。銅是 29 號，銀是 47 號，金是 79 號。我不記得鉑（白金）是多少號了啊…！！」
Ushiromiya Ange,「我完全聽不懂。」
