Speaker,PS3 Japanese - Censored (JPC)
,控え室には、右代宮家の親族たちがそれぞれに寛いでいた。
,バイキング形式の軽食が準備されているが、少し干からびていて、食欲はそそらない。
,それでも、食欲旺盛な子供たちには魅力的らしい。
,真里亞を中心に、いとこ勢がそこで車座になっている。{n}親兄弟たちも、別の一角で車座になっている。
,金蔵の姿がないこともあってか、わずかにではあるが、弛緩した雰囲気だった。
Ushiromiya Natsuhi,「……理御。どこへ行っていたのですか？　……そちらの方は」
Ushiromiya Lion,「母さん。お客様のお相手をしていました。ウィル、こちらは母の夏妃です」
Willard H. Wright,「紹介はいらねェ。ただ、話を聞かせてくれりゃいい」
Ushiromiya Natsuhi,「え？　何か仰いまして？」
Ushiromiya Lion,「いいえ、何も。こちらはウィルさん。故人に縁ある方だそうです」
,理御は笑顔でさらりと、ウィルの暴言を流させる。
Ushiromiya Lion,「彼は、ベアトリーチェのことを、より詳しく知りたがっています。……母さんは、ベアトリーチェについては、何かご存知ですか？」
Ushiromiya Natsuhi,「……………………。……理御。故人は、当主様のかつての恩人です。そして、それ以上でもそれ以下の関係でもありません。この葬儀は、当主様が故人への生前の恩を報いるためのお式。そう聞いていますし、それ以外のことは何もありません」
Ushiromiya Lion,「……ありがとう、母さん。ウィル、母が知っていることはこれだけです」
,夏妃は、尊敬する金蔵にベアトリーチェという妾がいたという醜聞に対し、とても否定的だ。
,しかし、その醜聞は恐らく事実だろうとも理解している。
,それ以上、この話をしたくないという母の不機嫌を敏感に感じ取り、ウィルが次なる暴言を口にしない内に、話を綺麗にまとめて切り上げた。
Ushiromiya Lion,「ウィル。この礼拝堂は、当家の敷地内です」
Willard H. Wright,「当家のルールに従えってか」
Ushiromiya Lion,「当家の客人に相応しい口調に改めていただく。話は全て私を介していただく。その２つを守っていただけるよう、お願い致します」
Willard H. Wright,「努力すらァ」
Ushiromiya Lion,「……あの、ベルンカステルとかいう魔女に巻き込まれて、大いに迷惑です。ですから、私も協力はします。しかし、貴方と私の立場は対等ですので、それをお忘れになりませんよう」
Willard H. Wright,「育ちがいいだけのお坊ちゃんだと思ってたら。なかなか言うな」
Ushiromiya Lion,「これでも。右代宮家の未来を背負う覚悟はありますので」
Willard H. Wright,「………わかった。仲良く事件を解決しようぜ、ワトソン君」
Ushiromiya Lion,「ご協力いただけて嬉しいです。愛猫のダイアナを待たせないためにも。エサの時間は大丈夫ですか？」
Willard H. Wright,「今日は山盛りにしてある。多少は大丈夫だ。………よく、ダイアナが猫のことだとわかったな」
Ushiromiya Lion,「ソファーを引っ掻いて待ち侘びる女性というのも、少々個性的が過ぎると思いましたので」
Willard H. Wright,「……ふむ」
Ushiromiya Lion,「それで？　まずは誰に話を？」
Willard H. Wright,「誰でもいい。全員だ。……あそこにいるのは、蔵臼の兄弟たちか」
Ushiromiya Lion,「向かって、右から絵羽叔母さん、秀吉叔父さん」
Ushiromiya Lion,「あちらが、留弗夫叔父さん、霧江叔母さん」
Ushiromiya Lion,「そしてあちらが、」
Willard H. Wright,「右代宮楼座か。……少女時代に森を彷徨い、隠し館でベアトリーチェと名乗る女に遭遇した経験を持つ」
Ushiromiya Lion,「……驚くまい、とは思っていますが。本当に貴方は何でも知っている」
Willard H. Wright,「お前も、その話は知っているのか」
Ushiromiya Lion,「今日、彼女がそう話しているのを漏れ聞きました。……辛そうな話でしたので、聞こえないふりをしましたが」
Willard H. Wright,「優等生だな。……紹介してくれ。話を聞きたい」
Ushiromiya Lion,「辛そうな話でしたので、聞こえないふりをした優等生の、私に？」
,その傍若無人ぶりも、金蔵に比べれば可愛いもの。
,理御は心の中で繰り返しそう呟き、肩を竦める仕草だけを見せて、ウィルに頷いた。
Ushiromiya Eva,「あら、次期当主さまじゃない。そちらの方は……？」
Ushiromiya Lion,「あぁ、絵羽叔母さん。こちらはウィルさん。故人のために献花に訪れてくれました」
Willard H. Wright,「んなことはどうでもいい。ベアトリーチェについて知って、……んぐっ、」
Ushiromiya Lion,「故人と右代宮家のかかわりについて、お話を聞きたいと言っています」
,ウィルのおしりを抓りながら、理御はにこやかな笑顔で告げる。
,お約束にしても痛ェだろとウィルは無言で抗議するが、理御は優等生のような笑顔で、知らないふりをして絵羽に微笑む。
Ushiromiya Eva,「右代宮家とのかかわり、……って言ってもねぇ？」
Ushiromiya Hideyoshi,「右代宮家とっちゅうより、お父さんとのかかわりっちゅうべきやろな」
Ushiromiya Rudolf,「正直に言えばいいのさ。親父の愛人、ってな」
Ushiromiya Kyrie,「愛人なんて言うと、また夏妃姉さんに怒られるわよ。恩人、でしょ？　くす」
Ushiromiya Hideyoshi,「そやな。わははははは」
Ushiromiya Lion,「……こんな具合ですが？」
Willard H. Wright,「楼座以外には興味ねェ、んぐッ、」
Ushiromiya Lion,「楼座叔母さんは、……確か、ベアトリーチェに会ったことがある、と」
Ushiromiya Rosa,「……………………」
,楼座は、ずっと俯いていた。{n}そして、理御の言葉に、ぴくりと肩を揺らす。
Ushiromiya Eva,「今日になって、急に言い出したのよぅ。ちょっと信じ難い話だわ」
Ushiromiya Rosa,「本当なのよ…！　ベアトリーチェは、私が殺したのッ！」
Willard H. Wright,「事件解決だな」
Ushiromiya Lion,「早計です」
,楼座は、わっと泣き崩れてテーブルに伏せた。霧江と秀吉が慰める……。
Ushiromiya Eva,「六軒島は鬱蒼とした森に包まれてる。私たちが知っているのは、そのうちのごくわずか。屋敷と薔薇庭園。そして船着場に向かうちょっとした林道だけ」
Ushiromiya Rudolf,「誰も知らない広大な森のどこかに、親父が隠れ屋敷を作って、愛人を住まわせてるんじゃないかって話は相当の昔からあったんだ」
Ushiromiya Hideyoshi,「楼座さんは、多分、その隠れ屋敷に偶然、辿り着いてしまったっちゅうんやろな……」
Ushiromiya Lion,「しかし、どうして楼座叔母さんは、ベアトリーチェを殺した、などと…？」
Ushiromiya Rosa,「私が連れ出さなければ、彼女は死なずに済んだわ…！　彼女は無垢な、ヒヨコのような人だったわ。私が連れ出したから、素直について来た！　何も疑わずに、私の後をぴったり付いてきて…！　私があんな足場の悪いところを歩かせてしまったから…！！」
Willard H. Wright,「お前は、崖から足を踏み外すことを期待して、そこを歩かせたのか」
Ushiromiya Rosa,「そんなつもりはなかった！　ただ、海が見たいと思って…！　うぅん、歩き辛そうだったから、下に降りれば少しは楽になるかなと思って…！！」
Willard H. Wright,「それは殺したとは言わねェ。事故だ」
Ushiromiya Rosa,「私が連れ出さなければ遭わなかった事故よ？！　私のせいなの！！　それに私は、血塗れの彼女を見捨てて逃げ帰ってしまった！！」
Willard H. Wright,「あんたのせいじゃねェ。ベアトリーチェは、海を一度も見たことがなかった。……それを、あんたが初めて見せたんだ。つい浮かれて、一歩、踏み外しちまったんだろ」
Ushiromiya Rosa,「……ど、どうしてあなたはそれを…？」
Willard H. Wright,「ベアトリーチェはあんたに感謝こそすれ、恨んでるわけもねェ」
Ushiromiya Rosa,「……………………。そうかしら、……本当に、…そうなのかしら…」
Willard H. Wright,「柵の外の世界へ出たいと懇願したのは彼女だろ。お前はその夢を、束の間だけ叶えたんだ。俺がベアトリーチェなら、その束の間の時間をお前に感謝するだろうよ。なのにお前が、いつまでも苦しんでると知ったら、申し訳なく思うだろう」
Willard H. Wright,「……ベアトリーチェは、お前に感謝してる。海が青いってことを、教えてくれたあんたをな」
Ushiromiya Rosa,「………それは、……本当に………？」
Willard H. Wright,「俺が保証する」
,ウィルは堂々と、そう断言して見せる。
,その言葉が、楼座にどう受け取られたかはわからない。
,しかし、……楼座に、懐からハンカチを取り出して目元を拭うことを思い出させることは、出来たようだった。
Ushiromiya Rosa,「……ありがとう」
Willard H. Wright,「その言葉は、ベアトリーチェが今も、あんたに囁いてる」
Ushiromiya Rosa,「……………ありがとう……」
,楼座はもう一度ハンカチで目元を拭い、俯く。
,嗚咽ではなく、自分の心の中でもう一度、あの日のベアトリーチェに語り掛けているような、……そんな仕草だった。
Ushiromiya Lion,「……よくも、そんな無責任な言葉を、堂々と掛けられるものです」
Willard H. Wright,「責任がなけりゃ。女を慰めることも出来ねぇのか」
Ushiromiya Lion,「……………………。多少は、見直しました」
,どれほど長い年月を、楼座は苛まれてきたというのか。
,今、楼座は初めて。……海を初めて見た時の、あの無邪気な笑顔のベアトリーチェと、再会しているだろう。
,楼座を許せるのは、彼女だけだ。
,その彼女と、楼座はようやく対話を始めることが出来る……。
Ushiromiya Rosa,「……どなたか存じないけれど、ありがとう。……彼女は私を、許してくれるかしら」
Willard H. Wright,「あんたは２０年近くもそれを悩んだ。長過ぎだ。彼女はもう勘弁しろと言ってらァ」
Ushiromiya Lion,「……そうですよ、楼座叔母さん。あなたが悲しめば悲しむほど、きっと、ベアトリーチェも悲しむでしょう」
Ushiromiya Rosa,「…………あなたまで…。ありがとう。……私には、私が許されるかどうかわからないけれど。……彼女が許してくれるかどうか、胸の中で問い掛けてみることにするわ。……二人とも、ありがとう。恥ずかしいところを見せて、ごめんなさい」
Willard H. Wright,「綺麗事を言った舌の根も乾かねぇ内で恐縮だが。……聞かせて欲しい。当時のことを」
Ushiromiya Lion,「………ウィルさんっ」
Ushiromiya Rosa,「ありがとう、大丈夫よ。……話すわ。誰にも話さずにずっと隠してきたことが、私の一番の罪なのかもしれないから」
Willard H. Wright,「お前がベアトリーチェに出会ったのは、正確にはいつ頃なのか」
,その問い掛けに、……楼座は薄く瞼を閉じ、思い出したくない過去を振り返る…。
Ushiromiya Rosa,「……２０年ほど昔の話よ。………２０、………いえ、１９年前か１８年前かもしれない。………ごめんなさい。長いこと、無理に忘れようとしてきたものだから、そこは少し忘れかけてるわ」
Willard H. Wright,「１９６７年のことのはずだ」
,かつて第３のゲームで、ロノウェが赤き真実でそれを確定させている。
Ushiromiya Rosa,「そ、そうね……。多分、１９６７年頃だわ。あの時の出来事は、写真のように鮮明に覚えてる……。忘れられないの……」
Ushiromiya Lion,「辛かったら、無理に話す必要はありませんので」
Willard H. Wright,「写真のように鮮明に頼む。…………んぐッ。……痛ェぞ、理御」
Ushiromiya Lion,「何のことやら？」
Ushiromiya Rosa,「家庭教師が、私の内緒話を母に告げ口していたのにショックを受けて。あの日、私は自暴自棄になって、森の奥へ奥へ、どこまでも駆けていったの」
,それは過去のカケラでも語られた物語だ。
,かつて子供だった頃の楼座は、森の奥深くへ入り込み、……隠し屋敷を見つけ、そこでベアトリーチェと名乗る謎の女に出会った……。
Ushiromiya Lion,「……ほんの少し、分け入ることすら難しいあの深い森を？」
Ushiromiya Rosa,「自分でも驚くわ……。あんな鬱蒼とした森を、よくもあんなに深くまで。……たくさんの梢や鋭い葉っぱで苛まれたわ」
Ushiromiya Rosa,「でも、あの日の私は気にしなかった。……森の奥へ消えることで、永遠に消えてしまいたかったし。……もし、本当に森の奥に魔女の館があったなら、……自分を幸せの国へ連れて行ってくれるか、蛙にでも変えて、森の住人に変えてくれると思っていたから」
Willard H. Wright,「そしてあんたは、隠し屋敷、九羽鳥庵に辿り着き、そこでベアトリーチェと名乗る女と出会う」
Ushiromiya Rosa,「………えぇ。会ったわ」
Willard H. Wright,「そのベアトリーチェは、肖像画のベアトリーチェと同一人物だったか」
Ushiromiya Rosa,「……………………。………えぇ。同一人物だったわ」
Ushiromiya Rosa,「美しい青い瞳。黄金の髪。黒いドレス。まさにあの肖像画通りの人物だった。……私はあの肖像画をお父様が掲げた時、……私が忘れようと足掻いた２０年の月日は、お父様にとっても同じ、あるいはそれ以上の日々であったと気付き、さらなる罪に怯えたわ…」
Ushiromiya Kyrie,「それ。……本当に楼座さんの出会ったベアトリーチェのことなのかしら？」
,ウィルの疑問を、すぐに霧江が代弁する。
,金蔵が出会ったベアトリーチェと、楼座が出会ったベアトリーチェが同一人物であると考えるのは、早計なのだ。
,時間。時代が、異なる。
Ushiromiya Rudolf,「ベアトリーチェってのは、戦後すぐの頃、親父に黄金を貸し付けた有閑マダムのはずだぜ？」
Ushiromiya Hideyoshi,「お父さんはベアトリーチェの黄金を元手に、右代宮家を復興して大金持ちになり。そして六軒島を買い取り移住するんや。楼座さんが出会ったのは、それから１０年以上も先の話になるで」
Ushiromiya Eva,「１０ｔの黄金を自在に出来るご夫人が、小娘程度のわけはない。ましてや、楼座が会った頃には、それからさらに１０年以上が経過してる。…楼座。あんたの会ったベアトリーチェはいくつくらいに見えたのよ」
Ushiromiya Rosa,「……当時の私よりは年上に見えたけれど、……それでも、……多分、成人したかどうかという歳に見えたわ。そう、まさに肖像画のベアトリーチェくらいの年齢よ」
Ushiromiya Rudolf,「中年、あるいは壮年に見えたか？」
Ushiromiya Rosa,「大人か子供かって言われたら、明らかに子供に近い年齢だったわ。中年なんて、とんでもない」
Ushiromiya Eva,「だから、それじゃおかしいのよ。あんたの会ったベアトリーチェと、お父様に黄金を与えたベアトリーチェ。年齢が合わないのよぅ」
Willard H. Wright,「つまり、別人ということだ」
Ushiromiya Lion,「よく似た同じ名前の、別人……」
Ushiromiya Hideyoshi,「娘、かもしれんな。親子なら、よく似とったに違いない」
Ushiromiya Kyrie,「愛人の娘……。ありえるわ。黄金を授けたベアトリーチェとの間に、お父さんは隠し子を儲けた……とか。」
Ushiromiya Rudolf,「それが、楼座の出会ったベアトリーチェ二世、ってわけか。……年齢的辻褄は合うな」
Willard H. Wright,「……………………………」
Ushiromiya Lion,「なるほど……。つまり、ベアトリーチェと呼ばれる人物は、二人いるわけですね」
,愛人の娘を、金蔵は隠し屋敷で密かに育てた。
,筋の通る話だ。一同は頷き合い、納得する。
,……しかしウィルは、わずかに釈然としない顔を浮かべ、頭をぼりぼりと掻く…。
Ushiromiya Lion,「どうやら、この葬儀は、隠したがゆえに弔うことが出来なかった二人のベアトリーチェのためのようですね……」
Willard H. Wright,「楼座。思い出したくねぇだろうが、事故の時の話を頼む。ベアトリーチェが転落した時、まだ息はあったのか」
Ushiromiya Rosa,「いいえ。……目を大きく見開いていた。頭から真っ逆さまに落ちて、岩浜の岩の、鋭い角に頭をぶつけて。それも、あの高さから……。…………頭部は陥没して裂けてたわ。……美しい黄金の髪がみるみる内に赤黒く溢れる血に染められて……」
Willard H. Wright,「一目見て、死んだと確信できる外傷だったのか」
Ushiromiya Rosa,「えぇ。割れた頭の中身を見たわ！　それも握り拳大に陥没して…！　あれを見て、生きてて欲しいなんて、幾らなんでも虫が良すぎるわ！」
Ushiromiya Lion,「……ウィル。それ以上を聞く必要はありますか？」
Willard H. Wright,「事故時はもういい。それからあんたはどうした」
Ushiromiya Rosa,「一目散に駆け出したわ。……誰かを呼びに行くためなんて綺麗事でさえない」
Ushiromiya Rosa,「………その場から一刻も早く逃げ出したかったの。錯乱状態になりながら、涙と荒い息でめちゃくちゃになりながら、でたらめにどこまでも。……そしたら、いつの間にか見知ったライオンの彫像に出くわしたわ」
Ushiromiya Eva,「あぁ、礼拝堂の前の？」
Ushiromiya Rosa,「いえ、裏のよ。……とにかく、私は屋敷に帰りついた。誰にも話せない、話したくない。私は夜まで黙っていたわ。酷い話よ。急いで誰かに話し、救急箱を持って戻っていたら、彼女を助けられたかもしれないのに……」
Willard H. Wright,「頭蓋骨陥没を、救急箱の何で救えたってんだ。……お前が殺したわけじゃない。もう気にするな」
Ushiromiya Rosa,「………………………」
Ushiromiya Lion,「それで、……楼座叔母さんはどうしたんですか」
Ushiromiya Rosa,「……ベッドで何度も寝返りをうったわ。眠れなかった。……深夜にこっそり、………源次さんに電話して打ち明けたわ…」
