Speaker,PS3 Japanese - Censored (JPC)
Ushiromiya Kinzo,「…………そうか。始まったか」
Ronoue Genji,「…はい」
Shannon,「……………………………」
,金蔵は６人の死を聞いても、感情に何の揺らめきも起こさなかった。
,窓の外を眺めるその表情に浮かぶのは、……まるでチェスで、相手に絶妙な一手を指されてにやりと笑うかのようなもの。
,…それはとても、息子たちを一度に大勢失った父親の表情とは思えない。
Ronoue Genji,「……楼座さまのご指示で、郷田と嘉音が警察へ電話しております。それから、お館様に以後のご指示を仰ぐようにとも仰せつかっておりますが…。……いかがいたしますか」
Ushiromiya Kinzo,「……………すでにこの島は現世から切り離されているのだ。電話など何の役にも立たぬわ」
Ronoue Genji,「やめさせますか」
Ushiromiya Kinzo,「……ルーレットが終わるまで、何をして過ごすも自由だ。好きにさせてやれ」
Ronoue Genji,「…………はい」
Shannon,「…その……。…楼座さまには何とお伝えいたしましょうか」
Ushiromiya Kinzo,「何をして過ごすも自由だと言っておるッ！！　歌おうが踊ろうが！　首を吊ろうが煮えたぎる大釜に飛び込むも自由ッ！！　１３人が死ぬまで好きに過ごせば良いのだ。そんなに退屈ならばなぜに６×９が４２になるかでも考えていればいいッ！！　それが人と宇宙の神秘の答えだッ！！」
Shannon,「はッ、はい…！　も、申し訳ございません……！」
,突然の激昂に紗音は竦み上がる。…源次は、余計なことは言わなくていいというような仕草をする。
,紗音は余計な口出しを後悔せざるを得なかった…。
Ushiromiya Kinzo,「だが。…自由にしてよいのはお前たちもだ。……源次。そして紗音も。今日までよく私に尽くしてくれた」
Shannon,「も、…勿体無いお言葉です……。…ですがその………」
Ronoue Genji,「……………私どもはお館様にお仕えすることを誓った家具です。……いついかなる時でも、お側に控えております。……最後の、その時まで」
Ushiromiya Kinzo,「………………。…………お前たちには、全てを、………話しておきたい。……紗音。遺言を書く。筆耕を頼む。…源次はいつもの酒を頼む」
Shannon,「ぇ…。……………は、…………はい……！」
,金蔵はよく健康上の理由から南條に遺言状の執筆を勧められることがあったが、その度に激しく怒っていた。
,……それ以来、遺言状という単語は、金蔵のもっとも忌避する言葉のはず。
,その単語を自ら口にしたため、紗音は一瞬、耳を疑わなければならなかった。
,紗音は慌ててサイドテーブルと便箋の用意をする。源次も指示された通り、いつものあの緑色の魔酒を作り始める…。
Shannon,「準備が整いました」
Ushiromiya Kinzo,「………うむ。………何から語るか。…我が生涯を語るも良いか。……思い出深い対局を棋譜に残すのは楽しいことだ」
Ushiromiya Kinzo,「………百年以上も昔の棋譜を読み、…対局者たちの思いを探る思考の旅も、実に楽しい。………ならば、我が生涯の棋譜も、後世の者によって、我が思いを探る旅への誘いとなるのだろうか。……ふ」
,金蔵はしばらくの間、何から話せばいいのかと思案するように、両手を後で組んで部屋中をぐるぐると闊歩した…。
Ronoue Genji,「お館様。………どうぞ」
Ushiromiya Kinzo,「うむ。すまんな、我が友よ。…………さて。我が生涯を語るには、あの魔女との出会いから記さねばなるまい」
Ushiromiya Kinzo,「…紗音、筆記せよ。……私がベアトリーチェに初めて出会ったのは、だいぶ以前に遡る。あれは昭和の何年だったか…。…確か、終戦の……、」
,俺たちは、冷静を取り戻せるだけの時間を充分に取り、………必ず犯人を捕まえてやると各々の両親に誓った。
,もう悔しさはないと言えば嘘になる。
,…今だって、ほんのわずかでも気を許せば、朱志香がそうだったように、激怒に駆られ、何かの暴力に訴えたくなる。
,郷田さんが戻ってきて言うには、今は嘉音くんが様子を見てくれているという。
,…まだだいぶ感情が高ぶっているらしかった。
Ushiromiya Rosa,「……そう。ありがとう。…若い子の気持ちは、若い子の方が汲み取れるかもしれない。……今はそっとしておく方がいいんでしょうね」
Nanjo Terumasa,「楼座さん…。……私らにこれ以上ここに留まってできることは何もありません。……電話は不通でしょうが、明日になれば船が来てくれて、それで警察へ連絡できるでしょう。警察の捜査のためにも、ここはこのまま残すべきです」
Gohda Toshiro,「…私も南條先生に同感です。……このようなところにいつまでもおられますと、お体に障ります。……戻り、紅茶をお淹れしましょう…」
Ushiromiya Rosa,「………そうね。…私もそれに賛成よ。……戦人くんも譲治くんも、もういい…？　ここは閉めましょう。警察が来た時のためにも、ここはこのまま残しておいた方がいいわ」
Ushiromiya George,「そうですね。………戦人くん、…大丈夫かい…？」
Ushiromiya Battler,「……あぁ。…流せる涙は流し尽くしたぜ。………もう大丈夫さ」
,警察なら、徹底した捜査できっと何かの痕跡を見つけてくれるだろう。…しかし、それを待てるほど、俺たちは大人にはなれなかった。
,…俺は、警察が来るよりも早く犯人をふん捕まえてやろうと、俺なりに礼拝堂の中を調べたのだ。
,……そしてわかったことは、…悔しいが収穫ゼロ。{n}……何の手掛かりも発見できなかった。
Ushiromiya Rosa,「さ、……出ましょう。…真里亞、行くわよ。……いつまでもじろじろ見ていないの…！」
Ushiromiya Maria,「……うー」
Gohda Toshiro,「さぁさぁ、真里亞さま。参りましょう…。ここは肩を冷やします」
Ushiromiya George,「…………父さん、母さん。……今日までありがとう。…僕は、きっと父さんたちの期待を裏切らない男になる…」
,譲治は、最後の別れの言葉を両親に掛けた。
,……その様子を見て、戦人もそれに倣う。
Ushiromiya Battler,「…親父、霧江さん」
,顔だけを見たら、…眠っているようにも見えるのが、……余計に悔しい……。
Ushiromiya Battler,「………こんな涼しすぎるところに残してくのを、許してくれよな。………絶対に、仇は取るぜ…。絶対にな…」
Ushiromiya George,「……これは、……何？　気色の悪い落書きだね…。犯人が書いたのかな」
Nanjo Terumasa,「悪趣味に過ぎますな……。……これは酷い…」
,礼拝堂の扉が閉められて初めて、俺たちはその不気味な落書きを知ったのだった。
Gohda Toshiro,「私たちが見つけた最初からもう書かれておりました。…おそらく、犯人が書いたものに違いないでしょう…」
Ushiromiya Battler,「…犯人は魔女だから、こりゃ悪魔を呼び出す魔法陣か何かだってのか……？」
Ushiromiya Maria,「きひひひひひひひひひひ…。これは太陽の７の魔法陣だよ。そんなのも知らないんだね…。きひひひひひひひひひひひひひひひ。あ痛」
Ushiromiya Rosa,「こら！！　その気持ち悪い笑いをやめなさいといつも言ってるでしょッ！！」
Ushiromiya Battler,「真里亞、続けろ。……何の意味があるんだ」
Ushiromiya Maria,「肉体的、あるいは精神的な束縛から逃れるための魔法陣だよ。……そして円周部に書かれているヘブライ語は、“主は私の枷を解かれました。私はあなたに感謝の生贄を捧げ、主の御名を呼ぶでしょう”」
Ushiromiya George,「……感謝の生贄…？　父さんたちが殺されたのは、この魔法陣のための生贄だっていうのか…？！」
Ushiromiya Rosa,「心を落ち着けて、譲治くん…！　こんなのは犯人の挑発よ。…どうせ意味なんてないわ。考えるだけ心に毒よ」
Ushiromiya Battler,「……そして、英語も書いてあるな。…ハッピーハロウィンフォー、…マリア。……なるほどな。それで、ここを開ける鍵が真里亞に渡されてたと、…そういうわけか」
Ushiromiya George,「…ここは礼拝堂だしね。…真里亞ちゃんのマリアじゃなく、聖母マリアの方の意味かもしれないよ。……だとすれば、ハロウィンの名を騙った神への冒涜とも受け取れる」
Ushiromiya George,「悪魔と契約した魔女たちは、神の名を常に穢し続けることを誓うという。……そういうセンスから言えば、これは実に魔女的な犯行だね」
Ushiromiya Rosa,「…詳しいのね。……真里亞の受け売り？」
Ushiromiya George,「……えぇ、そんなとこです」
Ushiromiya Battler,「礼拝堂か。……礼拝堂にわざわざ呼んで殺した…。…………楼座叔母さん。この礼拝堂には、何か特別な意味とかあったんすか…？」
Ushiromiya Rosa,「特別な意味って、……どういう意味？」
Ushiromiya Battler,「いやその。…………人間６人の死体を遥々ここに運び込んで、こんな凝ったデコレーションをした」
Ushiromiya Battler,「…ここに６人を呼んでから殺したのか、６人を殺してからここに運び込んだのかは断定できないが、…どちらにしても大きな手間が掛かる。………犯人には、ここで、{i:６人に死んでほしいどんな理由があったってんだ}……？」
Nanjo Terumasa,「……そうですな。あんな凝ったことをすれば、警察が来た時、不利な証拠を見つけられる可能性が非常に高いでしょう」
Nanjo Terumasa,「……それを犯人が見越さなかったはずもない。…なら、犯人はどうしてわざわざ、そんな手間を掛けてまでこんなことをしたのだろう、ということになりますな…」
Ushiromiya Battler,「だとしたらここで出てくる疑問はひとつ。……６人の死体発見場所になるココに、どんな意味があるのかってことだ」
Ushiromiya Rosa,「……ここは、……お父様の大切な礼拝堂だったの。……私が子どもの頃から、ここに立ち入ってはいけないと厳しく言われていたわ」
Ushiromiya Maria,「うー。…真里亞も前にここに来て、ものすごい怒られた…。うー…」
Ushiromiya George,「大切な礼拝堂…？　……右代宮本家にとって何か縁のある…？」
Ushiromiya Rosa,「わからないの。……お父様はこの礼拝堂をとても神聖視していて、何度か化粧直しの工事をさせるくらい大事にしていたわ」
Ushiromiya Rosa,「…でも、みんなも知っての通り、お父様は黒魔術が大好きなくらいで、敬虔な信者だったわけじゃない。……ここで神に祈りを捧げてたなんて、聞いたこともない」
Gohda Toshiro,「……私の知る限りでも、ここにお館様がいらっしゃったことはありません。私たちも、ここを　“開かずの礼拝堂”と呼んで、…その、オバケ屋敷のような感じで、薄気味悪く思っておりました」
Ushiromiya Rosa,「お父様自身、まったく近付かなかったのに、なぜか年に何度か使用人たちに大掃除をさせていたわ。……常に清潔にしていて、まるで、いつ使用する時が来てもいいように、という感じだった」
Ushiromiya Battler,「にもかかわらず、“開かずの礼拝堂”ってか…。……いっひっひ！　不謹慎だが、面白ぇ響きじゃねぇか。南條先生は祖父さまの古い友人なんだって？　その辺りの経緯を聞いたことは？」
Nanjo Terumasa,「…………ずいぶん昔に聞いたことがありますが、何と言ってはぐらかされたか忘れました。……そうそう、こんなことを言っておりましたっけ」
Nanjo Terumasa,「……いつか、自分もあそこで祝福を受けることもできるかもしれない。しかしそれは、奇跡でも起きない限り、訪れないと」
Ushiromiya Battler,「どういう意味だろうな。………礼拝堂ですることって何だ？　まさか自分の葬式ってんじゃねぇだろうな」
Nanjo Terumasa,「金蔵さんに限ってそんなはずは。…死後のことより、生きている今に一生懸命な方でした。………しかし、そのせいで遺産問題をこじれさせるタネとしてしまったようですがな」
Ushiromiya Battler,「あと、礼拝堂ですることって何だろうな。………祈り？　懺悔も礼拝堂だっけ？　………………何にしろ、胡散臭いな」
Ushiromiya George,「……どういう理由かわからないけれど、……お祖父さまにとってその、南條先生の言っていた通り、……奇跡でも起きない限り、祝福を受けられないというのは、この礼拝堂を建てた時から決められていた宿命のようだね」
Ushiromiya Rosa,「どうしてそんなことがわかるの…？」
Ushiromiya George,「ほら、…あそこにはっきり記されてます。……ほら、あそこに」
,譲治の兄貴が、扉の上のアーチ部分にある錆びた金文字のレリーフを指差す。
,英文で何かのメッセージが書かれているようだった。…その錆び具合から、建立当時から記されているメッセージであることがわかる。
Ushiromiya Battler,「………英語は弱いぜ。……何々…？　……ディスドアイズ、オープンド、オンリーアット、プロバビリティオブ？？　すまね、英語駄目だ」
,俺は二行の内の一行目も読みきれずギブアップする。{n}…他の連中はちゃんと読めてるようだ。
Ushiromiya George,「…えっと、確かこれは、ｍ、ｂ、ｔ、ｑだから、…えっとえっと…いくつのことだっけ、確かえっとえっと、……………」
Ushiromiya George,「……とにかく、これはすごいよ。両手の指じゃとても足りない。確かに、奇跡でも起こらないと駄目だね」
Nanjo Terumasa,「……ですな。何事も博打的に例えたがった、昔の金蔵さんらしい言い方です」
Ushiromiya Battler,「何だ何だ、みんなは読めたのかよ。誰か俺にも意味を教えてくれ」
Ushiromiya Maria,「きひひひひひひ。…英語くらい勉強しなよ。この程度読めないでよく高校に入れたね？　きひひひひひひひひひ、あ痛。あ痛あ痛あ痛」
Ushiromiya Battler,「余計なお世話だぜ。それで何て書いてあるんだ」
