Speaker,PS3 Japanese - Censored (JPC)
,外はすっかり雨になってしまっていた。
,しかし、いとこ部屋はとても賑やか。
,たとえ、雨が降ろうと槍が降ろうと、彼らの楽しいひと時にはなんの差し支えもなかった。
Ushiromiya Battler,「いっひっひーー！！　俺、フルハウス〜！！　ドーン！」
Ushiromiya George,「うわっ。ブラフじゃなかったか…！」
,ベッドの上で車座になり、いとこたちは大盛り上がりしていた。
Ushiromiya Jessica,「戦人がデカく張る時は、役なしのことが多いと思ってたんだがなぁ…！」
Ushiromiya Battler,「そう思わせるために、ここまで負けてきたんだぜぇ？　最後に勝つ為に負けを布石する男、右代宮戦人！　いっひっひ！」
Ushiromiya Maria,「うー、戦人すごい、戦人すごい…！　真里亞、またコインなくなっちゃった」
Ushiromiya Jessica,「私のコインを分けてやるよ。一緒に戦人をぶっ潰そうぜ！」
,トランプがあるだけで、いとこたちは何時間だって楽しく過ごせる。
,彼らの元気さの前には、時折の落雷も、ちょっとしたアクセント程度にしかならなかった。
Ushiromiya George,「そろそろお腹が空いたね。夕食はまだかな」
Ushiromiya Jessica,「さぁ。そろそろじゃないかな。今夜は郷田さんたち、ずいぶん張り切ってたなぁ」
Ushiromiya Battler,「へへっ、ってことはずいぶんと期待できそうだぜ。俺の６年ぶりの再会を祝してかなぁ？」
Ushiromiya George,「さっき紗音に聞いたけど、ハロウィンパーティーがあるって言ってたよ。ホールで立食形式でやるそうだよ。すごいね」
Ushiromiya Maria,「ハロウィンパーティー？！　すごいすごいすごい、うーうーうー！！」
Ushiromiya Jessica,「ん？　はーい、どちら様ぁ？」
,ノックがあり、扉が開くと、縁寿がいた。
,あの後、縁寿は両親の部屋で寝ていたのだ。
Ushiromiya Battler,「おぉ、縁寿か！　起きたか？」
Ushiromiya Ange,「あのね、晩御飯だからお屋敷、行くって。準備しなさいって」
Ushiromiya Maria,「うーうーうー！！　ご飯だご飯だ〜！！　お腹空いた〜〜！！」
,一番元気にはしゃいでいた真里亞が、一番空腹だったのだろう。
,飛び上がって喜び、ベッドから跳ね降りる。
,彼らがぞろぞろとベッドを降り、靴を履き始めると、霧江たちも姿を見せた。
Ushiromiya Rudolf,「おら、ガキども。メシだぞ、行く支度をしろぃ」
Ushiromiya Kyrie,「今日は何だか素敵みたいよ。楽しみね」
Ushiromiya Maria,「うー！！　真里亞知ってる！　ハロウィンパーティー！」
Ushiromiya Ange,「……ハロウィンパーティー？」
Ushiromiya Maria,「きっひひひひひ！　真里亞だけ知ってて、縁寿は知らない。きっひひひひひ」
Ushiromiya Ange,「お母さん、ハロウィンパーティーって何ぃ？」
Ushiromiya Kyrie,「さぁ、何かしらね。行ってのお楽しみね」
Ushiromiya Hideyoshi,「みんな、えーかぁ？　そろそろ行くでー」
Kanon,「皆様、お揃いでしょうか。ご案内致します」
Ushiromiya Rosa,「真里亞、こっちいらっしゃい。襟が変よ」
Ushiromiya Eva,「あぁ、お腹空いちゃったわー。親族会議の一番の楽しみは食事よねぇ。縁寿ちゃんは、お腹空いた？」
,絵羽が縁寿に微笑みかける。
Ushiromiya Ange,「………うん。空いた」
Ushiromiya Kyrie,「縁寿。空きました、でしょう？」
Ushiromiya Eva,「くすくす。いいのよぅ。そうよねー、お腹空いたわよねぇ。伯母さんもお腹ぺこぺこよぅ」
Ushiromiya Rudolf,「よし、出発するぞー。表は風も強いみたいだからな。傘を飛ばされるなよ」
Kanon,「皆様、傘をお持ち下さい」
Ushiromiya Eva,「はい、縁寿ちゃん。傘」
Ushiromiya Ange,「ありがとう、絵羽伯母さん」
Ushiromiya Eva,「くす。……あぁ、やっぱり女の子は可愛いわねぇ。今度、伯母さんのお家にも遊びにいらっしゃい？　約束よぅ？」
Ushiromiya Battler,「……絵羽伯母さんって、縁寿のこと、気に入ってるんだ？」
Ushiromiya George,「うん。母さんは本当は、娘が欲しかったらしいんだよ」
Ushiromiya Jessica,「あー、聞いたことあるぜー。小さい頃、私もずいぶん可愛がってもらった気がする」
