Speaker,PS3 Japanese - Censored (JPC)
Ushiromiya Ange,「クリスマスの次の日はクリスマスじゃないもん。そんなの絶対ありえない」
Ushiromiya Kinzo,「くっくっく。残念であるな、ハズレだ」
Ushiromiya Ange,「えー、どうして…！」
Ushiromiya Eva,「縁寿ちゃん、一日の始まりは何時から？」
Ushiromiya Ange,「真夜中の午前０時」
Ushiromiya Eva,「ほら。午前０時は夜じゃない」
Ushiromiya Ange,「……あっ」
,そうか。最初の夜とは、１２月２５日の午前０時直後くらいの話なのだ。
,つまり、前日が終わって、クリスマスになったばかりの時間。
,確かにそれもクリスマスの日だし、夜なんだ。
Ushiromiya Ange,「そして、２５日の朝が来て、また夜になったら、それも２５日の夜……」
Ushiromiya Eva,「そういうこと！　よく出来たわね」
Ushiromiya Kinzo,「ほっほっほっほ！　もう少し早く思いつくことが出来ればよかったがのぉ」
,お祖父さまはサンタクロースのような声で笑う。
,絵羽伯母さんは、答えをちゃんと思いついたのだから正解にしてあげたらと訴えたが、お祖父さまは首を横に振る。
Ushiromiya Eva,「もう…！　ケチなお祖父ちゃんねぇ？」
Ushiromiya Ange,「でも、要領はわかった。次をがんばる」
Ushiromiya Kinzo,「むむ。その意気込みであるぞ。それでこそ我が孫である」
Ushiromiya Ange,「ありがとう、お祖父ちゃんっ。もう大丈夫。これからはいっぱい正解するっ」
Ushiromiya Kinzo,「うむ。がんばるが良い。お祖父ちゃんも素敵な景品を用意して待っておるぞ」
,私はお祖父さまに頭を下げてから、絵羽伯母さんと共にみんなの方へ駆け出すのだった。
Ushiromiya Ange,「あ、そうか。可能だ…！」
Ushiromiya Eva,「そうそう。１日の間に夜って、２回あるのよね」
Ushiromiya Ange,「うん！　１２月２５日は真夜中の午前０時から始まる。午前０時は夜だから、それが最初の夜。それから、朝になってまた夜になっても、夜中の１２時まではまだ同じ日！」
Ushiromiya Eva,「そういうこと。そのどちらの夜も、確かにクリスマスの日の夜よね」
Ushiromiya Ange,「えへへへへ。縁寿すごい？　縁寿すごい…？！」
,絵羽伯母さんは最高の笑顔で、私の頭をいっぱい撫でてくれた。
Ushiromiya Kinzo,「わっはっはっは！　見事であるぞ、縁寿。難しい問題のつもりだったのに、あっさり解かれてしまったわい」
Ronoue Genji,「おめでとうございます、縁寿さま。……これが、第１問正解のメダルでございます」
,源次さんが金色のメダルを差し出す。{n}受け取るが良いと、お祖父さまは微笑んだ。
