Speaker,PS3 Japanese - Censored (JPC)
Ushiromiya Ange,「誰かぁああぁぁ！！　誰かいないの？！　お兄ちゃぁぁあぁん！！　うわぁああああん！！」
,縁寿は泣き喚きながら、ゲストハウスを飛び出す。
,この島には誰か生き残っていないのか。
,いとこ部屋には誰もいなかった。
,しかし同時に、まだ戦人と譲治と真里亞の死体を見ていないことも思い出す。
,それがまだ生きていることを指すのか、これから死体として再会することを指すのか、わからない。
Ushiromiya Ange,「お兄ちゃんたち、どこ？！　どこぉぉおおぉお！！　返事をしてぇええぇえぇえぇ！！」
,雨の中を走り回る。
,どこへ？　がむしゃらに。
,兄の姿を求めて、迷子の妹が駆け回る。
,びしょ濡れになりながら、ひとり……。
,………やがて、茂みの向こうに、兄の声を聞いた気がした。
,いや、兄の声だけじゃない。譲治お兄ちゃんの声も、真里亞お姉ちゃんの声も聞こえた。
,私は大声で呼び掛けるのだが、彼らは応えてはくれなかった。
,しかしもういい。すぐそこにいる。この垣根の向こうにいる。
,垣根越しに、彼らの姿がうっすらと見えてさえいるのだ。
,その垣根をぐるりと回りこむと、そこは倉庫か何かの前だった。
,きっと、薔薇庭園の手入れをするための道具をしまってある倉庫に違いない。
,その倉庫の前に、お兄ちゃんたち３人の姿があった。
Ushiromiya Ange,「お兄ちゃん…！！」
,そう叫ぶのだが、声が届いていない。{n}こんなにも大声で叫んでいるのに？
,私はものすごい違和感を覚える。
,……人の声は、たとえ聞こえないふりをしたって、何かの反応が体に出てしまう。
,しかし、お兄ちゃんたちには、一切、それがないのだ。
,これだけ大声で叫んでいるのに、………本当の本当に、お兄ちゃんたちの耳には届いていないのだ。
,それを理解した瞬間、……彼らに駆け寄る私の足は遅くなり、止まってしまう。
,同じ世界にいるように見えて、………私と彼らは異なる世界にいるのだ。
,例えるならテレビ。いや、亡霊…？
,私にはありありと見えているが、……彼らにとって私は、いないのだ。
,……だから、ほら。
,私がお兄ちゃんたちの目の前に立っても、……彼らの目に、私は映っていない。
,触ったら、触れられるだろうか。……もしも、透けたら。
,それが怖くて、……私はこんなにも目の前なのに、呆然と立ち尽くすことしか出来なかった…。
Ushiromiya Battler,「クソッタレ…！！　もう、俺には、何が何だかわからねぇ…！　やっぱり、島の外から何者かが入り込んでるんだ！！　そしてそいつが、右代宮家を皆殺しにしてるんだ！」
Ushiromiya Maria,「……どんなに閉じ篭っても、必ず誰かが殺されてしまう。……うー！　やっぱりこれは魔女の仕業ー！」
Ushiromiya George,「みんな落ち着いて…！　落ち着いて考えよう。……この島には、右代宮家の人間以外は存在しないんだ」
Ushiromiya Battler,「そんなはずはねぇぜ…！　だって、現にこうして、右代宮家の誰にも不可能な殺人が、何度も起こってるじゃねぇか！」
Ushiromiya George,「……それはそうだけど……。本当にそうだろうか？　僕たちには見落としがあるんじゃないだろうか？」
Ushiromiya Maria,「見落としって？」
Ushiromiya George,「例えば……。………そうさ、死んだフリとか！　この島に右代宮家の人間しかいない以上、犯人だって右代宮家の人間しかいないんだ。だとしたら僕たちが、死んだと思い込んでいる誰かが実は死んでなかったということになる…！」
Ushiromiya Battler,「しかし兄貴ッ、それはありえねぇぜ？！　全員の死体を必ず誰かが検死してる！　死んだフリなんか絶対に出来ねぇはずだ！」
Ushiromiya George,「考えたくはない…。でも、その検死さえも、……偽られているとしたら？」
Ushiromiya Maria,「………うー…？」
Ushiromiya George,「つまりこういうことさ。犯人は初めから複数犯だったんだ。そして、１人は殺されたフリをして、１人は間違いなく死んでいると嘘を吐く。そして、死んだフリをした犯人は犯行を重ね、あたかも右代宮家以外の人間が島に紛れ込んでいるかのような、幻想を生み出す…！」
Ushiromiya Battler,「譲治の兄貴は、右代宮家の誰かが犯人だって、……まだ疑ってんのかよ？！」
Ushiromiya George,「………南條先生は殺された。……殺された以上、犯人ではないと考えるのが妥当だろう。そして、お医者である南條先生の検死が、一番信頼できたと考えられる」
,となれば、南條が死亡を確認した人間は、ほぼ確実に死んでいると考えて問題ないだろう。
,南條は誰を検死した？
,源次の死体を検死した。{n}蔵臼と夏妃の死体を検死した。{n}紗音の死体を検死した。{n}郷田と熊沢の死体を検死した。
Ushiromiya George,「最初の、食堂の死体。あの６人の犠牲者のうち、南條先生は源次さんの死体しか、検死をしていないんだ」
Ushiromiya Maria,「……真里亞たちがそれぞれ、確認したはずだよ？」
Ushiromiya George,「しかし、南條先生が確認したわけじゃない」
Ushiromiya Battler,「何を言ってんだよ？！　あの惨ぇ殺され方で、どう親父たちが生きてるってんだよ？！」
Ushiromiya Battler,「それに譲治の兄貴は何を言ってるんだ？！　ってことは、俺たちの親の誰かが犯人だって言ってんのかよ？！　そりゃあねぇだろ？！」
Ushiromiya Battler,「真っ先に殺されて、これだけ大勢が殺されて…！　どうやったら、さらにその上、俺たちの親が犯人だなんて言えるんだよ？！　許せねぇ、あんな殺された方をした親父たちを、さらにこの上、疑って辱しめるなんて、たとえ譲治の兄貴でも許せねぇ…！！」
Ushiromiya George,「………ご、………ごめん……」
Ushiromiya Maria,「……真里亞のママはちゃんと死んでたよ。じゃあ、譲治お兄ちゃんの親か、戦人の親か、どっちかが犯人？」
Ushiromiya George,「もう、よそう、真里亞ちゃん……。僕もちょっと混乱してたみたいだ…」
Ushiromiya Maria,「譲治お兄ちゃんは、紗音を殺さないよ」
Ushiromiya Battler,「もう止せよ…！　俺たちの誰も、親族を殺したりするわけなんかねぇだろう！！」
Ushiromiya Maria,「だから、譲治お兄ちゃんが、お父さんとお母さんが本当は生きてるのに、死んでるなんて、嘘を吐かないと思う。………譲治お兄ちゃんは、紗音が殺されるような事件の片棒を、担ぐわけがない」
,真里亞は淡々と、……クイズかなぞなぞに答えるかのように、譲治に告げる。
,そして、きょとんとした顔のまま、戦人の方を向き、告げた。
Ushiromiya Maria,「………戦人は、お父さんとお母さんの死体を、見たよね？」
Ushiromiya Battler,「あぁ、見たさ！！　みんなも見ただろ？！　あんな血塗れで、酷ぇ死に様で…！！」
Ushiromiya Maria,「戦人が、嘘を吐いてると思う」
Ushiromiya Battler,「はぁ？！　どうしてそうなるんだよ！！」
Ushiromiya Maria,「そうすると、筋が通る。……最初の食堂で、戦人の両親は死んでなかったの。その片方が、夏妃伯母さんたちを殺し、内側から鍵を閉めて、部屋に留まる。……もう片方が、それ以降の殺人を引き継いだ」
Ushiromiya Maria,「……ゲストハウスの密室を破るには、内側に協力者がいなくてはならない。それが、戦人。……全部全部、説明がつくよ」
Ushiromiya Battler,「いッ、いい加減にしろぉおおぉおおぉおおおおぉ！！！」
Ushiromiya George,「よ、よさないか戦人くん…！　真里亞ちゃんも…！！」
Ushiromiya Maria,「やっと頭の中の、狼と羊のパズルが、ぴったりと収まった。………犯人は、戦人一家。うー。……正解？」
Ushiromiya Battler,「な、何を言ってやがんだぁああぁああぁぁぁッ！！！」
,{a:c:「正解よ」}
,その声は縁寿の後ろから聞こえた。驚き、振り返ると。
,……そこには血塗れの姿の、……だけれども、元気そうに立つ留弗夫と霧江の姿があった。
Ushiromiya George,「留弗夫叔父さん、霧江叔母さんっ、………ぶ、無事で……」
,譲治はそこまでを口にして、その意味を理解し、呆然と驚愕の入り混じった、歪んだ表情を浮かべた。
,真里亞は驚かなかった。しかしさりとて、自分の答えが正解していたことについても、喜ばなかった。
,戦人は。
,……縁寿は見てしまう。
,生涯忘れ得ない、醜い表情を。
,それは、鬼の、笑い。
,二目と見られない醜悪な鬼が、醜く顔を歪めて笑う、そのおぞましさと言ったら。
,それを、……兄の顔に、見てしまう……。
,留弗夫と霧江が後ろ手に隠していた銃を構える。
,その照準は、たじろいで後退る譲治の眉間と、達観したかのようににやりと笑う真里亞の眉間を、それぞれ捉えていた。
,稲妻が閃き、激しい雷鳴が轟く。聞こえたのはそれだけだった。
,そして、その轟音に弾かれて、……譲治と真里亞という操り人形の糸が、プツンと途切れる。
,二人という人形は、水溜りにバシャリバシャリと倒れ、動かなくなった……。
Ushiromiya Ange,「……お、……お父さん、………お母さん………」
,それらは全て、縁寿の目の前の出来事…。
Ushiromiya Rudolf,「へっ、…はっはははははははははは！！」
Ushiromiya Kyrie,「うっふふふふふ、あははははははははは！！」
Ushiromiya Battler,「いっひひひひ、ひっははっはっはっはっはッ！！」
,呆然と立ち尽くす縁寿は、彼らの目には入らない。
,彼らはげらげらと笑い転げる。そして縁寿の目の前で、これまでの殺しっぷりについて、面白おかしく、互いを褒め称えてさえいる。
,その醜悪な三人の、……家族の表情に、………縁寿は、涙と吐き気を同時に催し、窒息してしまいそうになる。
,縁寿は嘔吐を堪えながら駆け出す。
,愛する家族のおぞましい笑い声が届かないところへ、一秒でも早く逃げ出したかった。
,その時、足を滑らせ、縁寿は泥の水溜りに突っ伏す。
,縁寿は起き上がろうとはしなかった。
,それよりも、まだ聞こえる、おぞましい笑い声が耳に入らぬよう、耳を塞ぐことを選んだ。
,すると、………漆黒の薔薇庭園の、茂みの陰や塀の陰から、……真っ黒な何かが、ぬるりぬるりと現れ出す。
Ushiromiya Ange,「……………？！？！」
,縁寿は驚いて周りを見ると、………不気味な黒い人影が、いつの間にかあちこちより現れ、縁寿をゆっくりと取り囲んでいた。
,それは、………大勢の、山羊の頭をした人々だった。
,服装はそれぞれ違う。
,スーツもいれば、私服のような者もいる。しかしいずれも薄黒く汚れ、そして誰もが黒山羊の頭をしていた。
,縁寿は呆然として、思わず、耳を押さえていた手を下ろしてしまう。
,もう、おぞましい笑い声は聞こえなかった。
,しかし代わりに、……山羊たちが口にする言葉を、耳にしてしまった。
,『…………霧江と留弗夫が、犯人』
,『戦人が犯人……、戦人が犯人……』
,『……戦人犯人説。戦人一家犯人説……』
,山羊たちは、不気味な声で次々にそう口篭りながら、……縁寿を取り囲み、近付いてくる。
,みんなみんな、縁寿の家族が犯人であると口にしながら、迫ってくる……。
,………当初は、誰もが絵羽犯人説を唱えた。
,六軒島からの唯一の生還者が、ほとんど全ての富を独り占めにしたのだから、それは自然な説だった。
,右代宮絵羽だけが、なぜ九羽鳥庵で難を逃れたのか。そして、なぜ彼女は、あの日に何があったのかを頑なに話そうとしないのか。
,その全てが、絵羽犯人説で説明できるとされた。
,しかし、絵羽が病死し、彼女が悪辣な方法で築き上げた巨万の富が、縁寿に相続されるとわかると、世論は、……いや、偽書作家たちは新しい犯人説を生み出し、それを持ち上げた。
,それが、………留弗夫一家犯人説。
,全員参加が基本である親族会議に、なぜ縁寿だけが参加しなかったのか。
,幼い縁寿を連れて行かない都合が、留弗夫一家にあったのではないか。
,戦人も連れて行かれているが、霧江の息子ではない。
,そして週刊誌が、霧江の生家が広域暴力団と密接な関係にあることを暴くと、一気に霧江という個人に衆目が集まった。
,さらに、留弗夫が如何に詐欺紛いの商法で荒稼ぎをしていたかも赤裸々に暴かれ、留弗夫夫婦はあっという間に、最も疑わしい人物に祭り上げられた。
,秀吉と絵羽の会社は、乱暴ではあったが、少なくとも法律の範囲内で行なわれていた。
,しかし、留弗夫の会社は検証すればするほどに犯罪性が高いことが暴かれた。
,また、留弗夫と霧江の学生時代のいくつかのパーティー券騒動を巡るトラブルが証言され、その疑わしさの度合いでは、はるかに絵羽一家より高いことが明白だった。
,こうして、瞬く間に、……留弗夫一家犯人説は、絵羽犯人説を含むその他諸説を駆逐して、疑惑の頂点に君臨してしまったのである。
,……それは別に、絵羽犯人説よりもっともらしかったからではない。
,単に、絵羽犯人説が飽きられ、新たな刺激が求められていたに過ぎない……。
,山羊たちの姿が、ぐにゃりと歪む。
,空が見る見るうちに白み、……それは蛍光灯の天井に変わった。
,山羊たちの姿はすっかり変わり、………黒山羊の仮面を被った、……少女たちの姿になっていた。
,少女たちは皆、同じ服を着ている。
,それは制服。……聖ルチーア学園の制服だった。
,『……本当の犯人は、留弗夫と霧江なんだって？』
,『聞いた聞いたー！　そうだよね、娘だけ置いてくなんて、何かおかしいもんねー！』
,『右代宮絵羽って確か、本人は毒殺されてるって訴えてんでしょ？！　じゃあもー、黒幕は誰か明白じゃーん？！』
,『いいよねー、一族の財産全て独り占めなんでしょ？』
,『やっぱ、留弗夫一家犯人説だーって思ってたんだよねぇ！』
,『右代宮さんって、どこかおかしいって思ってたんだよねー？』
,『おかしいと思ってたよねー、くすくす』
,『クスクスクスクスクスクスクスクス』
,『留弗夫と霧江が犯人』
,『戦人も犯人じゃないの？』
,『留弗夫一家犯人説！』
,『留弗夫と霧江が犯人！』
,『財産を独り占めにしようとしたんだけど、絵羽に返り討ちにあってそれで失敗して、』
,『でも結局は右代宮縁寿の独り占めなんでしょ？』
,『留弗夫と霧江が犯人だって！』
,『留弗夫一家犯人説！』
,『留弗夫と霧江と戦人が犯人！』
,『留弗夫と霧江と戦人が犯人！！』
,『右代宮さんのご家族が犯人なんですって？！』
,『それってどう思う？　ねぇねぇ！』
,『でも結局、財産は全てあなたが独り占めできるんでしょう？！』
,『右代宮絵羽は、それであなたには何も語らなかったのよねー！』
,『絶対にあの子が怪しいって思ってたのよ！』
,『絵羽があんたに辛く当たったことも、全て説明がつくわー！』
,『ねぇねぇ、何か言ってよ、感想とか！』
,『ホント、気持ち悪い子だよね』
,『留弗夫一家犯人説ってどう思うか、ちょっとくらい何か言いなさいよ、感じワルーイ！！』
,鋭い風が、頭を抱えてうずくまる私の頭上を、吹きぬけた。
,私を取り囲んでいた、山羊頭の女生徒たちの幻想が、一閃されて、砕け散る。
,……私は雨の薔薇庭園で水溜りにうずくまり、山羊たちに取り囲まれている。
,しかし、その山羊たちもまた、一閃され、切断された上半身を擦り落とす。
,まるで、剣の達人に切断された竹か何かのように見えた。
,{a:c:「こっちへ……！」}
,そう呼び掛けたのは、……あの黒猫だった。{n}私をこの世界へ導いた、あの鈴のついた黒い猫。
,まさか喋れたなんて……。{n}でも、今はどうでもいい。私は猫の後を追う。
,山羊たちはたじろいでいた。
,包囲の輪が途切れている。黒猫はその隙間を駆け抜ける。
,私が慌てて後を追うと、山羊たちも逃がすまいと追い始める。
,重い地響きの足音が無数に、私たちを追い立てる。
Ushiromiya Ange,「ど、……どこまで逃げるの、黒猫さんっ…！」
,馬鹿な質問には、黒猫は答えない。
,どこまで逃げるの？{n}決まってる。逃げ切れるところまでだ。
,しかし、山羊たちは信じられないほど大勢いた。
,追って来る群だけじゃない。それは恐らく、薔薇庭園中に大勢潜んでいて、私たちの行く先々で人垣を作り、逃がすまいと待ち構えている。
,それらに出くわす度に私たちは、薔薇庭園という名の迷路の、他の道へ曲がって逃げる。
,だから、もはやどちらの方向に逃げているのかも、よくわからなくなっていた。
,ひょっとしたら私たちは、……ぐるぐると、結局は山羊たちの巨大な群の内側を走り回っているだけなのでは…。
,その想像は、再び東屋の前に戻ってきてしまうことで、正解であったことがわかった。
,東屋から四方に続く道は全て山羊の群で覆われている。{n}来た道は当然、追っ手によって覆われている。
,行く道もなし、戻る道もなし。……私たちはとうとう、追い詰められた……。
Ushiromiya Ange,「く、黒猫さんっ……、どうしよう、囲まれた……！！」
,「……………………」
,黒猫は、じりじりとその包囲を詰める山羊たちを睨みつけながら、身構えている。
,もはや、万事休すだ……。
,その時、私の体が宙に浮く。
,私の頭を片手で握り潰せるような巨大な腕が、私の後ろ襟を掴み上げたからだ。
,悲鳴をあげようと思うより前に、……私の眼前には、真っ赤に光る不気味な眼と、生臭い吐息を吐き出す、歯並びの悪い巨大な口があった。
,その口が、……がぱぁっと開き、……それ自体が生き物であるかのように、……不気味な舌がのたうつ。
,そして、……私に言葉を吐き掛けた。
,『………留弗夫、霧江、戦人が犯人……。……留弗夫と霧江が死んだフリで戦人が嘘の検死……。そして、親の片方が第二の晩までの殺人を実行して夏妃の部屋のベッドの下に隠れる。……紗音は戦人が殺し、その後のゲストハウスでの殺人を幇助。……ゲストハウスでの殺人の実行犯は、親のもう片方……。これが、……真相…………』
,そして、……その開かれた生臭い巨大な口に、……ゆっくりと縁寿の頭が、飲み込まれていく……。
,「反論。……{p:2:留弗夫一家犯人説以外でも、ロジックの構築は可能です}」
