Speaker,PS3 Japanese - Censored (JPC)
,尊厳なる観劇と戯曲と傍観の魔女は、筆を置き、天井を見上げながら深く息を吐き出すのだった。
,机の上は、書き散らされた膨大な量の原稿用紙が乱雑に積まれている。
,細やかな、そして尊厳ある者にしか読めぬ情報密度の極めて高い言語が、ぎっしりと書き込まれている。
,その言語の一文字は、ニンゲンの世界での書籍数冊に匹敵する情報量を持つ。
,それによって、ぎっしりと書き上げられた原稿用紙が、これほどに積み上げられているのだから。
,……彼女はきっと、何か一つの世界を、書き切ったに違いなかった。
{f:5:Featherine},「…………書き切ったには、書き切った。いや、正確には書き切っておらぬのだが」
,彼女は立ち上がり、お気に入りの揺り椅子に腰を下ろすと、しばらくの間、その緩やかな揺れを楽しんだ。
{f:5:Featherine},「どこまでを描けば、果たして物語を書き切ったと言えるのか。……私の、物書きとしての長年の悩みだ。……ニンゲンの冒険は物語としてとても面白い。しかし、どこまでが冒険で、どこからがそうではないのかが、私をしても、未だによくわからぬのだ」
{f:5:Featherine},「……すでに没した私の旧友は、ニンゲンの人生は、初めから終わりまでが全て冒険であり、筆を置くところなど存在しないと言ったが。……私はそうは思わぬ。筆の置き所というものがあると思う。物語は、適当なところまでを記し、その後の余韻や感想は、観劇者に委ねるべきだと思う」
{f:5:Featherine},「……つまり、物語は適当なところで猫箱にしまうべきなのだ。……猫箱を巡っての長き物語なのだから、その終焉も最後までを記さず、猫箱にしまってしまうのが良いのではあるまいか…？」
,フェザリーヌは、自分以外に誰もいない書斎で、……誰にともなく、そう語る。
,もちろん、誰かが相槌を打つわけもない。
,しかしフェザリーヌには、それが聞こえたらしい。{n}ウンウンと頷くと、にんまり笑う。
{f:5:Featherine},「わかっている。もう少しだけを書き足し、そこで筆を置こう。……それで、そなたとはお別れだ」
,フェザリーヌが、少し暗くせよと指を掲げてくるくる回す。
,すると、書斎の明かりが、ゆっくりと消えていく……。
{f:5:Featherine},「ほんの少しだけ休ませてはくれぬか。……その間は、我が猫、……もとい、我が巫女にお相手をさせよう……」
{f:5:Lambdadelta},「あ痛たたたたたたたたたたッ、ヘタクソッ、もっと上手に縫ってー！」
{f:5:Bernkastel},「……うっさいわね。手縫いが嫌なら、ミシンでやるわよ。だだだだって」
{f:5:Lambdadelta},「ミシンは嫌よー！　手縫いがいいー！　だからせめてもうちょっとやさしく……、痛い痛い！」
{f:5:Bernkastel},「唾つけときゃ治るわよ」
{f:5:Lambdadelta},「キャン！！　予告なく舐めないでー！」
{f:5:Bernkastel},「今から畳針でぶっすり縫うわよ。マジで痛いから覚悟して。５、４、３、２、」
{f:5:Lambdadelta},「そ、そういう予告は嫌ぁああぁーーー！！　あ、べ、ベルン、や、やめて、やめてったら、あぁー！！」
,と騒ぐ割には、仲睦まじい二人だった。
,最後の戦いで、ばらばらにされたラムダデルタは、ちゃんと生きていた。
,ただ困ったことに、ばらばらの状態でだ。
,だから、その腕や頭などを、ベルンカステルがちくちくと、針と糸で縫い合わせているのだ。
,まだ縫い合わせてもらえない左腕が自分はまだかまだかと、せわしなくベッドの上を、人差し指と中指でヨチヨチと歩き回っている。
,残すところはあと腕だけで、もうほとんど体は出来上がっているようだった。
,そこへバターンと威勢良くドアを開いて、ヱリカが帰ってくる。
Furudo Erika,「ただいま帰りました、我が主ー！！　ごま塩、買って来ましたー！！」
{f:5:Lambdadelta},「……ごま塩って何？　まさか紅茶に入れる気…？」
{f:5:Bernkastel},「ヱリカの玩具よ。……ヱリカ、お箸は持ってきた？」
Furudo Erika,「はい、我が主！！　名探偵に虫眼鏡！　古戸ヱリカにお箸ですっ」
{f:5:Bernkastel},「じゃあいい？　そのごま塩の中身をざらっと出して、お箸で、ごまと塩に分けなさい」
Furudo Erika,「はい、我が主！！　私の華麗なるお箸さばきを、どうかご覧下さいっ！！」
{f:5:Bernkastel},「えぇ、がんばってね。……終わったら、ちゃんと袋に戻しておくのよ」
{f:5:Lambdadelta},「………あんた、またそーゆーことしてイジメてんの？」
{f:5:Bernkastel},「遊んでるのよ。失礼ね。………そうそう、ヱリカ。さっき郵便配達が来て、あんた宛の手紙を置いていったわ」
Furudo Erika,「手紙？！　事件の予感がしますッ。言わないでっ、私が差出人を当てます！」
{f:5:Bernkastel},「………消印は天界ね。ドラノール辺りじゃない？　あんたたち、まだ親交があったのね、驚きだわ。……ただ消印があるだけで。ベルンカステルにはこの程度の推理が可能です」
Furudo Erika,「ピピピー！！　駄目です、我が主ぃ！　ヴァンダイン第９則！　探偵が複数あることを禁ズ！」
{f:5:Bernkastel},「……じゃあ、あんたが出てけばいいわけだわ。またね、名探偵ヱリカ」
Furudo Erika,「そんなぁああぁ、我が主ぃいいぃ、真実の魔女ヱリカ、ここにぃ！」
{f:5:Lambdadelta},「…………あんたらって、仲いいのか悪いのか、未だによくわかんないわ」
{f:5:Bernkastel},「悪いに決まってるでしょ。私が愛してるのはあんただけよ」
Furudo Erika,「そ、そんなぁああぁあ、我が主ぃいいいぃい！！　ラムダデルタ卿！　やはり私とあなたは相容れないようですね！」
{f:5:Lambdadelta},「何よ、あんた。……この大ラムダデルタを相手に、勝負する気ぃ？」
,ヱリカは、にかっと笑い、ベッドの上を歩き回っていたラムダデルタの左腕を捕まえる。
Furudo Erika,「ここにラムダデルタ卿の腕があります。そしてここは、断面です」
,ヱリカはにやにや笑いながら、指をわきわきさせる。
{f:5:Lambdadelta},「ちょ、……まさか、あんた………、」
Furudo Erika,「私のライバルには、こぉんなことが出来ます」
{f:5:Lambdadelta},「ぎゃッ、ぎゃわっはははっはっははははは、あひゃーひゃっひゃっひゃ、やぁめてぇえええぇくすぐったいいぃいいいぃ！！」
,……ラムダデルタの左腕の断面をこちょこちょとくすぐる。どうやらそれは、ものすごいくすぐったいことらしかった。
,ちなみに、ラムダデルタのその断面は、綿飴の白いふわふわがはみ出した可愛いものだ。
,何しろ彼女の体は、甘いお菓子とちょっぴりのスパイスで出来ているのだから。
,断面は、決して怖いものではないのでご安心を。
,我が主に続き、私もラムダデルタ卿に単機で勝ちました！　そう叫びながら飛び回るヱリカに、がるるるるると吼えて威嚇するラムダデルタ。呆れながらも、ちくちくと親友を縫うベルンカステル。
,それはとても和やかな風景だった…。
{f:5:Bernkastel},「それで？　手紙には何て？」
{f:5:Lambdadelta},「ドラノールたちの近況でも書いてあんの？」
Furudo Erika,「ガートルードさんは異端審問官に昇進したとか。そりゃーオメデトウゴザイマス、ぱちぱち。……へー、最近、猫に続いて、わにゃんを飼い始めたとか」
{f:5:Bernkastel},「…………わにゃんって何…？」
{f:5:Lambdadelta},「えー、ベルン知らないの？！　遅れてるぅ〜！　最近、ブームじゃないっ！　最近、私もメスのわにゃんを飼い出したのよ。金平糖も美味しく作れて最高よ？！」
