Speaker,PS3 Japanese - Censored (JPC)
Ushiromiya Eva,「余命３ヶ月。南條先生がそう仰ったのは去年の話よぅ？」
Nanjo Terumasa,「……わ、私は、その時の健康状態から総合的に判断してお話しているだけです。その結果、今年もたまたま、」
Ushiromiya Rudolf,「年を越せるかも怪しいってことになってる親父殿は、今も意気軒昂でオカルト研究に没頭されてるというわけだ。それでも余命３ヶ月ってわけかい、先生？」
Nanjo Terumasa,「で、ですから、金蔵さんの、」
Ushiromiya Krauss,「敬愛する親父殿が、未だお元気でおられるなら素晴らしいことじゃないか。親孝行なお前たちは、親父殿に挨拶がしたくてしたくて仕方がない。なので会ってもらえないので納得が行かないと、そういうわけだ」
Ushiromiya Natsuhi,「…日も沈まぬ内から、遺産分配の皮算用を始める皆さんのことを思えば、お父様の会いたくないという気持ちもわかろうというものです」
Ushiromiya Rosa,「そ、それは誤解よ、夏妃姉さん。……ただ、私たちはその、」
Ushiromiya Rudolf,「親父とて不死身じゃねぇ、いつかは死ぬさ。死ねと言ってるんじゃない。いつかは死ぬと言ってるだけさ。それに備えての話し合いだってだけの話じゃねぇか」
Ushiromiya Natsuhi,「それが不敬だと言っているのです！！」
Ushiromiya Krauss,「よしなさい。また君の頭痛に障る」
,興奮して席を立ち上がってしまった夏妃に、蔵臼は座れと制する。
,一気にキナ臭くなった空気を、取り繕うように秀吉が愛想笑いを浮かべ、まままま…、と全員をなだめるような仕草をする。
Ushiromiya Hideyoshi,「……夏妃さん、誤解せんといてや。立つ鳥跡を濁さずっちゅう諺があるやろ？　これはその見送る側の話や。やがては必ず旅立つお父さんを、綺麗に見送るための相談なんやで」
Ushiromiya Krauss,「はっはっは…。さすが秀吉さんだ。同じ話をするにしても、実に知性的だ」
Ushiromiya Eva,「えぇ、そうよ。兄さんと違ってね」
Ushiromiya Rudolf,「よせやい。話が進まねぇ。………それでだな、兄貴。俺たちは遺産の話云々は抜きにしてもだ。たとえ親父に殴られても構わねぇ」
Ushiromiya Rudolf,「早い話が、親父に直接会って、挨拶がしてぇんだ。親父が嫌だと言ってもだ。書斎に閉じ篭ってるなら、源次さんに鍵を借りてでもな。なぁ、楼座？」
Ushiromiya Rosa,「…え、…まぁその、…無理やりってわけじゃないけれど…。……だって、かなり長い間、私たちはお父様にご挨拶していない」
Ushiromiya Rosa,「余命わずかだと言うなら、もう二度と会えなくなる可能性だってある…。……今日がお父様と言葉が交わせるかもしれない最後の機会だし…」
Ushiromiya Eva,「そうそう、楼座の言う通りよぅ。余命３ヶ月ってことは、いつ亡くなってもおかしくないってことなのよ？」
Ushiromiya Eva,「それなのに私たちに最後のお話をする権利さえないと言うの？　……それはいくらなんでも、あんまりな話じゃないのかしらぁ…？」
Ushiromiya Natsuhi,「……あなたたちのしたい話というのが、本当に挨拶ならお父様も喜んでお会いになられるでしょう」
