Speaker,PS3 Japanese - Censored (JPC)
,戦人の姿は食堂にあった。
,この雨の中、ゲストハウスに戻る気にもなれず、適当に座れるところを探し屋敷の中を適当に放浪し、…食堂を根城としていた。
,別に鍵は掛けていない。
,姿なき殺人犯、もしくは黄金の魔女が、一人ぼっちになった自分を殺しに来るかもしれないと思ったが、それに抗おうとはもう思わなかった。
,むしろ、鍵で拒む気などない。{n}堂々と正面から来て欲しかった。
,…それが殺人犯なら、この素晴らしき密室トリックの数々を、冥土の土産に聞かせてもらおうと思った。
,そして魔女なら、せめて素晴らしき魔法で自分の命を奪ってもらおうと思った。
,……しかし皮肉なもので、そのどちらも、戦人を迎えに来てはくれなかった…。
,戦人は酒棚を勝手に開け、存分に飲酒を満喫していた。{n}今や、彼の飲酒を咎める人間などどこにもいないのだ。
,両足を、贅沢なテーブルクロスの上に大胆に下ろし、気が遠くなるほどの値打ちがあるだろう銘酒を、瓶ごと傾けて味わうのだった…。
,その時、……ノックが鳴った。
,戦人はようやく自分のお迎えが来たことを悟る…。
Ushiromiya Battler,「お〜ぅ、鍵なんか掛かってねぇぜ。誰でも入ってきてくれ。そして自己紹介を頼むぜ。人間なら名前を名乗ってくれ。ベアトリーチェだってんならスリーサイズを教えてくれ」
Ushiromiya Battler,「俺ァこう見えても、ちょいと知られたおっぱいソムリエなんだじぇえ？」
Ronoue Genji,「………源次でございます、戦人さま」
Ushiromiya Battler,「…源次さんか。……悪ぃがあんたのバストのサイズに興味はねぇなぁ。入ってくれよ。開いてるぜ」
Ronoue Genji,「………失礼いたします」
,源次さんが扉を開け、お辞儀をした。
,………やはり、源次さんが犯人、…あるいは協力者なのだろうか。……その仮定は、多分、ほとんどのトリックを説明してしまうに違いない…。
Ushiromiya Battler,「あんたが、俺に引導を渡しに来たのかい」
Ronoue Genji,「………そのようなことはございません。……お邪魔なようでしたら失礼いたします」
Ushiromiya Battler,「…おいおい、用件も伝えず失礼しますじゃ、かえって気持ち悪いぜ。…何の用だよ。…最後くらい好きにさせてくれ」
Ronoue Genji,「………戦人さまは、死せる最後のわずかな時間を、そのように怠惰に過ごされることをお望みですか？」
,その一言は、沁みる…。{n}……そんなわけもなかった。
Ushiromiya Battler,「…………………………。今さら何ができるってんだ。俺はいつだって死ぬ準備は出来てるぜ…」
Ronoue Genji,「……お館様と同じですな。本当にあなたはお館様の血を色濃く受け継がれている…」
Ushiromiya Battler,「あの豪傑な祖父さまが、実はいつ死んでもいいと思ってたってのか…？　それは初耳だぜ」
Ronoue Genji,「………お館様の人生は、……いくつかの悲しい出来事の末、……全て、贖罪のためのものと成り果てたのです」
Ushiromiya Battler,「…あんたは何を知っているんだ」
Ronoue Genji,「…………ベアトリーチェさまの儀式も、第八の晩までを全て終えました。…もう、全てをお話ししてもよいかと思います」
Ushiromiya Battler,「な、……何だって…？」
,俺の酔いが全て吹っ飛ぶ。俺は脚をテーブルから下ろし、源次さんがどんな言葉を続けるのか、注意深く耳を傾けた…。
Ronoue Genji,「戦人さま。……お館様の書斎へご案内申し上げます。……お館様たちに、直接お話を聞かれるのがよろしいでしょう」
Ushiromiya Battler,「祖父さま、……たち…？　お、おい、それは一体どういう…ッ！！」
Ronoue Genji,「……さぁ、こちらへ。ご案内申し上げます。戦人さま」
,源次さんはついてくるように言うと、廊下を歩き始める。
,俺は酔いを完全に吹き飛ばし、その後を追い掛けた…。
,大階段を登り、………３階へ。{n}その途中で源次さんは足を止める。{n}そして振り返り、言った。
Ronoue Genji,「………戦人さま。……これより、戦人さまは、………理解できぬものを見るでしょう」
Ushiromiya Battler,「脅すなよ。………理解できねぇもんなら、今日、嫌になるほど見てるぜ」
Ronoue Genji,「………見えるものを、見えるがままに。聞こえるものを、聞こえるがままに、受け容れて下さい」
Ronoue Genji,「なぜ？　も。なに？　も。…何も必要ありません。…戦人さまはただ、真実を知ることになるでしょう。それをお認めになるか、お信じになるか、あるいは否定されるかも、全て戦人さまにお任せいたします」
Ushiromiya Battler,「………………………………」
,源次さんは俺に真実を知る覚悟があるのかと、最後の確認を取る。
,第八の晩はもう終わってる。そしたら第九の晩で、魔女は蘇り、……誰も生き残れはしない。
,もうベアトリーチェは、蘇っているというわけだ。{n}…そして多分、俺たちは全員生かして帰されはしないだろう。
,どうせ失う命なら、……その最期に、真実を知りたい。{n}…それが、どんなに受け容れがたいものであってもだ。
Ushiromiya Battler,「………………あぁ。……鬼が出ようと魔女が出ようと、…覚悟はできてるぜ」
Ronoue Genji,「………本当にあなたはお館様の若き頃にそっくりだ。……戦人さま、どうかご勉学にお励みを。あなたは将来、必ずや大きな志を持たれるでしょう。そしてその時、足りぬ学力に一生後悔されることがありませんよう」
Ushiromiya Battler,「………勉学に勤しめる機会がもらえるなら、ぜひな」
Ronoue Genji,「…………………………」
,源次さんのその沈黙は、俺のある種の諦観を、さらに念押すものに感じられるのだった…。
,そして、………甘い臭いを漂わせる祖父さまの書斎の扉が見えてくる。
,源次さんは懐から凝った意匠の、黄金の鍵を取り出す。
,マスターキーは楼座叔母さんに没収されたが、この書斎の鍵だけは持ち続けていたのだ。
,鍵穴に入れ、………ガチャリと重い音がする。
Ronoue Genji,「………お館様。源次です。戦人さまをお連れいたしました」
,それに対する返事はないが、どうやら入室の許可は出ているようだった…。
Ronoue Genji,「さぁ戦人さま。……どうぞ、お入り下さい」
Ushiromiya Battler,「………………あぁ。……入るぜ」
,俺は意を決し、……扉を開け放つ…。
,その瞬間、…俺は眩しき黄金の輝きで目が眩みそうになった………。
,それは、………何と、……黄金に輝く、蝶の群れだった。
,書斎の中をいっぱいに満たしていた黄金の蝶たちが、一斉に溢れ出して来たのだ……。
Ushiromiya Battler,「な…………、……何だ、………こりゃあぁ………………」
,それはまるで、金箔の紙吹雪。{n}祖父さまの書斎の中は黄金の輝きで満たされていた…。
,そして、……書斎机の前にソファーの応接席があり、………祖父さまの背中が見えた。
,祖父さまの向こう側に誰かいる。{n}…陰になってよく見えない…。
Ronoue Genji,「……お館様。戦人さまをお連れしました」
