Speaker,Umineko Project (UP)
Ushiromiya Kinzo,"""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?"""
{f:5:Beatrice},"""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me."""
Ushiromiya Kinzo,"""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?"""
{f:5:Beatrice},"""...............Who...am I?"""
Ushiromiya Kinzo,"""................................. ......I will bring some black tea now. Wait here for a while."""
{f:5:Beatrice},"""Forget about the black tea. Talk with me."""
Ushiromiya Kinzo,"""......Very well."""
,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.
,"I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age."
,"For a while, we sat, appreciating the silence..."
{f:5:Beatrice},"""......Who am I? To this day, no one has answered me this question. ......For some reason, everyone averts their gaze and evades me."""
Ushiromiya Kinzo,"""........................"""
{f:5:Beatrice},"""......I have known you for a long time. I think of you as my best friend, even as a father. ......That is why I want so much for you to tell me. You must know. ...Who I am."""
Ushiromiya Kinzo,""".................. ............Why do you worry about something like that? You are {f:5:Beatrice}. The master of this mansion, is that not so? ......What more could you want to know?"""
{f:5:Beatrice},"""............I do not know."""
Ushiromiya Kinzo,"""What's this? ......Don't you even understand yourself what it is you want to know? That is baffling. In my younger days, I sometimes found myself wanting to play in the maze of thought that has no exit. Maybe that is what your worries are..."""
,"Kinzo laughed as though it was a trivial matter. ...However, I couldn't help but feel that this behavior was nothing but another attempt to force me to stop my further questioning."
{f:5:Beatrice},"""........................... ...Hmph. ......So not even you will tell me that...after all."""
Ushiromiya Kinzo,"""There is nothing to tell. You are {f:5:Beatrice}. Isn't that more than enough?"""
{f:5:Beatrice},"""......No, that's not it. ............What I wish to know is not my name. It is...who...I am."""
{f:5:Beatrice},"""......Who am I, what am I? ...How long have I been here, ...and how long will I continue my days here?"""
Ushiromiya Kinzo,"""........................ ...I really should bring some black tea. Do you not think it a waste of all this fine weather?"""
{f:5:Beatrice},"""................................."""
Ushiromiya Battler,""".........What is this all about...? Somehow, it looks like the story of your past, right?"""
{f:5:Beatrice},"""It appears so. ...To think that we would go this far back..."""
Ushiromiya Battler,"""Wondering who you were... ...It looks like you had some pretty high‐minded worries."""
{f:5:Beatrice},"""......That is to be expected. At the time, I was unable to understand who I was, or why I was alive."""
Ushiromiya Battler,"""Well, in puberty, everyone is captured by those philosophical worries, wondering what meaning there is to their life, at least once. Doesn't this just mean that you had this kind of charming period once in your life?"""
