Speaker,Umineko Project (UP)
Ushiromiya Kinzo,"""............I see. So it has begun."""
Ronoue Genji,"""...Yes."""
Shannon,"""................................."""
,"Even though Kinzo had heard of the six deaths, his emotions did not waver."
,"The expression on his face as he gazed out the window......was a smile, as though his opponent in a chess game had just made a spectacular move."
,...It was unimaginable that this expression could appear on a father who had lost many children at once.
Ronoue Genji,"""......Under Rosa‐sama's orders, Gohda and Kanon are calling the police. Also, she has ordered us to follow your orders, my lord... ......What shall we do?"""
Ushiromiya Kinzo,"""...............This island has already been cut off from the real world. Phones and the like will be useless."""
Ronoue Genji,"""Should I have them stop?"""
Ushiromiya Kinzo,"""......Until the roulette is finished, what they do to pass the time is up to them. Let them do as they like."""
Ronoue Genji,"""............Yes."""
Shannon,"""...Umm.........what should I tell Rosa‐sama?"""
Ushiromiya Kinzo,"""I say again, what they do to pass the time is up to them!! They can sing if they want, dance if they want! They're even free to hang themselves by the neck or jump into a boiling cauldron!! Until thirteen people die, they can spend their time as they like. If they are that bored, then they can spend their time wondering why six times nine is forty‐two!! That's the answer to the mystery of man and the universe!!"""
Shannon,"""Y‐yes...! My, my apologies......!"""
,Shannon cowered in fright at this sudden rage. ...Genji made a gesture as though telling her not to say too much.
,Shannon couldn't help but regret speaking out of turn...
Ushiromiya Kinzo,"""However. ...You are also free to do as you wish. ......Genji. And Shannon. You have done well serving me until today."""
Shannon,"""Y‐...your words are too good for me...... ...But, umm........."""
Ronoue Genji,"""...............We are furniture who have sworn to serve you, my lord. ......At any and all times, we will be waiting by your side. ......Until the very end."""
Ushiromiya Kinzo,""".................. ............I want to tell the two of you.........about everything. ......Shannon. I shall be writing a will. Please copy what I say. ...Genji, please, my usual drink."""
Shannon,"""huh... ...............Ye‐............yes......!"""
,"Nanjo had often recommended that Kinzo write a will because of his health, but each time, Kinzo had gone mad with rage."
,"......Since that time, ""will"" had been the word Kinzo took most exception at."
,"Because that word had come out of his own mouth, Shannon couldn't help doubting her ears for an instant."
