Speaker,Umineko Project (UP)
,"......The adults' motivations aside...{n}At least for us kids, these were supposed to be a fun couple of days where we cousins deepened our friendship."
,"However, when we woke up, there was an unbelievably cruel reality waiting for us..."
Ushiromiya Jessica,"""............hic, ......hic......!"""
Ushiromiya George,"""................................."""
,George‐aniki and Jessica were crying over Shannon‐chan and Kanon‐kun's deaths.
,"......Right now, everyone who was alive was gathered in the lobby on the first floor of the guesthouse. And there were 12 of us."
,"...Unbelievable, right?{n}There were 18 up until yesterday.{n}...And in one night, a third of that number had lost their lives..."
,"My agitation had finally settled down, and, along with my lack of sleep from being woken up so early in the morning, I was beginning to feel like this was just a little unreal."
,"......I want to think this is some kind of bad dream... My cheap escapism kept telling me that was true, over and over."
,Maria had gone back to sleep in the sofa Auntie Rosa was sitting in.
,"...Rather than her having nerves of steel, she probably genuinely hadn't had enough sleep."
,The adults were grasping members of Grandfather's collection...of short‐barrel rifles.
,"...Apparently a remnant from the period when he was obsessed by westerns, there were four identical guns altogether."
,"Those had been split up between the four siblings: Uncle Krauss, Auntie Eva, my dad, and Auntie Rosa."
,"Paper boxes filled with bullets lay on the table, and the siblings were silently loading their guns."
Ushiromiya Rudolf,""".........It's a little scary. Even as I stand here touching this, I get the feeling Dad's about to yell ""Don't touch that!"" and hit me."""
Ushiromiya Krauss,"""Then aren't you lucky. ...No matter how much you touch it, you won't be hit again."""
Ushiromiya Rosa,"""............I can't believe it. ...That Father............would meet this kind of end..."""
Nanjo Terumasa,"""I did think that when it came to Kinzo‐san, he would probably not die normally in his bed, ......but even so, ......it is too horrible..."""
Ushiromiya Eva,"""Hey. I wonder if that really is Father...? I'm suspecting that it might be a different person's corpse as a substitute to trick us..."""
Ushiromiya Natsuhi,"""......No, without a doubt, that is Father. You saw his toes, right? In general society, there aren't many humans with six toes on both feet."""
Ushiromiya Kyrie,"""But, ............we can't say that there are none. I've heard that polydactyly isn't a rare disease. He was a man who liked big tricks, right? ......He might have prepared a body from somewhere that had the same number of toes on both feet."""
Ushiromiya Natsuhi,"""Preposterous. What would possess him to do something like that...?!"""
Ushiromiya Hideyoshi,"""......I'd agree if it was a normal person. ...But this is Father we're talkin' about. You can't say for sure that what Kyrie‐san says is nonsense."""
Ushiromiya Rudolf,"""............They say it's difficult to confirm the identity of a burnt corpse. However, there should be various ways to examine him from his teeth and his bone structure. If the police investigated, they'd be bound to know whose body it was in an instant."""
Ushiromiya Krauss,"""The problem is that before the police, we need a telephone engineer."""
Ushiromiya Rosa,"""......The boat probably won't come in this typhoon. ...So, will it come tomorrow?"""
Ushiromiya Natsuhi,"""I expect that the boat will come again at nine o'clock tomorrow. Then, I believe we will be able to contact the police."""
Ushiromiya Eva,"""......Both us, and the culprit...have been imprisoned on this island, then, until the typhoon passes."""
,".........Just from our parents' conversation, you could probably figure out the general gist, but let's explain the situation anyway."
,"First, early that morning."
,"In various places throughout the mansion, a total of six corpses, of Grandfather and all the servants, had been found one after another."
,"First, Grandfather had been fed to the flames in the boiler room, and was completely burnt."
,"The servants were found dead, each locked in one of the various rooms throughout the mansion onto which magic circles had been drawn."
,"The cause of death for the servants was uncertain, but according to Doctor Nanjo's diagnosis, there was a high likelihood that they had been stabbed by something like a spear, ......or possibly shot by a gun."
,That was why the adults had started arming themselves with the rifles.
,And what made the situation even more chaotic was that the telephone lines were out of order. It was unknown whether lightning had caused them to break down or whether the culprit had destroyed them.
,"In any case, contact with the outside was broken off, and we couldn't contact the police."
,"So until tomorrow morning, when the typhoon would pass and the boat would come, we would have to protect ourselves."
,"After all, Rokkenjima was now isolated by the typhoon. And just like how we were stuck on the island, so was the culprit."
,"It seemed that the adults had stayed up the whole night, spending the whole time holding the family conference in the mansion's dining hall. And even so, this crime had occurred in the mansion."
,"......So right when the adults had been getting worked into a frenzy over money, the murderer had been killing under the same roof..."
,"Aunt Natsuhi said that they were strict on locking the doors and windows at night.{n}And yet, some suspicious person had entered the mansion."
,"...The adults had decided that the inside of the mansion was too large to be safe, so they had pulled out the guns and moved to the guesthouse, where we had been."
,.........Which brings us to the present.
,"George‐aniki and us others begged to see Shannon‐chan's body, but the adults refused point blank, saying that we must not until the police arrive."
,That wasn't just because they had sealed all the rooms to preserve the scene.
,"...After all, the culprit who had killed six people had wandered about that mansion."
,"To the Ushiromiya family right now, the mansion which should have been their home...was like a danger zone that an unknown murderer had entered..."
,"It makes sense, I mean, the mansion is vast. There are plenty of blind spots and dark places, and it's just too vast to guarantee absolute safety with this number of people."
,"In contrast, the guesthouse is a much smaller building than the mansion."
,"Two stories tall. Number of rooms...about ten?{n}......Apparently, it had originally been constructed to serve as a boarding house for when the island was to be turned into a resort."
,"So it's easy to grasp the entire structure, and easy to guarantee safety.{n}That makes it a good place to hole up in."
,"......And. There's an extremely high likelihood that this mass murder of six people is a ""game""."
,Because the culprit had proclaimed that in a letter.
,"I heard that a Western‐style envelope with the family crest, just like the one Maria claimed to have received from {f:5:Beatrice} yesterday, had been found in the boiler room where Grandfather's corpse had been discovered."
,This was what the letter said:
,"{e:070:So that there will be no misunderstandings.{n}The game I seek is whether or not you can solve the riddle of the epitaph, not whether or not you can catch me.{n}{n}If you do not solve the riddle of the epitaph, the pitiful sacrifices will further increase in number.{n}It would be more wise to spend your time solving the epitaph than searching for me.{n}{n}If no one can solve the riddle of the epitaph, no one will survive.}"
,"{e:070:If a person appears with skill enough to solve the riddle of the epitaph, I will give them all the gold of the Golden Land, the Ushiromiya family headship, and all of my power.{n}{n}I was the one who succeeded the Ushiromiya family headship from Kinzo‐sama.{n}And I look forward to seeing who will receive the headship from me.{n}{n}{nobreak:{m:-3:—}—}{f:5:Beatrice} the Golden.}"
,...This riddle of the epitaph was...that thing.
,"That strange epitaph written in the same place as the portrait of the witch, displayed in the hall of the mansion."
,"Grandfather was the one who ordered that it be written, and the person who solved it would, supposedly, be given the family headship or the hidden gold or something like that."
,"Ever since it was first displayed there several years ago, all the relatives, despite making fun of it in the open, had been secretly been challenging that riddle in private."
,"However, up until today, no one had solved it. We had once again been told to solve that unintelligible riddle, and this time, we had been threatened that if we didn't solve it, we would all be killed."
,"......If this wasn't a ""game"", what would you call it..."
,The bold opinion that we should search the premises for the culprit did come up once.
,"However, there was a good chance they were armed, and there wasn't necessarily only one of them."
,"And, ...while they might have been able to kill more than six people, they had {i:stopped at six}."
,"In the end, the opinion that we should avoid carelessly antagonizing the culprit, and hole up in a safe place while we waited for the police to arrive, won out..."
,"After the adults had carefully checked that the doors and windows in the guesthouse were locked, they set up camp in the lobby."
,"And as they fingered their guns to distract themselves from the tension, their expressions showed that they were already fatigued from this long day, which had still barely begun..."
,There was nothing that I could do.
,"Now, all I could do was be taught how to use a gun, to prepare for the off‐chance that...something would happen which {i:led to an excess of guns}......"
,"......That's the way. Just obediently stay there, {i:me and the rest of you}."
Ushiromiya Battler,"""...............Six people in the beginning again. And this time it's Grandfather and all of the servants put together."""
{f:5:Virgilia},"""Most likely, that child has carefully studied your moves from the last game. And she placed the highest priority upon taking the pieces which she guessed you were most likely to first suspect."""
Ushiromiya Battler,"""......That makes sense. ...Both last time, and the time before that, the servants who know everything about the mansion and who walk around with master keys were always highest on the list of suspicious people."""
Ushiromiya Battler,"""......A good example in the last game is Jessica's locked room. If I had only accepted that a servant was the culprit, that wouldn't even have been a locked room."""
{f:5:Virgilia},"""Therefore, ......that child went straight for them. She probably immediately went to block the way of escape that you would ultimately retreat into."""
Ushiromiya Battler,"""Beato already proclaimed in red that there are no more than 18 people on this island. ...So basically, .........{i:she's saying ""give it up""}. ......Now I have to suspect one of the 18."""
{f:5:Virgilia},"""......That child will probably come at you by stealing the pieces for the 18, and descending as a 19th person who shouldn't exist, thereby making you accept that she is a witch."""
{f:5:Virgilia},"""......That is because now that her intimidation strategy of trying to force you to submit by showing you magic has failed, she can only make a frontal attack."""
Ushiromiya Battler,"""......Perfect. Bluffing won't work anymore."""
{f:5:Virgilia},"""Be careful. Deception is a witch's strongest point. ...No matter what that child says or shows you, it definitely won't threaten the truth that you believe in. Don't forget that."""
Ushiromiya Battler,""".........Sure. I'll be damned if the same moves are going to work on me over and over. .........Get out here, {f:5:Beatrice}. Let's get started!!!"""
{f:5:Beatrice},"""I am already seated at the match table. My turn, too, is already complete."""
Ronove,"""......Imagine that Madam would turn out to be our enemy. How unfortunate, Milady. ...Our moves will be read thoroughly."""
{f:5:Beatrice},"""That is no problem. Master's moves are all outdated classics. There is nothing to fear."""
{f:5:Virgilia},"""...What moves can you make beyond the classics I taught you? I am looking forward to seeing, {f:5:Beatrice}."""
{f:5:Beatrice},"""......*cackle*cackle*cackle*cackle*. Is that alright, Battleerr? If a person who denies witches such as yourself accepts a witch as a strategist..."""
Ushiromiya Battler,"""That stupid provocation is useless. This person is my advisor, no, my second. That doesn't change one bit that this is a fistfight between you and me."""
{f:5:Beatrice},"""I understand. ......You're so wobbly that you probably need training wheels on your bicycle. Do as you like. Come, begin!! It is your turn!"""
Ushiromiya Battler,"""Let's begin with the reconstruction of the crime scene. ......{f:5:Virgilia}, if you please!"""
{f:5:Virgilia},"""The first body discovered was Shannon's. She was found in the parlor on the first floor of the mansion. The door and windows were locked, and a locked room was established."""
Ushiromiya Battler,"""......Clarification request for Beato. Reconfirm the definition of a locked room."""
{f:5:Beatrice},"""Mmhm. The term ""locked room"" refers to a room where the inside and the outside of the room are completely isolated from all travel between them. Of course, no form of intrusion or escape, nor even any interference is possible. That is comprehensive, including a denial of hidden doors, as well as all margin for interference from the outside."""
{f:5:Beatrice},"""......Henceforth, this definition will be referred to as: ""{f:5:Beatrice}'s locked‐room definition""!"""
Ushiromiya Battler,"""Confirming specifics. ......Define ""margin for interference from the outside""."""
{f:5:Beatrice},"""It refers to all types of direct interference from the outside, such as using a fishing line or a long, thin rod. In other words, you are to conclude that there is not even any gap in the doors or windows by which to use such tricks."""
Ushiromiya Battler,"""I wonder about that? Even if there wasn't a gap, you should be able to interfere with radio waves, like with a remote control, right?"""
{f:5:Beatrice},"""Very well. I add to this definition that it is impossible for radio waves and related methods of remote control to interfere."""
Ushiromiya Battler,"""There's also an extension telephone in the parlor. A device linked with that wouldn't count as remote control, right?!"""
{f:5:Beatrice},"""The phones are already out of order, damn you. ...Ugh, this is a pain. I'll include that too. All direct and indirect methods of interfering from the outside of the room to the inside of the locked room are impossible."""
Ushiromiya Battler,"""What about a voice or a knock? Those should be able to interfere from the outside without entering the room, right?"""
{f:5:Beatrice},""".........Even though it is a locked room, it probably isn't impossible for someone to knock or call out. Whether the room allows for human communication with the outside or not, it does not go against the definition of a locked room."""
Ushiromiya Battler,"""In other words, you can't define it so that even methods of communication are interrupted?"""
Ronove,"""That is the case."""
Ushiromiya Battler,"""Understood. .........So, Shannon‐chan's parlor satisfies ""{f:5:Beatrice}'s locked‐room definition""?"""
{f:5:Beatrice},"""That is correct."""
Ushiromiya Battler,""".........Locked‐room definition understood. Continue, {f:5:Virgilia}."""
{f:5:Virgilia},"""Yes."""
{f:5:Virgilia},""".........Shannon's body was in possession of one master key. The relatives who discovered her collected this."""
Ushiromiya Battler,"""Repetition request for Beato. How many master keys this time?"""
{f:5:Beatrice},"""...Hmph. The same as last time. {p:1:There are five, one for each servant}."""
Ushiromiya Battler,"""Which means this still isn't a locked room. There are still four master keys left. It just means that after Shannon‐chan was murdered, one of the other four keys locked it."""
Ronove,"""That is correct. .........And, it wasn't only a master key that was found."""
{f:5:Virgilia},"""Yes."""
{f:5:Virgilia},"""......Alongside the body, there was a Western envelope with the family crest. Instead of a letter, the key to the second‐floor guest room was inside it."""
Ushiromiya Battler,"""......The key to the second‐floor guest room... Am I fine to define that as the only key other than the master keys that can open the door to the second‐floor guest room?"""
{f:5:Beatrice},"""Indeed. There is no problem. And, unlike the master keys, there is only one."""
Ronove,"""In other words, in order to unlock a specific room, in addition to the five master keys, there is only one other key."""
Ushiromiya Battler,"""......In other words, this is a message telling them to go to the second‐floor guest room next? So the adults moved to the second‐floor guest room?"""
{f:5:Virgilia},"""Yes."""
{f:5:Virgilia},"""The door to the second‐floor guest room was also locked, and a magic circle was drawn on it. ......The relatives unlocked it with the key they had found near Shannon's body."""
