Speaker,Umineko Project (UP)
Ushiromiya Battler,""".........Should've taken the boat.........the boat......"""
Ushiromiya Maria,"""Gonna faaalll! Gonna faaalll! Uu‐uu‐uu‐uu!!"""
Ushiromiya Rosa,"""Maria, that's enough!"""
Ushiromiya Rosa,"""......But what a surprise. I thought there was nothing that could scare Battler‐kun."""
Ushiromiya Rudolf,"""This guy can't handle vehicles for some reason. Always yells about falling and sinking and stuff. You're a disgrace of a man, you are."""
Ushiromiya Battler,"""......Urgh, shut up. That thing was seriously shaking way too much... I just got a little stressed, since it was my first time on a small plane like that..."""
Ushiromiya Eva,"""You call that ""a little stressed""? Heheheh, sounds like it'd be fun to take an overseas vacation with you, Battler‐kun. Would you like to go to Egypt with your aunt? You'd get to ride a plane for a full 14 hours!"""
Ushiromiya Kyrie,"""Ahhahaha! There's a good plan. Battler‐kun, you should go let Eva nee‐san toughen you up some. But boy were you hilarious! Ahhahahaha!"""
Ushiromiya Hideyoshi,"""Wahhahaha, now, now. Everyone's got their own strong and weak points. It's bad to laugh at 'em. Wahhahaha...!"""
Ushiromiya George,"""D‐Dad, you're laughing too. Hey, Maria‐chan, you shouldn't laugh anymore."""
Ushiromiya Maria,"""Shouldn't laugh anymore? Uu!"""
,"Gyah, dammit! Is being scared of planes really such a big deal?{n}Everyone obviously thinks I'm a big oaf now... Tch!"
,"We split up and took separate taxis from the airport to the harbor.{n}From there on, we would be taking a boat to the island."
,"The islands are right next to each other, so it's not that far.{n}It would be a leisurely thirty minutes by boat."
,"As we arrived at the pier where the boat to the island was anchored, we saw a silhouette waving its hand."
Ushiromiya Jessica,"""George nii‐saaan! It's been so frickin' long!!"""
Ushiromiya George,"""Ah, Jessica‐chan, it's been a year since I saw you! You've gotten taller again, haven't you?"""
Ushiromiya Jessica,"""Kyahaha, don't gimme that, it's embarrassing hearing that every year!"""
Ushiromiya Battler,"""......H‐hey, Aniki, you've gotta be kidding me. That's really Jessica?!"""
Ushiromiya Jessica,"""Wait a sec, George nii‐san... This massive beast...is Battler?!"""
,We both stared each other down.
,"...She definitely didn't look this grown‐up in my memories, but I do remember her {c:86EF9C:crazy way of talking}."
Ushiromiya Battler,"""Yo, Jessica! What's this now! You're kidding me, you look like a woman now! What're these, boobs? Even you managed to get a chest! Ihihi, let me rub 'em, let me~!"""
Ushiromiya Jessica,"""Hey, screw you, I'm a blushing flower of 18! Just like hair grows out, so'll other stuff! You think I got boobs just so you can go and rub 'em, loser?! And what about you, got anything to back up that ridiculous size?! Did you remember to grow any actual muscle?!"""
Ushiromiya Battler,"""You'd better believe it, I'll show you how much training I've piled up since back then!!"""
Ushiromiya Jessica,"""Oh, cram it!! I'll beat you at your own game!"""
,This headstrong girl's name is Ushiromiya {p:0:朱志香}.
,"......She was born under the same unlucky star as me, sharing the same kind of weird name. You see, {p:0:朱志香} is pronounced ""Jessica""."
,She's Dad's older brother's daughter.
,"That older brother happens to be the eldest son of the Ushiromiya family, so I guess that also technically makes Jessica a direct heir to the Ushiromiya family."
,"Since Jessica and I are the same age and had that type of boy‐girl rivalry between us, we've always been used to fighting and joking around together whenever the relatives gathered."
,"Jessica grew more quickly, so she always had me beat in terms of size and physical strength."
,"So, when we scuffled as a contest of strength like this, it usually went Jessica's way."
,"So even though I clearly understand that I'm bigger now, I still feel like I can't win against Jessica with my strength."
Ushiromiya Battler,"""Hnng! Ghhh......!!"""
Ushiromiya Jessica,"""............Woh...ah...! What the...what're you...getting all serious for...?! Owowow..."""
Ushiromiya Battler,"""Hey hey hey, this is nothin'! Jessica, you've gotten weak."""
Ushiromiya Jessica,"""Sh‐shut up. I'm a woman over here, believe it or not. No way I was always gonna be stronger than a man!"""
Ushiromiya Battler,"""We~ll, that's certainly true! The meat I put on my arms all went to your chest, after a~ll. It looks like it'd be a pretty even test of strength between my arms and your boobs, don't you thi~nk?!"""
Ushiromiya Jessica,"""I told you, my boobs aren't for you to feel up!! Besides, how 'bout you—your height says you're an adult, but what about your other places, huh?!"""
Ushiromiya Battler,"""Stop it, idiot, nooo, I'll be ruuuuined for marriage, don't touch me in strange placeees!!"""
Ushiromiya Jessica,"""D‐don't say stuff people are gonna misinterpret!!"""
