Speaker,Umineko Project (UP)
,"The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply."
,The desk was covered with a scattered mountain of paper covered with writing.
,"Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read."
,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world.
,These letters filled every inch of this huge pile of paper.
,"......Surely, she had written out every little detail of some world."
{f:5:Featherine},"""............I have written all there is to write. Though to be accurate, more could yet be written."""
,"She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while."
{f:5:Featherine},"""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure."""
{f:5:Featherine},"""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators."""
{f:5:Featherine},"""......In short, the tale must be put inside a cat box at the appropriate time. ......The cat box has been the subject of this long tale, so is it not better to refrain from writing the finale in its entirety, to instead put it in the cat box and leave it there...?"""
,{f:5:Featherine}......spoke to no one inside the empty study.
,"Of course, no one commented on her words."
,"However, {f:5:Featherine} seemed to hear something.{n}She nodded and grinned contentedly."
{f:5:Featherine},"""Yes, I know. I will write a bit further, then lay down my pen. ......Then, it will be time for us to say our goodbyes."""
,"{f:5:Featherine} held up a finger and spun it around, a signal that she wanted to darken the room."
,The lights in the study dimmed......
{f:5:Featherine},"""Would you mind letting me rest for a while? ......During that time, my cat......or rather, my miko will entertain you......"""
{f:5:Lambdadelta},"""Owowow{0}ow{0}ow{0}ow{0}ow{0}ow{0}ow, you suck! Can't you be less clumsy with that needle?!"""
{f:5:Bernkastel},"""......Shut up. If you don't want it sewn by hand, I'll use a sewing machine. Clatter‐clatter‐clatter."""
{f:5:Lambdadelta},"""No! No machines! I want you to do it by hand! So please, just a bit more gently......owow!"""
{f:5:Bernkastel},"""It's nothing a little spit can't fix."""
{f:5:Lambdadelta},"""Yeep!! Tell me before you start licking me all of a sudden!"""
{f:5:Bernkastel},"""I'm going to sew you up with a long, fat needle now. It'll hurt like hell, so you'd better close your eyes. Five, four, three, two—"""
{f:5:Lambdadelta},"""A‐and keep that stuff to yourse{-}e{-}e{-}e{-}elf!! Ah, B‐Bern, d‐don't, don't, aaaa!!"""
,"But despite all this, the two of them truly were close."
,"Though {f:5:Lambdadelta} had been brutally dismembered in the final fight, she had survived."
,"But, unfortunately, she was still dismembered."
,"So, {f:5:Bernkastel} was sewing her arms and head back on with a needle and thread."
,"The left arm, which was still waiting to be reattached, walked around on the bed impatiently with its index and middle fingers."
,"Only the arms were left to do, so it looked like this would be finished soon."
,"Then, Erika returned, slamming the door open."
Furudo Erika,"""I'm home, my master!! I bought some sesame salt!!"""
{f:5:Lambdadelta},"""......Why sesame salt? You aren't planning to put it in tea, are you...?"""
{f:5:Bernkastel},"""It's Erika's toy. ......Erika, did you bring your chopsticks?"""
Furudo Erika,"""Yes, my master!! Great detectives have their magnifying glasses! Furudo Erika has her chopsticks."""
{f:5:Bernkastel},"""Are you ready? Pour out that sesame salt and use those chopsticks to separate the sesame seeds from the salt."""
Furudo Erika,"""Yes, my master!! Please watch my fantastic chopstick‐wielding skills!!"""
{f:5:Bernkastel},"""Yes, good luck. ......When you're done, make sure you put everything back in the bag."""
{f:5:Lambdadelta},""".........Are you still bullying her like that?"""
{f:5:Bernkastel},"""How rude. I'm playing with her. .........Ah, yes, Erika. The mailman just came by with a letter addressed to you."""
Furudo Erika,"""A letter?! I sense a crime calling to me. Don't tell me, I'll guess who sent it!"""
