Speaker,Umineko Project (UP)
Ushiromiya Natsuhi,"""......Father, ...it's Natsuhi. Good morning..."""
Ushiromiya Eva,"""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!"""
,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.
Ushiromiya Natsuhi,"""Qu‐quiet down...!! Don't make such a racket...!"""
Ushiromiya Eva,"""Do you really think now is the time to be saying something like that?!?!"""
Furudo Erika,"""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary."""
Nanjo Terumasa,"""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him..."""
Kumasawa Chiyo,"""Ho......hohoho... Yes, that's true... This isn't something that's started today..."""
Ushiromiya Battler,"""Does Grandfather really shut himself away in his study that hard?"""
Shannon,"""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time..."""
Gohda Toshiro,"""......Privately speaking, ......even though I work here, I sometimes forget that the Master even lives here..."""
Ushiromiya Natsuhi,"""Gohda. That is not the sort of statement I expect to hear from a servant!!"""
Gohda Toshiro,"""M‐my apologies, Madam... I am truly sorry......"""
Ushiromiya Hideyoshi,"""Anyway, ...isn't it bad if we can't get in touch with him? I mean, Father might not even know there's crimes goin' on! Right?!"""
Kanon,"""......I, I'm not sure........."""
,"Keenly noticing that people were starting to doubt Kinzo's existence, Kanon mumbled his words..."
Ushiromiya Kyrie,"""...............Who was the last person to see Father...? ......And when?"""
Ushiromiya Natsuhi,"""I‐...it was me. Last night, ......up until moments before all the fuss of Battler‐kun finding the gold, I was reporting the day's events to him in the study."""
Furudo Erika,""".........So around eleven o'clock last night."""
Ushiromiya Rudolf,"""......No way around it. Let's open it up."""
Ushiromiya Natsuhi,"""Wh‐what did you say...?! This is the family head's precious study and research room! No one is permitted to intrude without his permission, no one!"""
Ushiromiya Eva,"""Who here holds the highest rank? Me, remember?! I am the third in rank of the Ushiromiya family! And if someone must be scolded by Father for opening this door, that will be my responsibility as the highest ranked as well. As this is an emergency, I am opening this door. You have a key, right? Open it."""
Kanon,"""I, ......I believe you know this, but the study door cannot be opened with the master keys."""
Shannon,"""Umm, ......the Master recently took away Genji‐sama's key as well. He has both keys on his person now. ......So, umm......"""
Ushiromiya Battler,""".........So, both of the keys that can open this door are inside the study."""
Furudo Erika,"""A locked room! .........<Good>. Things are finally starting to get a little interesting. ......If, inside that room, Kinzo‐san is lying on the bed with his throat cut, that would be pretty neat."""
Ushiromiya Natsuhi,"""That is incredibly inappropriate, Erika‐san!! A‐......anyway, as you know, this door can only be opened by the keys that Father has."""
Ushiromiya Natsuhi,"""......That means it's impossible for anyone, even a murderer, to so much as touch Father from outside the room! So I am certain that the head is perfectly fine...!!"""
