Speaker,Umineko Project (UP)
Ushiromiya Maria,"""......I don't know why you're angry, Battler."""
Ushiromiya Battler,"""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!"""
Ushiromiya Maria,"""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?"""
Ushiromiya Battler,"""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!"""
Ushiromiya Maria,"""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?"""
Ushiromiya Maria,"""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch."""
Ushiromiya Maria,"""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!"""
Ushiromiya Battler,"""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!"""
Ushiromiya Maria,"""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?"""
Ushiromiya Battler,""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!"""
Ushiromiya Battler,"""From here on, I'm doing what {i:I} want. Someone might still be alive. Or someone might be hiding! I'll search every nook and cranny of this place, find them, and beat the shit out of them!!"""
,"In a rage, Battler grabbed his hat‐stand spear and flew out of the room."
,"Maria watched him go, looking bored..."
Ushiromiya Maria,""".........But {f:5:Beatrice} would grant your wishes soon anyway. ......Stupid Battler. ......Kihhihihihi."""
,"Then, the phone rang out again......"
,"Maria stood up, and grabbed the receiver."
Ushiromiya Maria,"""Uu. Hello. ......Uu? Uu!!!"""
,"Of course, the sound of the phone also reached Battler's ears as he was about to dash out of the guesthouse."
,"With a violent forcefulness, he turned around and dashed into the cousins' room..."
Ushiromiya Battler,"""M‐Maria......! The phone call, ......who's it from...?!"""
,"With a terrifying look on his face, Battler yelled at Maria, who was on the phone."
,"You couldn't blame him...... Right now, the only humans left alive on the island were himself, Maria, Gohda, and Kumasawa."
,But there was no way those two could call when they were locked up in the gardening storehouse.
,......Which meant.........there was only one person.{n}It had to be Kinzo.
,"As she happily chatted with the person on the other end of the phone, Maria slowly turned to face Battler."
,".........And, with an unsettling expression on her face, she laughed with a ""kihihi{0}hi{0}hi{0}hi{0}hi{0}hihihi"".{n}......It felt almost as though the person on the other end of the line was chatting about Battler."
Ushiromiya Battler,"""Maria...who's on the phone? ......Grandfather......?!"""
,Battler couldn't imagine that this was the case.
,"...After all, it was inconceivable that Maria would be having such a friendly talk with Kinzo, ......chatting to him about Battler with that eerie smile on her face."
,Just what kind of person could be on the phone.........who could make Maria chat with a smile like that?
,".........At that time, in the back of his mind, the words Kyrie had spoken to him drifted up."
,"Even if a witch does appear, there is no need to doubt it.{n}......Just.........believe in its existence......"
