Speaker,Umineko Project (UP)
,The true enemy of holding a fort probably isn't the fear of unseen enemies. It's whether you can keep it going over a long period of time.
,"Maria had gotten bored and had started making a ruckus because she wanted to watch TV. Since there was no TV in the lobby, she decided to return to the cousins' room upstairs."
,"The adults probably didn't want to leave Maria all on her own, among other reasons. They told all the children to go to the cousins' room upstairs."
,"George, his heart wounded by the loss of his fiancée, had no willpower to resist that, and led the cousins upstairs."
,"At first, Nanjo had been reading a book in the lobby, but when he noticed that the relatives looked like they wanted to talk about something shady, he said ""It seems I am in the way..."" and returned to his room upstairs."
Ushiromiya Rudolf,""".........I'm starving. And if I keep just sitting around, my drowsiness will be even worse."""
Ushiromiya Rosa,"""It's only natural. Because we didn't sleep last night."""
Ushiromiya Krauss,"""...We will probably end up barricaded here for a full 24 hours. It may be wiser to take naps in turn instead of over‐stressing ourselves."""
Ushiromiya Natsuhi,"""I agree. My husband and I will be here, so anyone who finds this difficult should rest without overdoing it."""
Ushiromiya Eva,"""They might be expecting that, you know? They may not be able to defeat this many people, but if that number was reduced by a certain amount, they may plan to use that to their advantage."""
Ushiromiya Kyrie,"""There are seven of us here. Two of us could rest for three hours at a time. ......It's a long time until tomorrow morning. We still have some energy now, but tonight's going to be tough."""
Ushiromiya Hideyoshi,"""Sure will be. Anyone sleepy? Don't overdo it, rest."""
,"Hideyoshi looked around at everyone to see who wanted to sleep first, but no one volunteered."
,"...Everyone was just as tired, but no one was bold enough to be able to sleep now. ......Their fear of the unknown culprit was just as strong as their sleepiness."
Ushiromiya Hideyoshi,"""......Nobody? Well, don't overdo it, everyone."""
Ushiromiya Eva,"""If we get tired, we can think about it then. ......I certainly am tired, but I'm not in the mood now."""
,"Eva spoke sharply, and then read once more over the second letter from {f:5:Beatrice}, which had been found in the boiler room."
,"{f:5:Beatrice} had sent them two letters, and had repeatedly told them to solve the riddle of the epitaph."
,"And she had even provoked them by saying she would give up the inheritance, both assets and headship, if it could be solved..."
,Eva took out a notebook and opened it to a page with the epitaph copied onto it.
Ushiromiya Kyrie,"""............Is that the epitaph?"""
