Speaker,Umineko Project (UP)
Ushiromiya Lion,"""So, did you figure out......who killed Beatrice?"""
Willard H. Wright,"""Yeah. More or less."""
Ushiromiya Lion,"""I hope you're not going to suggest......that the head killed her..."""
Willard H. Wright,"""{f:5:Bernkastel} isn't asking about the two Beatrices involved with Kinzo. She's talking about who killed the 1986 {f:5:Beatrice}."""
Ushiromiya Lion,"""......I'm not really sure what you mean by ""this year's {f:5:Beatrice}"". What's all this about a witch called {f:5:Beatrice}? You've mentioned a ghost story, you've mentioned an epitaph... Isn't it about time you explained all this to me?"""
Willard H. Wright,"""Alright. No point stringing you along."""
Ushiromiya Lion,"""Let's start from the beginning. ......Who is this witch {f:5:Beatrice}?"""
Willard H. Wright,"""Strictly speaking, it isn't a person. ""{f:5:Beatrice}, the Golden Witch"" is the name of a concept."""
Ushiromiya Lion,"""You mean the ghost stories themselves?"""
Willard H. Wright,"""To be more specific, even the ghost stories are only one of the elements that create the concept."""
Ushiromiya Lion,"""You've lost me."""
Willard H. Wright,"""Ghost stories are normally told in the third person or second person. However, someone started telling those in the first person."""
Ushiromiya Lion,"""You mean someone started saying that they were {f:5:Beatrice} themselves...?"""
Willard H. Wright,"""The legend of Rokkenjima's evil spirits, and the made‐up story for keeping kids out of the forest... These were combined with Kinzo's constant cries of ""Beatrice, Beatrice"" and gradually became the legend of the witch. Ushiromiya Maria became entranced by that fictional witch and begged for a chance to meet her. And then, someone...{i:granted her wish}."""
Ushiromiya Lion,""".........I'm still not following, but I'll just nod and tell you to keep going. ......What do you mean by ""granted her wish""?"""
Willard H. Wright,"""Because of the unfortunate way in which Ushiromiya Maria was brought up, she became obsessed with the occult. ......Someone felt sympathy for her, acted the part of {f:5:Beatrice}, and played with her."""
,Maria tends to recognize people by their behavior instead of their physical appearance.
,"When Rosa becomes violent, Maria calls her ""the black witch"", and at these times, Maria views her as a different person, not her mother."
,"So, this means that she tends to think of the same person as different people depending on their behavior."
,We can use this to see the scene where Maria first met {f:5:Beatrice} in a new light.
,"After being chased out of the mansion by the adults, Maria decided to drink some tea in the rose garden."
,"At that time, someone probably started talking to Maria."
,"Then, ......when they heard this occult‐loving girl talking happily about how she wanted to meet the witch {f:5:Beatrice}, .........this person acted as though {f:5:Beatrice} was possessing them."
,"On the outside, they didn't look like {f:5:Beatrice}."
,"However, when their manner of speech and behavior changed abruptly, Maria would recognize them as a different person."
,"That's why ""her"" appearance was so sudden."
Willard H. Wright,"""We can probably view Maria's love of witches and the occult as a form of escapism. ......She believed the power of witches could change her unfulfilling and incomplete life. So, she {i:wanted} to believe in them. Because if she believed in witches, she could also believe in her own happiness."""
Ushiromiya Lion,"""......It's true that Aunt Rosa is bringing up Maria by herself, and that she's always busy with work. I do feel sorry for Maria, but still..."""
Willard H. Wright,"""Don't ignore the heart. ......So, Maria believed {i:for the sake of believing}. She believed in {f:5:Beatrice}'s simple conjuring trick from the bottom of her heart. That probably comforted her a lot. ......And at that moment, the witch {f:5:Beatrice} was born."""
Ushiromiya Lion,"""Someone saw that Maria‐chan wanted to meet a witch, so they decided to play witches with her...?"""
Willard H. Wright,"""That's right."""
,This marks the birth of Beato the Elder.
,All of that about living a thousand years and being bound to Rokkenjima.
,That was all the result of mixing the legend of Rokkenjima's evil spirits with the story of a ghost wandering the mansion at night.
,"As Furudo Erika guessed, the two ghost stories fused."
,Someone fused the two stories together and acted the part.
,"So, {f:5:Beatrice} held traits from both ghost stories: she was the master of the mansion's night, while also fearing spiderwebs."
Ushiromiya Lion,"""So, when {f:5:Bernkastel} asks us who killed {f:5:Beatrice}, she means who killed the kind person who pretended to be {f:5:Beatrice}?"""
Willard H. Wright,"""That's close, but not quite. It's not the one who pretended. We're talking about two different people. ......In Maria's eyes, just like how her mother and the black witch are different people, {f:5:Beatrice} and the person who played that part are also different people."""
,It's just like Mariage Sorcière.
,"That was where one person would be the creator, and the other person would acknowledge those creations, thereby nurturing the illusion."
,"The Golden Witch {f:5:Beatrice} was also created by one person, and then nurtured when Maria acknowledged her."
Ushiromiya Lion,"""You mean, even if you kill the acted character, that doesn't mean you've killed the kind person who was playing the part?"""
Willard H. Wright,"""Even if {f:5:Beatrice}'s vessel is lost, that isn't the same as {f:5:Beatrice} being killed."""
Willard H. Wright,"""......It's easier to understand if we use a telephone as an example. Let's say I call you on the phone. From my perspective during the call, the phone is you, in the sense that it is what I talk to."""
Willard H. Wright,"""But what if I destroy the phone?"""
Ushiromiya Lion,"""......I see. If you kill the phone, you won't be able to talk to me, but that doesn't mean you've killed me."""
Willard H. Wright,"""We know Maria once offered to let {f:5:Beatrice} possess her, early on in their relationship. That clearly shows that {f:5:Beatrice} did not look like the portrait at that time."""
Ushiromiya Lion,"""So, if the person acting the part and the witch character they play are different people, ......we're talking about killing just the witch character itself. ......Is that even possible?"""
Willard H. Wright,"""Only the actor can kill the character. In other words, the person who killed {f:5:Beatrice} is the person who played the part of {f:5:Beatrice}."""
Ushiromiya Lion,"""You mean that the person who played witches with Maria‐chan is the culprit {f:5:Bernkastel}'s talking about?"""
Willard H. Wright,"""That's it. .........But, as if this wasn't confusing enough, this chapel is now a world inside a cat box. The culprit is the cat, and there are now two cats existing at the same time—one alive, and one dead."""
Ushiromiya Lion,"""......Confusing is right. I'm still lost, but keep going. You're saying that there are two culprits?"""
Willard H. Wright,"""Right. ......The person who can create and kill {f:5:Beatrice}......and the person who never gave birth to {f:5:Beatrice} in the first place, who can kill the entire concept of {f:5:Beatrice}. Both of those people are here."""
Ushiromiya Lion,"""Then let me ask. In this {f:5:Beatrice} murder case, who are the two culprits?"""
Willard H. Wright,"""Let's start with......the dead cat."""
Ushiromiya Lion,"""Who is it?"""
Willard H. Wright,"""You."""
Ushiromiya Lion,"""Wha............?"""
Willard H. Wright,"""The logic is extremely simple. Your world is the only one where the witch {f:5:Beatrice} doesn't exist."""
Ushiromiya Lion,"""I don't understand."""
Willard H. Wright,"""Both Maria and Jessica told me stories about the witch {f:5:Beatrice}. However, when they talked about the ranking system at the dining table, you weren't there."""
Ushiromiya Lion,"""I...wasn't there...?"""
Willard H. Wright,"""Maria came to visit Rokkenjima with Rosa. And Rosa was sitting next to her. That's impossible. .........If you exist, then after Rosa comes you, then Jessica, then Maria."""
,There should be two people between Rosa and Maria in rank.
,"In that case, they should be across the table from each other and separated by one seat."
,"......In other words, in the world where Lion exists, it's impossible for Maria to be sitting next to Rosa."
Willard H. Wright,"""It was the same in Jessica's story. If you're included in the ranking, then when looking down the table towards Kinzo's seat, you should be on the left side and Jessica should be on the right. After that comes George on the left side and Ange on the right. ......Jessica and Ange will be sitting next to each other whether you're there or not. However, which side of the table they're sitting on changes."""
,"In the world where Lion exists, Ange's seat is on Jessica's left.{n}However, if Lion doesn't exist, then Ange's seat is on Jessica's right."
Willard H. Wright,"""Every time someone talked about the witch {f:5:Beatrice} of 1986, they were all talking about a world where you don't exist. And, in your world, there are no ghost stories about a witch. To you, ""Beatrice"" is either Kinzo's mistress or his benefactor, not a wandering ghost."""
Ushiromiya Lion,"""The head loved Beatrice deeply, did he not? I can't imagine why she would be made into a ghost story."""
Willard H. Wright,"""Exactly. If you exist, the witch {f:5:Beatrice} doesn't. Your existence......{i:kills {f:7:Beatrice}}."""
