Speaker,Umineko Project (UP)
{f:5:Bernkastel},"""............Lambda, ......where are you......?"""
,Just having to say that felt like admitting defeat......and I didn't like it.
,"Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?"
,Where.........am I......?
,"Annoyed by the completely predictable ending, I had left the cathedral."
,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.
{f:5:Bernkastel},"""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous."""
,"I, the great {f:5:Bernkastel}, ......am lost?"
,A miracle like that certainly couldn't happen.
,Yes...miracles don't exist in this world.
,"To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity."
,"So, when something that appears to be a miracle happens in a shorter span of time than that, .....it is not a miracle...but due to someone's......design."
,"In other words, ......the reason I'm walking down this bizarre corridor......is because someone's design has forced me here......"
{f:5:Bernkastel},""".........Who did this? Who pulled this elaborate prank on me? .........You must be quite the shy one, ......calling me out to a desolate place like this."""
,"......Then, ......from the other end of the dark corridor, ......I heard a sound."
,"{a:c:*patter*, *patter*patter*patter*.........}"
,"It sounded as though some small animal, like a dog or a cat, was walking at a quick pace."
,"No miracle could cause a dog or cat to be in a place like this.{n}Such a miracle would not be ""allowed""."
,"Since it isn't a miracle, that means I am being guided in that direction."
,.........Alright then. This might be some new idea to keep me entertained.
,"If this is some new joke of Lambda's, I'll cover her whole body with honey using my tongue as a reward."
,"...And then, I'll stick parasol chocolates into her eyes and tell her to never do it again."
,"In the direction that the noise had come from, ......it was not only dim, but shrouded in complete darkness."
,"However, ......I could sense something in that darkness."
,".........There were two emerald‐green glints, ......probably cat eyes. The eyes of a black cat that blended well into the darkness."
{f:5:Bernkastel},"""Are you the one who called me here...? .........Or......are you just the messenger...? ..............."""
,"When I looked at my feet, ......I saw red cat footprints leading towards those cat eyes."
,"......It was unsettling, ...as though it had run through a puddle of blood on its way there."
,"After my eyes adjusted to the darkness, .........even with the lack of light, I was vaguely able to make out the red footprints ahead of me."
,"......They weren't actually glowing or anything, ......but they served perfectly well as a signpost leading me onwards."
,{a:c:*patter*patter*patter*patter*......}
,"As though it was telling me to follow, ......the cat turned around and dashed off into the darkness."
,..................What is it? ......Something feels...very strange.
,It's a feeling I haven't felt since I began calling myself the cruelest witch in the world.
,......I can't quite remember what this feeling is.
,"Still, ......for one as tired of boredom as me, it's surely more fun this way."
,"I followed the bloody footprints of the cat, which would sometimes stop and look back at me, ............and walked on and on through the dark corridor......"
