Speaker,Umineko Project (UP)
Ushiromiya Natsuhi,"{a:c:""It's Natsuhi, please open up...!!""}"
,Natsuhi yelled as she knocked loudly and repeatedly.
,"Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard."
,"As the door opened, a heavily sweet venomous odor flowed out."
,"Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head..."
,Krauss was waiting for her inside the study.
,Natsuhi flew into his arms.
Ushiromiya Natsuhi,"""......I‐is Father... ......Is he........."""
Ushiromiya Krauss,"""Calm yourself. ......Doctor Nanjo is examining him now..."""
,"With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss."
,"There, a dignified bed fitting for the head of the Ushiromiya family could be seen, along with Nanjo, Genji, and Kumasawa..."
Ushiromiya Natsuhi,"""Doctor Nanjo... I‐...is Father......"""
,"After sighing deeply, Nanjo left the side of the bed."
,"On the bed, Kinzo could be seen lying down, sleeping......"
Nanjo Terumasa,""".........He died peacefully. ...I don't think Kinzo‐san had any regrets."""
Ushiromiya Natsuhi,"""Ah, ...waa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aahh{0}h{0}h{0}h{0}hhh... Father... Fathee{-}e{-}e{-}e{-}e{-}e{-}e{-}er...!!"""
,"...Sobbing, Natsuhi put her head against the chest of the man who had fallen into a sleep from which he would never awaken."
Kumasawa Chiyo,"""M‐......Madam, ...please, stay strong..."""
Ushiromiya Natsuhi,"""Father, Father......!! This is...just too sudden...... Aaaaaaaahhhhhhh!!!"""
Ronoue Genji,"""..............."""
,"Natsuhi couldn't stop her tears over the death of Kinzo, whom she had loved like a second father."
,"Kumasawa rubbed Natsuhi's back, consoling her......"
,Krauss slumped into his late father's favorite chair.
,"By sitting there, he might have been immersing himself in memories of his departed father."
,"Or perhaps he thought that by sitting there, he might be able to understand just a bit of the madness of Kinzo's later years, which had eluded him to the end of his father's life..."
,Nanjo turned his back and looked down over the outside world through a crack in the curtains.
,It was the same thing he'd often done when Kinzo sat in that chair contemplating a chess move...
Ushiromiya Krauss,"""...If he was to die anyway, it would have been better if he was sick in bed for a year or so before dying. I do wish he could have died after a grace period during which the proper arrangements could have been made."""
Nanjo Terumasa,"""It's the other way around. ......We should be glad that he was in high spirits until the very end."""
Ushiromiya Krauss,"""That will have to be my public stance, yes..."""
,Nanjo understood that as well.
,"This was the death of Ushiromiya Kinzo, a man who had risen like a comet and glittered like a supernova in the post‐war world of business."
,His funeral would probably be of a fantastic scale.{n}And it would also be the ceremony marking Krauss's inheritance of the headship.
