Speaker,Umineko Project (UP)
Willard H. Wright,"""........................"""
,"""............This form is......"""
{f:5:Bernkastel},"""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?"""
Clair,"""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form."""
,{f:5:Bernkastel} had given this person a fake form.
,It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......
Ushiromiya Lion,"""......Is that......a story about......me in another world?"""
Clair,"""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}..."""
Ushiromiya Lion,"""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine..."""
Willard H. Wright,"""Even so, ......it's the life that another ""you"" has led."""
Ushiromiya Lion,"""But still! That doesn't mean I can accept it easily."""
,Lion suddenly yelled and looked at the floor.{n}Lion already knew.
,"Because of the fragments provided by {f:5:Bernkastel}, Lion knew."
,"This was a different world, where the same person lived as the Golden Witch {f:5:Beatrice}."
,"And, in this world, .........eventually, ............on the day of the October 1986 family conference, .........this person would be the ringleader of a terrible crime."
Ushiromiya Lion,"""......Even if it is a different world, ......you're saying that I get my immediate and extended family and all of the servants involved in a terrible crime that I'm the mastermind of! How am I supposed to deal with that?!"""
Willard H. Wright,"""...............Be quiet, listen, and understand."""
Ushiromiya Lion,"""In a different life, I end up as a servant! And if that wasn't enough, I suddenly become a witch! And then, I eventually carry out several horrifying murders...! How am I supposed to ""understand"" that?!"""
Clair,""".............................."""
Willard H. Wright,"""Yeah, that's what I expected you to say. ......I doubt anyone could understand. ......This person here's long past expecting anyone to understand. That's why {i:you} are here. ......That's why {f:5:Bernkastel} brought you two, two people who never could have met, together like this."""
{f:5:Bernkastel},"""............It's not like I had any deep reason for it. It was just a whim."""
Willard H. Wright,"""It's a motive that no one else can understand, Lion, so you need to be the one to understand it. I'm not the main character in this tale. You are. .........I'm just here to help you understand."""
Ushiromiya Lion,"""You said that you understood the culprit's motive."""
Willard H. Wright,"""......Yeah."""
Ushiromiya Lion,"""Is it...a satisfying motive...for explaining why I'd kill my entire family...?!"""
Willard H. Wright,"""Who knows. That's for you to decide. Even if I say it's satisfying, that doesn't mean it'll satisfy you. ......You have to decide that for yourself."""
Ushiromiya Lion,"""I really don't have a clue what's going on...! I've seen several crimes called game boards that {f:5:Beatrice} supposedly carried out. And now, I'm hearing another me talk about a different life from mine. But none of that fits with the crime! I don't understand!!"""
Clair,"""..................At this point in the tale, ......even I...could not have dreamed that I would eventually carry out such a terrible crime. In fact, even if I could have dreamed it, .........I did not have the power to commit that crime at that time."""
Willard H. Wright,"""Probably. ......Your misfortune probably came......when you solved the epitaph's riddle."""
Ushiromiya Lion,""".........Huh? You mean that epitaph about the hidden gold, which Grandfather supposedly wrote...?!"""
Willard H. Wright,"""There was a system by which the culprit obtained different accomplices each time the crime was committed. .........Reasoning leads us to the possibility that the culprit possessed a vast amount of money. And.........for inviting all to the Golden Land.........and making all loves bear fruit......there was one other system."""
Clair,"""...............So, it's not just the motive......that you've figured out."""
Willard H. Wright,"""That's the answer to the final riddle in the fourth game. ......Your greatest misfortune was solving the epitaph, .........reviving as the Golden Witch in the truest sense, and gaining that magical power."""
Clair,"""......Looking back, ......perhaps that was an ill‐fortuned event. .........I do not know. However, as long as the fact that Battler‐san returns in 1986 remains unchanged, .........some sort of tragedy would certainly have occurred."""
Willard H. Wright,"""That's right. ......If Battler had returned a year earlier or later, .........that incident might not have occurred."""
,"No, some small incident would probably have occurred."
,"And it would surely have been a mysterious, impossible incident, which no one could understand."
,"But even so, it would have been insignificant compared to the Rokkenjima Serial Murders......"
Ushiromiya Lion,"""......If Battler‐kun......had returned a year earlier or later, ......then what?"""
Clair,"""........................ ......Fate can be so filled with irony. .........It made me walk the path of a witch, ......and when I solved the epitaph, I became a true witch. ......Then, after six years, I learned of his return. .........If all of that was fate, .........then this crime must have been inevitable and inescapable for me."""
Willard H. Wright,"""In 1980, when Asumu, his mother, died, and his father remarried too soon for his liking, Battler left the Ushiromiya family in disgust. And he was gone for six whole years."""
,He convinced his grandparents on his mother's side to help him and had his last name changed to his mother's maiden name.
,"Then, when those grandparents passed away, he finally made up with Rudolf...and returned to the Ushiromiya family again in 1986..."
Willard H. Wright,"""That bad luck......gave birth to your motive for the crime."""
Clair,""".........I did think it. ......‘Why, after six whole years, .........have you come back now?’"""
Willard H. Wright,"""I understand. In a way, ......it would have been better for you if he had never come back."""
Clair,"""Of course, my suffering would have continued. ......However, I may have avoided tainting myself with the unforgivable crime of mass murder."""
Ushiromiya Lion,""".........How could Battler‐kun leaving the Ushiromiya family......create a motive?"""
Willard H. Wright,"""You've got it backwards."""
Ushiromiya Lion,"""......Backwards?"""
Willard H. Wright,"""The crime didn't occur because Battler left. .........It happened because Battler came back."""
Clair,"""........................... ......The more I think about it, the more I realize. ......Ushiromiya Battler. ......What a detestable man he was. More than anything else, because he never realized that the outbreak of the crime was his fault."""
Willard H. Wright,"""He did remember, in the end. ......However, that was long after you gave up and disappeared."""
Clair,"""............If that is so, ......then it would give my heart some peace..."""
