Speaker,Umineko Project (UP)
Ushiromiya Battler,"""Hey, everyone, good job finishing ""Umineko no Naku Koro ni""! Man, I still didn't have a clue what was going on when the story ended!"""
Ushiromiya Jessica,"""So just what happened? Was that basically the ""bad ending"", where time runs out before the culprit can be exposed?"""
Ushiromiya Maria,"""Uu. Definitely a bad ending. Uu."""
Ushiromiya George,"""I think so too. {f:5:Beatrice}'s letter, which Maria‐chan read on the first day, did tell us in advance to solve the riddle of the epitaph. We were all so busy trying to protect ourselves and look for the culprit that we didn't even take a shot at it."""
Shannon,""".........Yes, that's true. If we had actually tried to solve the riddle, I'm sure things would have ended differently."""
Ushiromiya Battler,"""I wonder about that. Shannon‐chan, you did a good job too!"""
Ushiromiya Battler,"""You don't have to be our waitress and serve tea. After all, this is a wrap party. As a group of people who met a horrible fate, let's all get along and lick each other's wou~~nds! Licklickli~ck!!"""
Ushiromiya Jessica,"""Speaking of a horrible fate, Shannon beats the rest of us hands down, doesn't she? She was such a beautiful character, so I thought she'd definitely survive until the very end, but she was killed right in the beginning, and on top of that...what was it? Half of her face was smashed, right? That's the worst!"""
Shannon,"""............That was my role, so, umm......there was no way around it..."""
Kanon,"""...Nee‐san, it's nothing for you to worry about. Judging by the final epilogue, even Milady and the others met with a considerably tragic end."""
Ushiromiya George,"""Ahahaha... It seems that way. I think I remember seeing this horrible picture, kind of like my entire body had been eaten apart and dismembered."""
Ushiromiya Battler,"""Speaking of which, don't you think Kanon‐kun's last moments were the coolest? Even though he had the tables turned on him, it was a showdown with the culprit, right? It's a whole bunch better than our confusing last moments!"""
Kanon,""".........Though, in the end, I was no match for her."""
Shannon,"""Still, ...I think that Kanon‐kun's death was a big hint. I mean, because of that, it became clear that a 19th person existed."""
Ushiromiya George,"""Yes. At that time, everyone's location was obvious. So it was impossible for anyone other than some unknown 19th person to kill Kanon‐kun."""
Ushiromiya Maria,"""Uu! I did say it was {f:5:Beatrice} from the beginning, over and oooover. Uu!"""
Ushiromiya Jessica,"""......I don't wanna believe it, but that does prove the culprit was a witch calling herself {f:5:Beatrice}."""
Shannon,"""That's right... There were many strange things that happened which a human couldn't do..."""
Ushiromiya Maria,"""Uu. Only a witch could do things like Auntie Eva's locked‐room murder. A human couldn't do that! Uu!"""
Kanon,"""............Not only is it clear that a 19th person exists, but it is also obvious that this person holds a power that humans can't even imagine."""
Ushiromiya Jessica,"""In that case, I don't think there's anything wrong with calling this person {f:5:Beatrice}."""
Ushiromiya George,"""...We probably met at the very end. ...Met with the Golden Witch."""
Ushiromiya Maria,"""That's why I kept telling you {f:5:Beatrice} exists. It all went bad because no one ever believed. Uu! Even one of my witch friends says miracles won't happen if you don't believe! Uu!"""
Shannon,"""That's right. {f:5:Beatrice}‐sama is generous to those who respect her."""
Kanon,"""......I feel as if, despite the fact that horrible incidents kept occurring one after the other, Maria‐sama wasn't in danger from {f:5:Beatrice}‐sama until the end."""
Ushiromiya Jessica,"""Maria did believe in {f:5:Beatrice} from the very beginning. ...But then, so did Kanon‐kun and the others, so how do you explain why they were all killed?"""
Kanon,"""......{f:5:Beatrice}‐sama probably had her reasons."""
Shannon,"""If the epitaph poem represented {f:5:Beatrice}‐sama's resurrection ritual, then she needed many sacrifices. ......He must simply have been designated to be one of those."""
Ushiromiya George,"""...Shannon‐chan, you met a horrible end... At the very least, I wish your death could have been more peaceful and pretty."""
Shannon,""".........Umm, well, ...it's not like it hurt... Besides, as you can see, right now, I'm perfectly fine, so don't worry."""
,"Shannon proved this by stroking her cheek which had been crushed during the story, and everyone laughed out loud, smiling."
Ushiromiya George,"""Well, it feels a bit weird saying this, ...but I was sure this story would be in the standard mystery genre. I'm a little surprised to find out that it's fantasy. After all, a story revolving around an inheritance, set on a Western‐style mansion shut away on an isolated island, ...I thought that was the classic formula for mysteries."""
Ushiromiya Maria,"""......Uu. It's not fantasyyyy! {f:5:Beatrice} ""exiiists""! Uu."""
Kanon,""".........Yes, we know. {f:5:Beatrice}‐sama does ""exist""."""
Shannon,"""That's right. ......{f:5:Beatrice}‐sama does ""exist""."""
Ushiromiya Jessica,"""...I hate to admit it, but I've got no choice. Because it's obvious that a 19th person, a witch, was involved...!"""
Ushiromiya George,"""She pulled off many things that would be impossible for humans. During the story, we thought of all kinds of things, trying to deny that."""
Ushiromiya George,"""...But now I can say it clearly. Each one of them, all of them, were crimes impossible for a human. ......Those crimes would be impossible to carry out unless it was the witch {f:5:Beatrice} using all of the power magic could provide."""
