Speaker,Umineko Project (UP)
,"The cousins walked along the water's edge, playing."
,"They searched for bits of glass, polished by the waves to become small and gem‐like.{n}They caught up on news of each other's lives and joked around."
,They wrote words in the sand.{n}They chased the receding waves and ran away from the coming ones.
,The cousins enjoyed this time they had to themselves.
Ushiromiya Battler,"""Get back here, Maria! You won't get off easy this time!! Wahahaha!"""
Ushiromiya Maria,"""Kyahahahahahaha!! No, no, no, no, kyahahahaha!"""
Ushiromiya George,"""You'll get hurt if you fall. Be careful, you two."""
Ushiromiya Jessica,"""Feels like the wind's gotten stronger. Maybe we should head back soon."""
Ushiromiya George,"""You're right. I think the sky's getting cloudier too. .........Battler‐kun, Maria‐chan! I think we should call it a day soon and head back to the guesthouse for the time being."""
Ushiromiya Maria,"""Uu? No way! I wanna play more!!"""
Ushiromiya Battler,"""Hey, don't ignore your cousin. Okay, that's all for now. Here, I'll give you my glass gem."""
Ushiromiya Maria,"""Uu!! Really?! Thank you, Battler!! Now, I have the most, so I win! Uu‐uu‐uu!!"""
Ushiromiya Jessica,"""Ange, are you okay?"""
Ushiromiya Ange,"""............Yeah."""
Ushiromiya Battler,"""What's wrong, Ange? You look a little down."""
Ushiromiya George,"""She's just tired out. Come on, let's all head back together."""
,"True, Ange's expression probably looked tired.{n}However, Battler alone thought he saw something else in it."
Ushiromiya Battler,"""What happened? Can you tell me?"""
Ushiromiya Ange,"""............It's nothing."""
,"She said that, but something in her expression showed that she was unsatisfied for some reason."
,"However, since Ange wouldn't say what it was, and Battler couldn't think of anything, that was the limit of what he could figure out."
,"So, he squeezed her small hand, silently letting her know that she could tell him whenever she was ready..."
,"It had seemed such a bright, sunny day until a short while ago..."
,"However, the sky had turned gray, and the wind had started to feel more annoying than pleasant."
,"If they waited around, they might have to deal with scattered raindrops as well."
Ushiromiya Jessica,"""And I guess it'll be raining the whole time from now on. What a drag."""
Ushiromiya George,"""Still, even though it didn't last long, it was fun to be a kid again for a while."""
Ushiromiya Maria,"""I can't wait to show Mama this glass gem! I'm gonna tell her I won!"""
Ushiromiya Battler,"""Ihihi. Even though you only won 'cause I gave you mine."""
Ushiromiya Maria,"""Uu! I got it, so it's mine! So I won! Uu‐uu‐uu!!"""
,"Ange walked distractedly, pulled along by her brother."
,"George and the others thought that she had probably woken up too early and was tired, so they didn't try to talk to her much."
,"As they reached the end of the forested path, the rose garden lay before them.{n}They could see the strong winds making the rose bushes wave."
Ushiromiya Maria,"""Mama!! Look!! I won!!"""
,"Waving a hand about and yelling, Maria ran.{n}Rosa was waving to her from the front of the guesthouse."
Ushiromiya Jessica,"""I'm gonna head back to my room for a sec. I'll meet you in the cousins' room right after."""
Ushiromiya George,"""Okay, got it. See you later, then."""
,Jessica ran off in the direction of the mansion.
,"George turned around, as though suggesting that they had better get going too."
,"However, when he saw Ange standing still with a crabby look on her face, he realized that she might have been put into a bad mood by something."
Ushiromiya George,"""......Is everything okay?"""
Ushiromiya Battler,"""Y‐yeah, she's fine. Sorry, but would you mind going on ahead of us?"""
Ushiromiya George,"""Sure, got it. See you later."""
,George headed for the guesthouse.
,"The only ones left in the rose garden were Battler, who was waving at George, ......and Ange, who was still staring at the ground and holding Battler's hand."
,"For the past few minutes, he had repeatedly asked Ange what was wrong."
,"He realized that this wasn't anything like a stomachache, or something obvious that had put her into a bad mood."
,"However, young girls sometimes get upset for reasons that only they can understand."
,"Battler knew this, so he didn't rush her in any way, and continued to gaze around the beautiful rose garden, holding her hand."
Ushiromiya Ange,"""............Onii‐chan."""
Ushiromiya Battler,"""......What is it?"""
Ushiromiya Ange,"""Where............is this place?"""
,She asked the question...as though she was talking about something on the other side of the silver screen.
,"Though Battler understood what that question meant, he played dumb."
Ushiromiya Battler,"""What do you mean, where? It's Rokkenjima."""
Ushiromiya Ange,"""No, it isn't."""
Ushiromiya Battler,"""Yes, it is."""
Ushiromiya Ange,"""How is this supposed to be Rokkenjima?"""
Ushiromiya Battler,"""It's the Rokkenjima of October 4th, 1986. ......The Rokkenjima you've wanted to see for so long."""
Ushiromiya Ange,"""That's a lie."""
Ushiromiya Battler,"""Why do you say that?"""
Ushiromiya Ange,"""This is all.........a pack of lies."""
,Ange wrenched her hand from her brother's grip.{n}That hand hit a rose and sent flower petals flying.
Ushiromiya Battler,"""I don't lie."""
Ushiromiya Ange,"""How is this supposed to be the truth?!"""
,"Ange spat those words out. However, Battler's expression remained calm and composed."
Ushiromiya Battler,"""......What don't you like about it?"""
Ushiromiya Ange,"""For one, Ushiromiya Kinzo! There's no way he was like that and you know it!"""
Ushiromiya Battler,"""He's just seen his grandchildren again for the first time in a long while. .........I think any grandfather would smile in that situation."""
Ushiromiya Ange,"""Not Ushiromiya Kinzo, he wasn't that kind of person!! Ushiromiya Kinzo was......"""
Ushiromiya Battler,"""Strict, discontented, short‐tempered, and quick to anger?"""
Ushiromiya Ange,"""So you do understand!! What was all that back there?!! How was that supposed to be Ushiromiya Kinzo?! Halloween? Exchanging presents?! What the hell is that?!! That's nothing like Ushiromiya Kinzo... This is nothing like Rokkenjima...!!"""
Ushiromiya Battler,""".........Don't you remember, Ange?"""
Ushiromiya Ange,"""Remember what...?!"""
Ushiromiya Battler,"""We did that every year, didn't we?"""
Ushiromiya Ange,"""Every year...? That?!"""
Ushiromiya Battler,"""Well, I guess it's no surprise. The last time you went to a family conference, you weren't even six years old. ......So, it's only natural that you wouldn't remember."""
Ushiromiya Ange,"""It's...only natural that..............."""
,"Ange understood what her brother was trying to say. ......However, she couldn't accept it."
Ushiromiya Battler,"""It's true that Ushiromiya Kinzo was a strict man. When he was younger, he really did lash out at his kids, apparently. ......It was pretty traumatic for the old bastard and his siblings... You could say they're still a bit scared of him even now, ......and, well, you wouldn't be wrong."""
,"The grand tale of how Kinzo had restored the Ushiromiya family was more than enough to paint him as a rigid, terrifying man."
,"Furthermore, Kinzo was an investor. All the legends and tales that made him seem more mysterious had probably worked in his businesses' favor."
,"......At times, Kinzo may even have acted out this part people expected, endeavoring to make his presence all the more overpowering."
,"That's why the world at large spoke of Ushiromiya Kinzo as a strict, short‐tempered man. And they even thought of him as a fickle, bold, incomprehensible eccentric..."
Ushiromiya Battler,"""But that was just......the face Grandfather showed to the world. That's not how he acted in private, alone with his family."""
Ushiromiya Ange,"""......Are you saying that weeping old man who doted on his grandchildren......is the real Ushiromiya Kinzo?"""
Ushiromiya Battler,"""He must have played with you and patted your head many times. Do you really not remember......?"""
Ushiromiya Ange,""".............................."""
,Things like that......might have happened once or twice. But that would only have been a mere whim of Kinzo's......
,My parents told me all the time.
