Speaker,Chinese Simplified (CN)
Ushiromiya Ange,「圣诞节的第二天就不是圣诞节了。那绝对不可能。」
Ushiromiya Kinzo,「呵呵呵。真是遗憾，答错了。」
Ushiromiya Ange,「诶，为什么…！」
Ushiromiya Eva,「小缘寿，一天的开始是从几点算啊？」
Ushiromiya Ange,「午夜的 0 点。」
Ushiromiya Eva,「你想。0 点的时候不就是夜里吗？」
Ushiromiya Ange,「……啊。」
,是啊。第一个晚上，是在 12 月 25 日的 0 点左右进行的。
,也就是，前一天结束，刚刚进入圣诞节这天的时候。
,的确那也是圣诞节，而且是晚上。
Ushiromiya Ange,「然后，25 日的早上来临，再入夜的话，也还是 25 日的夜里……」
Ushiromiya Eva,「就是这样！答得很好嘛。」
Ushiromiya Kinzo,「嚯嚯嚯嚯！再早一点想出来的话就好了啊。」
,爷爷的笑声好像个圣诞老人。
,绘羽姑母争辩说答案都已经想出来了应该给算正确，但是爷爷却摇摇头。
Ushiromiya Eva,「真是的…！爷爷可真小气啊？」
Ushiromiya Ange,「但是，我知道要领了。下回再加油。」
Ushiromiya Kinzo,「嗯。要的就是这种气势。这才是我的孙女。」
Ushiromiya Ange,「谢谢你，爷爷。没关系。之后我会都答对的。」
Ushiromiya Kinzo,「嗯。好好加油吧。爷爷会准备很棒的奖品等着你的。」
,我对爷爷点了下头，和绘羽姑母一起奔向大家那边。
Ushiromiya Ange,「啊，是这样。有可能…！」
Ushiromiya Eva,「对对。在一天里，夜晚是有两回的呢。」
Ushiromiya Ange,「嗯！12 月 25 日是从午夜 0 点开始的。0 点的时候是晚上，这就是第一夜。那之后，经过早上再入夜，直到午夜 12 点都是同一天！」
Ushiromiya Eva,「就是这样。其中不论哪个晚上，都确实是圣诞节那天的夜晚。」
Ushiromiya Ange,「嘿嘿嘿嘿。我很厉害？我很厉害…？！」
,绘羽姑母笑逐颜开地，抚摸着我的头。
Ushiromiya Kinzo,「哇哈哈哈！答得漂亮，缘寿。本打算难你一把的，结果一下子就被你给解出来了。」
Ronoue Genji,「恭喜您，缘寿小姐。……这是，答对第 1 问的金币。」
,源次递出了金色的纪念币。{n}爷爷微笑着说，好好收下吧。
Ushiromiya Ange,「谢，谢谢。」
Ushiromiya Kinzo,「就这样，继续加油吧。那，我的出题就此结束了。去那边，找喜欢的人说话让他们出题吧。」
,沉甸甸的，金色的纪念币。
,要是答对好多题收集很多枚的话，口袋说不定会破掉？
,收集到让口袋破掉的程度，来向大家夸耀吧。
,我对爷爷点了下头，和绘羽姑母一起奔向大家那边。
,缘寿的背影，金藏用温柔的眼神目送着。
Ushiromiya Kinzo,「是不是，太简单了呢…？」
Ronoue Genji,「不。我认为这样刚刚好。」
Ushiromiya Kinzo,「…………源次。我有没有好好地，扮演出个好爷爷啊…？」
Ronoue Genji,「这是当然。」
