Speaker,Italian (IT)
Kanon,"""Signorina, per favore, si calmi...!"""
Gohda Toshiro,"""Ancora non sappiamo chi sia il colpevole! E per il padrone, {f:5:Beatrice}‐sama è un'ospite d'onore importante...!"""
Ushiromiya Jessica,"""E quindi?!! Se la prendiamo per il bavero state certi che confesserà!!{n}Lo capiremo guardandola negli occhi!! La smaschererò!! Che razza di strega dovrebbe essere {f:5:Beatrice}?!! La esporrò per quella che è veramente!!"""
,"Jessica non fermò mai i propri passi.{n}Gouda e Kanon la tallonavano, continuando a fare del loro meglio per persuaderla, ma Jessica non diede loro ascolto neanche una volta."
,"Alla fine, ‘la sala VIP della strega’ entrò nel loro raggio visivo.{n}La sala VIP era una stanza mai utilizzata, e tenuta sempre chiusa..."
,"Kinzo non avrebbe mai fatto entrare un ospite in quella stanza, a prescindere da chi fosse..."
,"Ciononostante, era sempre stata fatta pulire dai domestici, in modo da poter essere usata in qualsiasi momento."
,"Perciò i domestici avevano iniziato a chiamarla ‘la sala VIP della strega’, ossia la stanza dell'altra padrona priva di forma."
,Anche Jessica ne era a conoscenza. E non poteva perdonare l'arroganza di definirsi una strega mediante il risiedere in quella sala...
,La Strega Dorata era solo una favoletta. Ma quale strega?! Per lei era soltanto l'assassina che aveva brutalmente ucciso i suoi genitori!
,"L'avrebbe pressata di domande, per poi farle chiedere scusa, sputare e ansimare in preda al dolore..."
,"Poteva fingere di essere una strega quanto voleva, le avrebbe insegnato che era una semplice {y:0:Umana}{n:0:umana} che puzzava di sudore!!"
,"Gridando con tutta la sua forza, Jessica colpì la porta della sala VIP."
,"Non stava affatto bussando... Quello era il suono dell'impatto di un martello furente che avvertiva di aprire la porta, o altrimenti sarebbe stata sfondata."
Ushiromiya Jessica,"""Apri, {f:5:Beatrice}!! Esci fuori!! Mi senti o no?! Apri la porta!!!"""
,"Non vi fu risposta... Jessica girò la maniglia senza farsi alcun problema, ma la serratura oppose resistenza."
,"Volse il capo verso i due domestici, e senza girarci attorno, disse:"
Ushiromiya Jessica,"""Il passepartout la può aprire, vero?! Usatelo!!"""
Gohda Toshiro,"""Signorina...! Sarebbe un gesto decisamente incivile...!!"""
,"Gouda era agitato, ma cercò comunque di contenere in qualche modo l'ira di Jessica..."
,"Dopo essere rimasto per un po' in silenzio a capo chino, Kanon prese un passepartout dalla tasca della sua giacca."
Gohda Toshiro,"""Kanon‐san...! Ne sei sicuro?!"""
Kanon,"""...Condivido il fatto che sarebbe un gesto scortese, nel caso lei fosse qui...{n}E poi... Se {f:5:Beatrice}‐sama non ha nulla a che fare con tutto questo, dovrà solo spiegarsi in maniera convincente."""
Ushiromiya Jessica,"""E-Esatto, proprio così!! Dammi qua!"""
,"Jessica rubò il passepartout dalla mano di Kanon, e lo infilò con veemenza nella toppa..."
,"Si sentì subito un piccolo rumore, e in risposta la porta si sbloccò."
,Spalancò la porta senza chiedere permesso.
Ushiromiya Jessica,"""{f:5:Beatrice}!! Dove sei?! Vieni fuori!!"""
,Jessica avanzò nella stanza senza alcun riguardo per l'educazione...{n}La strega non si vedeva da nessuna parte.
Ushiromiya Jessica,"""...Che puttana!! Non è qui!! Dove cazzo è andata?!"""
Gohda Toshiro,"""...N-Non si trova qui..."""
,"Pensando che potesse essersi nascosta da qualche parte nella stanza, Jessica diede un'occhiata dietro le tende e sotto al letto, ma non trovò nessuno."
,"Però c'erano effettivamente dei segni che il letto fosse stato usato... Sarà anche un modo banale di descriverla, ma l'atmosfera nella stanza divenne un po' più mite."
