Speaker,Italian (IT)
Nanjo Terumasa,"""...Non dirmelo... sei di nuovo tornato a bere?"""
,"Toltosi lo stetoscopio, l'anziano dottore sospirò."
,"Nel cupo studio, dove aleggiavano sia polvere che un malsano odore dolciastro, erano presenti due anziani signori."
,"Nell'angolo di quella stanza, troppo grande per poter essere definita uno studio, vi era un letto dall'aria lussuosa, un uomo sotto esame medico, e il dottore che lo stava visitando. E ad osservarli, sembrava esserci un domestico."
Ushiromiya Kinzo,"""L'alcol è mio amico. È un amico tanto quanto te, ed è stato al mio fianco per più tempo."""
,"L'uomo, che aveva scoperto il proprio petto per il controllo con lo stetoscopio, disse ciò senza battere ciglio, mentre risistemava i suoi vestiti."
Nanjo Terumasa,"""...Kinzo-{c:86EF9C:san}... è grazie ai farmaci che fanno effetto se il tuo corpo a prima vista è in buona salute. Tuttavia, se continui a bere liquori così forti, la medicina diventerà del tutto inutile... Lo dico per il tuo bene. Astieniti dall'alcol."""
Ushiromiya Kinzo,"""Apprezzo le tue preoccupazioni, amico mio... Genji, un altro bicchiere. Diluiscilo con un po' d'acqua. Così Nanjo potrà salvarsi la faccia."""
Ronoue Genji,"""...Ne è sicuro?"""
,"Dopo aver guardato il padrone che aveva chiesto il liquore, e il dottore che lo aveva proibito, l'anziano maggiordomo di nome Genji annuì silenziosamente, e obbedì fedelmente agli ordini del suo padrone."
,"Nanjo, il suo medico curante, emise un altro profondo sospiro nel guardarlo allestire il tutto nei pressi dell'armadietto dei liquori..."
,Un odore riempiva l'interno della stanza...
,"Quel dolce, intenso aroma sembrava sciogliere il cuore, se non l'anima stessa. Era l'aroma di quella velenosa bevanda verdastra, di cui il padrone non riusciva a fare a meno."
Ushiromiya Kinzo,"""...Nanjo. Tu sei un caro amico con cui mi frequento da molto tempo. Ti sono profondamente grato per avermi mantenuto in vita fino ad oggi."""
Nanjo Terumasa,"""Io non ho fatto nulla... Dopotutto, non hai mai ascoltato i miei consigli da medico."""
Ushiromiya Kinzo,"""Ahahahah... E tu non mi ascolti mai quando ti avverto che stai per compiere una mossa errata di scacchi. Sembra che siamo pari."""
Ronoue Genji,"""...Padrone."""
Ushiromiya Kinzo,"""Grazie... Non morirei se mi finisse la tua medicina, ma morirei se mi finisse questo."""
,"Guardando con la coda dell'occhio Nanjo, la cui faccia mostrava un'espressione rassegnata, Kinzo prese il bicchiere porso da Genji..."
,"Poche persone, vedendo il colore intenso che riempiva il bicchiere, lo avrebbero associato ad una bevanda alcolica."
Ushiromiya Kinzo,"""...Nanjo. Sii onesto con me. Quanto tempo mi rimane?"""
Nanjo Terumasa,"""Beh... quanto poco te ne dovrei dare per farti smettere di bere?"""
,"Nanjo emise ancora una volta un sospiro di rassegnazione. Dopodiché, fissando Kinzo, il quale stava facendo roteare il proprio bicchiere, parlò."
Nanjo Terumasa,"""...Non molto."""
Ushiromiya Kinzo,"""...Cosa intendi per ‘non molto’?"""
Nanjo Terumasa,"""...Usiamo questa partita di scacchi come esempio. La fine è molto vicina, ma non hai ancora messo all'angolo il mio re."""
,Lo sguardo di Nanjo era diretto verso un tavolino con una spessa scacchiera posta sopra di esso.
,"A giudicare dalla posizione dei vari pezzi, la partita sembrava essere entrata da tempo nella sua fase finale. La torre e l'alfiere neri erano penetrati nel cuore delle linee nemiche."
,"Il re bianco era ormai stato arroccato e messo con le spalle al muro, e persino ad un occhio inesperto sembrava che la partita si sarebbe conclusa a breve."
,Entrambi andavano avanti di qualche mossa ogni volta che Nanjo veniva a fare delle visite mediche.
,"Con tale esempio, Nanjo stava affermando che Kinzo sarebbe probabilmente caduto nel sonno eterno prima della conclusione della partita..."
,"Quelle non erano tanto le parole di un medico, quanto quelle di un vecchio amico."
Nanjo Terumasa,"""...Se tu fossi un paziente qualsiasi, nelle tue condizioni ti raccomanderei di scrivere un testamento."""
Ushiromiya Kinzo,"""...E cos'è un testamento, Nanjo? Istruzioni per gli avvoltoi su come sbranare il mio cadavere?"""
Nanjo Terumasa,"""No, niente affatto... Un testamento è un modo per lasciare le tue volontà. Non è la semplice redazione di una divisione dell'eredità."""
Ushiromiya Kinzo,"""Oh... E che altro ci potrei scrivere, a parte la divisione dell'eredità?"""
Nanjo Terumasa,"""...Dei tuoi rimpianti... delle tue questioni irrisolte. Cose che vorresti vengano tramandate... Quello che desideri comunicare... Qualsiasi cosa tu voglia."""
Ushiromiya Kinzo,"""...Hmph... Le cose che vorrei tramandare o che desidero comunicare? Ridicolo. Io, Kinzo Ushiromiya, non ho nulla che voglio lasciare o comunicare!!"""
Ushiromiya Kinzo,"""Sono nato senza avere niente. E morirò senza avere niente! Non c'è nulla che io voglia lasciare ai miei sciocchi figli!! Anche se la fine dovesse sopraggiungere oggi, persino in questo preciso momento! Accetterò questo destino fatale senza alcun timore!!"""
Nanjo Terumasa,"""...Kinzo‐san."""
Ushiromiya Kinzo,"""Io ho creato tutto questo. La mia ricchezza! Il mio prestigio! Ogni cosa!! Sono state realizzate da me, e periranno insieme a me. Non c'è nulla che mi lascerò indietro!!"""
Ushiromiya Kinzo,"""Nulla!! Non mi importa cosa succederà dopo! Non voglio né una tomba, né una bara!! Questi erano i termini del mio contratto con la strega! Alla mia morte andrà tutto perduto! È stato parte dell'accordo sin dall'inizio, e perciò nulla verrà lasciato indietro. Non c'è niente che io possa lasciarmi indietro!!"""
,"Dopo aver proclamato tutto ciò senza un attimo di sosta, le spalle di Kinzo si accasciarono improvvisamente per lo sconforto..."
,"Il suo volto era emaciato, come se uno spirito maligno avesse abbandonato il suo corpo."
Ushiromiya Kinzo,"""...Ho un rimpianto, tuttavia. Non ho nulla da tramandare, ma c'è una sola cosa che non posso lasciare incompiuta..."""
Nanjo Terumasa,"""...Dovresti metterla nero su bianco. Certo, sarebbe un bene se potessi terminarla mentre sei in vita. Ma nel peggiore dei casi, se ne occuperanno quelli che ti succederanno. Devi tramandare i tuoi rimorsi, così che possano essere chiariti nel caso ti succeda qualcosa... È questo quello che fa un testamento."""
,"Quando Nanjo tentò di appoggiare delicatamente la mano sulla spalla di Kinzo, egli divenne improvvisamente furioso e la respinse."
Ushiromiya Kinzo,"""È inutile, inutile, inutile!!"""
Ushiromiya Kinzo,"""Dev'essere portata a termine mentre sono ancora in vita, perché quando morirò, la mia anima sarà divorata dai demoni con cui ho stilato il contratto, e cancellata dall'esistenza! Per me non ci sarà pace, e nemmeno un aldilà! Ecco perché tutto dev'essere concluso mentre sono in vita!! Ecco perché un testamento non ha alcun significato per me!!"""
Ushiromiya Kinzo,"""Se avessi il tempo di scrivere una cosa simile... Se solo ne avessi il tempo...!!{n}Vorrei vederlo. Voglio vederlo ancora una volta! Voglio vedere il viso sorridente di {f:5:Beatrice} ancora una volta!!"""
Ushiromiya Kinzo,"""Oh, {f:5:Beatrice}, perché mi hai rifiutato per così tanto tempo?! Ti restituirò in questo istante tutto ciò che mi hai dato, getterò via ogni cosa!! Quindi ti prego, mostrami il tuo sorriso solo per un'ultima volta..."""
Ushiromiya Kinzo,"""{f:5:Beatrice}, ti imploro con tutto me stesso, mi starai sicuramente ascoltando, è questo il genere di donna che sei! Ti supplico, mostrati a me!! Sei qui, vero?!{n}Sei qui invisibile ad ascoltarmi, deridendomi in qualche angolo di questa stanza, non è così?!"""
Ushiromiya Kinzo,"""Per favore, appari di nuovo dinanzi a me, e sorridimi!! Rinfacciami quello che vuoi, se lo desideri puoi anche prendere la mia vita con le tue stesse mani!! Non voglio morire da solo in questo stato!! Io non posso morire, non finché i miei occhi non si poseranno sul tuo sorriso per un'altra volta!!"""
Ushiromiya Kinzo,"""Ahh, {f:5:Beatrice}, {f:5:Beatrice}!! Ti cedo questa vita, la cedo a te!! Ti scongiuro, {f:5:Beatriiiiiiiiiiiice}!!!"""
Ushiromiya Battler,"""Wow... Certo che le cose cambiano col tempo... Non riesco a credere che siamo arrivati qui in soli venti minuti..."""
,Non potevo fare a meno di grattarmi la testa e meravigliarmi dell'avanzare dei tempi. Una volta usavamo il battello.
,"Dovevamo sopportare quasi mezza giornata di scossoni, prima di raggiungere Niijima. Di questi tempi era diventato tutto più comodo."
,"Però, non ero mai salito su un aereo così piccolo. In passato sono stato su un enorme jumbo jet, ma questa sarebbe stata la mia prima esperienza su uno così modesto..."
,"Mi chiesi se ci sarebbero state turbolenze... Dicono che le barche più piccole oscillino di più, quindi immagino che si possa applicare lo stesso agli aeroplani, no...?"
,"Aaah, datemi tregua."
Ushiromiya George,"""Ahahahahah, tranquillo, Battler-kun. In confronto ad una barca, oscillerà molto di meno."""
Ushiromiya Battler,"""Woah, f-{c:86EF9C:fratellone} George, sei tu?!"""
Ushiromiya Battler,"""Eheh, non farmi venire un colpo, ho appena perso tre anni di vita. Comunque che c'entra l'oscillare?"""
Ushiromiya Battler,"""Ihihihih, mica sto pensando all'aereo che oscilla o che magari precipita giù, sai?"""
