Speaker,Turkish (TR)
,İstasyon binasındaki bir kafede kahvaltı etmişlerdi.
,"...Şans eseri, Ekim ayı olduğu için dükkânın içi Cadılar Bayramı desenleriyle süslenmişti."
,Maria bundan gerçekten hoşlanmış gibi görünüyordu.
,"O andan beri trenin içinde, başkalarının dikkatini çekmesine aldırmadan, bir Cadılar Bayramı festivali yapmak istediğine dair yaygara koparıyordu."
,Cadılar Bayramı Avrupa ve Amerika'da popüler olsa da bu bayram Japonya'da neredeyse hiç bilinmez.
,"Alışveriş bölgesi turuncu balkabaklarıyla rengarenk süslenmişti, ancak şeker isteyen ve ""şaka mı şeker mi"" diyen kostümlü çocuklar ortalıkta görünmüyordu."
Ushiromiya Maria,"""Uu! Cadılar Bayramı festivali istiyoruum! Bu kıyafetleri giymek istemiyorum, cadı gibi görünmek istiyooorum! Uu-uu!"""
Ushiromiya Rosa,"""Aile konferansı eğlenmek için değil. Büyükbabayla görüşeceğiz, o yüzden güzel giyinmen gerekiyor."""
,"Trenin içi tamamen dolu olmasa da, neredeyse tüm koltukların dolu olmasına yetecek kadar insan vardı."
,"Maria oturduğu yerde ayaklarını ileri geri savurarak yaygara koparıyor, Rosa ise kaşlarını çatmış ona bakıyordu."
,Rosa ona alçak sesle defalarca durmasını söylemişti ama Maria hiç aldırış etmiyordu.
,"...Maria bir kez bu hale geldi mi, durumu ne kadar açıklamaya ya da onu sakinleştirmeye çalışırsanız çalışın, dinlemiyor."
,Eskiden Rosa böyle zamanlarda Maria'yı şımartır ve ona istediğini verirdi.
,Ama muhtemelen sorun da buydu.
,"Neredeyse kesin olarak, küçük Maria gürültülü bir şekilde söylenmeye devam ederse annesinin pes edeceği ve onu dinleyeceği gibi yanlış bir izlenime kapılmıştı."
,Bir eğitim kitabı aracılığıyla bu hata Rosa'nın dikkatini çekmişti ve o zamandan beri sevgili kızını şımartmamak için kalbini katılaştırmıştı...
,"Ancak Rosa, Maria'yla gittikçe daha az anlaşabilmeye başlamıştı ve kendi çaresizliği yüzünden cesaretinin kırılması giderek daha sık rastlanan bir durum haline gelmişti..."
Ushiromiya Maria,"""Cadılar Bayramı, Cadılar Bayramı!! Şaka mı şeker mi, uu-uu-uu!!"""
Ushiromiya Rosa,"""Sana şeker falan vermeyeceğim! Daha yeni kahvaltı yaptık!"""
Ushiromiya Maria,"""Şaka mı şeker mi! Şaka mı şeker mi! Uu-uu-uu!!"""
,"Maria ayaklarını yere vururken, Maria'nın yan tarafındaki koltukta oturan şişman ve yaşlı bir kadın çantasından bir şeker çıkarıp Maria'ya verdi."
Ushiromiya Maria,"""Uu! Şeker aldım, şeker aldım! Bak, bak, Anne, Anne! <Happy Hallowee~n>!"""
Ushiromiya Rosa,"""Hey, Maria! Yabancılardan şeker almaman gerektiğini unuttun mu?! Geri ver!!"""
,"""Sorun değil, hoh-hoh-ho. O çok hoş bir genç bayan. Kaç yaşında?"""
,Yaşlı kadının sözlerinde herhangi bir kötü niyet yatmıyor olabilir.{n}...Ama Rosa bunu son derece aşağılayıcı bir şekilde algılamış gibi görünüyordu.
Ushiromiya Rosa,"""Maria! Sana hep yabancılardan şeker almamanı söylüyorum!!"""
Ushiromiya Maria,"""Uu! Uu!! Bu Maria'ya verildi!! Uu-uu!! Hayır, o Maria'nın!!"""
Ushiromiya Rosa,"""Bırak şunu! Sana her zaman annenin sözünü dinlemeni söylemiyor muyum?!!"""
Ushiromiya Maria,"""Maria'nın!! Maria'nıın!! Uu!! Uuu-uuu!!"""
Ushiromiya Rosa,"""Sana şu ""uu-uu"" sesini kesmeni sürekli söylemiyor muyum?!"""
Ushiromiya Maria,"""Uu‐uu‐uu‐uu‐uu‐uu‐uu‐uu!!!"""
,"Rosa refleks olarak Maria'nın yanağına şiddetle vurdu.{n}...Bir anda, Maria yüksek sesle ağlamaya başladı."
,Rosa hemen Maria'nın elinden şekeri kaptı ve yanlarında oturan hayretler içinde kalmış yaşlı kadına doğru uzattı.
Ushiromiya Rosa,"""...Lütfen, kızıma şeker vermeyin!"""
,"""...............Ben, ...ben çok üzgünüm."""
,Rosa derin bir nefes alarak şekeri bir kez daha yaşlı kadına uzattı.
,"...Kadın bir an ne diyeceğini şaşırmış gibi görünse de, sonrasında davranışlarının bu anne ve çocuk için sorun yaratmış olabileceğini anladı ve özür dileyerek şekeri geri aldı..."
,"Ardından, Rosa nihayet etrafının farkına vardı..."
,"Kızının kıyafetleri darmadağınıktı, burnu akarak bağırarak ağlıyordu, ve onları izleyen birçok şaşkına dönmüş yolcu vardı."
,...Trenin gürültüsü dışında vagon tamamen sessizdi.
,"Neyse ki, bu acınası sessizlik fazla uzun sürmedi.{n}...Ancak, bunun yerine herkesin fısıldaştığı daha da acı verici bir atmosfer meydana geldi."
,"Maria her zamanki gibi çevresinde oturan insanlara aldırmadan bağırıyor, ağlıyor ve ayaklarını yere vururak tepiniyordu."
,"...Düşüncesizce Rosa ona tekrar tokat atmaya teşebbüs etti, ancak trendeki insanların soğuk bakışlarını fark ettiğinden bunu artık yapamazdı."
,"Tren durduğunda Rosa indi, Maria'yı neredeyse yerde sürüklercesine zorla kolundan tutup çekiştirdi."
,Maria her zamanki gibi ağlamayı kesmedi.
,Rosa onu peronun sonuna kadar götürdü ve yanağına tekrar vurdu.
,Kendisine tokat atıldığı anda Maria bir an için ağlamayı kesti ama çok geçmeden eskisinden daha fazla bağırarak ağlamaya başladı.
,"Duygularına hakim olamayan Rosa, Maria'yı yakasından tuttu ve saçlarını kökünden koparacakmış gibi çekti."
Ushiromiya Maria,"""Uu!! Uu-uu-uu!! Uu!! Anne, acıyor, anne, acıyor!! Uu-uu-uu!!"""
Ushiromiya Rosa,"""Beni duymuyor musun, sana çeneni kapamanı söylüyorum!! Senin ""uu-uu"" sesin! Sana KESMENİ söylüyorum!!"""
Ushiromiya Rosa,"""Anlamıyor musun, işte bu yüzden sınıfta arkadaş edinemiyorsun!! Kendine gel!! Neden kafanın içinde hep bir anaokulu çocuğu gibisin?!! Neden sadece annenin dediğini yapamıyorsun?!! Neden!! NEDEN!!!"""
,"Bu sert sözlerle birlikte Rosa, Maria'nın kafasına defalarca vurdu.{n}Maria bağırdıkça ve ağladıkça, Rosa ona daha çok vuruyordu.{n}Ve Maria'ya ne kadar çok vurulursa, o da o kadar şekilde bir şekilde ağlıyor ve bağırıyordu..."
Ushiromiya Maria,"""Anne, acıyor...! Anne, acıyor...! Anne, kurtar beni, anne, kurtar beni...! Uu-uu-uu-uu!!"""
Ushiromiya Rosa,"""NEDEN şu ""uu-uu"" sesini KESMİYORSUN?!! Böyle olduğun için arkadaş edinemiyorsun!! Böyle olduğun için baban iş gezisinden hiç dönmüyor!! Böyle olduğun için ben...!!"""
,"""A-...Afedersiniz, ...madam, bir sorun mu var...?"""
Ushiromiya Rosa,"""{i:İstediğin}...{i:bir şey} mi var...?!"""
,"Ona ürkekçe seslenen kişi istasyon görevlisiydi.{n}Rosa ona ""bir anne ve çocuğun sorunlarına burnunu sokma"" diyen bir bakış fırlattı."
,İstasyon görevlisi kesinlikle onunla konuşmak istememişti.{n}Ancak Rosa peronda tahmin ettiğinden çok daha uzun bir süredir bağırıp duruyordu.
,"...Onun duygu dolu azarlamaları, perondaki yolcuların istasyon görevlisine onunla konuşmanın iyi bir fikir olacağını söylemelerine neden olmuştu."
,Rosa istasyon görevlisine bağırarak bir sonraki trene bineceklerini ve onları daha fazla rahatsız etmemesini söyledi.
,"...Ve sonra, nihayet, ya da belki de ikinci kez demeliyiz, ...Rosa perondaki yolcuların uzaktan kendisine baktıklarını fark etti."
,......Rosa hafifçe terledi; rüzgârın terini soğuttuğunu ve ona eziyet etmekte olduğunu hissetti.
,"Maria hâlâ ağlıyor, başını korumaya çalışıyordu.{n}......Hayır—bu dayak durmadığı sürece, muhtemelen sonsuza dek ağlamaya devam edecekti."
Ushiromiya Rosa,"""..............................Ben...............yine yaptım......"""
,"Rosa kafasının içindeki şeytani ateşten kurtulduğunda, ...ruhunu yine kötü bir şeye teslim ettiğinin farkına vardı."
Ushiromiya Maria,"""Anne, anne! Anne, geri gel...! Uu! Uu-uu-uu-uu!!"""
,Rosa dizlerinin üzerine çöktü ve yüzü gözyaşları ve sümükten sırılsıklam olmuş Maria'ya sarıldı.
Ushiromiya Rosa,"""......Maria... Özür dilerim... Özür dilerim..."""
Ushiromiya Maria,"""Anne, ......Anne... Tekrar hoş geldin, hoş geldin......"""
,"Sonunda, ...Maria annesinin yeniden kendi annesi olduğunu fark etti.{n}Sonra annesinin bedenine sarıldı ve yüzünü annesinin göğsüne gömerek ağladı."
Ushiromiya Rosa,"""...Kötü anneni affet... Kötü anneni affet... ......Çok...üzgünüm...! Lütfen annenden nefret etme......."""
Ushiromiya Maria,"""Uu... Maria gayet iyi... Annemden nefret etmeyeceğim. ......Annem sadece yine kötü bir cadı tarafından ele geçirildi. ...Ama annem geri geldi, yani sorun yok."""
Ushiromiya Rosa,"""Evet... ......Evet... ......Kötü bir cadı...anneni tekrar ele geçirmişti... ...Üzgünüm, ......gerçekten üzgünüm......."""
,"İkisi uzun süre birbirlerine sarıldılar, birbirlerinden özür dilediler ve birbirlerine sevgi dolu sözler söylediler."
,Bir süre sonra ikisi de yavaş yavaş sakinleşti ve doğal olarak yüzlerini birbirlerinden ayırdılar.
,Maria'nın yüzü de Rosa'nın yüzü de—ağlamaktan kıpkırmızı olmuştu.
Ushiromiya Rosa,"""...Maria, Cadılar Bayramı festivali yapmak ister misin?"""
Ushiromiya Maria,"""Evet. ...George onii-chan ve Jessica onee-chan'a balkabağı marşmelovunu göstermek istedim......"""
,"Bu, kahvaltı ettikleri yerdeki kasanın yanında duran bir şekerlemeydi."
,......Bir çubuğun ucuna takılmış jack‐o'‐lantern şeklinde büyük turuncu bir marşmelov olan süslü bir şekerlemeydi.
,"Maria bunu istemiş ve ısrarla almasını rica etmişti.{n}...Rosa, kahvaltıdan hemen sonra böyle bir tatlı almayacağını söyleyerek buna izin vermemişti."
Ushiromiya Rosa,"""......Tamam o zaman, Maria. ......Bu kentte satılıp satılmadığını bilmiyorum ama gidip bir tane bulmaya çalışalım mı?"""
Ushiromiya Maria,"""u, ......olur! Anne seni seviyorum, çok seviyorum... Teşekkürler..."""
Ushiromiya Rosa,"""Ben de seni seviyorum, Maria......."""
,"Aslına bakılırsa, bir mola istasyonunda oyalanarak kaybedecek hiç zamanları yoktu.{n}Eğer uçağı kaçırırlarsa, programlarının yarım gün gerisine düşeceklerdi."
,Evden daha erken çıkmaları gerekirdi ama Maria'nın kıyafetlerini seçmek için çok uzun zaman harcadıklarından geç kalmışlardı.
,...Bu nedenle Rosa sabahtan beri pek sabırlı değildi.
,Saatine baktı. ...Derhal bir sonraki trene binmeleri gerekiyordu.
,Ama kızıyla birlikte şekerleme almaya gitmek için sıkıca el ele tutuşmuşlardı ve o el sıcacıktı.
,...Rosa için şu anda Maria ile bağlarını onarmak daha önemliydi.
,"...Maria sadece Rosa'nın sevgili kızı değil, ...Rosa'nın sahip olduğu her şeydi."
,Neyse ki istasyonun hemen ön tarafında büyük bir süpermarket olduğunu gördü.{n}...Belki tam olarak aynı şekerlemeden bulamayacaktı ama Maria muhtemelen benzer olan bir şeyi de kabul ederdi.
,Üstelik Rosa da ağlamaktan şişmiş bir yüzle ortalıkta görünemezdi.{n}Makyajını tazelemesi gerekecekti.
Ushiromiya Rosa,"""Tam olarak aynı marşmelovu bulamayabiliriz, ...ama umuyorum ki benzer bir şekerleme bulabiliriz. ......Ve tüm kuzenlerine sürpriz yapalım."""
Ushiromiya Maria,"""Evet. ...Eğer annemle birlikte aldığım bir tatlıysa, her şey olur."""
,"İkili bu bilinmeyen kentteki istasyonun turnikelerinden dışarı çıktılar.{n}Maria annesiyle birlikte yaya geçidinden geçerken, sanki bir lunaparkta yürüyormuş gibi çok mutlu hissediyordu."
,"İkisinin de yüzü hâlâ kıpkırmızıydı, ......ama birbirlerine garip bir şekilde gülümseyen anne ve çocuk arasında bir sıcaklık hissedilebiliyordu..."
Ushiromiya Natsuhi,""".........Hayatım. Böyle bir yerde ne yapıyorsun?"""
Ushiromiya Krauss,"""Oh, sensin. .........Hiçbir şey. Sadece buranın düşünmek için hoş bir yer olduğunu düşündüm."""
Ushiromiya Natsuhi,"""...Bugün için tüm hazırlıkları bitirdim. Şimdilik, dinlenirken biraz çay içerek bekleyelim mi?"""
Ushiromiya Krauss,""".........Üzgünüm. Bütün sorunlarımı hep sana yüklüyorum."""
Ushiromiya Natsuhi,"""...Lütfen. Bana biraz daha fazla güvenemez misin? ...Ben senin eşinim."""
Ushiromiya Krauss,"""......Elbette, her zaman yardımıma koştuğun için sana minnettarım. ......Bu nedenle kendimi işime adayabiliyorum."""
Ushiromiya Natsuhi,"""Bunu anlıyorum. ......İşin hakkında. ......Ve konu Baba'mın mirası, değil mi?"""
Ushiromiya Krauss,"""............Bunun seninle bir ilgisi yok. Bu, açgözlü kardeşlerimin çürümüş et aramasından başka bir şey değil."""
Ushiromiya Natsuhi,"""......Her şey yolunda, hayatım. ...Her şey yoluna girecek. Senin işin hiçbir zaman kötü sonuçlanmadı."""
Ushiromiya Krauss,"""....................."""
,Natsuhi usulca Krauss'un omzuna sarıldı.
,"Krauss'u işinin zorluklarından dolayı takdir eden sözler söyledi, ...ama işlerin iyi gitmediğini en iyi bilen kişi Natsuhi'nin ta kendisiydi."
,"...Krauss'un girişimleri, büyük miktarlarda paranın savrulduğu bir tür tahterevalliye benziyordu."
,"Büyük bir yatırım büyük bir getiri sağlar, ancak büyük çaplı bir tahterevallinin sallantısı da büyük ancak ağırdır ve hemen sonuç veren bir şey değildir."
,Yeri geldiğinde tahterevallinin olumlu tarafa daha hızlı eğilmesi için daha fazla yatırım yapardı.
,......Doğal olarak bunu yapıyordu çünkü çok da uzak olmayan bir gelecekte yapmış olduğu tüm yatırımları karşılayacağına güveniyordu.
,......Ancak Krauss'un seçtiği tahterevalliler hiçbir zaman onun istediği gibi sonuçlanmadı.
,"...Öngörüleri yanlış değildi, ......ama zaman yavaştı.{n}Ona hiç yetişemediler."
,"Örneğin, bir parkta bulunan gerçek bir tahterevalliyi düşünün."
,"Çok popüler olduğu için her zaman üzerinde oynayan birileri oluyordu, bu yüzden eğer kendisi de oynamak isterse sıranın kendisine gelmesi için uzun bir süre beklemesi gerekiyordu."
,"...Ve sonra bir gün tahterevalliyi boş buldu, ilk gelen kişinin kendisi olduğunu fark ederek üzerine bindi ve tamamen kendisine kaldı."
,"Ancak, ...tahterevallinin karşı tarafına kimse geçmediği için tahterevallide oynayamadı."
,"Ve ne kadar zaman geçerse geçsin, tahterevallinin karşı tarafına kimse gelmiyordu."
,"Tahterevalli popüler bir oyun aleti olduğundan, beklerse başka biri mutlaka ortaya çıkacaktı."
,......Krauss farkına vardı.
,Hava gittikçe kötüleşiyor gibi görünüyordu.{n}Bu yüzden kimse oynamak için dışarı çıkmıyordu.
,Ama tahterevalli popüler bir oyun aleti olduğu için mutlaka birileri gelirdi.
,"...Eğer hava kötüleşiyor diye yerini bırakırsa, kesinlikle birileri onun yerini kapacaktı, ve o da sadece uzaktan, tahterevallide eğlenen bir başkasını imrenerek seyredecekti..."
,"Tahterevallinin bir tarafında, tek başına sabırla beklemeye devam etti...{n}Krauss'un şu anki girişimi ve durumu buydu."
Ushiromiya Krauss,"""............Keşke biraz daha cesur olsaydım, ...ve kendi öngörüme inanacak kadar kendime güvenebilseydim...Asla......başarısız olmazdım."""
Ushiromiya Natsuhi,"""...Evet, bu doğru. Öngörün asla yanılmaz. ......Babamın yeteneğini miras alan tek kişi sensin. Diğer kardeşlerin hiçbirinde olmayan doğuştan gelen bir eğilimi miras aldın."""
Ushiromiya Krauss,"""......Yine de buna kendimi inandıramadım! Bir korkak gibi kendi projelerimi her zaman iptal ettim. ......Neden kendime güvenemiyorum?! Kendine güvenemeyen bir adama kim güvenir ki? Kimse!!"""
Ushiromiya Krauss,"""......Kendimi her zaman kaybedenlerin oturması gereken koltuklara oturtuyorum; ......babam, annem, ...ve kardeşlerim, hepsi beni küçümsüyor... Bu kompleksten kurtulmam ne kadar sürecek...... Ne kadar........."""
,...Sadece Natsuhi biliyordu.
,"Krauss'un ızdırabını biliyordu. Ushiromiya ailesinin en büyük oğlu olarak büyük bir sorumluluğu omuzlamak zorunda kalacak, acılı kalbini kimseye açamayacak ve her zaman babasının büyük girişimleriyle kıyaslanacaktı..."
Ushiromiya Natsuhi,""".........Artık kendini aile konferansına verebilirsin, tüm hazırlıkları bitirdim. ...Hepsini."""
Ushiromiya Krauss,"""............Üzgünüm. ......Babamla herhangi bir sorun......yaşayacak mıyız?"""
Ushiromiya Natsuhi,"""Hayır. ......Genji ve Doktor Nanjo bizim tarafımızda. ...O açgözlü kardeşlerin Babamla görüşmesine asla izin vermeyeceğim."""
Gohda Toshiro,"""Merhaba, Gohda burada. ......Evet, lütfen bana bırakın! Yıllık büyük iş için yeteneklerimi ortaya koymak için sabırsızlanıyorum."""
,Mutfakta çeşitli renklerde malzemeler toplanmış ve ön hazırlıklara çoktan başlanmıştı.
,"Daha sabah olmasına rağmen, akşam yemeği için gerekli malzemeler tencerelere konmuş ve buharda pişirilmeye başlanmıştı bile."
,Normalde Gohda'nın yemek pişirmek dışında çeşitli işlerle uğraşması gerekirdi ama aile toplantısı günü kendini tamamen bu işe adayabilirdi.
,Aslen bir aşçı olan Gohda için bu kesinlikle tüm yılın en büyük gala etkinliğiydi.
Gohda Toshiro,"""Evet, akşam yemeğinde mükemmel bir dana bifteği olacak...! Harika bir et parçası buzdolabında bu akşam için sabırsızlıkla bekliyor. Lütfen diğer hizmetkârlara da bu geceyi iple çekmelerini söyleyin—onları da hayal kırıklığına uğratmayacağım."""
,Gohda'nın hizmetkâr arkadaşlarına karşı bu kadar iyi bir ruh hali içinde olması nadir görülen bir durumdu.
,"Sadece Ushiromiya ailesi için çalışan bir şef olmakla övünen Gohda için, aile konferansında yemeklerini sergileme hakkı elde etmek en büyük onurdu."
Ronoue Genji,"""......Tamam. Bu işi sana bırakıyorum. ...Ayrıca, Kumasawa orada mı?"""
Gohda Toshiro,"""Kumasawa-san mı? Onu daha önce görmüştüm ama burada değil. Belki de konukevine hazırlık yapmaya gitmiştir."""
Ronoue Genji,"""......Demek yine aylaklık yapıyor. ......Hayır, sorun değil. Tamam o zaman, sana güveniyorum."""
Gohda Toshiro,"""Evet, her şeyi bana, Gohda'ya bırak...!"""
,Genji hafifçe iç çekerek telefonu ahizeye geri koydu.
,"İşler bu kadar yoğun olduğu halde saklandığına ve kaytardığına şüphe olmayan Kumasawa'yı, ve sadece gösteriş yapabileceği bir günde bir şeyler yapmak isteyen gösterişçi Gohda'yı düşünen Genji bir kez daha iç çekti."
Shannon,"""İzninizle. Konukevindeki tüm odalar hazırlandı."""
Kanon,"""......Leydim'den çocukların kalabileceği şekilde dört kişilik bir oda hazırlamamız için talimat aldık—ne yapalım?"""
Ronoue Genji,"""...Battler-sama'nın altı yıl sonra ilk kez bu yıl geleceğini duydum. Leydim diğer üç kuzenle birlikte sanırım geç saatlere kadar oturmak istiyor. ......Hazırlıkları yapın. Madama söylemenize gerek yok."""
Shannon,"""Anlıyorum. Anlaşıldı."""
Kanon,"""......Yani bu gece, gece vardiyamız olacak ve hemen ardından yarın da sabah vardiyasına geçeceğiz. Bu iki gün yorucu olacak gibi görünüyor."""
Shannon,"""Bu arada, hava tahminlerine göre bir tayfun tam buraya vuracakmış... Bu sorun olacak mı acaba?"""
Ronoue Genji,"""...Tayfun büyük ölçüde yön değiştirmediği sürece, koşullara bağlı olarak ailenin tekne yolculuğunu etkileyebilir. Aile konferansı programı Pazartesi ya da Salı gününe kadar uzayabilir. ......Muhtemelen uzun bir süreç olacak ama ikinizden de hata yapmamaya özen göstermenizi rica ediyorum."""
Ronoue Genji,"""............Shannon, sakin ol ve panik yapma. Kanon, sen de onları nezaketle karşıladığından emin ol."""
Shannon,"""......E-Evet. Dikkatli olacağım."""
Kanon,"""...Dikkatli olacağım."""
Ronoue Genji,"""Bugün çok önemli bir misafiri ağırlayacağız. ...Her şeyin yolunda gittiğinden ekstra emin olun."""
Kanon,"""......Çok iyi anladık. ...Burayı ziyaret eden her misafir önemlidir."""
Ronoue Genji,"""Kanon. ......Bugün kelimenin tam anlamıyla, gerçekten {i:önemli bir misafir}i ağırlayacağız. Hazırlıklı olduğunuzdan emin olun."""
Kanon,"""......Evet."""
Ronoue Genji,""".........Shannon, ne oldu? ...Huzursuz görünüyorsun... Bir yerde olmak için sözleşmiş miydin?"""
Shannon,"""Ha? H-Hayır, bir şey yok. Özür dilerim..."""
Kanon,"""Nee-san. Bugün önemli bir misafirimiz gelecek. ...Kendini özel hayatından soyutla."""
Shannon,"""Ö-Özel hayat derken ne demek istediğini bilmiyorum..."""
,Shannon biraz kızarınca bakışlarını saatten başka yöne çevirdi.
,......Aileyi taşıyan uçağın Niijima'ya varış vakti gelmiş miydi?{n}...George'la uzun zamandır beklediği kavuşmanın kalbinin çarpmasına neden olduğu gerçeğini sakladığını sanıyordu ama yanında duran Kanon onu çok iyi tanıyordu.
Ushiromiya George,""".........Shannon, lütfen karşılık vermeden bunu kabul et...!"""
,"...George bir lavabo kabininde, cebinde taşıdığı küçük kadife kutuyu bir çöl silahşörü gibi tekrar tekrar çıkartarak prova yapıyordu."
Ushiromiya George,"""Böyle olmaz... Shannon atılgan erkeklerden hoşlanır. Daha baskılayıcı bir havası olmalı...!"""
Ushiromiya George,"""Shannon, bunu yüzük parmağına tak. ...Bu-Bu bir emir, tamam mı...?"""
