Speaker,Turkish (TR)
{f:5:Beatrice},"""...Şimdi ne tür bir çay hazırlamalıyım? Çağlar boyunca gelmiş geçmiş tüm markaları seçmekte özgürsün."""
,"""......Kurutulmuş erik çayı. ......Bu kurutulmuş eriklerin paketi 200 yen."""
{f:5:Beatrice},"""*cackle*cackle*...! ...Siyah çayı bin yıldır çok severim ama böyle bir şeyden haberim yoktu. ...Bu dünyada yaşamaktan asla bıkmayacağım."""
,"""...............Beato. Bu kadar düşmanca davranmana gerek yok. ...Ben sadece gezgin bir cadıyım. Senin bölgenin kurallarını ihlal etme niyetiyle gelmedim."""
{f:5:Beatrice},"""...*cackle*cackle*, en ufak düşmanlığım bile yok. ...Sadece efsanevi cadı Leydi {f:5:Bernkastel}'e iyi davranıldığından emin olmak istiyorum."""
{f:5:Bernkastel},""".........Yanlış anladın. Ben güçsüzüm. Senin gibi, bir insanı yüzlerce kez öldürebilecek korkunç bir güce sahip bir cadının karşısında tamamen güçsüzüm."""
{f:5:Beatrice},"""Senin gibi ""güçsüz"" bir cadının kimsenin yaklaşamayacağı bir güce sahip olması gerçekten dehşet verici. Ne de olsa Büyük Cadı Leydi {f:5:Lambdadelta}'yı tek başına tahttan indirdin."""
{f:5:Bernkastel},"""......Sadece bir dayanıklılık müsabakasından galip çıktım. O sadece yorulmuştu."""
{f:5:Beatrice},"""Leydi {f:5:Lambdadelta} öyle demedi ama. ...*cackle*cackle*cackle*, Çok fazla alçakgönüllülük uygunsuz olabilir, Leydi {f:5:Bernkastel}."""
{f:5:Bernkastel},"""......O kızın korkunç bir gücü var. ............Bir insanı ""mutlak"" öldürme gücü. Ancak, bu dünyada ""mutlak"" diye bir şey yok. Tıpkı 1'i kaça bölersen böl, asla 0'a ulaşamayacağın gibi."""
{f:5:Bernkastel},"""O kız bunu giderek ""neredeyse sıfıra"" yaklaştıracak ve ""fiilen mutlak kesinliğe"" yol açacak güce sahip. ......Umarım bir daha asla böyle korkunç bir cadıyla savaşmak zorunda kalmam."""
{f:5:Beatrice},"""Ancak, sen de ""olasılıklar sıfır olmadığı sürece"" başarısızlığa uğramadan başarıya ulaşma gücüne sahipsin. ......Bu dünyada ""mutlak"" diye bir şey olmadığını söylemene rağmen, sen de mutlak bir güce sahipsin. ......Ne kadar korkutucu, *cackle*cackle*cackle*...!"""
{f:5:Bernkastel},"""......Bir insanı ""sonsuza dek"" öldürme gücü... ...Bence daha korkunç olan sensin."""
{f:5:Beatrice},"""Şaka yapıyorsun. ......Senin bakış açına göre, benimki önemsiz bir güç. Bu kesinlikle boş övgü olarak adlandırılabilecek bir durum."""
{f:5:Bernkastel},"""......Burada bulunmamın karşılığı diyelim. ...Ben kakeralar arasında gezen, sürekli sıkıntıdan kaçan bir gezginim. ......Buraya geldim çünkü ilginç bir şeye giriştiğini duymuştum. Beni sıkmaya başladığın anda kendi isteğimle ayrılacağımdan emin olabilirsin."""
{f:5:Beatrice},"""*cackle*cackle*...! Büyük Leydi {f:5:Bernkastel}'i gözlemci olarak ağırlamaktan, {f:5:Beatrice} olarak derin ve alçakgönüllü bir mutluluk duyuyorum. *cackle*cackle*! Peki, düşüncelerin nedir?"""
{f:5:Bernkastel},"""............{f:5:Lambdadelta} acımasızlığı nedeniyle korkunç; ancak anlayabileceğim bir kızdı. ...Sevgi dolu görünüyorsun ama seni hiç anlayamıyorum. Tam da bu yüzden ondan çok daha korkutucusun."""
{f:5:Beatrice},"""*cackle*cackle*cackle*...! Doğam gereği dönek biriyim. Beni affet. ...Ayrıca, sanırım sen de kaderini dönek zarlara emanet etmekten hoşlanıyorsun—öyle değil mi Leydi {f:5:Bernkastel}?"""
{f:5:Bernkastel},"""......Zarı attığımda, açıkça elde etmek istediğim bir zarım var. Senin aksine. Ama sen, öte yandan tüm sonuçları tahmin ediyorsun."""
{f:5:Bernkastel},"""Ve zar ne gelirse gelsin, asla hayal kırıklığına uğramıyorsun. Zar sana ne gösterirse göstersin, ""mutlak"" tatmin yaşıyorsun. .........Bu anlamda beni çok aşıyorsun."""
{f:5:Bernkastel},""".........Sen gerçekten kavga etmek istemediğim birisin. İçinde sıfırdan başka bir şey yok. Bu yüzden sana karşı gücümle kazanamam. ...En kötü eşleşme. ......Öte yandan, belki de {f:5:Lambdadelta} sana karşı iyi bir eşleşme olabilir. Çünkü muhtemelen senin ""sonsuzluğunu"" öldürebilir."""
{f:5:Beatrice},"""*cackle*cackle*, *cackle*cackle*cackle*! ......Gerçekten de çay en iyi bir cadı eşliğinde içilir. Asla sıkıcı olmuyor. *cackle*cackle*!"""
{f:5:Bernkastel},"""......Duyduğuma sevindim. Can sıkıntısı beni öldürebilecek tek zehir. ......Bu yüzden beni öldürme, olur mu? Sonsuz Cadı, Leydi {f:5:Beatrice}."""
{f:5:Beatrice},"""Eğer dileğin buysa, sana daha iyi bir zaman geçirteceğim."""
{f:5:Beatrice},"""......Bu durumda, bir sonraki satranç tahtasını hemen getirmem daha iyi olmaz mı? Görünüşe göre bir sonraki hikaye senin için bir çay tazelemekten daha fazlasını yapacak."""
{f:5:Bernkastel},"""................................."""
{f:5:Beatrice},"""Bir dakika bekle. ......*cackle*cackle*!"""
{f:5:Bernkastel},............Baş belası bir şey senden hoşlanmış gibi görünüyor.
{f:5:Bernkastel},"Sana gücümü ödünç vermeyi gerçekten çok isterdim ama az önce duyduğun gibi, o kızın gücü ile benimki çok kötü bir eşleşmeye sahip. Ne şanssızlık."
{f:5:Bernkastel},"Ama gerçekten acınacak haldesin, bu yüzden sana biraz yardım edeceğim."
{f:5:Bernkastel},"Öncelikle, bu kız hakkında."
{f:5:Bernkastel},"{f:5:Beatrice} adıyla anılan bir varlığı var, ama bu onun ""kendine özgü bedeni olan bir kadın"" olduğu anlamına gelmiyor."
{f:5:Bernkastel},"Ne demek istediğimi anlıyor musun? Başka bir deyişle, o herhangi bir {y:0:İnsan}{n:0:insan} değil. Onun varlığı bu dünyanın kurallarının cisimleşmiş hali."
{f:5:Bernkastel},Onu yenmek için bu dünyanın kurallarını ifşa etmeli ve onları çözmelisin.
{f:5:Bernkastel},"Bu, birkaç maç izleyerek satranç kurallarını öğrenmeye benzetilebilir."
{f:5:Bernkastel},"Önce satranç tahtasına iyice bir göz at.{n}Ve taşların hareketlerini ve rollerini fark et.{n}Ardından, onun oyununda oyunu kazanmak için gereken koşulları ara."
{f:5:Bernkastel},"Tüm bunları ortaya çıkarmayı başardığında, kalbi açığa çıkacaktır.{n}Bu olduktan sonra, onu istediğin gibi parçalayabilir veya ezebilirsin."
{f:5:Bernkastel},"......Oldukça cömert davranıyorum. Bir zamanlar insan olduğum zamanlarda, bu kadarını bile fark etmem yüz yılımı aldı."
{f:5:Bernkastel},"Bu benim sana, Beato tarafından yakalanan zavallıya, yetersiz veda hediyem. Tıpkı bir kaşık gibi."
