Speaker,Turkish (TR)
Ushiromiya Battler,""".........Tekneyi seçmeliydim.........tekneyi......"""
Ushiromiya Maria,"""Düşeceeeeeek! Düşeceeeeeek! Uu-uu-uu-uu!!"""
Ushiromiya Rosa,"""Maria, bu kadar yeter!"""
Ushiromiya Rosa,"""......Ama ne sürpriz. Battler-kun'u korkutabilecek hiçbir şey yok sanıyordum."""
Ushiromiya Rudolf,"""Bu adam nedense araçları kaldıramıyor. Sürekli düşeceğim ya da batacak falan diye bağırıp durur. Sen rezil bir adamsın."""
Ushiromiya Battler,"""......Urgh, kapa çeneni. O şey cidden çok fazla sallanıyordu... Böyle küçük bir uçağa ilk kez bindiğim için biraz stresliydim..."""
Ushiromiya Eva,"""Sen buna ""biraz stresli"" mi diyorsun? Heheheh, Battler-kun, seninle denizaşırı bir tatile çıkmak eğlenceli olur gibi geliyor. Teyzenle Mısır'a gitmek ister misin? Tam 14 saat uçak yolculuğu yapabiliriz!"""
Ushiromiya Kyrie,"""Ahhahaha! İşte iyi bir plan. Battler-kun, Eva nee-san'ın seni biraz güçlendirmesine izin vermelisin. Ama çok komiktin! Ahhahahaha!"""
Ushiromiya Hideyoshi,"""Wahhahaha, şimdi, şimdi. Herkesin kendine göre güçlü ve zayıf noktaları vardır. Bunlara gülmek kötüdür. Wahhahaha...!"""
Ushiromiya George,"""B-Baba, sen de gülüyorsun. Hey, Maria-chan, artık gülmemelisin."""
Ushiromiya Maria,"""Artık gülmemeli miyim? Uu!"""
,"Ahh, kahretsin! Uçaklardan korkmak bu kadar komik bir şey mi?{n}Belli ki herkes benim koca bir hödük olduğumu düşünüyor... Tch!"
,Ayrıldık ve havaalanından limana kadar ayrı taksilere bindik.{n}Oradan da bir tekneye binip adaya geçecektik.
,"Adalar hemen yan yana, yani o kadar da uzak değil.{n}Tekneyle rahat bir otuz dakika sürecekti."
,Adaya giden teknenin demirlediği iskeleye vardığımızda elini sallayan bir siluet gördük.
Ushiromiya Jessica,"""George nii-saaan! Çok uzun zaman oldu!"""
Ushiromiya George,"""Ah, Jessica-chan, seni görmeyeli bir yıl oldu! Yine uzamışsın, değil mi?"""
Ushiromiya Jessica,"""Kyahaha, bana bunu söyleme, her yıl bunu duymak utanç verici!"""
Ushiromiya Battler,"""......H-Hey, Aniki, şaka yapıyor olmalısın. Bu gerçekten Jessica mı?!"""
Ushiromiya Jessica,"""Bekle bir saniye, George nii-san... Bu devasa canavar...Battler mı?!"""
,İkimiz de birbirimize baktık.
,"...Anılarımda kesinlikle bu kadar yetişkin görünmüyordu, ama {c:86EF9C:çılgın konuşma tarzı}nı hatırlıyorum."
Ushiromiya Battler,"""Hey, Jessica! Bu da ne şimdi! Şaka mı yapıyorsun, artık bir kadın gibi görünüyorsun! Bunlar ne, göğüs mü? Artık senin bile göğüslerin var! Ihihi, onları ovmama izin ver, izin ver~!"""
Ushiromiya Jessica,"""Hey, canın cehenneme, ben 18 yaşında bir çiçeğim! Saçlar nasıl uzarsa, diğer şeyler de öyle uzar! Sırf sen gidip okşayasın diye mi memelerim var sanıyorsun, ezik?! Peki ya sen, o gülünç boyutunu destekleyecek bir şeyin var mı?! Gerçek kaslar yapmayı unutmadın değil mi?!"""
Ushiromiya Battler,"""Buna inansan iyi edersin, sana o zamandan beri ne kadar antrenman yaptığımı göstereceğim!!"""
Ushiromiya Jessica,"""Oh, tamamen!! Seni kendi oyununda yeneceğim!"""
,Bu dik başlı kızın adı Ushiromiya {p:0:朱志香}.
,"......Benimle aynı şanssız yıldızın altında doğdu ve aynı garip ismi paylaştı. ""Jessica"" olarak telaffuz ediliyor."
,Babamın ağabeyinin kızı.
,"O ağabey Ushiromiya ailesinin en büyük oğlu, yani sanırım bu da Jessica'yı teknik olarak Ushiromiya ailesinin doğrudan varisi yapıyor."
,"Jessica ve ben aynı yaşta olduğumuz için aramızda bu tür bir kız-erkek rekabeti vardı, akrabalarımız bir araya geldiğinde hep birlikte kavga etmeye ve şakalaşmaya alışkındık."
