Speaker,Turkish (TR)
,"Öğle yemeği sona ermiş, hizmetkârlar sofra takımlarını kaldırmış ve mutfağa gelmişlerdi.{n}Rüzgâr ve yağmur ne hafiflemiş ne de şiddetlenmişti ve adanın dış dünyayla bağlantısı hâlâ kesikti."
,"Natsuhi ilk başta kimsenin odanın dışına adım atmasına izin vermemeyi planlamış gibiydi, ancak öğle yemeği hazırlama zamanı geldiğinde nihayet bunun imkansız olduğunu anladı."
,"Bununla birlikte, mutfakta kimsenin yalnız kalmamasını sağlamak için üç hizmetkâra birlikte gitmelerini söyledi."
,"Bu nedenle, on bir kişiyle tıka basa dolu olan havasız salondan ilk ayrılma hakkı hizmetkârlara verildi."
,"......Kahvaltı o korkunç olayın hemen ardından yapıldığı, ve bir çoğu fazla bir şey yemediği için herkes öğle yemeğini sessizce yedi."
Kumasawa Chiyo,"""Bulaşıkları yıkayacağım, Genji-san ve Kanon-kun, siz de biraz dinlenebilirsiniz. ...İçecek bir şey ister misiniz?"""
Ronoue Genji,""".........Ben istemiyorum. .........Kanon?"""
Kanon,"""......Ben de istemiyorum."""
Kumasawa Chiyo,"""İkiniz de sabahın köründe çok meşguldünüz... Yorgun olmanıza şaşmamalı..."""
,Tek ses Kumasawa'nın bulaşıkları yıkarken çıkardığı mutfakta yankılanan sesti.
,"Genji ve Kanon az ötedeki sandalyelere oturmuş, gözlerini hafifçe kapatmışlardı."
,"Kumasawa'nın söylediği gibi, bu ikisi muhtemelen büyük bir yorgunluk biriktirmişlerdi."
,"Ama bu, akrabaların önünde bunu gösterecekleri anlamına gelmiyordu."
,...Bundan kaçınmak onların erdemlerinden biriydi.
,"Sessizlik bir süre daha devam ettikten sonra, .........Kanon ağzını açtı ve mırıldandı."
Kanon,"""...............Shannon... ...............Niye...böyle korkunç bir şekilde ölmek zorundaydı...?"""
Ronoue Genji,"""......Onun nasıl öldüğünü unut. .........Şanssızlıktan...başka bir şey değildi."""
Kanon,""".........Haklısın. ...Şanssızlıktan başka bir şey değildi..."""
,İkisi de bir kez daha sessizliğe gömüldü. ...Kanon'un yüz ifadesi kederle doluydu.
Kumasawa Chiyo,"""Shannon-chan'ın gerçekten öldüğünü düşünmek... Buna hâlâ inanamıyorum. ......Zavallı, zavallı Shannon-chan... ......Onunla bir daha konuşamayacak olmak yalan gibi hissettiriyor... Sadece o kızın gülen yüzünü bir kez daha görmek isterdim..."""
,Kumasawa sırtı onlara dönük olarak konuştu.
,"...Kumasawa Shannon'un cesedini görmemişti, bu yüzden Shannon'un yüzünden bahsetmekte sakınca görmedi."
,"...Kanon bu sözleri duyduğunda, Shannon'un yüzünün sadece yarısının kaldığını tekrar hatırladı ve kederli ifadesi daha da kötüleşti..."
Kanon,""".........{f:5:Beatrice}-sama Shannon'a bunu neden yaptı...? ......Eğer bir kurban istiyorsa, seçebileceği bir sürü kurban vardı... ......Neden... ......Neden...?!"""
Ronoue Genji,""".........Bu şanssızlıktan başka bir şey değildi. ...Eğer kader biraz daha farklı gelişseydi, orada yatan ben de sen de olabilirdik."""
Ronoue Genji,"""Ya da bambaşka biri. ......Her şey kadere kalmış."""
Kanon,"""Genji-sama. .........Madam'ın odasının kapısında kan gibi bir şeyin izleri olduğunu söylemiştin, değil mi...? Kepengin üzerine boyanmış olan maddeyle aynı mı?"""
Ronoue Genji,"""......Evet. ...Hoş olmayan bir izdi. Sanki parmakları kanlı biri kapı kolunu çekip koparmaya, ...hayır, kapıyı tırmalamaya çalışıyormuş gibi... ...Bu türden hoş olmayan bir iz."""
Kanon,"""Yani bu demek oluyor ki... {f:5:Beatrice}-sama Madam'ın odasına ziyarete geldi, ......ve kapıyı açmaya çalıştı, ama...açamadı mı...? Bunun anlamı bu mu...?"""
,"Genji, Natsuhi'nin odasının kapısında o kan izlerini gördüğü zamanı düşündü..."
,"Kapı kolunun etrafındaki kapıya yapışan madde ve kapıyı tırmalayan bir şeyin izleri...kesinlikle birinin kapıyı açmaya çalıştığını, ama açamadığını gösteriyordu..."
