Speaker,Turkish (TR)
,Genji geç saatte hazırladığı yemeğini bitirdikten sonra malikânede gece devriyesi yapmaya çıktı.
,Gohda'nın yapmaya giriştiği çorbayı yeniden ısıttı ve buzdolabından rastgele kalan yemekleri yedi.
,Hepsi Gohda'nın bizzat yaptığı şeylerdi ve elbette çok lezzetliydiler.
,"Rosa ve diğerlerine akşam yemeği için ne yiyeceklerini sormak için isteksizce yanlarına gitmişti ama konserve yiyecekleri olduğunu, yani sorun olmadığını söyleyen bir ses tarafından terslenmişti, ve kapı onun için açılmamıştı bile."
,"......Böylece, ironik olarak, en lezzetli yemeği yiyebilen kişi, hizmetkâr Genji oldu..."
,"Ama, onca suç işlenmiş ve pek çok insan acımasız bir ölümle karşılaşmış olmasına rağmen, ......neden Genji tek başına dolaşmaktan korkmuyordu?"
,"...Görünüşüne bakıldığında, her şey normalmiş gibi normal görevlerini hiçbir korku izi olmadan yerine getirdiğinden, bugün meydana gelen tüm korkunç olayların sadece bir rüya veya illüzyon olduğu düşünülebilirdi."
,"Felsefi bir bakış açısına mı sahipti, yoksa sadece teslimiyet miydi?"
,"Genji, kendisini bekleyen kader kaçınılmaz olduğundan, görevini son ana kadar sistematik bir şekilde yerine getirmeyi bir erdem olarak görmüş olmalıydı."
,"Kendisi anlatmadığı sürece, kalbinin derinliklerini algılamak muhtemelen sonsuza dek imkansız olacaktı......"
,Master anahtarı Rosa'ya geri verdiği için gidebileceği yerler son derece sınırlıydı.
,"Tek yapabildiği koridorlarda dolaşmak, pencerelerin kapalı olup olmadığını kontrol etmekti.{n}Bu yüzden normalden çok daha hızlı bir şekilde bu rotayı dolaşabildi."
Ronoue Genji,"""....................................... ......mgh."""
,"Hafif bir kapı çalma sesinin ardından, kısa bir süre önce uykuya dalmış olan Rosa Teyze sıçrayarak uyandı ve silahının namlusunu kapıya doğrultarak bağırdı."
Ushiromiya Rosa,"""Kim o?!"""
,"Kanepede kestiriyordum, ve o ses beni de kendime getirdi."
Ronoue Genji,"""......Rosa-sama. Ben Genji."""
Ushiromiya Rosa,"""Bir şey mi var? Kapıyı açmadan da halledebiliriz. Bize oradan söyle."""
Ronoue Genji,""".........Evet. O hâlde, bu üslupla konuştuğum için beni bağışlayın. ...Doktor Nanjo ve Kumasawa'nın cesetlerini buldum."""
Ushiromiya Battler,"""N-...Ne dedin sen...?!!"""
Ushiromiya Rosa,"""............Anladım. Pekâlâ, gidip kontrol edelim. ...Cesetleri görene kadar kimseye inanmayacağım."""
Ushiromiya Battler,"""....................."""
Ushiromiya Maria,"""......Uu. Sorun yok, Battler. Maria'yla birlikte olursan, kesinlikle iyi olacaksın."""
,Belki de yüzüm gerginlikten gölgelenmişti.{n}...Maria küçük eliyle elimi kavradı ve bana cesaret vermeye çalışarak yumuşak bir şekilde konuştu.
,"Silahı hazır edip tetikte olmak Rosa Teyze'nin görevi olduğundan, kanepelerden oluşan barikatı kaldırmak bana düştü."
,"İşimi bitirdiğimde, silahın namlusunu omzuma doğrultmuş olan Rosa Teyze'ye şöyle bir baktıktan sonra kapıyı açtım."
Ushiromiya Battler,"""Genji-san, cesetleri nerede...?"""
Ronoue Genji,""".........Avluda. Size rehberlik edeceğim."""
Ushiromiya Rosa,"""Battler-kun, bekle! Her ihtimale karşı, gitmeden önce bu odanın kapı ve pencerelerini kontrol edeceğim. Bekle bir saniye."""
,Rosa Teyze ilerlememi önlemek için beni durdurdu ve pencerelerin kilitlerini dikkatle kontrol etmeye başladı.
,......Ama o kilitler zaten bir kez kontrol edilmişti.
,......Kendisi bakmıyorken gizlice kilitlerini açmış olabileceğimi düşünüyormuş gibi tatsız bir his uyandırdı.
,"...Hayır, belki de bu kadar temkinli olmakta haklıydı..."
,"Adı avlu olsa da, gül bahçesi gibi içinde yürüyüş yapılabilecek güzel bir yer değildi."
,"Aksine, dört bir yanı malikane ile çevrili olduğu için, dışarı çıkmaya çalışsanız bile malikaneden kaçamayacağınızı söylermiş gibi biraz rahatsız hissetmenize neden oluyordu."
,"Öte yandan, bu sayede şiddetli rüzgârlar duyulabilse de rüzgârın kendisini engelliyordu."
,"Genji-san bir şemsiye uzattı, ama Rosa Teyze onu görmezden geldi."
,"...Muhtemelen silahı iki eliyle tuttuğunu, bu yüzden şemsiyeyi almasının tehlikeli olacağını çünkü silahı ateşleyemeyeceğini belirtmek istedi."
,Fark etmemiz için Genji-san'ın işaret etmesine gerek yoktu.
,"Avlunun tam ortasında, ......Doktor Nanjo ve Kumasawa-san'ın yattıklarını görebiliyorduk..."
,Rosa Teyze avluya şemsiye bile olmadan girmişti.{n}...Genji-san ve ben de şemsiye açmadan avluya girdik.{n}Sadece Maria'nın şemsiyesi normal bir şekilde açıktı.
Ushiromiya Battler,"""..................Maria... ......Bu, o......değil mi?"""
Ushiromiya Maria,"""......Uu. ......Yedinci alacakaranlık ve sekizinci alacakaranlık."""
Ushiromiya Rosa,"""A-......anlıyorum. Gerçekten de, Genji-san ve diğerlerinin söylediği gibi, boyunlarında korkunç yaralar var. ......Çok keskin. Adeta katana gibi bir şeyle kesilmişler gibi..."""
