Speaker,Turkish (TR)
,"...Hideyoshi'nin ""sunumun lezzeti iki katına çıkardığı"" iddiası görünüşe göre doğruydu."
,"Konukevine kovulan çocuklar ve Nanjo kuzenlerin odasında toplanmış, Kumasawa'nın tatlı olarak getirdiği pastayı yiyorlardı."
,"Hem harikaydı hem de son derece lükstü, kreması da boldu ve meyvelerle nefis bir şekilde süslenmişti, ama lezzetli olmasına rağmen, nedense tadı pek de iyi değildi..."
Ushiromiya Jessica,"""Haha, Gohda-san'ın sunumları olmadan tadı o kadar da güzel olmuyor."""
Ushiromiya Battler,"""Ve eğer Kumasawa baa-chan'dan bunu tanıtmasını isteseydik, sadece uskumrudan yapıldığını söyleyecekti."""
Ushiromiya Maria,"""Uu?! Gerçekten mi?! Uskumrudan pasta yapılabiliyor mu?!"""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho. Oh, evet, bu pasta da öyle, uskumrunun sıkılmış suyunu un ve yumurtayla karıştırıp pişirdiğinizde yumuşacık oluyor. Hoh-hoh-hoh-ho."""
Ushiromiya George,"""Bu doğru olsaydı inanılmaz olurdu. Belki de uskumru pastası babamın dükkanlarındaki yeni menüde yer alır."""
Ushiromiya Battler,"""Wahahaha! Ne de olsa uskumru besleyici ve de oldukça sağlıklı bir imaja sahip. Kadınlar ve yaşlılar arasında gerçekten popüler olabilir! Ama ben yanına bile yaklaşmam!"""
Ushiromiya Jessica,"""Kızlar bu kadar tuhaf bir şeyi yemez."""
Nanjo Terumasa,"""Yaşlı insanlar bile bunu reddetmek isteyecektir."""
Kumasawa Chiyo,"""Hoh-hoh-hoh-ho! Ama çok lezzetli!"""
,"Kumasawa, uzmanlık alanı olan uskumru şakalarıyla ortamı gerçekten neşelendiriyordu. ...Ancak sağanak yağmurun sesi tüm dikkatlerini gizemli konuğa yöneltiyordu."
,"Neticede, burada {f:5:Beatrice} ile tanışan tek kişi olduğu için Maria'yı yine soru yağmuruna tuttular."
Ushiromiya George,""".........Bu hikayenin doğru olabileceğine...hiç inancım yoktu."""
Ushiromiya Battler,"""Söylediklerinize bakılırsa, inanmıyor olsanız bile Maria'nın bir cadıyla buluştuğunu ilk kez duymuyormuşsunuz gibi duruyor."""
Ushiromiya Jessica,"""...Evet. O yaştaki hayal gücü geniş çocuklar için oldukça tipik bir peri masalı olduğunu düşünmüştüm."""
Ushiromiya Maria,"""Gerçeekk!! {f:5:Beatrice} ""gerçeekk""! Her yıl aile konferansına geldiğimizde Maria onu görüyor ve birlikte oynuyoruz!"""
Kumasawa Chiyo,"""Bu doğru. {f:5:Beatrice}-sama her ne kadar genellikle kendini göstermese de, bazen eşek şakaları yapmak için beklenmedik bir şekilde temiz kalpli ve dürüst insanların karşısına çıktığını duymuştum. Hoh-hoh-ho."""
,"{f:5:Beatrice}, Rokkenjima cadısıyla ilgili peri masalındaki varlığa atıfta bulunan bir isimdi."
,"Aile ve hizmetkârlar, Kinzo'yu iyi bir ruh halinde tutabilmek için kuruntularındaki cadı imajını kabul ettikleri için, bu imaj Rokkenjima'nın peri masalı ya da belki de hayalet hikâyesi olarak anılmaya başlandı..."
,Bu geçmişi bilen aile üyeleri için Altın Cadı masalının pek bir önemi yoktu. ...Ancak bunu Kinzo'nun önünde söyleyemezlerdi.
,"Dolayısıyla, örneğin Maria gibi bu geçmişi bilmeyenler için, ...bu hikaye kesinlikle asılsız değil, ...gerçek bir cadı efsanesiydi."
