Speaker,Turkish (TR)
Ushiromiya Kinzo,"""............Anlıyorum. Demek başladı."""
Ronoue Genji,"""...Evet."""
Shannon,"""................................."""
,Kinzo altı kişinin öldüğünü duymuş olsa da hiç bir şey hissetmedi.
,Pencereden dışarı bakarken yüzündeki ifade......sanki bir satranç oyunundaki rakibi az önce muhteşem bir hamle yapmış gibi bir gülümsemeydi.
,"...Bu ifadenin, birçok evladını aynı anda kaybetmiş bir babanın yüzünde belirebileceği düşünülemezdi."
Ronoue Genji,"""......Rosa-sama'nın emirleri doğrultusunda Gohda ve Kanon polisi arıyor. Ayrıca lordum, sonrasında sizin emirlerinize uymamız için bize emir verdi... ......Ne yapmamızı istersiniz?"""
Ushiromiya Kinzo,"""...............Bu adanın gerçek dünyayla bağlantısı çoktan kesildi. Telefonlar ve benzeri şeyler hiçbir işe yaramaz."""
Ronoue Genji,"""Onları durdurayım mı?"""
Ushiromiya Kinzo,"""......Rulet bitinceye kadar zamanı nasıl geçirecekleri onlara kalmış. Bırakın istediklerini yapsınlar."""
Ronoue Genji,"""............Evet."""
Shannon,"""...Umm.........Rosa-sama'ya ne söylemeliyim?"""
Ushiromiya Kinzo,"""Zamanı nasıl geçirecekleri onlara kalmış demedim mi?! Şarkı söyleyebilirler, dans edebilirler! Hatta kendilerini boyunlarından asabilir ya da kaynayan bir kazanın içine atlayabilirler!! On üç kişi ölene kadar, zamanlarını istedikleri gibi geçirebilirler. Eğer o kadar sıkılıyorlarsa, zamanlarını altı kere dokuzun neden kırk iki ettiğini merak ederek geçirebilirler!! İşte insan oğlunun ve evrenin gizeminin cevabı bu!!"""
Shannon,"""E-Evet...! Ö-Özür dilerim......!"""
,Shannon bu ani öfke karşısında korkuyla irkildi. ...Genji ona çok fazla konuşmamasını söyler gibi bir hareket yaptı.
,Shannon yersiz konuştuğu için pişmanlık duydu...
Ushiromiya Kinzo,"""Ancak. ...Sen de dilediğini yapmakta özgürsün. ......Genji. Ve Shannon sen de. Bugüne kadar bana iyi hizmet ettin."""
Shannon,"""S-...Sözleriniz için teşekkür ederim...... ...Ama, umm........."""
Ronoue Genji,"""...............Biz size hizmet etmeye yemin etmiş mobilyalarız, lordum. ......Her zaman ve her halükarda, yanınızda bekliyor olacağız. ......En sonuna kadar."""
Ushiromiya Kinzo,""".................. ............İkinize de her şeyi.........anlatmak istiyorum. ......Shannon. Bir vasiyet yazacağım. Lütfen söylediklerimi yaz. ...Genji, lütfen, her zamanki içkim."""
Shannon,"""huh... ...............Ev‐............evet......!"""
,"Nanjo, sağlığı nedeniyle Kinzo'ya sık sık bir vasiyet yazmasını önermişti ama her seferinde Kinzo öfkeden deliye dönüyordu."
,"......O zamandan beri Kinzo'nun en çok tepki gösterdiği kelime ""vasiyet"" olmuştu."
,Bu kelime bizzat onun ağzından çıktığı için Shannon bir anlığına duyduğu şeyden şüphe etmekten kendini alamadı.
,Shannon aceleyle yan masayı ve bir de kağıt hazırladı. Genji de kendisine emredildiği gibi her zamanki yeşil şeytanını hazırlamaya başladı...
Shannon,"""Ben hazırım."""
Ushiromiya Kinzo,""".........Hmm. .........Nereden başlamalıyım? ...Sanırım hayatımdan da bahsedebilirim. ......Unutulmaz oyunlarımın bir kaydını bırakmak eğlenceli olurdu."""
Ushiromiya Kinzo,""".........Yüzyıllar öncesine ait eski oyunların kayıtlarını incelemek, ...bu oyuncuların zihinlerinde bir yolculuğa çıkmak gerçekten eğlenceli olabilir. .........Öyleyse benim hayatımın skor tablosu da gelecekte insanları fikirlerimi keşfetmek için bir yolculuğa çıkmaya çağıracak mı? ......Hmph."""
,"Kinzo bir süre elleri arkasında, odanın içinde dolanarak konuşmaya nereden başlaması gerektiğini düşündü..."
Ronoue Genji,"""Lordum. .........Buyrun."""
Ushiromiya Kinzo,"""Güzel. Teşekkürler, dostum. ............Peki o zaman. Hayatımdan bahsedeceksem, o cadıyla tanıştığım andan itibaren yazmaya başlamalıyım."""
Ushiromiya Kinzo,"""...Shannon, yaz. ......Benim {f:5:Beatrice} ile tanışmam çok eskilere dayanıyor. Showa döneminin kaçıncı yılıydı...? ...Sanırım savaşın sonlarına doğruydu—"""
,"Sakinleşmek için yeterince zamanımız oldu, .........ve her birimiz ailelerimizin üzerine katili kesinlikle yakalayacağımıza dair yemin ettik."
