Speaker,Arabic (AR)
Nanjo Terumasa,"""............ﻣﺠﺪﺩﺍ....ﺇﺫﻥ، ﻟﻢ ﺗﺘﻐﻠﺐ ﻋﻠﻰ ﺇﺩﻣﺎﻧﻚ ﻟﻠﻜﺤﻮﻝ ﺑﻌﺪ؟"""
,ﺗﻨﻬﺪ ﺍﻟﻄﺒﻴﺐ ﺍﻟﻌﺠﻮﺯ ﺑﻌﺪﻣﺎ ﺳﺤﺐ ﺳﻤﺎﻋﺘﻪ.
,ﻳﻤﻜﻦ ﺭﺅﻳﺔ ﺭﺟﻠﻴﻦ ﻛﺒﻴﺮﻳﻦ ﻓﻲ ﺍﻟﺴﻦ ﺩﺍﺧﻞ ﻏﺮﻓﺔ ﺍﻟﺪﺭﺍﺳﺔ ﺧﺎﻓﺘﺔ ﺍﻹﺿﺎﺀﺓ ﻭﺍﻟﻤﻠﻴﺌﺔ ﺑﺎﻟﻐﺒﺎﺭ ﻭﺍﻟﺮﺍﺋﺤﺔ ﺍﻟﺤﻠﻮﺓ ﺍﻟﻤﻐﺜﺔ.
,ﻓﻲ ﺯﺍﻭﻳﺔ ﻫﺬﻩ ﺍﻟﻐﺮﻓﺔ، ﻭﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺃﻛﺒﺮ ﺑﻜﺜﻴﺮ ﻣﻤﺎ ﻳﺴﻤﻴﻬﺎ ﻣﻌﻈﻢ ﺍﻟﻨﺎﺱ ﺑﻐﺮﻓﺔ ﺩﺭﺍﺳﺔ.  ﻛﺎﻥ ﻫﻨﺎﻙ ﺳﺮﻳﺮ ﺑﺎﻫﻆ ﺍﻟﺜﻤﻦ، ﻭﺭﺟﻞ ﻳﺨﻀﻊ ﻟﻔﺤﺺ ﻃﺒﻲ، ﻭﻃﺒﻴﺐ ﻳﺸﺮﻑ ﻋﻠﻴﻪ. {n}ﻭﺃﻳﻀﺎ ﻛﺎﻥ ﻫﻨﺎﻙ ﺧﺎﺩﻡ ﻳﺸﺎﻫﺪﻫﻤﺎ.
Ushiromiya Kinzo,"""ﺯﺟﺎﺟﺔ ﺍﻟﻨﺒﻴﺬ ﻫﻲ ﺻﺪﻳﻘﺘﻲ. ﺇﻧﻬﺎ ﻻ ﺗﻘﻞ ﻣﻜﺎﻧﺔ ﻋﻦ ﺻﺪﺍﻗﺘﻲ ﻣﻌﻚ، ﻭﻭﻗﻔﺖ ﺑﺠﺎﻧﺒﻲ ﺃﻛﺜﺮ ﻣﻨﻚ ﺣﺘﻰ."""
,ﻗﺎﻝ ﺍﻟﺮﺟﻞ ﺍﻟﺬﻱ ﻛﺎﻥ ﻳﻬﺬﺏ ﻣﻼﺑﺴﻪ ﺑﻌﺪﻣﺎ ﻛﺸﻒ ﺻﺪﺭﻩ ﻟﻠﻄﺒﻴﺐ، ﺩﻭﻥ ﺃﻱ ﻧﺒﺮﺓ ﺍﻋﺘﺬﺍﺭ.
Nanjo Terumasa,"""............ﻛﻴﻨﺰﻭ-{c:86EF9C:ﺳﺎﻥ}. ...ﺟﺴﺪﻙ ﻳﻈﻬﺮ ﺑﺼﺤﺔ ﺟﻴﺪﺓ ﺑﺴﺒﺐ ﺗﺄﺛﻴﺮﺍﺕ ﺍﻟﺪﻭﺍﺀ. ﻭﻟﻜﻦ ﺇﺫﺍ ﺍﺳﺘﻤﺮﺭﺕ ﺑﺸﺮﺏ ﻣﺸﺮﻭﺑﺎﺕ ﻗﻮﻳﻪ، ﻓﺴﺘﻨﻌﺪﻡ ﻓﻌﺎﻟﻴﺔ ﺍﻟﻌﻼﺝ. ...ﻋﻠﻴﻚ ﺃﻥ ﺗﺜﻖ ﺑﻲ. ﻛﻒ ﻋﻦ ﺍﻟﺸﺮﺍﺏ."""
Ushiromiya Kinzo,"""ﺃﺷﻜﺮﻙ، ﻻﻫﺘﻤﺎﻣﻚ ﻓﻘﻂ. ﻳﺎ ﺻﺪﻳﻘﻲ. .........ﻗﻴﻨﺠﻲ. ﻛﺄﺱ ﺁﺧﺮ. ﻭﺃﺿﻒ ﻋﻠﻴﻪ ﺍﻟﻘﻠﻴﻞ ﻣﻦ ﺍﻟﻤﺎﺀ... ﺑﻬﺬﻩ ﺍﻟﻄﺮﻳﻘﺔ ﺳﻴﺤﻔﻆ ﻧﺎﻧﺠﻮ-ﺳﺎﻥ ﻣﺎﺀ ﻭﺟﻬﻪ."""
Ronoue Genji,""".........ﻫﻞ ﺃﻧﺖ ﻣﺘﺄﻛﺪ؟"""
,ﺑﻌﺪ ﺃﻥ ﻧﻈﺮ ﺇﻟﻰ ﻛﻞ ﻣﻦ ﺳﻴﺪﻩ ﺍﻟﺬﻱ ﻃﻠﺐ ﺍﻟﻜﺤﻮﻝ ﻭﻃﺒﻴﺐ ﺳﻴﺪﻩ ﺍﻟﺸﺨﺼﻲ ﺍﻟﺬﻱ ﻧﻬﺎﻩ ﻋﻦ ﺫﻟﻚ، ﻗﻴﻨﺠﻲ، ﺃﻗﺪﻡ ﺧﺎﺩﻡ ﻟﻜﻴﻨﺰﻭ، ﺑﺼﻤﺖ ﺃﻋﻄﻰ ﺇﻳﻤﺎﺀﺓ ﺑﺴﻴﻄﺔ ﻭﻧﻔﺬ ﺃﻭﺍﻣﺮ ﺳﻴﺪﻩ ﺑﺈﺧﻼﺹ. 
,ﺗﻨﻬﺪ ﺍﻟﻄﺒﻴﺐ ﻧﺎﻧﺠﻮ ﻣﺮﺓ ﺃﺧﺮﻯ ﺑﻴﻨﻤﺎ ﻛﺎﻥ ﻳﺸﺎﻫﺪ ﺍﻟﺨﺎﺩﻡ ﻳﺼﺐ ﺍﻟﺸﺮﺍﺏ.....
,ﻛﺎﻧﺖ ﻫﻨﺎﻙ ﺭﺍﺋﺤﺔ ﺗﻤﻠﺆ ﺍﻟﻐﺮﻓﺔ.
,...ﻫﺬﻩ ﺍﻟﺮﺍﺋﺤﺔ ﺍﻟﺴﺎﻣﺔ ﺍﻟﺤﻠﻮﺓ ﺗﻌﻄﻲ ﺷﻌﻮﺭﺍ ﺑﺬﻭﺑﺎﻥ ﺍﻟﻘﻠﺐ، ﺇﺫ ﻟﻢ ﺗﻜﻦ ﺍﻟﺮﻭﺡ. ﻛﺎﻧﺖ ﺭﺍﺋﺤﺔ ﻣﺸﺮﻭﺏ ﺃﺧﻀﺮ ﺳﺎﻡ ﻟﻢ ﺗﺴﺘﻄﻊ ﺭﻭﺡ ﻫﺬﺍ ﺍﻟﺮﺟﻞ ﺃﻥ ﺗﻨﻔﺼﻞ ﻋﻨﻪ.
Ushiromiya Kinzo,""".......ﻧﺎﻧﺠﻮ. ﺃﻧﺖ ﺻﺪﻳﻘﻲ ﺍﻟﻤﻘﺮﺏ، ﻭﻧﻌﺮﻑ ﺑﻌﻀﻨﺎ ﻣﻨﺬ ﻣﺪﺓ ﻃﻮﻳﻠﺔ. ﺇﻧﻨﻲ ﻣﻤﺘﻦ ﻟﻜﻞ ﺍﻷﺷﻴﺎﺀ ﺍﻟﺘﻲ ﻓﻌﻠﺘﻬﺎ ﻃﻮﺍﻝ ﻫﺬﻩ ﺍﻟﻤﺪﺓ ﻹﺑﻘﺎﺋﻲ ﻋﻠﻰ ﻗﻴﺪ ﺍﻟﺤﻴﺎﺓ."""
Nanjo Terumasa,"""ﻟﻢ ﺃﻓﻌﻞ ﺷﻲﺀ. ....ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻟﻢ ﺗﺴﺘﻤﻊ ﺃﺑﺪﺍ ﻟﻨﺼﻴﺤﺘﻲ ﺑﺼﻔﺘﻲ ﻃﺒﻴﺒﻚ."""
Ushiromiya Kinzo,"""ﻫﺎﻫﺎﻫﺎﻫﺎ... ﻭﺃﻧﺖ ﻻ ﺗﺴﺘﻤﻊ ﻟﺘﺤﺬﻳﺮﺍﺗﻲ ﻋﻨﺪﻣﺎ ﺗﻨﻮﻱ ﺗﺤﺮﻳﻚ ﻗﻄﻌﺔ ﺷﻄﺮﻧﺞ ﺑﺸﻜﻞ ﺧﺎﻃﺊ... ﻳﺒﺪﻭ ﺑﺄﻧﻨﺎ ﻣﺘﻌﺎﺩﻻﻥ."""
Ronoue Genji,""".....ﺳﻴﺪﻱ."""
Ushiromiya Kinzo,"""ﺷﻜﺮﺍ ﻟﻚ. ﻟﻦ ﺃﻣﻮﺕ ﺇﺫﺍ ﻧﻔﺬ ﻣﻨﻲ ﺩﻭﺍﺅﻙ، ﻭﻟﻜﻨﻲ ﺳﺄﻣﻮﺕ ﺇﺫﺍ ﻧﻔﺬ ﻫﺬﺍ."""
