Speaker,Arabic (AR)
Ushiromiya Hideyoshi,"""ﻭﺍﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ، ﻫﻞ ﺃﻧﺖ ﻋﻠﻰ ﻣﺎ ﻳﺮﺍﻡ ﻳﺎ ﺑﺎﺗﻠﺮ-ﻛﻦ....؟! ﻟﻘﺪ ﻫﺒﻄﻨﺎ، ﻟﻦ ﺗﺴﻘﻂ ﺍﻛﺜﺮ ﻣﻦ ﻫﺬﺍ، ﻭﺍﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎﻫﺎ...!"""
Ushiromiya Maria,"""ﺃﻭﻭ، *ﺿﺤﻚ*ﺿﺤﻚ*! ﺳﻘﻮﻁ، ﺳﻘﻮﻁ، *ﺿﺤﻚ*ﺿﺤﻚ*!"""
,ﺍﻧﺪﻓﻌﺖ ﻣﺎﺭﻳﺎ ﺿﺎﺣﻜﺔً ﻣﺘﺤﻤﺴﺔً ﻓﻲ ﺃﻧﺤﺎﺀ ﻣﻄﺎﺭ ﻧﻴﺠﻴﻤﺎ.{n}ﻻ ﺑﺪّ ﺃﻥ ﺿﺠﺔ ﺑﺎﺗﻠﺮ ﻋﻠﻰ ﻣﺘﻦ ﺍﻟﻄﺎﺋﺮﺓ ﻛﺎﻧﺖ ﻣﺜﻴﺮﺓً ﻟﻠﺴﺨﺮﻳﺔ.
Ushiromiya Rosa,"""ﻣﺎﺭﻳﺎ! ﻳﻜﻔﻲ! ...ﺁﺳﻔﺔ ﻳﺎ ﺑﺎﺗﻠﺮ-ﻛﻦ. ﻻ ﺗﺄﺧﺬ ﺍﻷﻣﺮ ﺑﺠﺪﻳﺔ."""
Ushiromiya Rudolf,"""ﻳﺎ ﻟﻚ ﻣﻦ ﻓﺘﻰ ﻣﺜﻴﺮ ﻟﻠﺸﻔﻘﺔ. ﺃﺗﺨﺸﻰ ﺍﻟﻤﺮﻛﺒﺎﺕ ﺭﻏﻢ ﺿﺨﺎﻣﺔ ﺟﺴﺪﻙ؟"""
Ushiromiya Battler,"""ﺁﻩ، ﺍﺻﻤﺖ... ﻛﻞ ﺑﺸﺮ ﻭ ﻋﻴﺒﻪ..."""
Ushiromiya Eva,"""ﻣﺎ ﺭﺃﻳﻚ ﻳﺎ ﺑﺎﺗﻠﺮ-ﻛﻦ ﺑﺎﻟﺴﻔﺮ ﻣﻊ ﻋﻤﺘﻚ ﻓﻲ ﻭﻗﺖٍ ﻗﺮﻳﺐ? ﺇﻟﻰ ﺃﻭﺭﻭﺑﺎ ﻣﺜﻼً? ﺍﺭﻛﺐ ﺍﻟﻄﺎﺋﺮﺓ ﻧﺼﻒ ﻳﻮﻡ، ﻭﺳﺘﻐﻠﺐ ﺿﻌﻔﻚ ﺫﺍﻙ. *ﺿﺤﻚ*ﺿﺤﻚ*ﺿﺤﻚ*!"""
Ushiromiya George,"""...ﻫﺬﺍ ﻳﻜﻔﻲ ﻳﺎ ﺃﻣﻲ. ﺭﺑﻤﺎ ﺧﻮﻑ ﺑﺎﺗﻠﺮ-ﻛﻦ ﻣﻦ ﺍﻟﻤﺮﻛﺒﺎﺕ ﻫﻮ ﺃﻣﺮٌ ﻗﺪ ﻭﺭﺛﻪ."""
Ushiromiya Kyrie,"""ﺗﻘﺼﺪ ﻭﺭﺛﻪ ﻣﻦ ﺁﺳﻮﻣﻮ-ﺳﺎﻥ?"""
Ushiromiya Rudolf,"""......ﻟﺴﺒﺐٍ ﻣﺎ، ﻛﺎﻧﺖ ﺗﺨﺸﻰ ﺭﻛﻮﺏ ﺍﻟﻤﺮﻛﺒﺎﺕ. ﺑﺎﻟﻜﺎﺩ ﺗﺮﻛﺐ ﺍﻟﺪﺭﺍﺟﺔ ﺃﻭ ﺍﻟﺴﻴﺎﺭﺓ. ﻛﻠﻤﺎ ﺧﻄﻄﻨﺎ ﻟﺮﺣﻠﺔ ﺑﻌﻴﺪﺓ، ﻛﺎﻧﺖ ﺗﺰﻋﺠﻨﺎ ﺑﺎﻟﺼﺮﺍﺥ 'ﻛﻼ، ﻻ ﺃﺭﻳﺪ ﺍﻟﺼﻌﻮﺩ، ﻻ ﺃﺭﻳﺪ، ﺃﻧﺎ ﺧﺎﺋﻔﺔ، ﺧﺎﺋﻔﺔ، ﺳﻨﺴﻘﻂ، ﺳﻨﺴﻘﻂ، ﻏﻴﺂﺁﻩ، ﻏﻴﺂﺁﻩ'. ﻛﺎﻧﺖ ﻣﺰﻋﺠﺔ ﺑﺤﻖ."""
Ushiromiya George,"""ﻳﺨﺎﻑ ﺍﻷﻃﻔﺎﻝ ﻣﺎ ﻳﺨﺎﻓﻪ ﺁﺑﺎﺅﻫﻢ. ﻻ ﺷﻚ ﺃﻥ ﺧﻮﻑ ﺑﺎﺗﻠﺮ-ﻛﻦ ﻣﻦ ﺍﻟﻤﺮﻛﺒﺎﺕ ﻗﺪ ﺇﻛﺘﺴﺒﻪ ﻣﻦ ﺁﺳﻮﻣﻮ-ﺳﺎﻥ."""
Ushiromiya Kyrie,"""*ﺿﺤﻚ*ﺿﺤﻚ*. ﺇﺫًﺍ ﺍﻟﺴﺒﺐ ﻳﻌﻮﺩ ﻟﺠﻴﻨﺎﺕ ﺁﺳﻮﻣﻮ-ﺳﺎﻥ؟"""
Ushiromiya Rudolf,"""ﻣﻦ ﻳﻌﻠﻢ. ﺃﻣﺤﻖ ﺟﻴﻨﺎﺕ. .........ﻳﻜﻔﻲ ﺣﺪﻳﺜًﺎ ﻋﻦ ﺃﺳﻮﻣﻮ. ﺃﻣﺎ ﻫﻬﻨﺎ ﺃﻧﺖِ. ﺻﺤﻴﺢ?"""
Ushiromiya Kyrie,"""...ﺻﺤﻴﺢ، ﺁﺳﻔﺔ."""
Ushiromiya Hideyoshi,"""ﻳﺎ ﺭﻓﺎﺍﻕ، ﻟﻘﺪ ﻭﺻﻠﺖ ﺍﻟﺴﻴﺎﺭﺍﺕ! ﺛﻼﺛﺔ ﺑﺎﻟﻀﺒﻂ. ﻫﻴّﺎ، ﺍﺻﻌﺪﻭﺍ، ﺍﺻﻌﺪﻭﺍ!"""
