Speaker,Arabic (AR)
{f:5:Beatrice},"""…ﺃيُّ ﺷﺎيٍ ﺃُﻋِﺪَّ ﺗﺎﻟﻴًﺎ؟ ﻟﻚ ﺣﺮﻳﺔ ﺍﺧﺘﻴﺎﺭ ﺍﻷﺻﻨﺎﻑ ﺍﻟﺘﻲ ﻋﺮﻓﻬﺎ ﺍﻟﺰﻣﺎﻥ."""
,"""...ﺍﻟﺸﺎﻱ ﺍﻷﺳﻮﺩ ﺍﻟﻤﺠﻔﻒ ﺑﺎﻟﺒﺮﻗﻮﻕ. ...ﺫﻟﻚ ﺍﻟﺬﻱ ﻳﺒﺎﻉ ﻛﺤﺰﻣﺔ ﺑﻤﺌﺘﻲ ﻳﻦ."""
{f:5:Beatrice},"""*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*...! ...ﻷﻟﻒ ﻋﺎﻡ، ﻛﻨﺖ ﻣﻮﻟﻌﺔ ﺑﺎﻟﺸﺎﻱ ﺍﻷﺳﻮﺩ، ﻟﻜﻨﻨﻲ ﻟﻢ ﺃﺳﻤﻊ ﺑﻬﺬﺍ ﺇﻃﻼﻗﺎ. ...ﻟﻦ ﺃﻣﻞ ﻣﻦ ﺍﻟﻌﻴﺶ ﻓﻲ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ."""
,"""...ﺑﻴﺎﺗﻮ. ﻻ ﺣﺎﺟﺔ ﻹﺑﺪﺍﺀ ﻋﺪﻭﺍﻧﻴﺘﻚ ﻫﺬﻩ. ...ﺇﻧﻲ ﻣﺠﺮﺩ ﺳﺎﺣﺮﺓ ﻣﺘﺠﻮﻟﺔ. ﻟﻢ ﺁﺕ ﺑﻨﻴﺔ ﺍﻧﺘﻬﺎﻙ ﻗﻮﺍﻋﺪ ﻋﺎﻟﻤﻚ."""
{f:5:Beatrice},"""...*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ* ﻟﻴﺴﺖ ﻫﻨﺎﻙ ﺣﺘﻰ ﺫﺭﺓ ﻭﺍﺣﺪﺓ ﻣﻦ ﺍﻟﻌﺪﺍﺀ.  ...ﺃﺷﻌﺮ ﻓﻘﻂ ﺑﺎﻟﻘﻠﻖ ﻣﻦ ﺍﺭﺗﻜﺎﺏ ﺃﻱ ﺧﻄﺄ ﺃﻣﺎﻡ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻷﺳﻄﻮﺭﻳﺔ، {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ}."""
{f:5:Bernkastel}," ""...ﺇﻧﻚ ﺗﺴﻴﺌﻴﻦ ﺍﻟﻔﻬﻢ. ﺇﻧﻲ ﺿﻌﻴﻔﺔ ﺍﻟﻘﻮﺓ. ﺃﻣﺎﻡ ﺳﺎﺣﺮﺓ ﻣﺜﻠﻚ، ﺗﻤﺘﻠﻚ ﻗﻮﺓ ﻣﺮﻋﺒﺔ ﻟﻘﺘﻞ ﻓﺮﺩ ﻣﺌﺔ ﻣﺮﺓ، ﺃﻧﺎ ﺿﻌﻴﻔﺔ ﺗﻤﺎﻣﺎ."
{f:5:Beatrice},"""ﻣﺎ ﻳﺮﻋﺐ ﺣﻘﺎ ﺃﻥ ﺳﺎﺣﺮﺓ ﺿﻌﻴﻔﺔ ﻣﺜﻠﻚ ﺗﻤﺘﻠﻚ ﻗﻮﺓ ﻻ ﻳﻤﻜﻦ ﻷﺣﺪ ﺃﻥ ﻳﺒﻠﻐﻬﺎ ﻗﻂ. ﻓﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻟﻘﺪ ﺗﻤﻜﻨﺖ ﺑﺴﻬﻮﻟﺔ ﻣﻦ ﻫﺰﻳﻤﺔ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﻌﻈﻴﻤﺔ، ﺍﻟﺴﻴﺪﺓ ﻻﻣﺪﺍﺩﻳﻠﺘﺎ."""
{f:5:Bernkastel},"""...ﻟﻘﺪ ﻓﺰﺕ ﻓﻘﻂ ﻋﻦ ﻃﺮﻳﻖ ﻣﻨﺎﻓﺴﺔ ﺍﻟﺘﺤﻤﻞ. ﻛﻞ ﻣﺎ ﻓﻲ ﺍﻷﻣﺮ ﺃﻧﻬﺎ ﺗﻌﺒﺖ ﺃﺳﺮﻉ."""
{f:5:Beatrice},"""ﻫﺬﺍ ﻟﻴﺲ ﻣﺎ ﻗﺎﻟﺘﻪ ﺍﻟﺴﻴﺪﺓ ﻻﻣﺪﺍﺩﻳﻠﺘﺎ.  ...*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*، ﻻ ﻳﻠﻴﻖ ﺍﻟﺘﻮﺍﺿﻊ ﺑﺎﻟﺴﻴﺪﺓ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ}."""
{f:5:Bernkastel},"""...ﻟﺪﻯ ﺗﻠﻚ ﺍﻟﻔﺘﺎﺓ ﻗﻮﺓ ﻣﺨﻴﻔﺔ. ....ﺗﻤﺘﻠﻚ ﺍﻟﻘﺪﺭﺓ ﻋﻠﻰ ﻗﺘﻞ ﻓﺮﺩ 'ﺩﻭﻥ ﻓﺸﻞ‘. ﻭﻟﻜﻦ، ﻻ ﻳﻮﺟﺪ ﺷﻲﺀ ‘ﺩﻭﻥ ﻓﺸﻞ' ﻓﻲ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ. ﻣﻬﻤﺎ ﻗﺴﻤﺖ ﺍﻟﻌﺪﺩ ﻭﺍﺣﺪ، ﻓﻼ ﻳﻤﻜﻨﻚ ﺍﻟﻮﺻﻮﻝ ﺇﻟﻰ ﺍﻟﺼﻔﺮ ﺃﺑﺪﺍ."
{f:5:Bernkastel},"ﺗﻤﺘﻠﻚ ﺗﻠﻚ ﺍﻟﻔﺘﺎﺓ ﺍﻟﻘﺪﺭﺓ ﻋﻠﻰ ﺧﻔﺾ ﺍﺣﺘﻤﺎﻻﺕ ﺍﻟﻔﺸﻞ ﺇﻟﻰ 'ﺍﻟﺼﻔﺮ ﺗﻘﺮﻳﺒﺎ'... ﻣﻤﺎ ﻳﻤﻜﻨﻬﺎ ﻣﻦ ﺧﻠﻖ ﻧﺘﻴﺠﺔ ‘ﺣﺘﻤﻴﺔ ﺷﺒﻪ ﺗﺎﻣﺔ'. ﺁﻣﻞ ﺃﻻ ﺃﺿﻄﺮ ﺃﺑﺪﺍ ﻟﻤﻘﺎﺗﻠﺔ ﻣﺜﻞ ﻫﺬﻩ ﺍﻟﺴﺎﺣﺮﺓ ﺍﻟﻤﺮﻋﺒﺔ ﻣﺮﺓ ﺃﺧﺮﻯ."""
{f:5:Beatrice},"""ﻣﻊ ﺫﻟﻚ، ﺗﻤﺘﻠﻜﻴﻦ ﺍﻟﻘﺪﺭﺓ ﻋﻠﻰ ﺧﻠﻖ ﺍﻟﻨﺠﺎﺡ ﺩﻭﻥ ﻓﺸﻞ، ﻃﺎﻟﻤﺎ ﺃﻥ ﺍﻻﺣﺘﻤﺎﻟﻴﺔ 'ﻻ ﺗﺴﺎﻭﻱ ﺻﻔﺮﺍ'. ....ﻋﻠﻰ ﺍﻟﺮﻏﻢ ﻣﻦ ﺃﻧﻚ ﺗﻨﻔﻴﻦ ﻭﺟﻮﺩ ﺃﺷﻴﺎﺀ ‘ﺩﻭﻥ ﻓﺸﻞ‘ ﻓﻲ ﻫﺬﺍ ﺍﻟﻌﺎﻟﻢ، ﺇﻻ ﺃﻧﻚ ﺗﻤﺘﻠﻜﻴﻦ ﻗﻮﺓ ﻣﻌﺼﻮﻣﺔ ﻣﻦ ﺍﻟﻔﺸﻞ. ......ﻛﻢ ﻫﺬﺍ ﻣﺮﻋﺐ، *ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*...!"""
{f:5:Bernkastel},"""...... ﺑﻘﺪﺭﺗﻚ ﻋﻠﻰ ﻗﺘﻞ ﻓﺮﺩ ﺑﺸﻜﻞ 'ﺃﺯﻟﻲ'... ... ﺃﻋﺘﻘﺪ ﺃﻧﻚ ﺍﻷﻛﺜﺮ ﺇﺭﻋﺎﺑﺎﹰ."""
{f:5:Beatrice},"""ﻛﻢ ﻫﺬﺍ ﻣﻀﺤﻚ. ......ﻣﻘﺎﺭﻧﺔ ﺑﻚ، ﻟﺴﺖ ﺃﺭﺍﻫﺎ ﺃﻛﺜﺮ ﻣﻦ ﻗﻮﺓ ﺗﺎﻓﻬﺔ. ﻫﺬﺍ ﻣﺎ ﻳﺴﻤﻰ ﺑﺎﻟﻤﺠﺎﻣﻠﺔ ﻓﻲ ﺍﻟﻤﺪﺡ."""
{f:5:Bernkastel},"""......ﺑﻞ ﺗﺴﻤﻰ ﺑﺎﻹﻃﺮﺍﺀ ﻟﺘﻌﻮﻳﺾ ﺗﻜﻠﻔﺔ ﺍﻹﻗﺎﻣﺔ ﻫﻨﺎ.   ﻟﺴﺖ ﺇﻻ ﺭﺣﺎﻟﺔ ﺗﻨﺘﻘﻞ ﺑﻴﻦ ﺍﻟﺸﻈﺎﻳﺎ، ﻫﺮﺑﺎ ﻣﻦ ﺍﻟﻤﻠﻞ. ......ﻗﺪﻣﺖ ﺇﻟﻰ ﻫﻨﺎ ﻓﻘﻂ ﻷﻧﻲ ﺳﻤﻌﺖ ﺑﺄﻧﻚ ﺑﺪﺃﺕ ﺷﻴﺌﺎ ﻣﺜﻴﺮﺍ ﻟﻼﻫﺘﻤﺎﻡ. ﻻ ﺗﻘﻠﻘﻲ، ﺇﻥ ﻟﻢ ﻳﻜﻦ ﻣﺜﻴﺮﺍ ﺣﻘﺎ، ﻓﺴﺄﺭﺣﻞ ﻣﻦ ﺗﻠﻘﺎﺀ ﻧﻔﺴﻲ."""
{f:5:Beatrice},"""*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*...! ﺃﻧﺎ ﺑﻴﺎﺗﺮﻳﺲ، ﺃﺷﻌﺮ ﺑﺴﻌﺎﺩﺓ ﻏﺎﻣﺮﺓ ﻟﻤﺮﺍﻗﺒﺔ ﺍﻟﺴﻴﺪﺓ ﺍﻟﻌﻈﻴﻤﺔ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ} ﻟﺼﻨﻴﻌﻲ ﻋﻦ ﻛﺜﺐ. *ﻗﻘﻬﻘﺔ*ﻗﻬﻘﻬﺔ*! ﻭﻣﺎ ﺍﻧﻄﺒﺎﻋﻚ ﻋﻨﻲ ﺇﺫﻥ؟"""
