Speaker,Arabic (AR)
,.........ﻣﺎ ﻟﻲ ﺃﺩﺭﻙ ﻣﻌﻨﻰ ﻫﺬﺍ ﻛﻠﻪ.
, ﺃﺭﺟﻮﻛﻢ، ﻓﻠﻴﺸﺮﺡ ﻟﻲ ﺃﺣﺪٌ ﻣﺎ ﺟﺮﻯ ﺑﺎﻷﻣﺲ ﺷﺮﺣًﺎ ﺃﺳﺘﻮﻋﺒﻪ.
, ﺗﺎﺑﻌﺖُ ﺍﻟﺘﻬﺎﻣﻲ ﺑﻤﺎ ﻓﻲ ﻣﻄﺒﺦ ﺍﻟﻘﺼﺮ ﻣﻦ ﻃﻌﺎﻡ.
, ﻓﺬﺍﻙ ﺍﻟﺜﻼّﺝ ﺍﻟﺘﺠﺎﺭﻱ ﺍﻟﻀﺨﻢ ﺣﻮﻯ ﻛﻞَّ ﻣﺄﻛﻮﻝٍ ﻭﻣﺸﺮﻭﺏ.{n}ﻓﻜﻨﺖ ﺁﻛﻞ ﻭﺃﺷﺮﺏ ﻣﻨﻪ ﻣﺎ ﺷﺌﺖ.
,......ﻭﻛﺎﻥ ﻓﻲ ﺍﻟﻤﺨﺰﻭﻥ ﻣﺎ ﻳﻜﻔﻴﻨﻲ ﺃﻛﻼً ﻟﻮ ﻇﻞّ ﺍﻹﻋﺼﺎﺭ ﺃﺳﺒﻮﻋًﺎ ﻻ ﻳﻨﻘﺸﻊ.
, ﻭﺑﻘﻨﻴﻨﺔٍ ﻓﻲ ﻳﺪﻱ -ﻗﺪ ﺷﺮﺑﺖُ ﻧﺼﻔﻬﺎ- ﺃﺧﺬﺕُ ﺃﺗﻨﺎﻭﻝ ﺑﻌﺾ ﺷﺮﺍﺋﺢ ﺍﻟﻠﺤﻢ.
, ﺗﺴﺎﺀﻟﺖ ﻛﻢ ﻳﺒﻠﻎ ﺛﻤﻦ ﻫﺬﺍ ﺍﻟﺼﻨﻒ ﻣﻦ ﺍﻟﻄﻌﺎﻡ.
, ﺃﻳﻬﺎ ﺍﻟﻤﻜﻮِّﻧﺎﺕ، ﻣﺎ ﺃﺷﺪّ ﺑﺆﺱ ﺣﻈﻜﻢ. ﻟﻮ ﺃﻥ ﻗﻮﺩﺍ-ﺳﺎﻥ ﺗﻮﻟّﻰ ﻃﺒﺨﻜﻢ، ﻟﻌُﺪﺗُﻢ ﻃﻌﺎﻣًﺎ ﺃﺑﻬﻰ ﻭﺃﺷﻬﻰ.
, ﻧﻈﺮﺕُ ﺇﻟﻰ ﺍﻟﺴﺎﻋﺔ. ﻓﺈﺫ ﺑﻤﻨﺘﺼﻒ ﺍﻟﻠﻴﻞ ﻗﺪ ﺃﻭﺷﻚ ﺃﻥ ﻳﺤﻞّ.{n}ﺇﻥّ ﺍﻟﺨﺎﻣﺲ ﻣﻦ ﺃﻛﺘﻮﺑﺮ، ﺍﻟﻴﻮﻡ ﺍﻟﺜﺎﻧﻲ، ﻳﻜﺎﺩ ﻳﻨﻘﻀﻲ.
,.........ﺟﻨﻮﻥ ﺍﻷﻣﺲ، ﻓﻲ ﺍﻟﺮﺍﺑﻊ ﻣﻦ ﺃﻛﺘﻮﺑﺮ، ﺑﺪﺍ ﻟﻲ ﻛﺄﻧﻪ ﻟﻢ ﻳﻜﻦ.{n}...ﻫﻜﺬﺍ ﻗﻞَّ ﻣﺎ ﻭﻗﻊ ﺑﻌﺪ ﻣﺎ ﺳﻤّﻮﻩ ﺍﺧﺘﺒﺎﺭﻱ.
, ﻟﻢ ﻳﺤﺪﺙ ﺷﻲﺀ.
, ﻻ ﻣﻜﺎﻟﻤﺎﺕ ﻫﺎﺗﻔﻴﺔ، ﻭﻻ ﺭﺳﺎﺋﻞ.{n}ﻻ ﺯﺍﺋﺮٌ ﺟﺎﺀ، ﻭﻻ ﻣﻬﺎﺟﻢٌ ﺍﻗﺘﺮﺏ.
, ﻻ ﺷﻲﺀ ﺍﻟﺒﺘﺔ.
, ﺃﻋﻴﺪﻭﺍ ﺇﻟﻲّ ﺍﻟﺰﻣﺎﻥ ﻭﺍﻟﺠﻬﺪ ﺍﻟﻠَﺬَﻳﻦِ ﺃﺿﻌﺘﻬﻤﺎ ﻓﻲ ﺍﻟﺘﻴﻘّﻆ..........ﻳﻮﻡٌ ﻛﺎﻣﻞ، ﺃﺭﺑﻊٌ ﻭﻋﺸﺮﻭﻥ ﺳﺎﻋﺔ.
