Speaker,Arabic (AR)
{f:5:Beatrice},"""ﺣﺴﻨًﺎ ﺇﺫًﺍ. ...ﻫﻞ ﺃﻋﺠﺒﺘﻚ؟ ﺗﻠﻚ ﺍﻟﻠﻌﺒﺔ ﺍﻟﺘﻲ ﺧﻀﻨﺎﻫﺎ ﻟﻠﺘﻮ."""
{f:5:Bernkastel},"""....ﺗﻀﺠﺮﻧﻲ ﺍﻷﻟﻌﺎﺏ ﺍﻟﻤﺘﺤﻴّﺰﺓ، ﺇﻧﻬﺎ ﻻ ﺗﺴﺘﺤﻖ ﺍﻟﻤﺘﺎﺑﻌﺔ."""
{f:5:Beatrice},"""ﻛﺎﻫﺎﻫﺎﻫﺎﻫﺎ! ﻧﻘﺪﻙِ ﻻﺫﻉ ﻛﻤﺎ ﺍﻋﺘﺪﺗﻚِ. ...ﻛﻨﺖُ ﻭﺍﺛﻘﺔً ﺗﻤﺎﻣًﺎ ﺃﻥَّ ﺣﺘﻰ ﺍﻟﺴﻴﺪﺓ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ}، ﺍﻟﺘﻲ ﻻ ﺗﺤﺘﻤﻞ ﺍﻟﻤﻠﻞ، ﺳﺘﺴﺘﻤﺘﻊ ﺣﺘﻤًﺎ ﺑﻬﺬﺍ ﺍﻟﺘﻄﻮّﺭ ﺍﻟﻤﺸﻮﻕ... ﻳﺎ ﻟﻘﺴﻮﺗﻚِ!"""
{f:5:Bernkastel},"""...ﺣﺴﻨًﺎ، ﺃﻋﺘﺮﻑ ﺃﻧﻬﺎ ﻛﺎﻧﺖ ﻣﺸﻮّﻗﺔ. ﻟﻜﻦ ﻛـ""ﻟﻌﺒﺔ ﻋﺎﺩﻟﺔ""، ﻓﻬﻲ ﻛﺎﻧﺖ ﺍﻟﻌﻜﺲ ﺗﻤﺎﻣًﺎ. ﺗﺤﺘﺎﺟﻴﻦ ﻟﺠﻌﻞ ﺍﻟﺸﺮﻭﻁ ﺃﻛﺜﺮ ﺇﻧﺼﺎﻓًﺎ ﻗﻠﻴﻼً، ﻭﺇﻻ-"""
{f:5:Beatrice},"""......ﻫﻞ ﺃﻧﺎ ﻋﻠﻰ ﻣﺸﺎﺭﻑ ﺃﻥ ﺃُﺧﺒَﺮ ﺑﺄﻧﻪ ﻻ ﺗﻮﺟﺪ ﻃﺮﻳﻘﺔٌ ﻟﻠﻔﻮﺯ ﻣﻦ ﻗﺒﻞ ﺍﻟﺴﻴّﺪﺓ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ} ﺑﺬﺍﺗﻬﺎ؟ ......ﻛﺎﻫﺎﻫﺎﻫﺎ!"""
{f:5:Bernkastel},"""..................ﻣﺎ ﺍﻟﺬﻱ ﺗﻘﺼﺪﻳﻨﻪ ﺑﻬﺬﺍ ﻳﺎ ﺑﻴـﺎﺗﻮ؟"""
{f:5:Beatrice},"""ﻻ ﺩﺍﻋﻲ ﻷﻥ ﺗﺘﻈﺎﻫﺮﻱ ﺑﺎﻟﺠﻬﻞ. ﺃﻧﺎ ﺃﻋﻲ ﺑﺎﻟﻔﻌﻞ... ...ﺃﻧﻚِ {i:ﻟﺴﺖِ ﻣﺠﺮﺩ ﻣﺘﻔﺮﺟﺔ}."""
{f:5:Bernkastel},"""................................."""
{f:5:Beatrice},"""ﻫﻞ ﻇﻨﻨﺖِ ﺃﻧﻚِ ﺗﺨﻔﻴﻦ ﺍﻷﻣﺮ ﺟﻴﺪًﺍ؟ ﻛﻢ ﺃﻧﺖِ ﺟﺮﻳﺌﺔ، ﺃﻥ ﺗﺄﺗﻲ ﻛﻞ ﻫﺬﻩ ﺍﻟﻤﺴﺎﻓﺔ ﺇﻟﻰ ﺃﺭﺽٍ ﻟﻴﺴﺖ ﻟﻚِ ﻭﺗﺮﺍﻫﻨﻲ ﺿﺪّﻱ. ﺃﺗﻴﺖِ ﻫﻨﺎ ﻟﺘﺸﺎﻫﺪﻱ ﻟﻌﺒﺘﻲ ﺑﻴﻨﻤﺎ ﺗﻀﻌﻴﻦ ﺭﻫﺎﻧﺎﺕٍ ﺳﺮﻳﺔً ﻋﻠﻰ ﻫﺰﻳﻤﺘﻲ. ﻟﻘﺪ ﺃﺻﺒﺖُ ﻓﻲ ﺗﻮﻗّﻌﻲ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ...؟"""
{f:5:Bernkastel},"""........................... ﻭﻣﺎﺫﺍ ﻟﻮ ﻛﻨﺖ ﺣﻘًﺎ ﻛﺬﻟﻚ؟"""
