Speaker,Arabic (AR)
,ﺗﺬﻛﺮﺕ. ﺁﻧﺬﺍﻙ ﻓﻲ ﺍﻟﻤﺎﺿﻲ، ﺧﻀﻌﺖ ﻟﻠﺘﺪﺭﻳﺐ ﻣﻦ ﺃﺟﻞ ﺍﻻﻧﻀﻤﺎﻡ ﺇﻟﻰ ﻋﺎﻟﻢ ﺍﻟﺴﺎﺣﺮﺍﺕ.
,ﺁﻣﻨﺖ ﺑﺄﻥ ﻗﻮﺓ ﺍﻟﺴﺤﺮ ﻫﻲ ﺧﻼﺻﻲ ﻣﻦ ﺃﻳﺎﻡ ﺍﻟﻮﺣﺪﺓ ﻭﺍﻷﻟﻢ ﺍﻟﺘﻲ ﺃﻗﺎﺳﻴﻬﺎ ﻓﻲ ﺃﻛﺎﺩﻳﻤﻴﺔ ﺍﻟﻘﺪﻳﺴﺔ ﻟﻮﺳﻴﺎ...ﺇﺫ ﻛﻨﺖ ﺃﺗﻌﻠﻢ ﻣﺒﺎﺩﺉ ﺍﻟﺴﺤﺮ ﻣﻦ ﺃﺧﺘﻲ ﻣﺎﺭﻳﺎ......
Ushiromiya Ange,"""...............ﺃﺗﻘﺼﺪﻳﻦ ﺑﺘﺨﻴﻞ ﻓﺮﺍﻍٍ ﺷﺎﺳﻊ...... ......ﻣﺜﻞ ﺍﻟﻤﻨﻈﺮ ﺍﻟﺬﻱ ﺭﺃﻳﻨﺎﻩ ﻣﻦ ﻛﺮﺳﻲ ﺍﻧﺘﻈﺎﺭ ﻋﻠﻰ ﺍﻟﻄﺮﻳﻖ ﺃﻋﻠﻰ ﺍﻟﺠﺒﻞ......"""
Ushiromiya Ange,""".........ﻫﻜﺬﺍ......?"""
,ﺃﺧﺬﺕ ﺫﻟﻚ ﺍﻟﻤﺸﻬﺪ ﻣﻦ ﺫﻛﺮﻳﺎﺗﻲ، ﻭﺃﺳﻘﻄﺘﻪ ﻓﻲ ﻋﺎﻟﻤﻲ ﺍﻟﺪﺍﺧﻠﻲ.
,......ﻋﺎﺩﺓً ﻣﺎ ﺗﺘﺠﺎﻭﺯ ﺍﻟﻔﺘﻴﺎﺕ ﺍﻟﺼﻐﻴﺮﺍﺕ ﺇﻋﺠﺎﺑﻬﻦ ﺑﺎﻟﺴﺎﺣﺮﺍﺕ ﺑﻌﺪ ﺍﻟﻤﺪﺭﺳﺔ ﺍﻻﺑﺘﺪﺍﺋﻴﺔ.
,ﻟﻬﺬﺍ، ﺃﻥ ﺃﻛﻮﻥ ﺑﻬﺬﺍ ﺍﻟﻌﻤﺮ ﻭﺃﺗﺪﺭﺏ ﺑﺠﺪﻳﺔ ﻋﻠﻰ ﺍﻟﺴﺤﺮ... ﺃﻣﺮ ﺃﺷﻌﺮ ﺑﺎﻟﺤﺮﺝ ﺣﻴﺎﻟﻪ.
,ﻟﻜﻦ ﺣﺘﻰ ﻫﺬﺍ ﺍﻟﺸﻌﻮﺭ ﺍﻟﻤﺤﺮﺝ ﻛﺎﻥ ﺃﻣﺮًﺍ ﻳﺴﻌﺪﻧﻲ.
,ﻓﺄﻧﺎ ﺍﻵﻥ ﺃﺗﻌﻠﻢ ﻣﻦ ﺃﺧﺘﻲ ﻣﺎﺭﻳﺎ ﺍﻟﺘﺮﻛﻴﺰ ﺍﻟﺬﻫﻨﻲ ﻣﻦ ﺃﺟﻞ ﺍﺳﺘﺨﺪﺍﻡ ﺍﻟﺴﺤﺮ.
,ﻟﻜﻦ ﺍﻷﻣﺮ ﻟﻢ ﻳﻜﻦ ﺑﺴﻴﻄًﺎ. ......ﺑﻞ ﻣﻴﺆﻭﺳًﺎ ﻣﻨﻪ، ...ﻣﺜﻞ ﺭﺅﻳﺔ ﺷﺨﺺٍ ﻳﻤﻜﻨﻪ ﺃﻥ ﻳﻬﺰ ﺁﺫﺍﻧﻪ ﻭﺳﺆﺍﻟﻪ ﻋﻦ ﺍﻟﻄﺮﻳﻘﺔ، ﺛﻢ ﺗﺘﻮﻗﻊ ﺃﻧﻚ ﺳﺘﺘﻌﻠﻢ ﺷﻴﺌًﺎ ﻣﻦ ﺧﻼﻝ ﻭﺻﻔﻪ...
,ﻳﺒﺪﻭ ﺃﻥ ﻋﻠﻲّ ﺗﺨﻴﻞ ﻓﺮﺍﻍٍ ﺷﺎﺳﻊ ﻻﻛﺘﺴﺎﺏ ﺍﻟﺘﺮﻛﻴﺰ ﺍﻟﺬﻫﻨﻲ ﺍﻟﻤﺆﻫﻞ ﻻﺳﺘﺨﺪﺍﻡ ﺍﻟﺴﺤﺮ.
,ﻭﻣﻦ ﺃﺟﻞ ﺫﻟﻚ ﺣﺎﻭﻟﺖ ﺗﺬﻛﺮ ﻣﺸﻬﺪٍ ﻣﻦ ﺃﻳﺎﻡ ﻃﻔﻮﻟﺘﻲ ﻋﻨﺪﻣﺎ ﺫﻫﺒﺖ ﻓﻲ ﺭﺣﻠﺔ ﻋﺎﺋﻠﻴﺔ، ﺁﻧﺬﺍﻙ ﺣﻈﻴﺖ ﺑﺘﺠﺮﺑﺔ ﺍﻟﻨﻈﺮ ﺇﻟﻰ ﺃﺳﻔﻞ ﺳﻔﺢ ﺍﻟﺠﺒﻞ ﻣﻦ ﺃﻋﻠﻰ ﻧﻘﻄﺔ ﺗﻮﻗﻒ ﻋﻠﻰ ﻗﻤﺘﻪ، ﺇﺫ ﺣﺎﻭﻟﺖ ﺭﺳﻢ ﺫﻟﻚ ﺍﻟﻤﺸﻬﺪ ﻓﻲ ﺫﻫﻨﻲ.
Ushiromiya Maria,"""ﻛﻼ، ﻻ ﻳﺰﺍﻝ ﻓﺮﺍﻏًﺎ ﺿﺌﻴﻼً ﺟﺪًﺍ. ﻋﻠﻴﻚِ ﺗﺨﻴﻞ ﻓﺮﺍﻍٍ ﺃﻭﺳﻊ ﺑﻜﺜﻴﺮ. ﺍﺧﻠﻘﻲ ﺑﻤﺨﻴﻠﺔ ﻋﻘﻠﻚ ﻋﺎﻟﻤﻚ ﺍﻟﺨﺎﺹ."""
