Speaker,Arabic (AR)
,ﺣﻴﻦ ﻳﺄﺗﻲ ﺍﻷﻗﺎﺭﺏ ﻓﻲ ﻛﻞ ﻋﺎﻡ ﻟﺰﻳﺎﺭﺓ ﺟﺰﻳﺮﺓ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ، ﻳﻄﻠﻘﻮﻥ ﺯﻓﺮﺓ ﺇﻋﺠﺎﺏ ﻭﻫﻢ ﻳﺮﻭﻥ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ ﺍﻟﺘﻲ ﺗﺴﺘﻘﺒﻠﻬﻢ ﺃﻭﻝ ﻣﺎ ﻳﺼﻠﻮﻥ.
,ﻭﻗﻔﻮﺍ ﻫﻨﺎﻙ ﻳﺘﺤﺪﺛﻮﻥ ﻓﻴﻤﺎ ﺑﻴﻨﻬﻢ ﻋﻦ ﺟﻤﺎﻝ ﺍﻟﻮﺭﻭﺩ، ﻭﻳﺘﺄﻣﻠﻮﻥ ﺣﺎﻟﺔ ﺃﺯﻫﺎﺭﻫﺎ ﻫﺬﺍ ﺍﻟﻌﺎﻡ.
,ﻟﻜﻦ ﺑﻴﻦ ﻫﺬﻩ ﺍﻟﻮﺭﻭﺩ ﻛﺎﻧﺖ ﻫﻨﺎﻙ ﻭﺍﺣﺪﺓ ﺫﺍﺑﻠﺔ، ﻣﺎ ﺟﻌﻞ ﻣﺎﺭﻳﺎ ﺗﺸﻌﺮ ﺑﺤﺰﻥٍ ﻋﻤﻴﻖ ﺣﻴﻦ ﺭﺃﺗﻬﺎ.
,ﺇﻻ ﺃﻥ ﺟﻮﺭﺝ ﺳﺮﻋﺎﻥ ﻣﺎ ﺗﺪﺍﺭﻙ ﺍﻷﻣﺮ ﺑﺬﻛﺎﺋﻪ، ﻓﺄﺧﺒﺮﻫﺎ ﺑﻠﻄﻒ ﺃﻥ ﻋﻠﻴﻬﺎ ﺍﻻﻋﺘﻨﺎﺀ ﺑﻬﺎ ﺇﻥ ﻛﺎﻧﺖ ﺣﻘًﺎ ﻣﺸﻔﻘﺔ ﻋﻠﻴﻬﺎ، ﺛﻢ ﻭﺿﻊ ﻋﻼﻣﺔً ﺣﻮﻝ ﺍﻟﻮﺭﺩﺓ ﺑﻐﻼﻑ ﺣﻠﻮﻯ، ﻓﺎﺳﺘﻌﺎﺩﺕ ﻣﺎﺭﻳﺎ ﺍﺑﺘﺴﺎﻣﺘﻬﺎ ﻓﻮﺭًﺍ.
,ﻭﻣﺎ ﺇﻥ ﺃﺛﺎﺭ ﺑﺎﺗﻠﺮ ﺍﻟﺬﻱ ﻛﺎﻥ ﻋﻠﻰ ﻭﻓﺎﻕٍ ﺗﺎﻡ ﻣﻌﻬﺎ ﻃﻴﻠﺔ ﺍﻟﺼﺒﺎﺡ - ﻣﻮﺿﻮﻉ ﺍﻟﻬﺎﻟﻮﻳﻦ ﺍﻟﺬﻱ ﺗﺤﺒﻪ ﻛﺜﻴﺮًﺍ، ﺣﺘﻰ ﻋﺎﺩﺕ ﻣﺎﺭﻳﺎ ﺇﻟﻰ ﺣﻴﻮﻳﺘﻬﺎ ﻭﻧﺸﺎﻃﻬﺎ ﺍﻟﻤﻌﺘﺎﺩﻳﻦ.
,ﺑﺎﻟﻨﺴﺒﺔ ﻟﻤﺎﺭﻳﺎ، ﻛﺎﻧﺖ ﺗﻠﻚ ﺍﻟﺤﻠﻮﻯ ﻋﻠﻰ ﺷﻜﻞ ﺟﺎﻙ ﺍﻟﻔﺎﻧﻮﺱ ﺍﻟﻤﺼﻨﻮﻋﺔ ﻣﻦ ﺣﻠﻮﻯ ﺍﻟﺨﻄﻤﻲ، ﺍﻟﺘﻲ ﺍﺷﺘﺮﺗﻬﺎ ﻭﺍﻟﺪﺗﻬﺎ ﻣﻦ ﺃﺟﻠﻬﺎ، ﻛﻨﺰًﺍ ﻳﻔﻮﻕ ﺃﻱ ﻛﻨﺰٍ ﺁﺧﺮ.
,...ﻳﺒﺪﻭ ﺃﻥ ﻭﺍﻟﺪﺗﻬﺎ ﺍﺷﺘﺮﺕ ﻟﻬﺎ ﻣﺠﻤﻮﻋﺔ ﻣﻨﻬﺎ، ﻓﺼﺎﺭﺕ ﺗﻄﺎﻟﺐ ﺏ »ﺣﻠﻮﻯ ﺃﻡ ﺧﺪﻋﺔ« ﻣﻦ ﻛﻞ ﺷﺨﺺ ﺗﻘﺎﺑﻠﻪ، ﻭﺗﻌﻄﻴﻬﻢ ﺍﻟﺤﻠﻮﻯ ﺑﺪﻻً ﻣﻦ ﺃﻥ ﺗﺄﺧﺬﻫﺎ.
Ushiromiya Battler,"""ﺃﺗﺴﺎﺀﻝ ﺣﻘًﺎ ﻟﻢَ ﺗﺤﺐ ﻣﺎﺭﻳﺎ ﺍﻟﻬﺎﻟﻮﻳﻦ ﺇﻟﻰ ﻫﺬﻩ ﺍﻟﺪﺭﺟﺔ. ﻛﻨﺖ ﺃﻇﻦ ﺃﻥ ﻫﺬﺍ ﺍﻟﻨﻮﻉ ﻣﻦ ﺍﻟﻤﻨﺎﺳﺒﺎﺕ ﻳﺼﻌﺐ ﻋﻠﻰ ﺍﻟﻴﺎﺑﺎﻧﻴﻴﻦ ﺍﻻﻋﺘﻴﺎﺩ ﻋﻠﻴﻪ."""
Ushiromiya Jessica,"""ﺃﻟﻴﺲ ﺫﻟﻚ ﻷﻧﻬﺎ ﻣﻨﺎﺳﺒﺔ ﻣﻤﺘﻌﺔ ﻟﻠﺼﻐﺎﺭ، ﻳﺘﺒﺎﻫﻮﻥ ﻓﻴﻬﺎ ﺑﺄﺯﻳﺎﺋﻬﻢ ﻭﻳﺘﺠﻮﻟﻮﻥ ﺑﻬﺎ؟ ﻓﻤﻦ ﺍﻟﻤﻤﺘﻊ ﻟﻠﻤﺮﺀ ﺃﻥ ﻳﺮﺗﺪﻱ ﺯﻳًﺎ ﻣﺨﺘﻠﻔًﺎ ﻋﻦ ﺍﻟﻤﻌﺘﺎﺩ."""
Ushiromiya George,"""ﻛﻼ... ﺃﻋﺘﻘﺪ ﺃﻥ ﺍﻟﺴﺒﺐ ﺭﺑﻤﺎ ﻳﻜﻮﻥ ﺃﻋﻤﻖ ﻣﻦ ﻫﺬﺍ. ﻓﻔﻲ ﺍﻟﻨﻬﺎﻳﺔ، ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ ﻫﻲ ﺳﺎﺣﺮﺓ."""
