Speaker,Arabic (AR)
Ushiromiya Battler,"""... ﺃﻣﻀﺖ ﺳﺖ ﺳﻨﻮﺍﺕ؟ ﺳﺖ ﺳﻨﻮﺍﺕ، ﻫﺬﺍ ﻛﻤﺪﺓ ﺍﻟﻤﺪﺭﺳﺔ ﺍﻻﺑﺘﺪﺍﺋﻴﺔ ﺑﺄﻛﻤﻠﻬﺎ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﺃﻻ ﺗﻌﺘﻘﺪ ﺃﻥ ﺳﺆﺍﻟﻚ ﻋﻤﺎ ﺇﺫﺍ ﻛﻨﺖ ﺃﺗﺬﻛﺮ ﻏﻴﺮ ﻋﺎﺩﻝ؟"""
Ushiromiya George,"""ﺃﻭﺍﻓﻘﻚ. ﺧﺎﺻﺔ ﻭﺃﻧﻨﺎ ﻛﻨﺎ ﺻﻐﺎﺭًﺍ ﺟﺪًﺍ، ﻓﻘﺪ ﻛﺒﺮﻧﺎ ﻛﺜﻴﺮًﺍ ﻓﻲ ﻫﺬﻩ ﺍﻟﺴﻨﻮﺍﺕ ﺍﻟﺴﺖ. ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻟﻮ ﻟﻢ ﺗُﻌﺮﻑ ﺑﻨﻔﺴﻚ، ﻟﺮﺑﻤﺎ ﻟﻢ ﻧﻜﻦ ﻟﻨﺘﺬﻛﺮﻙ."""
Ushiromiya Jessica,"""ﺃﺣﻘًﺎ؟ ﻟﻘﺪ ﺧﻤﻨﺖ ﺃﻧﻪ ﺑﺎﺗﻠﺮ ﻋﻠﻰ ﺍﻟﻔﻮﺭ. ﻭﻋﻨﺪﻣﺎ ﺑﺪﺃ ﻳﺘﻜﻠﻢ ﺗﺄﻛﺪﺕ."""
Ushiromiya Maria,"""ﺃﻭﻭ. ﻫﺬﻩ ﺃﻭﻝ ﻣﺮﺓ ﺃﻟﺘﻘﻲ ﻓﻴﻬﺎ ﺑﺒﺎﺗﻠﺮ. ﻻ ﺃﺗﺬﻛﺮ ﻣﺎ ﺣﺪﺙ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ."""
Shannon,"""ﻃﺒﻴﻌﻲ ﺟﺪًﺍ. ﻛﻨﺖ ﻓﻲ ﺍﻟﺜﺎﻟﺜﺔ ﻓﻘﻂ."""
Ushiromiya Battler,"""ﺣﺴﻨًﺎ، ﺍﻷﻣﺮ ﻧﻔﺴﻪ ﻳﻨﻄﺒﻖ ﻋﻠﻲ. ﻟﻢ ﺃﻋﺮﻑ ﻣﺎﺭﻳﺎ ﺇﻻ ﻭﻫﻲ ﻓﻲ ﺍﻟﺜﺎﻟﺜﺔ، ﻭﺑﻤﺎ ﺃﻧﻬﺎ ﻛﺒﺮﺕ ﺟﺪًﺍ، ﻻ ﻋﺠﺐ ﺃﻧﻨﻲ ﻟﻢ ﺃﺗﻌﺮﻑ ﻋﻠﻴﻬﺎ."""
,"""ﺫﻫﺒﻨﺎ ﺑﻌﺪ ﺍﻟﻐﺪﺍﺀ ﺟﻤﻴﻌًﺎ ﺇﻟﻰ ﺍﻟﺸﺎﻃﺊ ﻟﻠﺘﺠﻮﻝ ﻭﺍﻟﺘﺤﺪﺙ ﻭﺍﻻﺳﺘﻤﺘﺎﻉ ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ."
,ﺑﺪﺍ ﺍﻟﺘﻮﺗﺮﻋﻠﻰ ﺁﺑﺎﺅﻧﺎ ﺑﻌﺾ ﺍﻟﺸﻲﺀ، ﻛﺄﻥ ﻟﺪﻳﻬﻢ ﺃﻣﻮﺭًﺍ ﻳﻮﺩﻭﻥ ﻣﻨﺎﻗﺸﺘﻬﺎ، ﻓﻘﺮﺭﻧﺎ ﺗﺮﻛﻬﻢ.
,...ﻭﻛﻤﺎ ﺗﻮﻗﻌﺖ، ﺑﻤﺎ ﺃﻧﻨﻲ ﻏﺒﺖ ﺳﺖ ﺳﻨﻮﺍﺕ، ﺩﺍﺭ ﺍﻟﺤﺪﻳﺚ ﺣﻮﻟﻲ.
Ushiromiya George,"""ﻭﻣﻊ ﺫﻟﻚ، ﻟﻘﺪ ﻃُﻠﺖَ ﺣﻘًﺎ. ﻟﺴﺖ ﺑﺎﻟﻘﺼﻴﺮ، ﻟﻜﻦ ﻃﻮﻟﻚ ﺃﺩﻫﺸﻨﻲ ﺣﻘًﺎ."""
