Speaker,Arabic (AR)
Ushiromiya Rosa,"""................................."""
,ﺍﺳﺘﻔﺎﻗﺖ ﺭﻭﺯﺍ ﻣﻦ ﺳﺒﺎﺗﻬﺎ.
,...ﻻﺑﺪ ﺃﻥ ﻧﻮﻣﻬﺎ ﻛﺎﻥ ﻋﻤﻴﻘًﺎ ﻟﻠﻐﺎﻳﺔ.{n}ﻋﻘﻠﻬﺎ ﻛﺎﻥ ﻣﺸﻮﺷًﺎ، ﻭﻟﻢ ﺗﻜﻦ ﺃﻓﻜﺎﺭﻫﺎ ﻭﺍﺿﺤﺔ.
,ﺗﺮﻯ ﺃﻳﻦ ﻫﻲ؟{n}...ﻳﺒﺪﻭ ﻭﻛﺄﻧﻬﺎ ﻓﻲ ﻗﺼﺮٍ ﻣﺎ، ﻟﻜﻦ ﻋﻠﻰ ﺍﻷﻗﻞ، ﻟﻢ ﻳﻜﻦ ﻳﺒﺪﻭ ﻛﻘﺼﺮ ﻋﺎﺋﻠﺔ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ.
,ﻛﺎﻧﺖ ﻓﻲ ﻏﺮﻓﺔ ﺗﺸﺒﻪ ﻗﺎﻋﺔ ﺍﻟﻤﻌﻴﺸﺔ.
,...ﻭﻛﺎﻥ ﻫﻨﺎﻙ ﺷﺎﻱٌ ﻣُﻌﺪ.{n}ﻻﺑﺪ ﺃﻥ ﺍﻟﺸﺎﻱ ﻗﺪ ﺃُﻋﺪّ ﺧﺼﻴﺼًﺎ ﻟﻬﺎ.
,ﻛﺎﻧﺖ ﺷﺮﺍﺭﺍﺕ ﺗﺸﺒﻪ ﺃﻭﺭﺍﻕ ﺍﻟﺬﻫﺐ ﺗﺮﻗﺺ ﻓﻲ ﺃﺭﺟﺎﺀ ﺍﻟﻐﺮﻓﺔ، ﻣﻤﺎ ﺟﻌﻠﻬﺎ ﺗﺒﺪﻭ ﻛﻤﺎ ﻟﻮ ﺃﻧﻬﺎ ﻓﻲ ﻋﺎﻟﻢ ﻣﻦ ﺍﻷﺣﻼﻡ.
,...ﺛﻢ ﺃﺩﺭﻛﺖ ﺃﺧﻴﺮًﺍ ﺃﻥ ﺗﻠﻚ ﺍﻟﺸﺮﺍﺭﺍﺕ ﻛﺎﻧﺖ ﻓﺮﺍﺷﺎﺕ ﺫﻫﺒﻴﺔ، ﻣﻤﺎ ﺯﺍﺩ ﺍﻟﻤﺸﻬﺪ ﻏﻤﻮﺿًﺎ ﻭﺟﻤﺎﻻً.
,ﻛﺎﻥ ﻫﻨﺎﻙ ﺷﺨﺺ ﺃﻣﺎﻣﻬﺎ.
,...ﺃﻧﺜﻰ. ...ﺳﻴﺪﺓ.
