Speaker,Arabic (AR)
,ﻛﺎﻧﺖ ﺍﻟﻤﺰﻫﺮﻳﺔ ﺟﻤﻴﻠﺔ ﻟﻠﻐﺎﻳﺔ، ﻗﻴﻤﺔ ﺗﺎﺭﻳﺨﻴﺎ ﻭﻣﺎﺩﻳﺎ.
,ﺑﺮﻏﻢ ﺻﻐﺮﻱ، ﺇﻻ ﺃﻧﻨﻲ ﺷﻬﻘﺖ ﻣﻦ ﺟﻤﺎﻟﻬﺎ.
,ﺑﺎﻟﻄﺒﻊ ، ﻫﻲ ﺇﺣﺪﻯ ﺗﺤﻒ ﺟﺪﻱ ﺍﻟﻤﻔﻀﻠﺔ.
,ﻭﺣﺘﻰ ﻻ ﺃﺗﻠﻒ ﺟﻤﺎﻟﻬﺎ ﺍﻟﻬﺶ ﺧﻄﺄ، ﺩﺍﺋﻤًﺎ ﻣﺎ ﺃﻣﺮﺕ ﺑﺼﺮﺍﻣﺔ ﺑﻌﺪﻡ ﻟﻤﺴﻬﺎ.
,...ﺯﺍﺩ ﻫﺬﺍ ﻣﻦ ﺭﻏﺒﺘﻲ ﻓﻲ ﻟﻤﺴﻬﺎ.
,ﻛﺎﻧﺖ ﺷﺒﻪ ﺷﻔّﺎﻓﺔ، ﺃﻧﻴﻘﺔ ﻟﻠﻐﺎﻳﺔ؛ ﺑﺪﺕ ﺧﻔﻴﻔﺔ ﻭﻛﺄﻧّﻬﺎ ﺑﻼ ﻭﺯﻥ، ﺑﺤﻀﻮﺭ ﻻ ﻳُﻮﺻﻒ.
,...ﺃﺭﺩﺕُ ﻣﻌﺮﻓﺔ ﺷﻌﻮﺭ ﻟﻤﺲ ﻣﺰﻫﺮﻳّﺔ ﻛﻬﺬﻩ.
,ﻟﻜﻦ، ...ﻛﻤﺎ ﻗﺎﻝ ﺟﺪّﻱ، ﻛﺎﻧﺖ ﺷﻴﺌﺎ ﻻ ﻳُﻤﺲّ.
,ﻫﺬﺍ ﺍﻟﺠﻤﺎﻝ ﺍﻟﺴﺎﺣﺮ ﻳﻨﺸﺄ ﻭﻻ ﻳُﻠﻤﺲ ﺃﺑﺪﺍ.
,ﺟﻤﺎﻝٌ ﻻ ﻳﺴﻜﻦ ﺇﻻّ ﻓﻲ ﻣﺎ ﻫﻮ ﻫﺶ ﺭﻗﻴﻖ، ﻣﺎ ﻳﻜﺴﺮ ﺑﻠﻤﺴﺔ.
,ﻭﻟﻬﺬﺍ ﺑﺎﻟﻀﺒﻂ، ﺇﻥ ﻟﻤﺴﺘﻪ ﺑﺈﺻﺒﻌﻲ ﺍﻟﻮﻗﺢ، ﻓﺴﻮﻑ ﻭﺑﺴﻬﻮﻟﺔ ﺷﺪﻳﺪﺓ-
,ﻳﺘﻼﺷﻰ ﺗﻤﺎﻣﺎ ﻛﺤﻠﻢٍ ﺟﻤﻴﻞ ﻟﺤﻈﺔ ﺍﺳﺘﻴﻘﺎﻇﻚ... ﺳﻘﻄﺖ ﻣﻀﻤﺤﻠﺔ ﻭﻏﺪﺕ ﻛﺴﺎﺭﺓ.
