Speaker,Arabic (AR)
Ushiromiya Battler,"""ﺃﻫﻼ ﺑﺎﻟﺠﻤﻴﻊ، ﺃﺣﺴﻨﺘﻢ ﻋﻤﻼ ﺑﺈﻧﻬﺎﺋﻜﻢ ‘ﺣﻴﻦ ﺗﻨﻮﺡ ﺍﻟﻨﻮﺍﺭﺱ'! ﻳﺎ ﺭﺟﻞ، ﻣﺎﺯﻟﺖ ﻻ ﺃﻣﻠﻚ ﺃﺩﻧﻰ ﻓﻜﺮﺓ ﻋﻤﺎ ﺣﺪﺙ ﺣﺘﻰ ﺑﻌﺪ ﺍﻧﺘﻬﺎﺀ ﺍﻟﻘﺼﺔ!"""
Ushiromiya Jessica,"""ﺇﺫﻥ، ﻣﺎ ﺍﻟﺬﻱ ﺣﺪﺙ ﺑﺎﻟﻀﺒﻂ؟ ﺃﻛﺎﻧﺖ ﺗﻠﻚ ﺑﺒﺴﺎﻃﺔ 'ﺍﻟﻨﻬﺎﻳﺔ ﺍﻟﺴﻴﺌﺔ'، ﺣﻴﺚ ﻳﻨﺘﻬﻲ ﺍﻟﻮﻗﺖ ﻗﺒﻞ ﺍﻟﻜﺸﻒ ﻋﻦ ﻫﻮﻳﺔ ﺍﻟﺠﺎﻧﻲ؟"""
Ushiromiya Maria," ""ﺃﻭﻭ-. ﻛﺎﻧﺖ ﺣﻘﺎ ﻧﻬﺎﻳﺔ ﺳﻴﺌﺔ. ﺃﻭﻭ-."""
Ushiromiya George,"""ﺻﺤﻴﺢ. ﺧﻄﺎﺏ {f:7:ﺑﻴﺎﺗﺮﻳﺲ} ﺍﻟﺬﻱ ﻗﺮﺃﺗﻪ ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ ﻓﻲ ﺍﻟﻴﻮﻡ ﺍﻷﻭﻝ ﻗﺪ ﺃﺧﺒﺮﻧﺎ ﻣﺴﺒﻘﺎ ﺑﺄﻥ ﻋﻠﻴﻨﺎ ﺣﻞ ﻟﻐﺰ ﺍﻟﻤﺮﺛﻴﺔ. ﻛﻨﺎ ﻣﻨﺸﻐﻠﻮﻥ ﺟﻤﻴﻌﺎ ﺑﺤﻤﺎﻳﺔ ﺃﻧﻔﺴﻨﺎ ﻭﺍﻟﺒﺤﺚ ﻋﻦ ﺍﻟﺠﺎﻧﻲ ﻟﺪﺭﺟﺔ ﺃﻧﻨﺎ ﻟﻢ ﻧﺠﺮﺏ ﺣﻈﻨﺎ ﻓﻲ ﺣﻠﻪ."""
Shannon,""".........ﻣﻌﻚ ﺣﻖ. ﺇﻥ ﺣﺎﻭﻟﻨﺎ ﺣﻘﺎ ﺣﻞ ﺍﻟﻠﻐﺰ ﻻﻧﺘﻬﻰ ﻛﻞ ﻫﺬﺍ ﻋﻠﻰ ﻧﺤﻮ ﻣﺨﺘﻠﻒ."""
Ushiromiya Battler,"""ﺃﺗﺴﺎﺀﻝ ﺣﻴﺎﻝ ﺫﻟﻚ. ﺃﺑﻠﻴﺖ ﺣﺴﻨﺎ ﺃﻳﻀﺎ ﻳﺎ ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ!"
Ushiromiya Battler,"ﻻ ﻳﺠﺐ ﻋﻠﻴﻚ ﺗﻘﺪﻳﻢ ﺍﻟﺸﺎﻱ ﻭﺍﻟﺘﺼﺮﻑ ﻛﻨﺎﺩﻟﺔ، ﻓﻬﺬﺍ ﺣﻔﻞ ﺧﺘﺎﻡ ﻓﻲ ﻧﻬﺎﻳﺔ ﺍﻟﻤﻄﺎﻑ. ﻛﻤﺠﻤﻮﻋﺔ ﺃﺷﺨﺎﺹ ﻟﻘﻮﺍ ﻣﺼﻴﺮﺍ ﺷﻨﻴﻌﺎ، ﻟﻨﻜﻦ ﺟﻤﻴﻌﺎ ﻋﻠﻰ ﻭﻓﺎﻕ ﻭﻟﻨﻠﻌﻖ ﺟﺮﻭﺡ ﺑﻌﻀﻨﺎ ﺍﻟﺒﻌﺾ! ﻟﻌﻖ ﻟﻌﻖ ﻟﻌﻖ~!"""
Ushiromiya Jessica,"""ﻋﻠﻰ ﺫﻛﺮ ﺷﻨﺎﻋﺔ ﺍﻟﻤﺼﻴﺮ، ﺷﺎﻧﻮﻥ ﺗﻐﻠﺒﻨﺎ ﺟﻤﻴﻌﺎ ﺑﺴﻬﻮﻟﺔ، ﺃﻟﻴﺲ ﻛﺬﻟﻚ؟ ﻟﻘﺪ ﻛﺎﻧﺖ ﺷﺨﺼﻴﺔ ﺟﻤﻴﻠﺔ ﺑﺤﻖ، ﻓﻈﻨﻨﺖ ﺃﻧﻬﺎ ﺳﺘﻨﺠﻮ ﺣﺘﻰ ﺍﻟﻨﻬﺎﻳﺔ، ﻟﻜﻨﻬﺎ ﻗﺘﻠﺖ ﻓﻲ ﺍﻟﺒﺪﺍﻳﺔ، ﻭﻋﻼﻭﺓ ﻋﻠﻰ ﺫﻟﻚ...ﻣﺎﺫﺍ ﻛﺎﻥ؟ ﻧﺼﻒ ﻭﺟﻬﻬﺎ ﻛﺎﻥ ﻣﻬﺸﻤﺎ، ﺻﺤﻴﺢ؟ ﻫﺬﺍ ﺍﻟﻤﺼﻴﺮ ﺍﻷﺳﻮﺃ!"""
Shannon,"""......ﻟﻘﺪ ﻛﺎﻥ ﺩﻭﺭﻱ، ﻓـ... ﻓﻠﻢ ﻳﻜﻦ ﻫﻨﺎﻙ ﺃﻱ ﺧﻴﺎﺭ ﺁﺧﺮ..."""
Kanon,"""....ﻻ ﻳﺠﺐ ﻋﻠﻴﻚ ﺍﻟﻘﻠﻖ ﺣﻴﺎﻝ ﺫﻟﻚ ﻳﺎ ﺃﺧﺘﻲ. ﺑﺎﻟﺤﻜﻢ ﻋﻠﻰ ﺍﻟﺨﺎﺗﻤﺔ، ﻓﺤﺘﻰ ﺳﻴﺪﺗﻲ ﻭﻣﻦ ﺗﺒﻘﻰ ﻟﻘﻮﺍ ﺣﺘﻔﺎ ﻣﺄﺳﺎﻭﻳﺎ."""
