Speaker,Arabic (AR)
,ﻇﻞ ﻳﺘﺮﺩﺩ ﺻﻮﺕ ﻛﻬﺮﺑﺎﺋﻲ ﺭﺗﻴﺐ.
,"ﻛﺎﻥ ﻃﺎﺑﻊ ﺍﻟﻐﺮﻓﺔ ﺃﺑﻴﺾ ﺟﺎﻓﺎً ""ﻣﻌﻘﻤﺎً"".{n}...ﻛﺎﻧﺖ ﻏﺮﻓﺔ ﺇﺣﺪﻯ ﺍﻟﻤﺴﺘﺸﻔﻴﺎﺕ ﺍﻟﺠﺎﻣﻌﻴﺔ."
,ﻣﺎ ﻛﺎﻥ ﺃﺣﺪٌ ﻟﻴﺘﺤﻤﻞ ﻧﻔﻘﺔ ﻗﻀﺎﺀ ﻟﻴﻠﺔ ﻓﻲ ﻫﺬﻩ ﺍﻟﻐﺮﻓﺔ ﺇﻻ ﺃﻥ ﻳﻜﻮﻥ ﺛﺮﻳﺎً، ﻏﺮﻓﺔ ﻟﻢ ﻳﺸﻚ ﺃﻱ ﻣﻦ ﺃﻃﺒﺎﺋﻬﺎ، ﻭﻻ ﻫﻲ، ﺃﻧﻬﺎ ﻣﺜﻮﺍﻫﺎ ﺍﻷﺧﻴﺮ...
,ﺃﺫﺍﻙ ﺍﻟﻤﺴﺘﻠﻘﻲ ﻋﻠﻰ ﺍﻟﺴﺮﻳﺮ...............ﺇﻳﻔﺎ؟
,ﺑﺪﺕ ﺷﺎﺣﺒﺔ ﻫﺮﻣﺔ، ﻻ ﺗﻜﺎﺩ ﺗﻌﺮﻓﻬﺎ.
,ﻛﺎﻥ ﻗﺮﺏ ﺍﻟﺒﺎﺏ ﺭﺟﻞٌ ﺟﺴﻴﻢٌ ﻋﻠﻴﻪ ﺑﺰﺓ ﻳﺘﻜﻠﻢ ﺑﺼﻮﺕ ﻣﻨﺨﻔﺾ ﺇﻟﻰ ﺍﻟﺨﺎﺭﺝ ﻋﺒﺮ ﺳﻤﺎﻋﺔ ﺃﺫﻥ ﺩﺍﺧﻠﻴﺔ.
,...ﺇﻧﻪ ﺣﺎﺭﺱ ﺇﻳﻔﺎ ﺍﻟﺸﺨﺼﻲ.
,ﺑﻌﺪﻣﺎ ﻃﻠﺐ ﺇﻟﻰ ﻣﻦ ﻳﻜﻠﻤﻪ ﺍﻻﻧﺘﻈﺎﺭ، ﺩﻧﺎ ﻣﻦ ﺳﺮﻳﺮ ﺇﻳﻔﺎ.
,...ﻛﺎﻧﺖ ﺇﻳﻔﺎ ﻣﺴﺘﻴﻘﻈﺔ ﺑﺎﻟﻔﻌﻞ.
,......ﻭﻟﻜﻨﻬﺎ ﻛﺎﻧﺖ ﺗﺤﺪﻕ ﻓﻲ ﺍﻟﻨﻘﻄﺔ ﻧﻔﺴﻬﺎ ﻓﻲ ﺍﻟﻔﺮﺍﻍ، ﻭﻛﺄﻥ ﺫﻫﻨﻬﺎ ﻗﺪ ﺍﻧﺼﺮﻑ ﺇﻟﻰ ﻣﻜﺎﻥٍ ﺁﺧﺮ.
,"""......ﻭﺻﻠﺖ ﺇﻧﺠﻲ ({p:0:縁寿})-ﺳﺎﻥ ﺇﻟﻰ ﺍﻟﺮﺩﻫﺔ ﻓﻲ ﺍﻷﺳﻔﻞ. ﺃﻧﺪﺧﻠﻬﺎ؟"""
Ushiromiya Eva,"""................................"""
,ﻟﻢ ﺗﺠﺐ ﺇﻳﻔﺎ ﻟﺒﻌﺾ ﺍﻟﻮﻗﺖ.
,ﺛﻢ ﺃﺧﺬﺕ ﺗﺴﺘﻌﻴﺪ ﺗﺮﻛﻴﺰﻫﺎ ﺷﻴﺌﺎً ﻓﺸﻴﺌﺎً، ﻭﺃﺷﺎﺭﺕ ﺑﺎﻟﻤﻮﺍﻓﻘﺔ.
,...ﻟﻘﺪ ﻛﺎﻧﺖ ﺇﻳﻔﺎ ﻫﻲ ﻣﻦ ﺩﻋﺘﻬﺎ. ﻭﻗﺪ ﺟﺎﺀﺕ ﻓﻲ ﻣﻮﻋﺪﻫﺎ.
,ﺗﺮﻓﺾ ﺇﻳﻔﺎ ﺍﻵﻥ ﻟﻘﺎﺀ ﺃﻱ ﻛﺎﻥ ﺑﻼ ﻣﻮﻋﺪ ﻣﺴﺒﻖ.
,ﻛﺎﻧﺖ ﺍﻟﻐﺮﻓﺔ ﻣﻈﻠﻤﺔ ﻓﻲ ﻭﺿﺢ ﺍﻟﻨﻬﺎﺭ ﻷﻥَّ ﺍﻟﺴﺘﺎﺋﺮ ﻣﺴﺪﻟﺔ.
