Speaker,Spanish (ES)
{f:5:Bernkastel},"""... Erika, Dlanor."""
Furudo Erika,"""Sí, mi ama."""
Dlanor,"""¿Ha {f:5:llamado}?"""
{f:5:Bernkastel},"""... Quiero que se queden en este Fragmento... y expliquen todo lo de los juegos del primero al cuarto. Esa lamentable bruja transitoria ya no existe para hacer valer sus ilusiones de bruja. Expongan la franca verdad por completo."""
Furudo Erika,"""¡*risita*! Déjemelo a mí, mi ama. No hay acertijo que yo, Furudo Erika, no pueda resolver."""
{f:5:Bernkastel},"""... Por supuesto. Por eso es que eres mi pieza, mi doble. ¡*risita*risita*risita*!"""
,"{f:5:Bernkastel} mostraba una enorme... y horrible sonrisa, la cual compartía Erika."
,"... Las ilusiones de la bruja {f:5:Beatrice} desaparecerían, y los resultados de todos los juegos anteriores quedarían anulados."
,Había sido destruida en toda forma posible... y solo quedaba la verdad pura.
,"Para Erika, tal verdad débil bien podría haber sido pescado en una tabla de picar..."
Furudo Erika,"""Los cuatro juegos anteriores... pueden explicarse como crímenes de Natsuhi o como excepciones extrañas. No dejaré que nadie diga que es el crimen de la bruja {f:5:Beatrice} de nuevo. Comenzaré a entenderlo todo, y luego presentaré una historia de primera clase."""
{f:5:Bernkastel},"""*Risita*... No debes dejar siquiera un Fragmento con la Leyenda de la Bruja de Beato. Los rumores entre los sirvientes, la forma en que la gente hablaba de eventos inexplicables como si la leyenda fuese cierta, la Ilusión de la Bruja que trabajaba en conjunto con la de Kinzo... Encárgate por completo de ellas."""
Furudo Erika,"""Por supuesto. Comenzaré de inmediato... Ahora tenemos muebles en custodia. Estamos intentando identificar sus recipientes."""
,Las Siete Hermanas del Purgatorio ya habían sido tomadas en custodia.
,Esas molestas hermanas que habían servido a Beato ahora estaban en un estado de negación absoluta.
,"¿En qué tipo de ilusión se basaban para poder ""manifestarse""?"
,... Todo quedaría expuesto... y sería negado.
Dlanor,"""Las Eiserne Jungfrau ya han comenzado su {f:5:investigación}. De acuerdo a los resultados más recientes, hay una probabilidad alta de que fueran creadas durante los sesenta en la {f:5:cercanía} de Nueva York. Ya se ha enviado asistencia al {f:5:lugar}."""
{f:5:Bernkastel},"""¿Los sesenta? ¿Las Siete Hermanas del Purgatorio son <Made in USA>? Pfft, *risita*risita*risita*... Aunque presumían de ser muebles conectados con el Rey Salomón y servir a una bruja de mil años, son una total estafa. ¿Quién fue?..."""
Furudo Erika,"""De acuerdo al reporte, hay un grupo de estafadores... que ganan dinero haciendo productos falsos para vender a los fanáticos ricos del ocultismo."""
Dlanor,"""Ya que los millonarios decepcionados intentan vender los productos nuevamente como si fuesen reales, existe la posibilidad de que hayan sido falsamente deificados por entusiastas del {f:5:tema}. Estamos apresurándonos a encontrar confirmación y más {f:5:detalles}."""
Furudo Erika,"""Así que Ushiromiya Kinzo era un loco que podía pagar mucho dinero por cualquier objeto ocultista falso."""
{f:5:Bernkastel},"""... *Risita*risita*, ¡¡ajajajajajajajaja!!... ¿Y eso es lo que las Siete Hermanas del Purgatorio son en realidad?... ¡¡Qué ridículo, ajajajajaaajajajajaajajajaaja!! Una farsa total, justo lo que esperaría de una de las ilusiones de Beato."""
Furudo Erika,"""Aunque se hacen llamar los siete pecados capitales, en realidad son souvenirs baratos y falsos... Bueno, desde un principio supuse que no eran más que pisapapeles que se vendían en alguna tienda sospechosa."""
{f:5:Bernkastel},"""¡¡*Risita*risita*!! ¡Pisapapeles!... ¡¡Aajaajaajajajajajajajajajajaja!! ¿Les has llevado a luz esa verdad a las Siete Hermanas?"""
Dlanor,"""No, todavía {f:5:no}."""
Furudo Erika,"""Todavía creen que en realidad... fueron creadas por un gran hechicero hace más de mil años... No puedo esperar para lanzarles la verdad y la evidencia perfecta a la cara... y hacerles saber que son solo pisapapeles con un valor menor a 30 dólares estadounidenses."""
{f:5:Bernkastel},"""Cuando lo hagas, me pregunto cómo se verán sus caras... al perder toda esperanza... *risita*, no puedo esperar. Llámame cuando eso ocurra. Iré a observar, y llevaré un poco del mejor té negro y ciruelas deshidratadas."""
,"Las ilusiones de Beato ya se habían desvanecido, y había sido probado que todo era solo el resultado de ilusiones humanas."
,"¿Qué tipo de ilusiones lo había creado, y qué las causaba en primer lugar?{n}Cuando eso fuera probado a la perfección y restregado en la cara a quienes involucraba..."
,... La ilusión se desvanecería y sería aniquilada por completo.
,A esto se referían con... “ejecución”.
Dlanor,"""... Una ejecución no es un {f:5:espectáculo}. Como regla general, no es {f:5:pública}."""
Furudo Erika,"""Esta es una inspección realizada por la Gran Bruja Lady {f:5:Bernkastel}, miembro del senado, para que pueda observar que la Gran Corte cumple sus funciones satisfactoriamente. ¿Acaso una simple Inquisidora como tú pretende obstruir esto?..."""
{f:5:Bernkastel},"""Sí, así es. Solo estoy vigilando como representante del senado para asegurarme de que lleven a cabo los procedimientos adecuados al realizar su trabajo... *risita*risita*risita*."""
