Speaker,Spanish (ES)
Shannon,"""¡Mire, George-sama! ¡Son tan lindos! ¡Mire, mire!"""
,"Shannon encontró una pareja de tiburones martillo que estaba nadando alegremente en el tanque, e hizo un escándalo como el que haría un niño de primaria al ver un acuario por primera vez."
Ushiromiya George,"""Sí, son muy lindos. Casi me dan ganas de comérmelos."""
Shannon,"""M-Me compadezco tanto de ellos... ¿Sabía usted? Se dice que las únicas personas en el mundo que van a un acuario y dicen que los peces parecen deliciosos son los japoneses."""
Ushiromiya George,"""¿De verdad?... Estoy seguro de que incluso los estadounidenses e italianos querrían comerse los que están aquí."""
Shannon,"""... Ah... um... eh..."""
Ushiromiya George,"""Esa ropa te queda muy bien. En serio."""
,"Avergonzada, Shannon se cubrió el pecho con ambos brazos.{n}... Aparentemente sintió que se burlaba de ella por llevar ropa que no solía utilizar."
,"Aunque la cara de George no lo demostraba, lo cierto era que incluso él se sorprendió de la facilidad con la que aquellas palabras habían salido de sus labios, y por dentro estaba tan avergonzado como Shannon."
,"Pero cuando vio lo avergonzada que ella estaba, empezó a sentir que se burlaba de la chica que le gustaba, y, en lugar de vergüenza, un sentimiento de diversión cosquilleante surgió en él."
,"... No, no es solo un sentimiento...{n}... De verdad estoy burlándome de la chica que me gusta."
,Me duele admitirlo... pero solía pensar que tales expresiones vergonzosas eran tan anticuadas que ya no aparecían ni siquiera en el manga.
,"Por el contrario, si hubiera visto a una pareja actuar así, me habrían dado ganas de lanzarles piedras."
,"Sin embargo, aun si a nosotros nos lanzaran piedras, estoy seguro de que serían como confeti para celebrarnos."
,"En este momento, ni siquiera puedo recordar aquellos días de soledad... cuando sentía celos de las parejas que eran completamente ajenas a su entorno."
,"Diciéndolo de una manera anticuada, estos serían verdaderamente días de color de rosas..."
,Estaba tan fascinado que ya ni siquiera le prestaba atención al tanque del acuario más grande del mundo.
,"En su lugar, me quedé contemplando a Shannon, quien estaba jugando felizmente con los peces, y su rostro lleno de emociones."
Shannon,"""... Es sorprendente, ¿no es así?... Es la primera vez que veo un tanque lo suficientemente grande como para que una ballena nade en él."""
Ushiromiya George,"""He escuchado que este tanque es la mayor atracción turística aquí. Y que es el más grande de todo el mundo."""
Shannon,"""¿De verdad? Eso es asombroso... Es realmente maravilloso. Ni siquiera parece el tanque de un acuario, sino más bien como si hubieran cortado una parte del mar con un cuchillo y la hubiesen traído aquí."""
Ushiromiya George,"""Sí, eso parece. Este es un hermoso y pequeño mar."""
,"A pesar de su gran tamaño, no había pensado en el tanque como algo más que un tanque."
,Por eso encontré bastante interesante la manera en la que dijo lo de cortar una parte del mar con un cuchillo.
,"Por mucho que el ser humano amplíe sus experiencias, al final solo puede tener una única visión personal del mundo. Tal vez sea por eso que es tan interesante interactuar con alguien que tiene una visión del mundo diferente."
,Le dije eso con sinceridad.{n}Y ella respondió:
Shannon,"""Es cierto que este no es el mar verdadero... Pero si esos pequeños peces que nadan ahí creen que es un mar, entonces ciertamente es un mar."""
Ushiromiya George,"""Aun así, ellos se encuentran dentro de un tanque finito."""
Shannon,"""El mar también es finito. No, incluso si fuera infinito, ¿cuánto de ese mar podríamos recorrer a lo largo de toda nuestra vida? Estoy segura de que sería una distancia mucho más pequeña que el mismo mar."""
Ushiromiya George,"""... Eso es verdad. Es irónico, ¿no? Aunque el mundo es tan vasto, la mayoría de nosotros vive su vida sin salir de su propio país."""
Shannon,"""Todo lo que se necesita es la creencia de que es un mundo completo... para que incluso el fondo de un pozo estrecho sea un mundo como tal, y hasta un mar... en los ojos de las ranas que viven allí."""
,"Shannon, que ha pasado sus días como sirvienta en una pequeña isla de diez kilómetros de circunferencia llamada Rokkenjima, dijo eso con una sonrisa."
,"Cuando terminamos de visitar el acuario, almorzamos a última hora de la tarde en un restaurante con buenas vistas."
,El corazón de cualquier chico se aceleraría al ver un bufet.
,Yo mismo era así en el pasado.
,"Pero con Shannon a mi lado, este bufet se sentía diferente.{n}No podía avergonzarme a mí mismo haciendo una pila enorme de mis comidas favoritas."
,"Estaba, cómo decirlo, preocupado por mi apariencia, por lo que opté por un menú propio de un esnob: tostadas, ensalada y café."
,"Si estuviera solo, habría hecho una pila de cosas grasientas, como yakisoba, puré de papa, gratinados y cosas así."
Ushiromiya George,"""Shannon, ¿eso es suficiente para ti? De ser así, supongo que los hombres somos animales con una eficiencia de combustible muy mala."""
Shannon,"""... Umm... N-No era mi intención insinuar eso..."""
,"En la bandeja de Shannon, solo había té y ensalada.{n}Tal vez la simple idea de que ella debería servirse al menos un plato más era una señal de que estaba pensando con mi estómago varonil."
Shannon,"""¿Qué hay de usted, George-sama? ¿Acaso eso será suficiente? Creo que es mejor que los hombres coman un poco más... Usted normalmente come más que eso en el almuerzo, ¿no es así?"""
Ushiromiya George,"""Uy, lo había olvidado. Supongo que ya sabes cuánto como cuando almuerzo en la isla."""
Shannon,"""Sí. Por eso, me preguntaba si no se sentía bien del estómago el día de hoy..."""
,Shannon mostraba inquietud al pensar que no me sentía bien.{n}Aparentemente había hecho que se preocupara con mi estúpido intento de impresionarla.
,"Y en cualquier caso, no parecía que mi estómago fuera a dejarme seguir con esta farsa por más tiempo."
Ushiromiya George,"""... Gah, ajaja... De acuerdo, lo confieso. Solo estaba tratando de parecer genial... Me contuve porque estaba con una chica..."""
