Speaker,Spanish (ES)
{f:5:Beatrice},"""Y bien. ¿Qué te pareció? Nuestro juego de ahora."""
{f:5:Bernkastel},"""Un juego tan desequilibrado pasa de ser cautivador y se torna aburrido."""
{f:5:Beatrice},"""*carcajada*carcajada*. Vaya, vaya, una dura crítica como siempre. Y yo que estaba tan segura de que incluso Lady {f:5:Bernkastel}, a quien no le gusta nada el aburrimiento, quedaría completamente satisfecha con este impactante desarrollo... Qué despiadada."""
{f:5:Bernkastel},"""Bueno, aceptaré que fue impactante. Sin embargo, fue horrible como un juego limpio. Necesitas que las condiciones sean un poco más parejas, o—"""
{f:5:Beatrice},"""¿Me estás diciendo que no hay forma de ganar? ¿Incluso para Lady {f:5:Bernkastel}? *carcajada*carcajada*."""
{f:5:Bernkastel},"""Me pregunto qué insinuas con eso, Beato."""
{f:5:Beatrice},"""No hay necesidad de seguir fingiendo. Ya lo sé. Sé que {i:no eres simple espectadora}."""
{f:5:Bernkastel},"""..."""
{f:5:Beatrice},"""¿Pensaste no me daría cuenta? Qué insolente, viajar hasta aquí y entrar en un territorio que no es tuyo solo para apostar contra mí. Viniste aquí planeando ver mi juego desde las gradas, mientras apostabas por mi derrota. He adivinado bien, ¿no es así?..."""
{f:5:Bernkastel},"""... ¿Y si así fuera?"""
{f:5:Beatrice},"""¡*carcajada*carcajada*! ¡Verdaderamente interesante!"""
{f:5:Beatrice},"""¡¡Que se me conceda la oportunidad de luchar contra Lady {f:5:Bernkastel}, la bruja más poderosa y quien derrotó a Lady {f:5:Lambdadelta}, es un verdadero placer!!"""
{f:5:Bernkastel},"""Sí. Es un placer para mí tambien. Después de todo, he venido hasta aquí solo porque quería verte rebosante de confianza, para luego destrozarte y verte perder."""
{f:5:Beatrice},"""Qué persona tan honesta. ¡¡*carcajada*carcajada*!!"""
{f:5:Beatrice},"""Por cierto, si la contienda entre la gran Lady {f:5:Bernkastel} y yo... no contase con al menos un observador, sería una completa lástima."""
{f:5:Bernkastel},"""... La llamaste, ¿no es así? A esa niña."""
{f:5:Lambdadelta},"""¡Hoh‐hoh‐hoh‐hoh‐ho! ¡¡Te encontré, por fin te encontré, {f:5:Bernkastel}!!"""
{f:5:Bernkastel},"""¿Cómo estás, Lambda? Parece que también tienes tiempo libre. ¿Me pregunto si es el destino que nosotras, quienes compartimos el odio por el aburrimiento, volvamos a encontrarnos?..."""
{f:5:Lambdadelta},"""Qué niña más tonta. ¿Por qué no te das cuenta de que la única razón por la que me ganaste fue por un poco de suerte y una no tan buena compatibilidad? ¿Acaso eso te hizo una engreída, que ahora incluso buscas pelearte con {f:5:Beatrice}? ¿No deberías conocer cuál es tu lugar?"""
{f:5:Lambdadelta},"""*risita*, {f:5:Beatrice} es fuerte, ¿sabes? Y ella es más brutal que yo. ¡Aunque solo por un poquito!"""
{f:5:Lambdadelta},"""¡Ah, y tampoco acortes mi nombre a Lambda!"""
{f:5:Bernkastel},"""Eres una tonta tú también, Beato. Esta niña no hará excepciones por tu juego, lo convertirá todo en una farsa absurda."""
{f:5:Beatrice},"""No he traído a Lady {f:5:Lambdadelta} aquí solo para que observe desde las gradas."""
{f:5:Beatrice},"""Después de informarle de que estabas apostando contra mí, me dijo que apostaría contra ti."""
{f:5:Bernkastel},"""Todavía me guardas rencor, ¿no?"""
{f:5:Lambdadelta},"""¡¡Hoh‐hoh‐hoh‐ho!! Porque yo era la bruja más fuerte del universo. ¡Pero como perdí contra ti, ya no soy la más fuerte!"""
{f:5:Lambdadelta},"""¡¡Así que me pondré de parte de cualquiera que esté en tu contra!!"""
{f:5:Beatrice},"""¡*carcajada*carcajada*! Ahí lo tienes. Con la gran Lady {f:5:Bernkastel} como oponente, puede que esto ni siquiera cuente como desventaja, pero servirá para entretenernos."""
{f:5:Bernkastel},"""Haz lo que quieras. Ahora que me han descubierto, voy a ponerme seria."""
{f:5:Beatrice},"""Eso sería lo idóneo. ""Indulgencia"" nunca ha figurado en mi diccionario. ¡*carcajada*carcajada*carcajada*carcajada*carcajada*! Lady {f:5:Lambdadelta}, disfrutemos de nuestra nueva y valiosa relación."""
