Speaker,Spanish (ES)
,"... Cuando me di cuenta, todo estaba en silencio.{n}Era un lugar tenue. Pero... vasto."
,... ¿Dónde estoy exactamente?...
,"Me di cuenta de que estaba sentado en algo parecido a un sofá estrecho.{n}Era muy incómodo, y había muchos más iguales alineados uno junto al otro... en filas interminables."
,Fue entonces cuando me di cuenta de que estaba en un teatro.
Ushiromiya Lion,"""... ¿Dónde... estoy exactamente?..."""
,"No sabía desde cuándo estaba allí.{n}Y más importante aún, no sabía dónde estaba."
,"... Después del funeral de Beatrice, todos regresamos a la mansión..."
,"... Pero desde entonces, mis recuerdos son borrosos y no puedo recordar nada."
,"En ese momento, sentí la presencia de alguien y me sobresalté."
,"Al parecer, no era el único en las butacas de aquel vasto teatro."
,... El sonido venía justo del lado de mi asiento.
,"Miré y vi que, dejando unos cuantos asientos vacíos a mi izquierda, había una chica sentada."
,"No reconocí su rostro... ¿Quién será?{n}Su edad parecía similar a la mía. Parecía una estudiante de preparatoria, o quizá de universidad."
,"""... Mmm..."""
,"La chica murmuró algo. Al parecer, acababa de despertarse..."
,"Para no asustarla, decidí saludarla primero..."
Ushiromiya Lion,"""... Hola."""
Ushiromiya Ange,"""¡¡...!!"""
,Ella tampoco esperaba que hubiera alguien más allí.{n}Mi saludo la hizo sobresaltarse.
Ushiromiya Ange,"""... ¿Quién eres tú?"""
Ushiromiya Lion,"""Yo también me pregunto lo mismo... Parece que ninguno de los dos está aquí por voluntad propia."""
Ushiromiya Ange,"""... Eso... ¿es el emblema de una sola ala?"""
Ushiromiya Lion,"""¿Eh...? ¿Conoces este emblema?"""
,La chica miró con desconfianza el emblema de una sola ala bordado en mi cuello.
,"Aunque no podía llamarlo hostilidad, su mirada evidentemente directa no resultaba nada agradable."
Ushiromiya Lion,"""Permíteme presentarme primero... Soy Ushiromiya Lion."""
Ushiromiya Ange,"""¿Ushiromiya...? ¿Eh? ¿Qué?"""
Ushiromiya Lion,"""Lion. Se escribe con el kanji de ‘razón’ {p:0:理} y el de ‘control’ {p:0:御}, y se pronuncia ""Li‐on"". Es un nombre poco común, ¿verdad?"""
Ushiromiya Ange,"""... Si hablamos de nombres raros, yo tampoco me quedo atrás. Pero lo siento. No te conozco."""
Ushiromiya Lion,"""Es lógico, ya que yo tampoco te conozco."""
