Speaker,Spanish (ES)
Furfur,"""¡¡Aah, Zepar!! ¡¿Cuál es esta noticia tan importante?!"""
Zepar,"""¡Mira, Furfur! ¡Nuestra image song va a ser publicada en CD!"""
,"""¡¿Mienteeeeeees!?"""
,"""""¡Sí, es mentira! Jaja{0}ja{0}ja{0}ja{0}ja{0}ja{0}ja{0}ja{0}ja{0}jajaja."""""
Zepar,"""¡Estábamos hartos de aparecer siempre del mismo modo!..."""
Furfur,"""¡Así que cambiamos un poco nuestro estilo!"""
Zepar,"""¡Somos artistas! ¡Y el escenario está vivo!"""
Furfur,"""¡Tienes que hacer lo que te apetezca de vez en cuando!..."""
Ushiromiya Jessica,"""S-Sí, pero podríamos haber prescindido de eso, demonios..."""
Ushiromiya George,"""... Gracias a los dos por eliminar la tensión. Lo siento, pero seguimos hablando sobre lo que haremos en la próxima prueba. Necesitamos más tiempo. Y si es posible, más tranquilidad."""
Zepar,"""Lo siento, George-kun. De hecho, tenemos un anuncio realmente importante relacionado a la segunda prueba."""
Furfur,"""¡Son buenas noticias para algunos! ¿Y quizás malas para otros?"""
Zepar,"""¡Aquellos para los que son malas noticias probablemente ya se hayan dado cuenta!"""
,"""""¡¡Si no sabes de lo que estamos hablando, entonces son buenas noticias para ti!!"""""
Shannon,"""¿{f:5:Beatrice}-sama?..."""
{f:5:Beatrice},"""... No es nada."""
Kanon,"""..."""
,"Allí habían cinco personas. Solo faltaba Battler.{n}Y la expresión de Beato era oscura, cabizbaja."
, Todo el mundo se dio cuenta de que algo le había sucedido a Battler...
Zepar,"""Nos gustaría anunciar que, Battler-kun se ha retirado antes de la segunda prueba."""
,Todos murmuraron... ¿Qué habría ocurrido?...
Furfur,"""El juego de las brujas esperará para siempre por él, pero una pareja de enamorados no puede esperar para siempre."""
Zepar,"""¡El amor es como el helado! Es dulce y cremoso, pero si no te lo comes rápido, se derretirá. Nuestro juego no es tan benévolo como para esperar a que vuelva."""
Kanon,"""... Así que te refieres a eso con nuevas noticias."""
Ushiromiya Jessica,"""Jeje... Bueno, estoy encantada de que el número de rivales se reduzca, pero si piensas que aclamaré la desgracia de otra persona, no estás para nada en lo correcto..."""
Ushiromiya George,"""Battler-kun... aquel en que pensábamos como nuestro mayor enemigo... No preguntaré por qué. Si los demonios a cargo dicen eso, entonces que así sea."""
Shannon,"""Entonces... ¿qué pasará con {f:5:Beatrice}-sama?..."""
{f:5:Beatrice},"""... Parece que perderé el derecho de participar en esta prueba."""
Zepar,"""Después de todo, ¡esto es una prueba para probar los vínculos entre enamorados!”"
Furfur,"""Battler-kun no es capaz de hacer eso en este momento. ¡Así que su pareja está descalificada! ¡Es realmente triste!..."""
Zepar,"""De todas formas, ella sigue siendo una participante en este desafío de tres parejas por el amor. ¡Así que pienso que deberíamos dejarla ver la prueba como observadora!"""
Furfur,"""¡Una idea espléndida! ¡Tiene el derecho de bendecir la pareja que supere la prueba!"""
Ushiromiya George,"""... ¿Estás de acuerdo con eso?"""
{f:5:Beatrice},"""Sí... Quiero ver hasta el final... Y... sigo creyendo que volverá rápido, recuperando el derecho a entrar en la prueba, y continuará este desafío conmigo una vez más."""
Shannon,"""... Creo que tiene derecho a ser observadora."""
Ushiromiya Jessica,"""No hay problema."""
Kanon,"""... No tenemos la necesidad de ser crueles."""
Ushiromiya George,"""Pero incluso así, hemos perdido a un gran rival... Lo siento por ustedes, pero me gustaría terminar con el desafío."""
Furfur,"""Ah, ¡ahí tienen todos, ese es George-kun! ¡Eres mi favorito en esto!"""
Zepar,"""¡La frialdad con la que proporciona su amor hace que su pasión destaque aun más!..."""
Ushiromiya George,"""De todos modos... hemos bajado de tres a dos, y el punto muerto entre las tres parejas se resolvió... No éramos capaces de luchar de forma proactiva porque teníamos miedo de una situación de uno contra dos."""
Kanon,"""... Ahora que es uno contra uno... es simplemente un duelo limpio."""
Shannon,"""..."""
