Speaker,Spanish (ES)
,Era el mayor salón para fiestas de este enorme hotel.
,Todos los invitados que llenaban el salón aplaudían a la persona recibiendo un trofeo sobre el escenario.
,"En el letrero de enfrente ponía ""Ceremonia de entrega de premios de la editorial Biggs""."
,"""Y ahora, me gustaría comenzar con la categoría de novelas. La ganadora... es esa novela de fantasía y aventura que todos conocemos muy bien, la historia que ha dado lugar a un movimiento mundial, que continúa creciendo a pasos agigantados, la novela de fantasía y aventura es... ¡‘La Gran Aventura de Sakutaro’!"""
,El proyector que estaba en frente de la audiencia mostraba un breve resumen de la historia.
,Era... una larga novela de fantasía que ya tenía más de 8 entregas.
,"La emocionante historia de fantasía narraba las aventuras de Sakutaro, un cobarde león vegetariano que hacía amigos, aprendía de sus experiencias, y crecía en su búsqueda del Fragmento."
,"La frase pegadiza del protagonista, ""Seré el Rey de las Bestias"", era incluso una de las candidatas al premio a la Mejor Frase Introducida en la Jerga Moderna."
,"Además de ser una lectura emocionante, los libros también contenían muchos mensajes para que los niños aprendieran, ganándose grandes elogios como una novela de aventuras que padres e hijos podían disfrutar leyendo juntos."
,"Sin embargo, no recibió elogios como estos desde el principio."
,"En los primeros seis volúmenes, era casi desconocido, pero el año pasado, cuando comenzaron las traducciones a otros idiomas, consiguió su gran oportunidad y de repente se volvió un enorme tema de conversación."
,"Incluso antes de estas historias, la autora había creado muchos trabajos, pero ninguno de estos había conseguido el reconocimiento del público."
,"Sin embargo, después de esta repentina y notoria ascensión, sus trabajos anteriores fueron siendo revaluados uno tras otro."
,Probablemente sea justo decir que el reconocimiento de sus trabajos llegó muy tarde.
,"""¡¡Señorita Kotobuki!!... ¡Felicidades por haber ganado este premio!"""
,"""¡Su última obra, ""Sakutaro y la Bruja de la Isla"", fue una lectura realmente excelente!"""
,Los ejecutivos de las editoriales la colmaban de alabanzas.
,"""La Gran Aventura de Sakutaro"".{n}El nombre de la autora... era Kotobuki Yukari. ({p:0:寿ゆかり})."
,"Casi todos sus derechos de autor fueron enviados a un fondo para ayudar a niños necesitados, y ella misma había hecho de directora en varias instituciones protectoras."
,"Algunos envidiosos intentaron calificar esto como ""caridad falsa"", pero cuanta más gente sabía de ella, más se marchitaban y se desvanecían aquellas voces."
,Kotobuki Yukari.
,"Por ahora, ese nombre sonaba alto y claro a través de Japón."
,"Ella se sentó en una silla, hablando alegremente con la gente que vino a felicitarla."
,"El año pasado, se le diagnosticó cáncer inicial, y después de ser operada, su fuerza física había disminuido bruscamente."
,"Debido a esto, incluso en esta ceremonia de premios, se le entregó una silla y se sentó mientras agradecía a la gente."
,"Alguna gente se lamentaba, diciendo que si solo fuera 20 o 10 años más joven, podría haber dejado huella en la historia como una de las mejores autoras del siglo XXI."
,Le llevó tanto tiempo recibir los elogios que merecía...
,"Ya no se la podía llamar joven.{n}Incluso así, su determinación para escribir no vaciló en lo más mínimo."
,"La historia iba así, incluso durante su estancia en el hospital, la mayoría del tiempo lo empleó en teclear sin parar."
,Ella siempre decía lo mismo.{n}Que aún no había dicho todo lo que tenía que decir.
,"¿Querría decir que no ha terminado del todo ""La Gran Aventura de Sakutaro""?"
,Así es cómo respondió a esta pregunta hecha por un periodista...
,"Si escribiendo un libro más, pudiera enseñar a un solo niño más cómo encontrar la felicidad..."
,"Entonces usaré el resto de mi vida para escribir cada libro, cada página que pueda."
,Porque aún no he transmitido del todo las preciosas enseñanzas que se me dieron...
,"""¡Señorita Kotobuki, felicidades por su premio! ¡He oído que la adaptación a la gran pantalla también ha estado consiguiendo buenas críticas! Según lo que he escuchado, si sigue así, ¡podría romper el record al mejor libro del año!"""
Kotobuki Yukari,"""Muchas gracias por su amabilidad. Es más de lo que merezco..."""
,"""¡Oh, me olvidaba!... Mi nombre es Eks, soy jefe del primer departamento editorial de la compañía X."""
Kotobuki Yukari,"""Es un honor conocerle... Espero que trabajemos juntos alguna vez..."""
,"""... De hecho, señora Kotobuki. Yo, eh, disculpe por ser tan repentino, ¿pero conoce usted por casualidad al misterioso escritor llamado... Hachijo Tohya?"""
Kotobuki Yukari,"""¿Has dicho... Hachijo... Tohya?..."""
